City/Town,Ward,Pct,"Robert Stanton Creedon, Jr","All Others",Blanks,"Total Votes Cast"
Plymouth,-,16,"1,738",12,780,"2,530"
Plymouth,-,17,"2,064",25,807,"2,896"
Plymouth,-,18,"1,046",18,511,"1,575"
Plympton,-,1,"1,324",35,641,"2,000"
Rochester,-,1,"2,532",27,"1,474","4,033"
Rockland,-,1,"1,273",35,459,"1,767"
Rockland,-,2,"1,263",27,543,"1,833"
Rockland,-,3,"1,023",26,325,"1,374"
Rockland,-,4,"1,029",58,352,"1,439"
Rockland,-,5,"1,117",29,485,"1,631"
Rockland,-,6,"1,243",30,460,"1,733"
Scituate,-,1,"1,567",11,675,"2,253"
Scituate,-,2,"1,601",19,636,"2,256"
Scituate,-,3,"1,591",12,590,"2,193"
Scituate,-,4,"1,596",11,761,"2,368"
Scituate,-,5,"1,547",4,588,"2,139"
Scituate,-,6,"1,714",0,652,"2,366"
Wareham,-,1,"1,485",0,636,"2,121"
Wareham,-,2,"1,629",0,703,"2,332"
Wareham,-,3,"1,568",0,664,"2,232"
Wareham,-,4,"1,548",0,631,"2,179"
Wareham,-,5,"1,685",0,669,"2,354"
Wareham,-,6,"1,434",0,577,"2,011"
"W. Bridgewater",-,1,"1,539",16,766,"2,321"
"W. Bridgewater",-,2,"1,564",17,731,"2,312"
Whitman,-,1,"1,712",20,644,"2,376"
Whitman,-,2,"1,460",17,575,"2,052"
Whitman,-,3,"1,567",28,572,"2,167"
Whitman,-,4,"1,532",15,581,"2,128"
TOTALS,,,"213,070","2,522","88,190","303,782"
