City/Town,Ward,Pct,"Jennifer A. Sullivan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"Fall River",2,B,586,13,217,816
"Fall River",2,C,670,15,296,981
"Fall River",3,A,803,18,328,"1,149"
"Fall River",3,B,759,24,309,"1,092"
"Fall River",3,C,966,34,391,"1,391"
"Fall River",4,A,589,18,192,799
"Fall River",4,B,526,12,174,712
"Fall River",4,C,627,18,227,872
"Fall River",5,A,502,17,147,666
"Fall River",5,B,435,7,134,576
"Fall River",5,C,556,19,210,785
"Fall River",6,A,849,32,465,"1,346"
"Fall River",6,B,787,24,299,"1,110"
"Fall River",6,C,763,20,322,"1,105"
"Fall River",7,A,871,25,402,"1,298"
"Fall River",7,B,628,24,232,884
"Fall River",7,C,742,19,277,"1,038"
"Fall River",8,A,707,27,303,"1,037"
"Fall River",8,B,990,37,495,"1,522"
"Fall River",8,C,"1,095",27,508,"1,630"
"Fall River",9,A,"1,282",39,693,"2,014"
"Fall River",9,B,962,30,488,"1,480"
"Fall River",9,C,"1,108",28,451,"1,587"
