City/Town,Ward,Pct,"Thomas H. Driscoll, Jr.","Todd R. Angilly","Doris V. Rodriguez","All Others",Blanks,"Total Votes Cast"
Haverhill,4,1,982,246,368,3,285,"1,884"
Haverhill,4,2,"1,038",307,362,1,369,"2,077"
Haverhill,4,3,927,271,338,3,287,"1,826"
Haverhill,5,1,515,122,173,0,127,937
Haverhill,5,1A,367,72,145,0,100,684
Haverhill,5,2,"1,038",238,373,0,317,"1,966"
Haverhill,5,3,934,278,339,2,306,"1,859"
Haverhill,5,3A,71,19,28,0,22,140
Haverhill,6,1,850,215,314,5,246,"1,630"
Haverhill,6,2,607,140,205,1,184,"1,137"
Haverhill,6,2A,268,51,96,0,53,468
Haverhill,6,3,984,204,289,1,277,"1,755"
Haverhill,7,1,862,199,339,1,239,"1,640"
Haverhill,7,2,649,183,226,0,152,"1,210"
Haverhill,7,2A,200,31,100,0,48,379
Haverhill,7,3,"1,091",271,333,1,327,"2,023"
Haverhill,7,3A,18,2,2,0,4,26
Ipswich,-,1,"1,422",268,232,2,304,"2,228"
Ipswich,-,2,"1,408",400,288,2,353,"2,451"
Ipswich,-,3,"1,358",486,295,4,345,"2,488"
Ipswich,-,4,"1,418",397,289,5,357,"2,466"
Lawrence,A,1,476,42,323,6,109,956
Lawrence,A,2,244,27,208,3,90,572
Lawrence,A,2A,60,8,52,1,18,139
Lawrence,A,3,372,42,241,7,93,755
Lawrence,A,4,499,43,349,6,112,"1,009"
Lawrence,B,1,447,43,235,5,162,892
Lawrence,B,2,299,28,194,5,97,623
Lawrence,B,3,365,21,268,8,99,761
Lawrence,B,4,357,38,247,6,171,819
Lawrence,C,1,350,35,220,2,133,740
Lawrence,C,2,438,38,301,7,140,924
Lawrence,C,3,289,17,189,1,114,610
Lawrence,C,4,274,21,217,6,161,679
Lawrence,D,1,513,33,330,5,132,"1,013"
Lawrence,D,2,357,34,255,6,164,816
Lawrence,D,3,233,18,136,6,110,503
Lawrence,D,4,381,32,270,5,132,820
Lawrence,E,1,682,103,350,11,181,"1,327"
Lawrence,E,1A,15,3,20,0,6,44
Lawrence,E,2,669,106,364,8,158,"1,305"
Lawrence,E,3,452,60,286,6,108,912
Lawrence,E,4,405,38,284,9,138,874
Lawrence,F,1,723,88,308,12,187,"1,318"
Lawrence,F,2,343,28,256,4,99,730
Lawrence,F,3,546,49,310,8,125,"1,038"
Lawrence,F,4,545,47,303,5,142,"1,042"
Lynn,1,1,"1,006",736,182,9,276,"2,209"
Lynn,1,2,744,558,172,5,166,"1,645"
Lynn,1,2A,159,118,40,1,37,355
Lynn,1,3,900,446,197,7,180,"1,730"
Lynn,1,4,781,265,190,6,140,"1,382"
Lynn,2,1,996,405,236,2,214,"1,853"
Lynn,2,2,661,135,167,6,135,"1,104"
Lynn,2,3,450,67,165,4,95,781
Lynn,2,4,430,71,136,8,89,734
Lynn,3,1,732,224,195,5,138,"1,294"
Lynn,3,2,530,86,176,8,88,888
Lynn,3,3,766,179,168,6,133,"1,252"
Lynn,3,4,779,123,203,6,146,"1,257"
Lynn,4,1,335,45,113,12,79,584
Lynn,4,2,380,42,109,6,87,624
Lynn,4,3,506,53,157,3,120,839
Lynn,4,3A,107,19,26,6,23,181
Lynn,4,4,654,110,169,9,161,"1,103"
Lynn,5,1,733,238,170,8,137,"1,286"
Lynn,5,2,380,58,140,8,83,669
Lynn,5,3,328,41,131,4,91,595
Lynn,5,4,711,90,216,4,206,"1,227"
Lynn,6,1,489,103,143,7,90,832
Lynn,6,2,370,52,129,6,108,665
Lynn,6,3,406,40,160,1,109,716
Lynn,6,4,609,109,216,8,138,"1,080"
Lynn,7,1,850,278,223,10,194,"1,555"
Lynn,7,2,863,282,216,9,160,"1,530"
Lynn,7,3,537,143,172,11,98,961
Lynn,7,4,618,171,178,15,134,"1,116"
Lynnfield,-,1,617,"1,037",128,0,209,"1,991"
Lynnfield,-,2,719,"1,021",148,0,173,"2,061"
Lynnfield,-,3,613,"1,058",138,0,202,"2,011"
Lynnfield,-,4,629,"1,119",117,0,239,"2,104"
Manchester-by-the-Sea,-,1,"2,319",330,442,7,584,"3,682"
Marblehead,-,1,"1,588",222,211,3,338,"2,362"
Marblehead,-,2,"1,566",223,216,1,332,"2,338"
Marblehead,-,3,"1,431",220,193,5,313,"2,162"
Marblehead,-,4,"1,519",237,227,1,347,"2,331"
Marblehead,-,5,"1,493",286,176,0,268,"2,223"
Marblehead,-,6,"1,529",306,209,5,295,"2,344"
Merrimac,-,1,"1,032",445,331,0,269,"2,077"
Merrimac,-,2,"1,156",436,392,2,287,"2,273"
Methuen,-,1,550,56,279,14,162,"1,061"
Methuen,-,2,568,117,257,6,128,"1,076"
Methuen,-,3,879,169,345,19,243,"1,655"
Methuen,-,4,743,137,326,10,219,"1,435"
Methuen,-,5,779,199,403,17,280,"1,678"
Methuen,-,6,693,172,316,9,233,"1,423"
Methuen,-,6A,89,17,41,1,21,169
Methuen,-,7,"1,033",208,395,14,283,"1,933"
Methuen,-,8,865,255,438,16,301,"1,875"
Methuen,-,9,845,258,428,13,385,"1,929"
Methuen,-,10,874,207,387,20,321,"1,809"
Methuen,-,11,"1,001",291,469,7,414,"2,182"
Methuen,-,12,908,235,370,14,316,"1,843"
Methuen,-,13,525,145,237,6,170,"1,083"
Methuen,-,13A,332,42,147,12,91,624
Methuen,-,14,868,133,419,15,240,"1,675"
Methuen,-,15,655,111,332,7,148,"1,253"
Middleton,-,1,948,855,234,8,278,"2,323"
Middleton,-,2,617,486,165,10,188,"1,466"
Middleton,-,3,816,759,227,9,246,"2,057"
Nahant,-,1,"1,459",428,187,3,275,"2,352"
Newbury,-,1,"1,349",424,302,5,375,"2,455"
Newbury,-,2,"1,293",549,289,5,310,"2,446"
Newburyport,1,1,"1,057",174,161,2,236,"1,630"
Newburyport,2,1,"1,311",250,247,5,258,"2,071"
Newburyport,3,1,"1,432",259,246,5,310,"2,252"
Newburyport,4,1,"1,362",271,228,3,325,"2,189"
Newburyport,5,1,"1,052",331,205,6,297,"1,891"
Newburyport,6,1,"1,175",375,222,10,284,"2,066"
Newburyport,1,P,246,72,74,2,86,480
"N. Andover",-,1,"1,218",222,350,3,283,"2,076"
"N. Andover",-,2,"1,258",237,364,4,299,"2,162"
"N. Andover",-,3,"1,152",230,347,1,280,"2,010"
"N. Andover",-,4,"1,502",341,325,3,413,"2,584"
"N. Andover",-,5,717,132,165,0,160,"1,174"
"N. Andover",-,6,"1,356",361,355,1,383,"2,456"
"N. Andover",-,7,"1,356",364,290,1,305,"2,316"
"N. Andover",-,8,"1,240",408,348,8,359,"2,363"
Peabody,1,1,910,486,161,5,215,"1,777"
Peabody,1,2,903,518,160,4,228,"1,813"
Peabody,1,3,"1,006",564,174,4,246,"1,994"
Peabody,2,1,698,164,142,7,118,"1,129"
Peabody,2,2,683,225,125,9,109,"1,151"
Peabody,2,3,818,393,150,8,133,"1,502"
Peabody,3,1,561,142,111,11,117,942
Peabody,3,2,713,268,151,12,145,"1,289"
Peabody,3,3,828,301,143,12,153,"1,437"
Peabody,4,1,845,427,123,10,164,"1,569"
Peabody,4,2,624,239,134,11,136,"1,144"
Peabody,4,3,340,146,59,3,84,632
Peabody,4,3A,971,115,142,0,291,"1,519"
Peabody,5,1,"1,009",508,173,5,244,"1,939"
Peabody,5,2,672,412,185,9,201,"1,479"
Peabody,5,3,834,470,170,9,165,"1,648"
Peabody,6,1,946,685,212,10,253,"2,106"
Peabody,6,2,837,637,174,7,234,"1,889"
Peabody,6,3,876,760,215,13,275,"2,139"
Rockport,-,1,830,117,163,0,186,"1,296"
Rockport,-,2,"1,137",219,213,3,216,"1,788"
Rockport,-,3,"1,373",232,233,5,305,"2,148"
Rowley,-,1,"1,883","1,153",522,14,548,"4,120"
Salem,1,1,"1,322",192,232,2,238,"1,986"
Salem,1,2,553,50,167,0,126,896
Salem,2,1,"1,348",173,191,1,194,"1,907"
Salem,2,2,"1,444",146,255,0,228,"2,073"
Salem,3,1,994,157,222,1,174,"1,548"
Salem,3,2,"1,048",233,217,1,160,"1,659"
Salem,4,1,874,308,216,0,166,"1,564"
Salem,4,2,"1,088",345,187,3,186,"1,809"
Salem,5,1,"1,223",173,215,3,193,"1,807"
Salem,5,2,"1,043",130,186,4,156,"1,519"
Salem,6,1,"1,115",168,213,2,173,"1,671"
Salem,6,2,"1,282",194,232,2,187,"1,897"
Salem,7,1,849,165,157,2,139,"1,312"
Salem,7,2,"1,210",185,161,2,198,"1,756"
Salisbury,-,1,945,363,309,1,290,"1,908"
Salisbury,-,2,863,437,274,5,248,"1,827"
Salisbury,-,3,784,427,315,3,293,"1,822"
Saugus,-,1,627,344,165,0,269,"1,405"
Saugus,-,2,628,329,202,1,248,"1,408"
Saugus,-,3,638,364,200,0,282,"1,484"
Saugus,-,4,702,331,206,0,325,"1,564"
Saugus,-,5,647,488,203,1,369,"1,708"
Saugus,-,6,573,356,224,3,312,"1,468"
Saugus,-,7,627,431,202,1,348,"1,609"
Saugus,-,8,650,378,180,0,309,"1,517"
Saugus,-,9,672,392,223,0,395,"1,682"
Saugus,-,10,572,296,169,0,292,"1,329"
Swampscott,-,1,929,307,136,10,104,"1,486"
Swampscott,-,2,926,206,130,9,142,"1,413"
Swampscott,-,3,"1,123",173,88,2,109,"1,495"
Swampscott,-,4,"1,159",225,131,1,121,"1,637"
Swampscott,-,5,"1,175",194,121,2,166,"1,658"
Swampscott,-,6,"1,159",176,104,5,132,"1,576"
Topsfield,-,1,"1,144",512,278,4,324,"2,262"
Topsfield,-,2,"1,057",481,252,5,271,"2,066"
Wenham,-,1,571,118,118,1,139,947
Wenham,-,1A,"1,009",236,187,1,248,"1,681"
"W. Newbury",-,1,"1,826",668,363,2,440,"3,299"
TOTALS,,,"223,675","66,950","58,820","1,110","55,748","406,303"
