City/Town,Ward,Pct,"Terrence W. Kennedy","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Saugus,-,2,953,5,520,"1,478"
Saugus,-,3,958,8,547,"1,513"
Saugus,-,4,819,6,545,"1,370"
Saugus,-,5,"1,103",9,745,"1,857"
Saugus,-,6,"1,013",16,535,"1,564"
Saugus,-,7,"1,055",10,743,"1,808"
Saugus,-,8,923,9,600,"1,532"
Saugus,-,9,"1,086",8,729,"1,823"
Saugus,-,10,923,10,512,"1,445"
Somerville,1,1,"1,121",24,230,"1,375"
Somerville,1,2,"1,880",37,347,"2,264"
Somerville,1,3,"1,208",24,222,"1,454"
Somerville,2,1,"1,646",23,291,"1,960"
Somerville,2,2,"1,933",32,331,"2,296"
Somerville,2,3,"1,882",33,367,"2,282"
Somerville,3,1,"1,654",26,313,"1,993"
Somerville,3,2,"1,700",34,303,"2,037"
Somerville,3,3,"1,929",37,384,"2,350"
Somerville,4,1,"1,154",25,239,"1,418"
Somerville,4,2,"1,418",16,264,"1,698"
Somerville,4,3,"1,675",28,280,"1,983"
Somerville,5,1,"1,816",40,355,"2,211"
Somerville,5,2,"2,054",33,375,"2,462"
Somerville,5,3,"1,934",32,372,"2,338"
Somerville,6,1,"2,123",40,402,"2,565"
Somerville,6,2,"1,948",33,355,"2,336"
Somerville,6,3,990,27,206,"1,223"
Somerville,7,1,"1,905",36,331,"2,272"
Somerville,7,2,"1,637",17,260,"1,914"
Somerville,7,3,"1,565",24,359,"1,948"
Stoneham,-,1,"1,313",27,611,"1,951"
Stoneham,-,2,"1,535",28,701,"2,264"
Stoneham,-,3,"1,437",27,806,"2,270"
Stoneham,-,4,"1,150",40,657,"1,847"
Stoneham,-,5,"1,286",36,752,"2,074"
Stoneham,-,6,"1,302",31,751,"2,084"
Stoneham,-,7,"1,254",16,676,"1,946"
Swampscott,-,1,"1,073",13,459,"1,545"
Swampscott,-,2,"1,275",8,454,"1,737"
Swampscott,-,3,"1,069",16,312,"1,397"
Swampscott,-,4,"1,248",12,456,"1,716"
Swampscott,-,5,"1,096",13,444,"1,553"
Swampscott,-,6,"1,204",16,502,"1,722"
Wakefield,-,1,"1,615",27,936,"2,578"
Wakefield,-,2,"1,419",24,760,"2,203"
Wakefield,-,3,"1,521",27,831,"2,379"
Wakefield,-,4,"1,453",33,748,"2,234"
Wakefield,-,5,"1,604",36,818,"2,458"
Wakefield,-,6,"1,665",31,825,"2,521"
Wakefield,-,7,"1,463",26,847,"2,336"
Winchester,-,1,"1,240",14,534,"1,788"
Winchester,-,2,"1,061",26,484,"1,571"
Winchester,-,3,"1,271",18,612,"1,901"
Winchester,-,4,"1,160",22,709,"1,891"
Winchester,-,5,"1,108",23,690,"1,821"
Winchester,-,6,"1,142",14,635,"1,791"
Winchester,-,7,"1,134",26,674,"1,834"
Winchester,-,8,909,16,450,"1,375"
Winthrop,-,1,"1,163",31,611,"1,805"
Winthrop,-,2,"1,101",25,576,"1,702"
Winthrop,-,3,"1,192",30,479,"1,701"
Winthrop,-,4,"1,003",23,493,"1,519"
Winthrop,-,5,"1,204",25,599,"1,828"
Winthrop,-,6,"1,225",27,494,"1,746"
TOTALS,,,"324,908","5,918","106,273","437,099"
