City/Town,Ward,Pct,"Joseph C. Ferreira","All Others",Blanks,"Total Votes Cast"
"New Bedford",2,E,800,18,252,"1,070"
"New Bedford",2,F,785,25,232,"1,042"
"New Bedford",3,A,471,20,107,598
"New Bedford",3,B,545,10,124,679
"New Bedford",3,C,503,10,145,658
"New Bedford",3,D,654,16,181,851
"New Bedford",3,E,966,24,301,"1,291"
"New Bedford",3,F,933,12,269,"1,214"
"New Bedford",4,A,539,10,104,653
"New Bedford",4,B,977,16,188,"1,181"
"New Bedford",4,C,884,11,208,"1,103"
"New Bedford",4,D,725,18,177,920
"New Bedford",4,E,731,16,194,941
"New Bedford",4,F,751,16,164,931
"New Bedford",5,A,598,19,143,760
"New Bedford",5,B,835,19,249,"1,103"
"New Bedford",5,C,690,25,231,946
"New Bedford",5,D,983,17,277,"1,277"
"New Bedford",5,E,"1,074",18,419,"1,511"
"New Bedford",5,F,"1,037",29,379,"1,445"
"New Bedford",6,A,841,25,275,"1,141"
"New Bedford",6,B,786,15,258,"1,059"
"New Bedford",6,C,346,16,93,455
"New Bedford",6,D,352,13,100,465
"New Bedford",6,E,502,12,130,644
"New Bedford",6,F,619,12,162,793
"Oak Bluffs",-,1,"2,406",5,814,"3,225"
Orleans,-,1,"3,385",33,"1,467","4,885"
Pembroke,-,1,"1,700",35,812,"2,547"
Pembroke,-,2,"1,436",43,750,"2,229"
Pembroke,-,3,"1,632",56,680,"2,368"
Pembroke,-,4,"1,640",48,711,"2,399"
Pembroke,-,5,"1,536",30,709,"2,275"
Plymouth,-,1,"1,416",38,441,"1,895"
Plymouth,-,2,"1,834",33,684,"2,551"
Plymouth,-,3,"1,453",33,545,"2,031"
Plymouth,-,4,"1,486",39,646,"2,171"
Plymouth,-,5,"1,644",45,773,"2,462"
Plymouth,-,6,"1,694",36,648,"2,378"
Plymouth,-,7,"1,660",55,668,"2,383"
Plymouth,-,8,"1,713",57,808,"2,578"
Plymouth,-,9,"1,477",51,571,"2,099"
Plymouth,-,10,"1,137",29,455,"1,621"
Plymouth,-,11,"1,656",52,772,"2,480"
Plymouth,-,12,"1,957",49,838,"2,844"
Plymouth,-,13,"1,827",33,732,"2,592"
Plymouth,-,14,"1,643",65,808,"2,516"
Plymouth,-,15,"3,296",57,"1,590","4,943"
Provincetown,-,1,"2,299",3,318,"2,620"
Raynham,-,1,"1,402",1,683,"2,086"
Raynham,-,1A,157,0,84,241
Raynham,-,2,"1,090",8,644,"1,742"
Raynham,-,2A,193,1,167,361
Raynham,-,3,"1,558",0,853,"2,411"
Raynham,-,4,"1,317",0,701,"2,018"
Rochester,-,1,"2,397",25,"1,436","3,858"
Sandwich,-,1,"1,722",18,895,"2,635"
Sandwich,-,2,"1,578",28,871,"2,477"
Sandwich,-,3,"1,525",15,720,"2,260"
Sandwich,-,4,"1,563",18,813,"2,394"
Sandwich,-,5,"1,449",15,746,"2,210"
Sandwich,-,6,"1,422",28,754,"2,204"
Somerset,-,1,"1,666",1,699,"2,366"
Somerset,-,2,"1,662",7,660,"2,329"
Somerset,-,3,"1,708",2,644,"2,354"
Somerset,-,4,"1,511",10,545,"2,066"
Somerset,-,5,"1,491",2,604,"2,097"
Swansea,-,1,"1,453",70,613,"2,136"
Swansea,-,2,"1,352",43,560,"1,955"
Swansea,-,3,"1,381",41,484,"1,906"
Swansea,-,4,"1,447",41,553,"2,041"
Swansea,-,5,"1,351",56,625,"2,032"
Taunton,1,A,"1,060",16,366,"1,442"
Taunton,1,B,"1,243",36,676,"1,955"
Taunton,2,A,886,13,223,"1,122"
Taunton,2,B,949,20,338,"1,307"
Taunton,3,A,"1,066",19,468,"1,553"
Taunton,3,B,"1,341",20,619,"1,980"
Taunton,4,A,"1,239",28,674,"1,941"
Taunton,4,B,"1,122",25,541,"1,688"
Taunton,5,A,"1,038",25,375,"1,438"
Taunton,5,B,997,18,352,"1,367"
Taunton,6,A,875,16,322,"1,213"
Taunton,6,B,"1,218",36,478,"1,732"
Taunton,7,A,"1,233",21,633,"1,887"
Taunton,7,B,"1,343",21,805,"2,169"
Taunton,8,A,"1,267",28,717,"2,012"
Taunton,8,B,"1,359",23,764,"2,146"
Tisbury,-,1,"2,193",8,657,"2,858"
Truro,-,1,"1,409",17,342,"1,768"
Wareham,-,1,"1,316",23,579,"1,918"
Wareham,-,2,"1,578",37,650,"2,265"
Wareham,-,3,"1,551",32,693,"2,276"
Wareham,-,4,"1,477",36,618,"2,131"
Wareham,-,5,"1,512",30,635,"2,177"
Wareham,-,6,"1,426",40,554,"2,020"
Wellfleet,-,1,"1,977",26,529,"2,532"
"W. Tisbury",-,1,"1,808",7,488,"2,303"
Westport,-,A,"1,421",38,571,"2,030"
Westport,-,B,"1,564",26,803,"2,393"
Westport,-,C,"1,347",40,530,"1,917"
Westport,-,D,"1,297",2,528,"1,827"
Westport,-,E,"1,648",23,788,"2,459"
Yarmouth,-,1,"1,718",10,700,"2,428"
Yarmouth,-,2,"1,703",7,707,"2,417"
Yarmouth,-,3,"1,367",19,490,"1,876"
Yarmouth,-,4,"1,548",7,593,"2,148"
Yarmouth,-,5,"1,395",10,599,"2,004"
Yarmouth,-,6,"1,395",20,544,"1,959"
Yarmouth,-,7,"1,831",17,882,"2,730"
TOTALS,,,"332,445","5,251","143,222","480,918"
