City/Town,Ward,Pct,"Marilyn Petitto Devaney","All Others",Blanks,"Total Votes Cast"
Newton,1,2,"1,163",17,348,"1,528"
Newton,1,3,"1,262",18,354,"1,634"
Newton,1,4,"1,111",27,471,"1,609"
Newton,2,1,"1,160",35,466,"1,661"
Newton,2,2,826,13,304,"1,143"
Newton,2,3,"1,300",22,516,"1,838"
Newton,2,4,"1,234",25,547,"1,806"
Newton,3,1,"1,228",23,492,"1,743"
Newton,3,2,"1,270",15,454,"1,739"
Newton,3,3,"1,217",31,469,"1,717"
Newton,3,4,"1,189",24,492,"1,705"
Newton,4,1,"1,135",19,465,"1,619"
Newton,4,2,"1,016",23,395,"1,434"
Newton,4,3,788,3,302,"1,093"
Newton,4,4,"1,068",17,483,"1,568"
Newton,5,1,"1,114",33,396,"1,543"
Newton,5,2,"1,198",16,404,"1,618"
Newton,5,3,"1,371",17,563,"1,951"
Newton,5,4,"1,281",13,563,"1,857"
Newton,6,1,"1,049",17,478,"1,544"
Newton,6,2,"1,175",31,433,"1,639"
Newton,6,3,"1,264",26,476,"1,766"
Newton,6,4,"1,351",25,536,"1,912"
Newton,7,1,"1,036",21,427,"1,484"
Newton,7,2,"1,342",23,535,"1,900"
Newton,7,3,396,14,125,535
Newton,7,4,592,5,245,842
Newton,8,1,"1,283",35,608,"1,926"
Newton,8,2,"1,229",27,535,"1,791"
Newton,8,3,"1,194",34,542,"1,770"
Newton,8,4,789,19,337,"1,145"
Northborough,-,3,"1,792",24,612,"2,428"
Shirley,-,1,"2,502",68,"1,147","3,717"
Southborough,-,1,"1,638",30,626,"2,294"
Southborough,-,2,"1,551",38,566,"2,155"
Southborough,-,3,"1,689",22,557,"2,268"
Stow,-,1,"1,824",28,705,"2,557"
Stow,-,2,"1,716",20,704,"2,440"
Sudbury,-,1,"1,320",27,493,"1,840"
Sudbury,-,1A,489,11,172,672
Sudbury,-,2,"1,698",34,577,"2,309"
Sudbury,-,3,"1,948",38,796,"2,782"
Sudbury,-,4,"1,885",34,652,"2,571"
Sudbury,-,5,"1,680",29,604,"2,313"
Waltham,1,1,"1,444",31,608,"2,083"
Waltham,1,2,"1,476",40,694,"2,210"
Waltham,2,1,"1,491",33,564,"2,088"
Waltham,2,2,"1,261",21,292,"1,574"
Waltham,3,1,"1,393",27,767,"2,187"
Waltham,3,2,"1,417",22,591,"2,030"
Waltham,4,1,"1,459",32,621,"2,112"
Waltham,4,2,350,10,131,491
Waltham,5,1,"1,317",31,472,"1,820"
Waltham,5,2,"1,306",20,333,"1,659"
Waltham,6,1,"1,228",34,354,"1,616"
Waltham,6,2,756,8,245,"1,009"
Waltham,7,1,"1,240",14,558,"1,812"
Waltham,7,2,448,8,168,624
Waltham,8,1,"1,258",19,288,"1,565"
Waltham,8,2,"1,261",21,354,"1,636"
Waltham,9,1,"1,096",17,231,"1,344"
Waltham,9,2,965,18,232,"1,215"
Watertown,-,1,"1,017",20,273,"1,310"
Watertown,-,2,"1,163",21,274,"1,458"
Watertown,-,3,"1,257",31,323,"1,611"
Watertown,-,4,"1,226",37,482,"1,745"
Watertown,-,5,"1,421",52,356,"1,829"
Watertown,-,6,"1,166",25,315,"1,506"
Watertown,-,7,"1,291",43,436,"1,770"
Watertown,-,8,"1,259",39,407,"1,705"
Watertown,-,9,"1,034",19,281,"1,334"
Watertown,-,10,"1,630",53,446,"2,129"
Watertown,-,11,"1,128",33,327,"1,488"
Watertown,-,12,"1,096",21,316,"1,433"
Wellesley,-,A,"1,598",21,639,"2,258"
Wellesley,-,C,"1,485",26,819,"2,330"
Wellesley,-,D,"1,710",23,735,"2,468"
Wellesley,-,E,"1,504",12,622,"2,138"
Wellesley,-,H,"1,534",14,712,"2,260"
Westborough,-,1,"1,214",1,359,"1,574"
Westborough,-,2,"1,310",19,359,"1,688"
Westborough,-,3,"1,635",37,423,"2,095"
Westborough,-,4,"2,099",23,633,"2,755"
Westborough,-,5,"1,950",20,616,"2,586"
Weston,-,1,"1,313",25,563,"1,901"
Weston,-,2,"1,172",34,511,"1,717"
Weston,-,3,"1,186",18,490,"1,694"
Weston,-,4,"1,252",37,539,"1,828"
Woburn,1,1,861,8,465,"1,334"
Woburn,1,2,"1,012",9,588,"1,609"
Woburn,2,1,969,8,558,"1,535"
Woburn,2,2,854,4,348,"1,206"
Woburn,3,1,918,9,601,"1,528"
Woburn,3,2,"1,127",13,760,"1,900"
Woburn,4,1,"1,098",7,713,"1,818"
Woburn,4,2,883,3,562,"1,448"
Woburn,5,1,"1,309",9,577,"1,895"
Woburn,5,2,"1,076",9,717,"1,802"
Woburn,6,1,751,3,357,"1,111"
Woburn,6,2,"1,045",3,657,"1,705"
Woburn,7,1,"1,063",10,839,"1,912"
Woburn,7,2,"1,027",8,773,"1,808"
TOTALS,,,"346,900","5,378","128,220","480,498"
