City/Town,Ward,Pct,"Mary E. Hurley","All Others",Blanks,"Total Votes Cast"
"New Marlborough",-,1,712,0,254,966
"New Salem",-,1,500,0,181,681
"N. Adams",1,1,"1,026",0,323,"1,349"
"N. Adams",2,2,911,0,255,"1,166"
"N. Adams",3,3,734,0,194,928
"N. Adams",4,4,997,0,387,"1,384"
"N. Adams",5,5,879,0,280,"1,159"
Northampton,1,A,915,1,185,"1,101"
Northampton,1,B,"1,239",3,280,"1,522"
Northampton,2,A,"1,064",8,218,"1,290"
Northampton,2,B,763,1,124,888
Northampton,3,A,"1,171",10,222,"1,403"
Northampton,3,B,"1,100",8,227,"1,335"
Northampton,4,A,872,3,132,"1,007"
Northampton,4,B,"1,026",13,200,"1,239"
Northampton,5,A,980,10,211,"1,201"
Northampton,5,B,"1,036",7,222,"1,265"
Northampton,6,A,"1,097",4,252,"1,353"
Northampton,6,B,"1,241",6,292,"1,539"
Northampton,7,A,"1,191",5,253,"1,449"
Northampton,7,B,"1,132",8,284,"1,424"
Northfield,-,1,"1,395",9,465,"1,869"
Orange,-,1,"1,321",43,508,"1,872"
Orange,-,2,"1,420",35,489,"1,944"
Otis,-,1,662,8,347,"1,017"
Pelham,-,1,798,2,130,930
Peru,-,1,368,2,165,535
Pittsfield,1,A,998,7,280,"1,285"
Pittsfield,1,B,"1,174",7,418,"1,599"
Pittsfield,2,A,733,4,183,920
Pittsfield,2,B,"1,279",9,395,"1,683"
Pittsfield,3,A,"1,359",13,458,"1,830"
Pittsfield,3,B,"1,404",8,505,"1,917"
Pittsfield,4,A,"1,393",8,455,"1,856"
Pittsfield,4,B,"1,535",3,601,"2,139"
Pittsfield,5,A,"1,172",7,367,"1,546"
Pittsfield,5,B,"1,270",10,438,"1,718"
Pittsfield,6,A,"1,260",4,380,"1,644"
Pittsfield,6,B,895,3,258,"1,156"
Pittsfield,7,A,806,6,243,"1,055"
Pittsfield,7,B,"1,240",8,430,"1,678"
Plainfield,-,1,346,4,96,446
Richmond,-,1,828,6,230,"1,064"
Rowe,-,1,180,0,89,269
Royalston,-,1,327,2,142,471
Royalston,-,2,196,3,117,316
Russell,-,1,598,5,326,929
Sandisfield,-,1,351,1,171,523
Savoy,-,1,297,0,130,427
Sheffield,-,1,"1,622",10,542,"2,174"
Shelburne,-,1,951,13,278,"1,242"
Shutesbury,-,1,"1,119",3,217,"1,339"
"S. Hadley",-,A,"1,623",50,412,"2,085"
"S. Hadley",-,B,"1,670",39,506,"2,215"
"S. Hadley",-,C,"1,613",41,579,"2,233"
"S. Hadley",-,D,993,16,298,"1,307"
"S. Hadley",-,E,"1,667",48,547,"2,262"
Southampton,-,1,"2,787",123,"1,311","4,221"
Southwick,-,1,"1,205",49,892,"2,146"
Southwick,-,2,"1,086",35,600,"1,721"
Southwick,-,3,"1,199",40,662,"1,901"
Springfield,1,A,405,26,109,540
Springfield,1,B,578,17,135,730
Springfield,1,C,397,20,101,518
Springfield,1,D,496,14,109,619
Springfield,1,E,597,12,116,725
Springfield,1,F,494,12,123,629
Springfield,1,G,573,15,105,693
Springfield,1,H,579,16,105,700
Springfield,2,A,594,9,104,707
Springfield,2,B,824,17,214,"1,055"
Springfield,2,C,616,23,125,764
Springfield,2,D,850,28,146,"1,024"
Springfield,2,E,810,29,177,"1,016"
Springfield,2,F,922,15,179,"1,116"
Springfield,2,G,950,33,230,"1,213"
Springfield,2,H,820,17,202,"1,039"
Springfield,3,A,457,6,92,555
Springfield,3,B,418,9,98,525
Springfield,3,C,363,10,58,431
Springfield,3,D,501,20,91,612
Springfield,3,E,416,19,59,494
Springfield,3,F,455,12,109,576
Springfield,3,G,402,9,74,485
Springfield,3,H,537,12,123,672
Springfield,4,A,683,17,134,834
Springfield,4,B,674,15,117,806
Springfield,4,C,517,15,71,603
Springfield,4,D,578,10,86,674
Springfield,4,E,529,10,85,624
Springfield,4,F,193,6,30,229
Springfield,4,G,662,11,105,778
Springfield,4,H,606,5,89,700
Springfield,5,A,639,17,109,765
Springfield,5,B,888,33,125,"1,046"
Springfield,5,C,728,30,149,907
Springfield,5,D,"1,000",33,262,"1,295"
Springfield,5,E,"1,045",20,183,"1,248"
Springfield,5,F,931,16,206,"1,153"
Springfield,5,G,"1,070",36,308,"1,414"
Springfield,5,H,719,20,219,958
Springfield,6,A,592,19,108,719
Springfield,6,B,835,23,246,"1,104"
Springfield,6,C,733,24,214,971
Springfield,6,D,973,36,289,"1,298"
Springfield,6,E,572,23,140,735
Springfield,6,F,695,21,86,802
Springfield,6,G,771,17,152,940
Springfield,6,H,865,28,186,"1,079"
Springfield,7,A,935,35,210,"1,180"
Springfield,7,B,"1,110",30,289,"1,429"
Springfield,7,C,"1,064",25,281,"1,370"
Springfield,7,D,930,31,280,"1,241"
Springfield,7,E,687,17,158,862
Springfield,7,F,"1,029",24,283,"1,336"
Springfield,7,G,"1,077",40,330,"1,447"
Springfield,7,H,465,12,136,613
Springfield,8,A,822,25,195,"1,042"
Springfield,8,B,854,23,170,"1,047"
Springfield,8,C,786,16,155,957
Springfield,8,D,481,13,100,594
Springfield,8,E,581,15,114,710
Springfield,8,F,821,29,189,"1,039"
Springfield,8,G,810,23,201,"1,034"
Springfield,8,H,801,17,142,960
Stockbridge,-,1,"1,027",5,338,"1,370"
Sunderland,-,1,"1,717",7,337,"2,061"
Tolland,-,1,214,1,113,328
Tyringham,-,1,242,1,74,317
Warwick,-,1,407,1,118,526
Washington,-,1,255,3,95,353
Wendell,-,1,479,0,137,616
"W. Springfield",-,1,658,4,264,926
"W. Springfield",-,2,900,3,307,"1,210"
"W. Springfield",-,3,"1,085",7,447,"1,539"
"W. Springfield",-,4,"1,221",8,506,"1,735"
"W. Springfield",-,5,"1,491",21,791,"2,303"
"W. Springfield",-,6,"1,363",15,729,"2,107"
"W. Springfield",-,7,"1,411",19,818,"2,248"
"W. Springfield",-,8,"1,095",10,428,"1,533"
"W. Stockbridge",-,1,754,3,218,975
Westfield,1,A,"1,370",22,743,"2,135"
Westfield,1,B,"1,253",21,639,"1,913"
Westfield,2,A,837,8,282,"1,127"
Westfield,2,B,"1,039",14,477,"1,530"
Westfield,3,A,773,20,309,"1,102"
Westfield,3,B,"1,221",20,489,"1,730"
Westfield,4,A,443,6,238,687
Westfield,4,B,"1,460",23,829,"2,312"
Westfield,5,A,"1,590",17,732,"2,339"
Westfield,5,B,"1,448",21,779,"2,248"
Westfield,6,A,"1,279",31,705,"2,015"
Westfield,6,B,"1,091",20,535,"1,646"
Westhampton,-,1,891,4,304,"1,199"
Whately,-,1,895,2,219,"1,116"
Wilbraham,-,A,"1,736",14,672,"2,422"
Wilbraham,-,B,"1,691",16,604,"2,311"
Wilbraham,-,C,"1,584",16,720,"2,320"
Wilbraham,-,D,"1,697",22,680,"2,399"
Williamsburg,-,1,"1,465",8,362,"1,835"
Williamstown,-,1,"1,210",14,327,"1,551"
Williamstown,-,2,511,4,127,642
Williamstown,-,3,"1,286",11,287,"1,584"
Windsor,-,1,413,0,168,581
Worthington,-,1,638,1,237,876
TOTALS,,,"301,548","5,092","96,339","402,979"
