City/Town,Ward,Pct,"Suzanne M. Bump","Helen Brady","Daniel Fishman","Edward J. Stamas","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Libertarian,Green-rainbow
Framingham,-,8,"1,125",358,69,32,6,72,"1,662"
Framingham,-,9,800,254,50,28,1,50,"1,183"
Framingham,-,10,615,158,29,16,1,42,861
Framingham,-,11,"1,279",532,82,39,1,104,"2,037"
Framingham,-,12,613,208,33,20,2,44,920
Framingham,-,13,762,253,57,33,1,45,"1,151"
Framingham,-,14,489,147,32,20,0,31,719
Framingham,-,15,625,163,28,28,2,34,880
Framingham,-,16,304,87,14,9,0,6,420
Framingham,-,17,366,36,6,8,0,10,426
Framingham,-,18,543,160,24,16,0,23,766
Franklin,-,1,951,591,80,15,2,141,"1,780"
Franklin,-,2,978,648,62,35,2,108,"1,833"
Franklin,-,3,995,602,69,34,0,110,"1,810"
Franklin,-,4,"1,006",832,74,29,3,135,"2,079"
Franklin,-,5,"1,128",680,79,35,2,120,"2,044"
Franklin,-,6,933,529,64,31,1,98,"1,656"
Franklin,-,7,"1,067",684,77,30,0,139,"1,997"
Franklin,-,8,993,735,76,25,0,139,"1,968"
Freetown,-,1,574,564,58,19,2,57,"1,274"
Freetown,-,2,636,555,54,34,1,83,"1,363"
Freetown,-,3,584,580,49,21,1,81,"1,316"
Gardner,1,A,451,360,39,9,0,43,902
Gardner,1,B,164,149,14,7,0,18,352
Gardner,2,A,366,305,27,20,0,40,758
Gardner,2,B,419,367,39,17,0,52,894
Gardner,3,A,329,208,36,18,0,24,615
Gardner,3,B,425,301,31,29,0,41,827
Gardner,4,A,380,235,32,29,0,37,713
Gardner,4,B,223,143,21,24,0,18,429
Gardner,5,A,313,208,28,17,0,28,594
Gardner,5,B,403,384,38,22,0,45,892
Georgetown,-,1,715,642,79,26,0,86,"1,548"
Georgetown,-,2,660,523,89,22,2,76,"1,372"
Georgetown,-,3,626,502,60,13,0,90,"1,291"
Gill,-,1,511,179,24,43,0,40,797
Gloucester,1,1,973,455,71,40,0,120,"1,659"
Gloucester,1,2,735,359,103,29,2,79,"1,307"
Gloucester,2,1,552,241,64,35,1,66,959
Gloucester,2,2,612,228,57,31,0,61,989
Gloucester,3,1,631,331,77,29,2,66,"1,136"
Gloucester,3,2,713,344,79,26,0,82,"1,244"
Gloucester,4,1,780,424,98,25,1,101,"1,429"
Gloucester,4,2,"1,127",415,121,45,0,99,"1,807"
Gloucester,5,1,939,540,98,34,0,110,"1,721"
Gloucester,5,2,850,548,96,45,1,111,"1,651"
Goshen,-,1,339,146,16,28,0,20,549
Gosnold,-,1,29,22,0,2,0,4,57
Grafton,-,1,892,584,79,26,0,84,"1,665"
Grafton,-,2,924,596,72,51,0,101,"1,744"
Grafton,-,3,939,619,67,37,0,82,"1,744"
Grafton,-,4,757,493,81,23,0,78,"1,432"
Grafton,-,5,"1,038",620,68,34,0,131,"1,891"
Granby,-,1,877,539,54,77,0,111,"1,658"
Granby,-,2,666,553,53,68,0,91,"1,431"
Granville,-,1,315,393,21,23,0,34,786
"Great Barrington",-,A,655,108,25,26,0,53,867
"Great Barrington",-,B,651,114,23,47,0,34,869
"Great Barrington",-,C,502,58,11,33,0,21,625
"Great Barrington",-,D,652,126,14,38,1,45,876
Greenfield,-,1,510,188,15,51,0,45,809
Greenfield,-,2,677,248,23,51,0,59,"1,058"
Greenfield,-,3,565,175,28,61,0,45,874
Greenfield,-,4,642,200,24,51,0,37,954
Greenfield,-,5,608,140,21,86,0,37,892
Greenfield,-,6,598,112,24,113,0,35,882
Greenfield,-,7,390,186,19,50,0,26,671
Greenfield,-,8,437,109,20,66,0,31,663
Greenfield,-,9,378,151,16,39,0,29,613
Groton,-,1,"1,186",612,101,30,0,89,"2,018"
Groton,-,2,"1,023",654,81,56,0,95,"1,909"
Groton,-,3,"1,058",622,69,45,0,116,"1,910"
Groveland,-,1,819,679,86,24,0,115,"1,723"
Groveland,-,2,794,743,97,20,1,114,"1,769"
Hadley,-,1,"1,793",608,49,177,2,152,"2,781"
Halifax,-,1,843,876,61,30,0,110,"1,920"
Halifax,-,2,842,737,57,26,1,112,"1,775"
Hamilton,-,1,802,505,116,39,1,74,"1,537"
Hamilton,-,2,755,526,102,19,0,74,"1,476"
Hamilton,-,3,583,357,70,17,0,79,"1,106"
Hampden,-,1,"1,218","1,041",96,65,0,108,"2,528"
Hancock,-,1,194,120,15,12,0,17,358
Hanover,-,1,852,875,50,15,0,117,"1,909"
Hanover,-,2,881,845,54,26,1,127,"1,934"
Hanover,-,3,891,808,55,12,0,107,"1,873"
Hanover,-,4,825,858,62,19,1,118,"1,883"
Hanson,-,1,827,789,54,19,0,83,"1,772"
Hanson,-,2,833,804,67,17,1,102,"1,824"
Hanson,-,3,770,679,47,24,0,88,"1,608"
Hardwick,-,1,520,467,43,51,0,60,"1,141"
Harvard,-,1,"2,037",896,198,77,1,163,"3,372"
Harwich,-,1,"1,031",777,66,32,1,76,"1,983"
Harwich,-,2,"1,040",743,52,32,1,86,"1,954"
Harwich,-,3,"1,013",748,52,46,2,72,"1,933"
Harwich,-,4,957,568,62,28,1,80,"1,696"
Hatfield,-,1,"1,185",431,33,94,0,86,"1,829"
Haverhill,1,1,406,164,28,13,1,29,641
Haverhill,1,2,624,271,47,25,2,51,"1,020"
Haverhill,1,3,467,283,40,16,1,47,854
Haverhill,2,1,555,283,48,29,0,48,963
Haverhill,2,2,529,418,43,16,0,62,"1,068"
Haverhill,2,3,405,161,30,23,1,29,649
