City/Town,Ward,Pct,"Mary E. Hurley","Mike Franco","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Springfield,7,G,735,297,3,67,"1,102"
Springfield,7,H,340,113,1,41,495
Springfield,8,A,460,153,3,38,654
Springfield,8,B,486,128,1,37,652
Springfield,8,C,509,83,5,38,635
Springfield,8,D,274,83,3,19,379
Springfield,8,E,290,83,2,26,401
Springfield,8,F,469,155,3,39,666
Springfield,8,G,535,145,2,60,742
Springfield,8,H,459,106,2,30,597
Stockbridge,-,1,815,163,0,152,"1,130"
Sunderland,-,1,"1,193",292,2,111,"1,598"
Tolland,-,1,118,109,0,34,261
Tyringham,-,1,194,30,0,37,261
Warwick,-,1,280,103,0,35,418
Washington,-,1,215,62,0,23,300
Wendell,-,1,410,73,0,26,509
"W. Springfield",-,1,318,145,0,42,505
"W. Springfield",-,2,457,203,0,53,713
"W. Springfield",-,3,631,328,0,108,"1,067"
"W. Springfield",-,4,759,366,0,121,"1,246"
"W. Springfield",-,5,"1,039",546,1,197,"1,783"
"W. Springfield",-,6,904,516,1,180,"1,601"
"W. Springfield",-,7,956,554,1,194,"1,705"
"W. Springfield",-,8,590,296,0,101,987
"W. Stockbridge",-,1,635,95,0,83,813
Westfield,1,A,868,554,0,178,"1,600"
Westfield,1,B,777,478,4,152,"1,411"
Westfield,2,A,423,202,0,83,708
Westfield,2,B,615,310,0,127,"1,052"
Westfield,3,A,409,230,0,69,708
Westfield,3,B,730,417,4,121,"1,272"
Westfield,4,A,338,194,0,78,610
Westfield,4,B,994,589,4,206,"1,793"
Westfield,5,A,908,596,2,195,"1,701"
Westfield,5,B,885,570,1,185,"1,641"
Westfield,6,A,752,528,0,165,"1,445"
Westfield,6,B,596,416,1,132,"1,145"
Westhampton,-,1,660,260,0,87,"1,007"
Whately,-,1,656,187,0,54,897
Wilbraham,-,A,"1,075",558,0,145,"1,778"
Wilbraham,-,B,"1,096",412,0,225,"1,733"
Wilbraham,-,C,983,580,3,147,"1,713"
Wilbraham,-,D,"1,165",559,2,157,"1,883"
Williamsburg,-,1,"1,164",258,3,132,"1,557"
Williamstown,-,1,"1,066",157,2,143,"1,368"
Williamstown,-,2,454,28,0,46,528
Williamstown,-,3,"1,046",145,2,115,"1,308"
Windsor,-,1,287,103,0,67,457
Worthington,-,1,459,162,0,66,687
TOTALS,,,"206,791","70,295",662,"26,351","304,099"
