City/Town,Ward,Pct,"Joseph C. Ferreira","Thomas F. Keyes","All Others",Blanks,"Total Votes Cast"
Swansea,-,2,783,451,2,61,"1,297"
Swansea,-,3,744,458,0,43,"1,245"
Swansea,-,4,768,539,1,58,"1,366"
Swansea,-,5,706,580,1,67,"1,354"
Taunton,1,A,583,270,1,96,950
Taunton,1,B,712,478,0,144,"1,334"
Taunton,2,A,412,151,1,36,600
Taunton,2,B,523,243,0,55,821
Taunton,3,A,647,286,1,114,"1,048"
Taunton,3,B,779,435,1,110,"1,325"
Taunton,4,A,706,505,0,106,"1,317"
Taunton,4,B,717,390,1,121,"1,229"
Taunton,5,A,561,267,3,70,901
Taunton,5,B,584,214,3,68,869
Taunton,6,A,471,187,0,64,722
Taunton,6,B,730,308,2,80,"1,120"
Taunton,7,A,789,441,0,158,"1,388"
Taunton,7,B,755,543,1,162,"1,461"
Taunton,8,A,788,469,1,144,"1,402"
Taunton,8,B,831,570,4,158,"1,563"
Tisbury,-,1,"1,741",440,0,137,"2,318"
Truro,-,1,"1,083",308,0,62,"1,453"
Wareham,-,1,808,644,3,88,"1,543"
Wareham,-,2,876,636,2,90,"1,604"
Wareham,-,3,859,701,3,89,"1,652"
Wareham,-,4,758,695,2,78,"1,533"
Wareham,-,5,866,765,3,92,"1,726"
Wareham,-,6,719,653,2,71,"1,445"
Wellfleet,-,1,"1,526",427,3,70,"2,026"
"W. Tisbury",-,1,"1,511",299,0,110,"1,920"
Westport,-,A,719,520,0,81,"1,320"
Westport,-,B,981,691,0,115,"1,787"
Westport,-,C,677,461,0,71,"1,209"
Westport,-,D,719,437,0,81,"1,237"
Westport,-,E,967,623,0,118,"1,708"
Yarmouth,-,1,"1,086",822,0,91,"1,999"
Yarmouth,-,2,"1,039",810,1,89,"1,939"
Yarmouth,-,3,752,551,0,45,"1,348"
Yarmouth,-,4,879,730,1,71,"1,681"
Yarmouth,-,5,782,650,0,54,"1,486"
Yarmouth,-,6,811,644,0,61,"1,516"
Yarmouth,-,7,"1,150","1,028",0,129,"2,307"
TOTALS,,,"196,585","135,040",150,"20,520","352,295"
