City/Town,Ward,Pct,"Terrence W. Kennedy","Vincent Lawrence Dixon","All Others",Blanks,"Total Votes Cast"
Stoneham,-,6,"1,012",343,0,280,"1,635"
Stoneham,-,7,963,309,0,234,"1,506"
Swampscott,-,1,806,213,1,194,"1,214"
Swampscott,-,2,"1,027",165,2,193,"1,387"
Swampscott,-,3,867,145,1,135,"1,148"
Swampscott,-,4,"1,005",196,0,204,"1,405"
Swampscott,-,5,879,195,0,217,"1,291"
Swampscott,-,6,"1,023",210,2,213,"1,448"
Wakefield,-,1,"1,248",417,1,329,"1,995"
Wakefield,-,2,"1,042",297,12,245,"1,596"
Wakefield,-,3,"1,133",363,4,311,"1,811"
Wakefield,-,4,"1,146",355,10,266,"1,777"
Wakefield,-,5,"1,269",366,8,316,"1,959"
Wakefield,-,6,"1,286",350,5,273,"1,914"
Wakefield,-,7,"1,190",338,2,321,"1,851"
Winchester,-,1,911,322,0,195,"1,428"
Winchester,-,2,788,298,0,167,"1,253"
Winchester,-,3,"1,009",347,0,246,"1,602"
Winchester,-,4,897,383,0,261,"1,541"
Winchester,-,5,825,424,0,259,"1,508"
Winchester,-,6,753,401,0,225,"1,379"
Winchester,-,7,832,424,0,279,"1,535"
Winchester,-,8,649,267,0,157,"1,073"
Winthrop,-,1,864,253,2,245,"1,364"
Winthrop,-,2,810,214,3,233,"1,260"
Winthrop,-,3,898,234,4,156,"1,292"
Winthrop,-,4,735,224,4,179,"1,142"
Winthrop,-,5,907,215,7,257,"1,386"
Winthrop,-,6,864,214,8,173,"1,259"
TOTALS,,,"248,176","40,786","1,150","44,644","334,756"
