City/Town,Ward,Pct,"Seth W. Moulton","All Others",Blanks,"Total Votes Cast"
Reading,-,7,"1,492",0,621,"2,113"
Reading,-,8,"1,393",0,621,"2,014"
Rockport,-,1,"1,039",11,246,"1,296"
Rockport,-,2,"1,424",23,341,"1,788"
Rockport,-,3,"1,716",38,394,"2,148"
Rowley,-,1,"2,868",121,"1,131","4,120"
Salem,1,1,"1,578",9,399,"1,986"
Salem,1,2,708,5,183,896
Salem,2,1,"1,591",4,312,"1,907"
Salem,2,2,"1,707",9,357,"2,073"
Salem,3,1,"1,239",20,289,"1,548"
Salem,3,2,"1,271",14,374,"1,659"
Salem,4,1,"1,172",9,383,"1,564"
Salem,4,2,"1,342",22,445,"1,809"
Salem,5,1,"1,479",58,270,"1,807"
Salem,5,2,"1,251",18,250,"1,519"
Salem,6,1,"1,332",13,326,"1,671"
Salem,6,2,"1,580",11,306,"1,897"
Salem,7,1,"1,045",6,261,"1,312"
Salem,7,2,"1,382",8,366,"1,756"
Salisbury,-,1,"1,361",12,535,"1,908"
Salisbury,-,2,"1,303",14,510,"1,827"
Salisbury,-,3,"1,245",15,562,"1,822"
Saugus,-,1,907,10,488,"1,405"
Saugus,-,2,945,5,458,"1,408"
Saugus,-,3,949,1,534,"1,484"
Saugus,-,4,988,1,575,"1,564"
Saugus,-,5,"1,018",8,682,"1,708"
Saugus,-,6,892,5,571,"1,468"
Saugus,-,7,913,0,696,"1,609"
Saugus,-,8,956,0,561,"1,517"
Saugus,-,9,"1,022",3,657,"1,682"
Saugus,-,10,843,4,482,"1,329"
Swampscott,-,1,"1,136",52,298,"1,486"
Swampscott,-,2,"1,080",36,297,"1,413"
Swampscott,-,3,"1,232",23,240,"1,495"
Swampscott,-,4,"1,289",39,309,"1,637"
Swampscott,-,5,"1,288",32,338,"1,658"
Swampscott,-,6,"1,220",34,322,"1,576"
Tewksbury,-,1,"1,385",64,595,"2,044"
Tewksbury,-,2,"1,744",70,644,"2,458"
Tewksbury,-,3,"1,552",65,700,"2,317"
Tewksbury,-,4,"1,560",58,596,"2,214"
Tewksbury,-,5,"1,459",62,610,"2,131"
Tewksbury,-,5A,271,15,57,343
Tewksbury,-,6,"1,529",85,689,"2,303"
Tewksbury,-,7,"1,766",68,757,"2,591"
Tewksbury,-,8,"1,662",70,628,"2,360"
Topsfield,-,1,"1,612",48,602,"2,262"
Topsfield,-,2,"1,463",66,537,"2,066"
Wakefield,-,1,"1,479",40,745,"2,264"
Wakefield,-,2,"1,534",34,654,"2,222"
Wakefield,-,3,"1,655",47,708,"2,410"
Wakefield,-,4,"1,664",36,665,"2,365"
Wakefield,-,5,"1,763",40,665,"2,468"
Wakefield,-,6,"1,723",48,623,"2,394"
Wakefield,-,7,"1,583",45,727,"2,355"
Wenham,-,1,724,7,216,947
Wenham,-,1A,"1,326",30,325,"1,681"
"W. Newbury",-,1,"2,522",30,747,"3,299"
Wilmington,-,1,"1,751",26,660,"2,437"
Wilmington,-,2,"1,646",22,728,"2,396"
Wilmington,-,3,"1,593",30,691,"2,314"
Wilmington,-,4,"1,739",24,726,"2,489"
Wilmington,-,5,"1,620",15,630,"2,265"
Wilmington,-,6,"1,684",38,777,"2,499"
TOTALS,,,"321,186","7,191","110,196","438,573"
