City/Town,Ward,Pct,"Richard E. Neal","Nadia Donya Milleron","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Sturbridge,-,1,"1,200",672,10,155,"2,037"
Sturbridge,-,2,"1,211",691,8,174,"2,084"
Sturbridge,-,3,"1,112",657,9,147,"1,925"
Tolland,-,1,143,171,0,17,331
Tyringham,-,1,204,91,1,30,326
Wales,-,1,518,549,0,75,"1,142"
Ware,-,A,773,542,1,113,"1,429"
Ware,-,B,836,659,2,156,"1,653"
Ware,-,C,"1,021",854,2,170,"2,047"
Warren,-,A,984,846,3,186,"2,019"
Warren,-,B,326,261,1,73,661
Washington,-,1,211,121,0,28,360
Webster,-,1A,242,197,4,44,487
Webster,-,2,600,385,4,80,"1,069"
Webster,-,5,994,636,10,171,"1,811"
"W. Brookfield",-,1,"1,275",867,8,212,"2,362"
"W. Springfield",-,1,428,268,2,75,773
"W. Springfield",-,2,585,372,3,95,"1,055"
"W. Springfield",-,3,775,561,1,112,"1,449"
"W. Springfield",-,4,932,593,3,105,"1,633"
"W. Springfield",-,5,"1,187",880,4,145,"2,216"
"W. Springfield",-,6,"1,084",812,5,154,"2,055"
"W. Springfield",-,7,"1,083",853,6,176,"2,118"
"W. Springfield",-,8,888,592,1,101,"1,582"
"W. Stockbridge",-,1,618,265,0,58,941
Westfield,1,A,"1,110",891,1,140,"2,142"
Westfield,1,B,978,784,7,114,"1,883"
Westfield,2,A,562,394,2,82,"1,040"
Westfield,2,A1,40,28,1,1,70
Westfield,2,B,773,576,3,91,"1,443"
Westfield,3,A,621,480,2,88,"1,191"
Westfield,3,B,953,689,6,110,"1,758"
Westfield,4,A,365,375,2,67,809
Westfield,4,B,"1,085",918,3,132,"2,138"
Westfield,5,A,"1,148",903,6,151,"2,208"
Westfield,5,B,"1,101",871,6,158,"2,136"
Westfield,6,A,934,821,2,131,"1,888"
Westfield,6,B,775,616,5,112,"1,508"
Westfield,6,B1,33,44,0,5,82
Wilbraham,-,A,"1,359",837,8,142,"2,346"
Wilbraham,-,B,"1,297",763,10,150,"2,220"
Wilbraham,-,C,"1,253",920,7,137,"2,317"
Wilbraham,-,D,"1,365",896,14,147,"2,422"
Williamstown,-,1,"1,156",267,2,87,"1,512"
Williamstown,-,2,324,80,2,33,439
Williamstown,-,3,"1,268",326,0,97,"1,691"
Windsor,-,1,325,200,0,36,561
Worthington,-,1,506,319,1,52,878
TOTALS,,,"223,325","133,552","1,181","26,947","385,005"
