City/Town,Ward,Pct,"James P. McGovern","Cornelius Shea","All Others",Blanks,"Total Votes Cast"
Holden,-,4,"1,370",707,0,124,"2,201"
Holden,-,5,"1,316",699,0,91,"2,106"
Holden,-,6,"1,326",723,0,76,"2,125"
Holliston,-,1,"1,644",685,4,144,"2,477"
Holliston,-,2,"1,610",560,8,154,"2,332"
Holliston,-,3,"1,441",540,4,148,"2,133"
Holliston,-,4,"1,653",650,7,145,"2,455"
Hopkinton,-,1,"1,192",450,2,94,"1,738"
Hopkinton,-,2,"1,388",598,5,140,"2,131"
Hopkinton,-,3,"1,332",599,6,153,"2,090"
Hopkinton,-,4,"1,471",636,2,144,"2,253"
Hopkinton,-,5,"1,513",591,2,142,"2,248"
Hubbardston,-,1,"1,418","1,390",5,164,"2,977"
Leicester,-,1,855,715,6,80,"1,656"
Leicester,-,2,882,592,3,77,"1,554"
Leicester,-,3,863,670,0,84,"1,617"
Leicester,-,4,839,598,1,83,"1,521"
Leominster,1,A,972,586,1,160,"1,719"
Leominster,1,B,969,521,0,151,"1,641"
Leominster,1,C,760,416,0,113,"1,289"
Leominster,2,A,643,323,0,88,"1,054"
Leominster,2,B,758,418,0,122,"1,298"
Leominster,2,C,522,304,0,80,906
Leominster,3,A,817,410,2,125,"1,354"
Leominster,3,B,"1,039",529,2,154,"1,724"
Leominster,3,C,880,552,2,142,"1,576"
Leominster,4,A,999,587,1,173,"1,760"
Leominster,4,B,881,589,0,151,"1,621"
Leominster,4,C,762,419,0,134,"1,315"
Leominster,5,A,744,395,1,110,"1,250"
Leominster,5,B,907,479,0,119,"1,505"
Leominster,5,C,633,343,1,62,"1,039"
Leverett,-,1,"1,116",152,3,39,"1,310"
Leyden,-,1,333,147,0,16,496
Medway,-,1,"1,176",633,5,162,"1,976"
Medway,-,2,"1,390",673,7,168,"2,238"
Medway,-,3,"1,312",725,0,154,"2,191"
Medway,-,4,"1,298",648,0,184,"2,130"
Millbury,-,1,"1,121",715,2,110,"1,948"
Millbury,-,2,"1,259",821,1,128,"2,209"
Millbury,-,3,"1,228",751,2,102,"2,083"
Millbury,-,4,"1,134",689,1,94,"1,918"
Montague,-,1,832,167,2,34,"1,035"
Montague,-,2,534,252,1,52,839
Montague,-,3,567,239,1,47,854
Montague,-,4,572,177,2,45,796
Montague,-,5,456,116,1,38,611
Montague,-,6,473,186,2,46,707
"New Salem",-,1,454,218,0,42,714
Northampton,1,A,969,130,0,54,"1,153"
Northampton,1,B,"1,172",102,3,40,"1,317"
Northampton,2,A,907,47,2,42,998
Northampton,2,B,737,56,2,29,824
Northampton,3,A,"1,058",140,6,62,"1,266"
Northampton,3,B,"1,110",87,1,47,"1,245"
Northampton,4,A,872,68,1,50,991
Northampton,4,B,"1,159",115,0,53,"1,327"
Northampton,5,A,951,121,1,51,"1,124"
Northampton,5,B,"1,162",109,0,44,"1,315"
Northampton,6,A,"1,197",276,0,75,"1,548"
Northampton,6,B,"1,264",196,1,58,"1,519"
Northampton,7,A,"1,060",139,1,56,"1,256"
Northampton,7,B,"1,103",149,1,79,"1,332"
Northborough,-,1,"1,516",658,8,114,"2,296"
Northborough,-,2,"1,494",652,4,81,"2,231"
Northborough,-,3,"1,586",665,8,102,"2,361"
Northborough,-,4,"1,499",728,9,116,"2,352"
Northbridge,-,1,"1,202",702,4,113,"2,021"
Northbridge,-,2,908,663,8,103,"1,682"
Northbridge,-,3,849,603,2,95,"1,549"
Northbridge,-,4,"1,111",845,3,142,"2,101"
Northbridge,-,5,993,804,4,122,"1,923"
Northfield,-,1,"1,239",572,3,140,"1,954"
Oakham,-,1,617,564,0,85,"1,266"
Orange,-,1,"1,007",818,4,130,"1,959"
Orange,-,2,"1,119",732,7,127,"1,985"
Paxton,-,1,"1,716","1,137",0,144,"2,997"
Pelham,-,1,739,94,0,28,861
Petersham,-,1,548,301,0,52,901
Phillipston,-,1,495,604,0,71,"1,170"
Princeton,-,1,"1,551",850,8,150,"2,559"
Royalston,-,1,429,340,1,44,814
Rutland,-,1,"1,113",854,1,105,"2,073"
Rutland,-,2,981,725,5,86,"1,797"
Rutland,-,3,"1,224",761,4,110,"2,099"
Shelburne,-,1,928,247,1,60,"1,236"
Shrewsbury,-,1,"1,365",865,1,106,"2,337"
Shrewsbury,-,2,"1,219",654,1,109,"1,983"
Shrewsbury,-,3,972,524,2,98,"1,596"
Shrewsbury,-,4,"1,312",794,0,97,"2,203"
Shrewsbury,-,5,"1,218",582,1,80,"1,881"
Shrewsbury,-,6,"1,292",647,3,113,"2,055"
Shrewsbury,-,7,"1,398",774,4,103,"2,279"
Shrewsbury,-,8,"1,473",881,2,124,"2,480"
Shrewsbury,-,9,965,462,0,61,"1,488"
Shrewsbury,-,10,"1,259",589,3,95,"1,946"
Shutesbury,-,1,"1,065",153,1,45,"1,264"
Southborough,-,1,"1,411",554,6,138,"2,109"
Southborough,-,2,"1,336",601,3,109,"2,049"
Southborough,-,3,"1,386",570,3,129,"2,088"
Sterling,-,1,"1,500","1,068",4,166,"2,738"
Sterling,-,2,"1,599","1,067",2,182,"2,850"
Sunderland,-,1,"1,478",329,4,84,"1,895"
Sutton,-,1,"1,185",816,3,145,"2,149"
Sutton,-,2,"1,071",888,3,151,"2,113"
Sutton,-,3,"1,188",778,2,137,"2,105"
Templeton,-,A,812,831,10,110,"1,763"
Templeton,-,B,706,687,5,109,"1,507"
Templeton,-,C,694,591,4,80,"1,369"
Upton,-,1,"1,137",607,4,122,"1,870"
Upton,-,2,"1,122",678,3,118,"1,921"
Upton,-,3,958,614,2,114,"1,688"
Uxbridge,-,1,"1,154",984,3,147,"2,288"
Uxbridge,-,1A,77,41,1,5,124
Uxbridge,-,2,"1,072",740,9,140,"1,961"
Uxbridge,-,3,"1,180",953,6,161,"2,300"
Uxbridge,-,4,"1,263",917,7,178,"2,365"
Warwick,-,1,345,135,1,30,511
Webster,-,1,515,369,4,48,936
Webster,-,3,846,574,1,94,"1,515"
Webster,-,4,"1,235","1,021",4,135,"2,395"
Wendell,-,1,452,114,0,39,605
"W. Boylston",-,1,"1,281",679,5,108,"2,073"
"W. Boylston",-,2,"1,573",907,10,120,"2,610"
Westborough,-,1,"1,046",297,1,67,"1,411"
Westborough,-,2,946,359,0,57,"1,362"
Westborough,-,3,"1,048",418,2,91,"1,559"
Westborough,-,4,"1,034",375,6,73,"1,488"
Westborough,-,5,"1,609",578,1,85,"2,273"
Westborough,-,6,"1,682",604,9,75,"2,370"
Westhampton,-,1,807,374,1,66,"1,248"
Westminster,-,2A,239,203,1,39,482
Whately,-,1,767,280,0,47,"1,094"
Williamsburg,-,1,"1,409",326,0,98,"1,833"
Worcester,1,1,650,202,6,36,894
Worcester,1,2,"1,443",559,16,120,"2,138"
Worcester,1,3,776,301,6,48,"1,131"
Worcester,1,4,"1,355",403,6,104,"1,868"
Worcester,1,5,"1,003",448,11,80,"1,542"
Worcester,1,6,"1,407",580,7,115,"2,109"
Worcester,2,1,"1,287",450,8,90,"1,835"
Worcester,2,2,"1,032",408,4,65,"1,509"
Worcester,2,3,"1,073",427,8,79,"1,587"
Worcester,2,4,874,184,3,85,"1,146"
Worcester,2,5,674,189,11,80,954
Worcester,2,6,924,320,2,55,"1,301"
Worcester,2,6A,0,0,0,0,0
Worcester,3,1,470,152,5,50,677
Worcester,3,2,362,78,1,40,481
Worcester,3,3,928,382,6,90,"1,406"
Worcester,3,3A,0,0,0,0,0
Worcester,3,4,530,132,2,47,711
Worcester,3,5,838,264,9,86,"1,197"
Worcester,3,5A,0,0,0,0,0
Worcester,3,6,889,269,3,72,"1,233"
Worcester,4,1,371,105,4,52,532
Worcester,4,2,351,121,2,38,512
Worcester,4,2A,207,81,3,16,307
Worcester,4,2B,0,0,0,0,0
Worcester,4,3,514,93,1,39,647
Worcester,4,4,763,277,4,62,"1,106"
Worcester,4,5,832,297,4,90,"1,223"
Worcester,4,6,824,329,5,59,"1,217"
Worcester,5,1,524,144,7,53,728
Worcester,5,2,896,364,13,66,"1,339"
Worcester,5,3,"1,069",535,8,114,"1,726"
Worcester,5,4,"1,012",403,4,74,"1,493"
Worcester,5,5,967,427,6,79,"1,479"
Worcester,5,6,806,308,4,76,"1,194"
Worcester,6,1,351,86,1,33,471
Worcester,6,2,523,163,5,39,730
Worcester,6,3,452,160,4,42,658
Worcester,6,4,111,33,0,5,149
Worcester,6,5,610,262,5,66,943
Worcester,6,6,964,373,10,88,"1,435"
Worcester,7,1,941,295,13,79,"1,328"
Worcester,7,2,848,299,6,79,"1,232"
Worcester,7,3,637,201,2,64,904
Worcester,7,4,926,350,4,91,"1,371"
Worcester,7,5,598,303,4,57,962
Worcester,7,5A,219,73,1,16,309
Worcester,7,6,887,354,7,70,"1,318"
Worcester,8,1,405,134,4,59,602
Worcester,8,2,349,139,5,46,539
Worcester,8,3,261,47,5,26,339
Worcester,8,4,512,110,6,69,697
Worcester,8,5,487,157,3,42,689
Worcester,8,6,461,125,1,55,642
Worcester,9,1,754,223,9,64,"1,050"
Worcester,9,2,"1,198",366,2,119,"1,685"
Worcester,9,3,666,243,1,53,963
Worcester,9,4,"1,376",447,3,91,"1,917"
Worcester,9,5,"1,474",527,9,99,"2,109"
Worcester,9,6,"1,181",461,9,118,"1,769"
Worcester,10,1,478,135,2,44,659
Worcester,10,2,610,152,5,50,817
Worcester,10,3,556,108,6,84,754
Worcester,10,4,458,143,2,45,648
Worcester,10,4A,0,0,0,0,0
Worcester,10,5,453,136,8,68,665
Worcester,10,6,427,101,3,79,610
TOTALS,,,"251,441","114,065",822,"23,009","389,337"
