City/Town,Ward,Pct,"Joseph C. Ferreira","All Others",Blanks,"Total Votes Cast"
Dartmouth,-,7,"1,065",26,528,"1,619"
Dartmouth,-,8,"1,444",32,599,"2,075"
Dartmouth,-,9,"1,398",23,681,"2,102"
Dennis,-,1,"1,302",24,700,"2,026"
Dennis,-,2,"1,400",23,676,"2,099"
Dennis,-,3,874,30,299,"1,203"
Dennis,-,4,"1,177",23,587,"1,787"
Dennis,-,5,"1,070",32,397,"1,499"
Dighton,-,1,627,25,459,"1,111"
Dighton,-,2,638,25,457,"1,120"
Dighton,-,3,589,28,386,"1,003"
Eastham,,,"2,511",0,875,"3,386"
Edgartown,,,"1,613",12,572,"2,197"
Fairhaven,-,1,798,21,384,"1,203"
Fairhaven,-,2,798,17,331,"1,146"
Fairhaven,-,3,571,34,255,860
Fairhaven,-,4,765,27,378,"1,170"
Fairhaven,-,5,776,36,469,"1,281"
Fairhaven,-,6,742,28,402,"1,172"
"Fall River",1,A,647,31,346,"1,024"
"Fall River",1,B,460,18,213,691
"Fall River",1,C,486,21,220,727
"Fall River",2,A,318,23,106,447
"Fall River",2,B,283,16,118,417
"Fall River",2,C,338,16,176,530
"Fall River",3,A,494,17,179,690
"Fall River",3,B,446,12,196,654
"Fall River",3,C,541,26,226,793
"Fall River",4,A,364,20,105,489
"Fall River",4,B,272,10,84,366
"Fall River",4,C,391,6,101,498
"Fall River",5,A,240,9,75,324
"Fall River",5,B,226,9,65,300
"Fall River",5,C,286,8,97,391
"Fall River",6,A,536,22,291,849
"Fall River",6,B,399,8,119,526
"Fall River",6,C,414,10,202,626
"Fall River",7,A,578,17,245,840
"Fall River",7,B,348,19,126,493
"Fall River",7,C,464,17,158,639
"Fall River",8,A,404,21,201,626
"Fall River",8,B,665,31,361,"1,057"
"Fall River",8,C,679,15,323,"1,017"
"Fall River",9,A,868,25,499,"1,392"
"Fall River",9,B,665,28,319,"1,012"
"Fall River",9,C,589,27,240,856
Falmouth,-,1,"1,619",19,508,"2,146"
Falmouth,-,2,"1,309",26,549,"1,884"
Falmouth,-,3,"1,290",37,542,"1,869"
Falmouth,-,4,"1,344",23,608,"1,975"
Falmouth,-,5,"1,497",28,678,"2,203"
Falmouth,-,6,"1,389",29,634,"2,052"
Falmouth,-,7,"1,251",32,593,"1,876"
Falmouth,-,8,"1,232",31,609,"1,872"
Falmouth,-,9,"1,133",29,506,"1,668"
Freetown,-,1,795,14,468,"1,277"
Freetown,-,2,797,16,489,"1,302"
Freetown,-,3,739,26,501,"1,266"
Gosnold,,,29,0,26,55
Harwich,-,1,"1,473",15,679,"2,167"
Harwich,-,2,"1,265",22,587,"1,874"
Harwich,-,3,"1,255",15,555,"1,825"
Harwich,-,4,"1,137",17,457,"1,611"
Kingston,-,1,972,39,471,"1,482"
Kingston,-,2,"1,083",34,601,"1,718"
Kingston,-,3,"1,058",28,552,"1,638"
Kingston,-,4,983,16,477,"1,476"
Lakeville,-,1,"1,009",77,733,"1,819"
Lakeville,-,2,"1,155",54,738,"1,947"
Lakeville,-,3,"1,036",68,680,"1,784"
Marion,,,"1,916",51,846,"2,813"
Mashpee,-,1,"1,172",19,516,"1,707"
Mashpee,-,2,893,32,473,"1,398"
Mashpee,-,3,904,38,402,"1,344"
Mashpee,-,4,969,33,374,"1,376"
Mashpee,-,5,"1,437",36,742,"2,215"
Mattapoisett,-,1,"1,224",34,637,"1,895"
Mattapoisett,-,2,"1,210",643,37,"1,890"
Middleborough,-,1,"1,198",10,857,"2,065"
Middleborough,-,2,725,19,387,"1,131"
Middleborough,-,3,861,18,572,"1,451"
Middleborough,-,4,624,21,302,947
Middleborough,-,5,703,14,563,"1,280"
Middleborough,-,5A,124,3,135,262
Middleborough,-,6,803,16,560,"1,379"
Middleborough,-,7,579,12,375,966
Middleborough,-,7A,200,10,154,364
Nantucket,,,"3,750",69,"1,136","4,955"
"New Bedford",1,A,523,18,202,743
"New Bedford",1,A1,70,4,22,96
"New Bedford",1,B,571,32,271,874
"New Bedford",1,B1,63,0,26,89
"New Bedford",1,C,449,24,168,641
"New Bedford",1,C1,86,0,25,111
"New Bedford",1,D,693,30,335,"1,058"
"New Bedford",1,E,642,14,212,868
"New Bedford",1,F,662,35,252,949
"New Bedford",2,A,93,8,15,116
"New Bedford",2,B,172,12,43,227
"New Bedford",2,C,220,8,61,289
"New Bedford",2,D,449,14,157,620
"New Bedford",2,E,531,26,224,781
"New Bedford",2,F,374,19,93,486
"New Bedford",3,A,234,11,50,295
"New Bedford",3,B,219,0,48,267
"New Bedford",3,C,172,5,67,244
"New Bedford",3,D,328,11,109,448
"New Bedford",3,E,501,25,166,692
"New Bedford",3,F,444,13,180,637
"New Bedford",3,F1,198,3,57,258
"New Bedford",4,A,120,5,26,151
"New Bedford",4,A1,142,4,26,172
"New Bedford",4,B,438,9,102,549
"New Bedford",4,C,458,6,95,559
"New Bedford",4,D,404,17,94,515
"New Bedford",4,E,356,10,104,470
"New Bedford",4,F,433,13,107,553
"New Bedford",5,A,316,8,82,406
"New Bedford",5,B,563,18,206,787
"New Bedford",5,C,473,14,181,668
"New Bedford",5,D,686,16,207,909
"New Bedford",5,E,708,20,330,"1,058"
"New Bedford",5,F,674,26,245,945
"New Bedford",6,A,561,16,227,804
"New Bedford",6,B,432,11,145,588
"New Bedford",6,C,213,9,50,272
"New Bedford",6,D,182,5,37,224
"New Bedford",6,E,217,9,48,274
"New Bedford",6,F,360,11,90,461
"Oak Bluffs",,,"1,764",12,544,"2,320"
Orleans,-,1,"1,419",14,564,"1,997"
Orleans,-,2,"1,403",18,618,"2,039"
Pembroke,-,1,"1,171",55,636,"1,862"
Pembroke,-,2,981,56,560,"1,597"
Pembroke,-,3,"1,111",71,557,"1,739"
Pembroke,-,3A,7,0,5,12
Pembroke,-,4,"1,085",62,562,"1,709"
Pembroke,-,5,"1,043",26,538,"1,607"
Plymouth,-,1,781,16,280,"1,077"
Plymouth,-,2,965,17,393,"1,375"
Plymouth,-,3,"1,011",25,415,"1,451"
Plymouth,-,4,958,4,496,"1,458"
Plymouth,-,5,"1,022",18,440,"1,480"
Plymouth,-,6,"1,221",28,547,"1,796"
Plymouth,-,7,"1,089",36,432,"1,557"
Plymouth,-,8,"1,177",22,634,"1,833"
Plymouth,-,9,917,45,436,"1,398"
Plymouth,-,10,"1,079",44,508,"1,631"
Plymouth,-,11,"1,176",31,559,"1,766"
Plymouth,-,12,852,30,433,"1,315"
Plymouth,-,13,"1,110",33,542,"1,685"
Plymouth,-,14,"1,113",53,566,"1,732"
Plymouth,-,15,"1,786",24,824,"2,634"
Plymouth,-,16,"1,373",35,719,"2,127"
Plymouth,-,17,"1,234",35,537,"1,806"
Plymouth,-,18,715,26,404,"1,145"
Plympton,,,918,0,575,"1,493"
Provincetown,,,"2,033",6,198,"2,237"
Raynham,-,1,944,0,567,"1,511"
Raynham,-,2,556,0,373,929
Raynham,-,2A,326,0,282,608
Raynham,-,3,"1,016",0,666,"1,682"
Raynham,-,4,848,0,572,"1,420"
Raynham,-,4A,22,0,25,47
Rehoboth,-,1,791,0,585,"1,376"
Rehoboth,-,2,767,0,550,"1,317"
Rehoboth,-,3,797,0,600,"1,397"
Rehoboth,-,4,791,0,548,"1,339"
Rochester,,,"1,690",35,"1,164","2,889"
Sandwich,-,1,"1,341",17,701,"2,059"
Sandwich,-,2,"1,209",19,705,"1,933"
Sandwich,-,3,"1,124",32,556,"1,712"
Sandwich,-,4,"1,185",25,600,"1,810"
Sandwich,-,5,"1,040",34,512,"1,586"
Sandwich,-,6,999,24,555,"1,578"
Seekonk,-,1,966,67,482,"1,515"
Seekonk,-,2,"1,214",69,557,"1,840"
Seekonk,-,3,921,65,419,"1,405"
Seekonk,-,4,"1,010",52,414,"1,476"
Somerset,-,1,"1,106",10,537,"1,653"
Somerset,-,2,"1,037",3,557,"1,597"
Somerset,-,3,"1,069",1,520,"1,590"
Somerset,-,4,984,12,481,"1,477"
Somerset,-,5,950,0,474,"1,424"
Swansea,-,1,844,58,461,"1,363"
Swansea,-,2,891,56,414,"1,361"
Swansea,-,3,945,42,393,"1,380"
Swansea,-,4,941,39,439,"1,419"
Swansea,-,5,859,52,518,"1,429"
Taunton,1,A,595,18,236,849
Taunton,1,A1,37,0,4,41
Taunton,1,B,766,21,540,"1,327"
Taunton,2,A,340,4,130,474
Taunton,2,B,490,7,250,747
Taunton,3,A,604,7,339,950
Taunton,3,B,783,7,429,"1,219"
Taunton,4,A,698,14,515,"1,227"
Taunton,4,B,733,6,405,"1,144"
Taunton,4,B1,16,0,12,28
Taunton,5,A,531,6,261,798
Taunton,5,B,514,3,213,730
Taunton,6,A,485,5,242,732
Taunton,6,B,628,12,343,983
Taunton,7,A,794,7,518,"1,319"
Taunton,7,B,880,11,636,"1,527"
Taunton,8,A,826,8,553,"1,387"
Taunton,8,B,921,13,562,"1,496"
Tisbury,,,"1,601",1,439,"2,041"
Truro,,,"1,200",6,284,"1,490"
Wareham,-,1,973,39,454,"1,466"
Wareham,-,2,"1,107",40,484,"1,631"
Wareham,-,3,"1,020",47,492,"1,559"
Wareham,-,4,"1,001",41,417,"1,459"
Wareham,-,5,"1,058",49,467,"1,574"
Wareham,-,6,878,45,399,"1,322"
Wellfleet,,,"1,610",24,398,"2,032"
"W. Tisbury",,,"1,430",7,336,"1,773"
Westport,-,A,916,0,454,"1,370"
Westport,-,B,"1,173",0,694,"1,867"
Westport,-,C,886,0,445,"1,331"
Westport,-,D,900,0,431,"1,331"
Westport,-,E,"1,178",0,646,"1,824"
Yarmouth,-,1,"1,272",4,561,"1,837"
Yarmouth,-,2,"1,153",2,532,"1,687"
Yarmouth,-,3,816,0,329,"1,145"
Yarmouth,-,4,"1,008",5,446,"1,459"
Yarmouth,-,5,902,7,401,"1,310"
Yarmouth,-,6,965,3,388,"1,356"
Yarmouth,-,7,"1,313",1,627,"1,941"
Yarmouth,-,8,746,1,338,"1,085"
Yarmouth,-,8A,138,0,56,194
TOTALS,,,"232,118","6,177","109,738","348,033"
