City/Town,Ward,Pct,"Terrence W. Kennedy","All Others",Blanks,"Total Votes Cast"
Swampscott,-,1,777,19,270,"1,066"
Swampscott,-,2,765,15,320,"1,100"
Swampscott,-,3,881,16,278,"1,175"
Swampscott,-,4,948,23,323,"1,294"
Swampscott,-,5,848,14,386,"1,248"
Swampscott,-,6,856,24,330,"1,210"
Wakefield,-,1,"1,016",30,599,"1,645"
Wakefield,-,2,"1,061",25,484,"1,570"
Wakefield,-,3,"1,210",35,599,"1,844"
Wakefield,-,4,"1,018",34,487,"1,539"
Wakefield,-,5,"1,241",44,547,"1,832"
Wakefield,-,6,"1,382",23,589,"1,994"
Wakefield,-,7,"1,197",36,622,"1,855"
Winchester,-,1,936,14,389,"1,339"
Winchester,-,2,802,22,312,"1,136"
Winchester,-,3,"1,022",18,428,"1,468"
Winchester,-,4,907,22,498,"1,427"
Winchester,-,5,858,25,443,"1,326"
Winchester,-,6,868,20,462,"1,350"
Winchester,-,7,913,28,467,"1,408"
Winchester,-,8,636,15,300,951
Winthrop,-,1,744,18,404,"1,166"
Winthrop,-,2,763,28,430,"1,221"
Winthrop,-,3,732,22,313,"1,067"
Winthrop,-,4,621,21,275,917
Winthrop,-,5,800,36,424,"1,260"
Winthrop,-,6,784,18,301,"1,103"
TOTALS,,,"203,576","3,666","71,129","278,371"
