City/Town,Ward,Pct,"Paul M. Depalo","Gary Galonek","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Holden,-,5,906,623,0,64,"1,593"
Holden,-,6,882,624,0,83,"1,589"
Holland,,,419,612,0,37,"1,068"
Hopedale,,,"1,429",936,1,150,"2,516"
Hubbardston,,,977,"1,153",0,80,"2,210"
Lancaster,-,1,668,605,0,75,"1,348"
Lancaster,-,2,973,719,0,93,"1,785"
Leicester,-,1,492,598,0,53,"1,143"
Leicester,-,2,553,500,0,40,"1,093"
Leicester,-,3,511,590,0,37,"1,138"
Leicester,-,4,510,532,0,53,"1,095"
Leominster,1,A,660,540,1,76,"1,277"
Leominster,1,B,674,425,4,89,"1,192"
Leominster,1,C,470,343,0,41,854
Leominster,2,A,340,188,0,25,553
Leominster,2,B,463,373,0,39,875
Leominster,2,C,270,201,0,20,491
Leominster,3,A,557,350,0,36,943
Leominster,3,B,703,509,0,97,"1,309"
Leominster,3,C,543,460,0,62,"1,065"
Leominster,4,A,645,570,0,72,"1,287"
Leominster,4,B,594,537,0,70,"1,201"
Leominster,4,C,462,300,1,50,813
Leominster,5,A,495,295,0,43,833
Leominster,5,B,583,421,0,56,"1,060"
Leominster,5,C,408,270,0,20,698
Lunenburg,-,A,699,565,0,43,"1,307"
Lunenburg,-,B,664,477,0,53,"1,194"
Lunenburg,-,B1,33,29,0,2,64
Lunenburg,-,C,655,577,2,43,"1,277"
Lunenburg,-,C1,5,5,0,0,10
Lunenburg,-,D,792,610,0,54,"1,456"
Mendon,-,1,652,640,0,89,"1,381"
Mendon,-,2,663,670,0,109,"1,442"
Millbury,-,1,715,607,0,63,"1,385"
Millbury,-,2,801,745,0,87,"1,633"
Millbury,-,3,656,574,0,89,"1,319"
Millbury,-,4,720,543,0,73,"1,336"
Millville,,,517,643,0,50,"1,210"
Monson,-,A,535,639,0,59,"1,233"
Monson,-,B,531,624,0,66,"1,221"
Monson,-,C,559,665,0,63,"1,287"
"New Braintree",,,227,242,0,19,488
"N. Brookfield",,,822,"1,113",0,69,"2,004"
Northborough,-,1,"1,096",532,0,82,"1,710"
Northborough,-,2,"1,095",520,1,78,"1,694"
Northborough,-,3,"1,107",578,1,114,"1,800"
Northborough,-,4,"1,136",654,2,92,"1,884"
Northbridge,-,1,700,575,0,60,"1,335"
Northbridge,-,2,542,506,0,51,"1,099"
Northbridge,-,3,517,520,0,44,"1,081"
Northbridge,-,4,662,751,0,77,"1,490"
Northbridge,-,5,639,646,0,73,"1,358"
Oakham,,,394,502,0,38,934
Oxford,-,1,616,700,0,42,"1,358"
Oxford,-,2,595,662,1,35,"1,293"
Oxford,-,3,581,683,0,45,"1,309"
Oxford,-,4,520,669,0,33,"1,222"
Oxford,-,4A,4,16,0,0,20
Paxton,,,"1,138",980,0,96,"2,214"
Phillipston,,,318,459,0,32,809
Princeton,,,"1,107",719,3,131,"1,960"
Rutland,-,1,638,734,0,70,"1,442"
Rutland,-,2,581,633,0,39,"1,253"
Rutland,-,3,770,657,0,67,"1,494"
Shirley,,,"1,532","1,073",3,88,"2,696"
Shrewsbury,-,1,"1,086",624,0,79,"1,789"
Shrewsbury,-,2,888,486,1,63,"1,438"
Shrewsbury,-,3,718,417,0,37,"1,172"
Shrewsbury,-,4,975,538,0,76,"1,589"
