City/Town,Ward,Pct,"William Francis Galvin","Rayla Campbell","Juan G. Sanchez, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Green-Rainbow
Rockport,-,2,"1,071",299,37,1,16,"1,424"
Rockport,-,3,"1,303",417,38,1,31,"1,790"
Rowe,,,126,83,4,0,0,213
Rowley,,,"1,785","1,337",54,0,27,"3,203"
Royalston,,,364,244,19,0,6,633
Russell,,,290,329,11,0,9,639
Rutland,-,1,729,670,24,0,19,"1,442"
Rutland,-,2,638,563,25,1,26,"1,253"
Rutland,-,3,856,578,40,0,20,"1,494"
Salem,1,1,"1,208",263,64,0,52,"1,587"
Salem,1,2,360,72,33,0,10,475
Salem,2,1,"1,136",199,72,0,25,"1,432"
Salem,2,2,"1,239",175,76,0,37,"1,527"
Salem,3,1,786,178,52,0,29,"1,045"
Salem,3,2,843,270,30,0,27,"1,170"
Salem,4,1,778,280,39,0,20,"1,117"
Salem,4,2,862,330,33,0,23,"1,248"
Salem,5,1,985,189,59,0,38,"1,271"
Salem,5,2,801,149,69,1,19,"1,039"
Salem,6,1,905,219,59,0,40,"1,223"
Salem,6,2,"1,038",247,61,0,21,"1,367"
Salem,7,1,632,181,44,0,12,869
Salem,7,2,987,290,30,0,25,"1,332"
Salisbury,-,1,811,502,30,0,31,"1,374"
Salisbury,-,2,794,538,23,1,16,"1,372"
Salisbury,-,3,671,605,22,0,12,"1,310"
Sandisfield,,,210,129,15,0,4,358
Sandwich,-,1,"1,261",730,35,0,33,"2,059"
Sandwich,-,2,"1,162",711,28,0,32,"1,933"
Sandwich,-,3,"1,022",649,20,0,21,"1,712"
Sandwich,-,4,"1,011",722,40,0,37,"1,810"
Sandwich,-,5,884,645,24,0,33,"1,586"
Sandwich,-,6,826,703,28,1,20,"1,578"
Saugus,-,1,595,409,20,0,21,"1,045"
Saugus,-,2,559,365,16,0,20,960
Saugus,-,3,558,411,13,0,16,998
Saugus,-,4,601,374,13,0,17,"1,005"
Saugus,-,5,614,541,7,0,27,"1,189"
Saugus,-,6,558,399,23,0,21,"1,001"
Saugus,-,7,574,545,13,0,20,"1,152"
Saugus,-,8,574,420,14,0,32,"1,040"
Saugus,-,9,625,498,16,0,21,"1,160"
Saugus,-,10,495,363,11,0,17,886
Savoy,,,149,119,7,0,30,305
Scituate,-,1,"1,139",568,26,0,32,"1,765"
Scituate,-,2,"1,140",547,25,0,38,"1,750"
Scituate,-,3,"1,168",502,29,0,26,"1,725"
Scituate,-,4,"1,167",572,27,0,25,"1,791"
Scituate,-,5,"1,103",497,35,0,24,"1,659"
Scituate,-,6,"1,205",567,23,1,35,"1,831"
Seekonk,-,1,806,665,28,0,16,"1,515"
Seekonk,-,2,"1,051",725,32,1,31,"1,840"
Seekonk,-,3,763,602,25,0,15,"1,405"
Seekonk,-,4,846,574,33,1,22,"1,476"
Sharon,-,1,"1,343",299,51,2,33,"1,728"
Sharon,-,2,"1,153",314,22,5,35,"1,529"
Sharon,-,3,"1,277",351,34,1,28,"1,691"
Sharon,-,4,"1,231",307,35,1,27,"1,601"
Sharon,-,5,"1,146",356,49,1,39,"1,591"
Sheffield,,,"1,066",380,54,0,34,"1,534"
Shelburne,,,668,165,64,0,124,"1,021"
Sherborn,,,"1,668",455,53,0,44,"2,220"
Shirley,,,"1,615",973,78,3,27,"2,696"
Shrewsbury,-,1,"1,188",554,20,2,25,"1,789"
Shrewsbury,-,2,933,461,18,0,26,"1,438"
Shrewsbury,-,3,727,397,25,0,23,"1,172"
Shrewsbury,-,4,"1,010",502,45,0,32,"1,589"
Shrewsbury,-,5,981,382,31,1,25,"1,420"
Shrewsbury,-,6,999,440,22,0,27,"1,488"
Shrewsbury,-,7,"1,182",528,33,0,52,"1,795"
Shrewsbury,-,8,"1,296",538,29,1,42,"1,906"
Shrewsbury,-,9,737,294,19,0,11,"1,061"
Shrewsbury,-,10,997,406,25,2,27,"1,457"
Shutesbury,,,853,103,94,0,13,"1,063"
Somerset,-,1,983,621,18,0,31,"1,653"
Somerset,-,2,928,608,26,0,35,"1,597"
Somerset,-,3,946,578,29,1,36,"1,590"
Somerset,-,4,843,582,21,0,31,"1,477"
Somerset,-,5,740,620,33,0,31,"1,424"
Somerville,1,1,621,100,63,1,19,804
Somerville,1,2,539,90,49,2,11,691
Somerville,1,3,562,103,29,1,13,708
Somerville,1,4,363,58,32,0,10,463
Somerville,1,4A,214,32,14,1,7,268
Somerville,2,1,532,38,43,1,13,627
Somerville,2,1A,248,14,34,0,3,299
Somerville,2,2,868,65,76,3,25,"1,037"
Somerville,2,3,837,63,71,1,20,992
Somerville,2,4,936,69,81,1,23,"1,110"
Somerville,3,1,970,82,92,0,19,"1,163"
Somerville,3,2,873,95,65,0,34,"1,067"
Somerville,3,3,"1,042",77,95,1,24,"1,239"
Somerville,3,4,937,68,67,1,30,"1,103"
Somerville,4,1,619,133,42,0,21,815
Somerville,4,2,518,53,41,0,10,622
Somerville,4,2A,191,22,19,3,5,240
Somerville,4,3,885,90,72,4,31,"1,082"
Somerville,4,4,505,84,33,0,26,648
Somerville,5,1,966,114,81,2,26,"1,189"
