City/Town,Ward,Pct,"Eunice Delice Zeigler","Anne M. Manning-Martin","Jody A. Elliott","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled
Methuen,-,5,820,595,119,8,136,"1,678"
Methuen,-,6,704,499,104,3,113,"1,423"
Methuen,-,6A,106,51,7,1,4,169
Methuen,-,7,"1,039",664,98,2,130,"1,933"
Methuen,-,8,916,717,105,3,134,"1,875"
Methuen,-,9,911,744,98,5,171,"1,929"
Methuen,-,10,908,633,114,10,144,"1,809"
Methuen,-,11,"1,013",827,133,6,203,"2,182"
Methuen,-,12,912,675,104,4,148,"1,843"
Methuen,-,13,541,379,80,2,81,"1,083"
Methuen,-,13A,320,202,54,3,45,624
Methuen,-,14,917,547,103,6,102,"1,675"
Methuen,-,15,696,387,80,2,88,"1,253"
Middleton,-,1,702,"1,200",208,1,212,"2,323"
Middleton,-,2,411,814,111,3,127,"1,466"
Middleton,-,3,557,"1,137",173,7,183,"2,057"
Newbury,-,1,"1,050",856,237,0,312,"2,455"
Newbury,-,2,"1,010",939,254,1,242,"2,446"
Newburyport,1,1,904,358,137,0,231,"1,630"
Newburyport,2,1,"1,136",493,215,5,222,"2,071"
Newburyport,3,1,"1,175",542,212,4,319,"2,252"
Newburyport,4,1,"1,179",560,177,1,272,"2,189"
Newburyport,5,1,831,616,195,3,246,"1,891"
Newburyport,6,1,961,660,184,5,256,"2,066"
Newburyport,1,P,197,171,46,0,66,480
"N. Andover",-,1,"1,010",693,174,2,197,"2,076"
"N. Andover",-,2,"1,044",723,190,2,203,"2,162"
"N. Andover",-,3,929,706,182,3,190,"2,010"
"N. Andover",-,4,"1,235",884,176,2,287,"2,584"
"N. Andover",-,5,563,435,79,1,96,"1,174"
"N. Andover",-,6,"1,033",968,196,1,258,"2,456"
"N. Andover",-,7,"1,053",826,187,1,249,"2,316"
"N. Andover",-,8,969,"1,010",198,1,185,"2,363"
"N. Reading",-,1,795,"1,024",201,0,449,"2,469"
"N. Reading",-,2,907,"1,047",245,3,443,"2,645"
"N. Reading",-,3,798,999,211,3,428,"2,439"
"N. Reading",-,4,827,"1,044",229,1,382,"2,483"
Peabody,1,1,469,"1,037",136,4,131,"1,777"
Peabody,1,2,466,"1,071",140,3,133,"1,813"
Peabody,1,3,458,"1,220",165,2,149,"1,994"
Peabody,2,1,424,491,121,3,90,"1,129"
Peabody,2,2,373,588,104,1,85,"1,151"
Peabody,2,3,430,848,128,5,91,"1,502"
Peabody,3,1,322,440,100,8,72,942
