City/Town,Ward,Pct,"Mara Dolan","All Others",Blanks,"Total Votes Cast"
Boston,5,15,625,19,177,821
Boston,21,1,924,15,176,"1,115"
Boston,21,2,262,1,36,299
Boston,21,3,532,5,104,641
Boston,21,4,467,9,101,577
Boston,21,5,792,18,123,933
Boston,21,6,574,8,121,703
Boston,21,7,683,20,142,845
Boston,21,8,954,16,133,"1,103"
Boston,21,9,"1,148",26,183,"1,357"
Boston,21,10,764,19,162,945
Boston,21,11,921,20,162,"1,103"
Boston,21,12,726,15,224,965
Boston,21,13,918,23,411,"1,352"
Boston,21,14,580,4,104,688
Boston,21,15,713,11,114,838
Boston,21,16,837,13,263,"1,113"
Boston,22,1,979,37,244,"1,260"
Boston,22,2,"1,147",27,292,"1,466"
Boston,22,3,"1,005",19,277,"1,301"
Boston,22,4,742,20,210,972
Boston,22,5,753,14,188,955
Boston,22,6,586,16,142,744
Boston,22,7,857,16,247,"1,120"
Boston,22,8,574,19,194,787
Boston,22,9,645,44,238,927
Boston,22,10,837,17,236,"1,090"
Boston,22,11,566,13,184,763
Boston,22,12,600,19,210,829
Boston,22,13,531,12,135,678
Boxborough,-,1,"2,435",0,757,"3,192"
Brookline,-,1,"1,142",13,313,"1,468"
Brookline,-,2,803,10,198,"1,011"
Brookline,-,3,"1,297",14,366,"1,677"
Brookline,-,4,"1,073",20,290,"1,383"
Brookline,-,5,666,9,204,879
Brookline,-,5A,615,7,222,844
Brookline,-,6,"1,400",5,378,"1,783"
Brookline,-,7,"1,203",10,363,"1,576"
Brookline,-,8,"1,344",9,304,"1,657"
Brookline,-,9,"1,366",14,355,"1,735"
Brookline,-,10,"1,360",18,349,"1,727"
Brookline,-,11,"1,446",16,365,"1,827"
Brookline,-,12,"1,446",20,426,"1,892"
Brookline,-,13,"1,221",12,357,"1,590"
Brookline,-,13A,229,3,55,287
Brookline,-,14,"1,095",14,487,"1,596"
Brookline,-,14A,281,4,133,418
Brookline,-,15,"1,355",25,548,"1,928"
Brookline,-,16,"1,293",17,498,"1,808"
Brookline,-,17,"1,178",7,315,"1,500"
Burlington,-,1,"1,413",53,906,"2,372"
Burlington,-,2,"1,010",31,410,"1,451"
Burlington,-,3,"1,377",49,707,"2,133"
Burlington,-,4,"1,171",36,491,"1,698"
Burlington,-,5,"1,598",55,780,"2,433"
Burlington,-,6,"1,544",53,755,"2,352"
Burlington,-,7,"1,446",44,671,"2,161"
Cambridge,8,2,"1,262",9,294,"1,565"
Cambridge,9,1,"2,007",9,454,"2,470"
Cambridge,9,2,"1,640",7,356,"2,003"
Cambridge,9,3,"1,527",6,377,"1,910"
Carlisle,-,1,"2,587",35,839,"3,461"
Chelmsford,-,1,"1,205",18,540,"1,763"
Chelmsford,-,2,"1,357",14,564,"1,935"
Chelmsford,-,3A,628,5,273,906
Chelmsford,-,3B,701,4,244,949
Chelmsford,-,4,"1,483",21,654,"2,158"
Chelmsford,-,5A,"1,144",13,563,"1,720"
Chelmsford,-,5B,340,1,191,532
Chelmsford,-,6,"1,357",19,589,"1,965"
Chelmsford,-,7,"1,254",30,575,"1,859"
Chelmsford,-,8,"1,314",10,550,"1,874"
Chelmsford,-,9,"1,421",16,718,"2,155"
Chelmsford,-,10,"1,213",22,525,"1,760"
Chelmsford,-,11,"1,433",18,678,"2,129"
Concord,-,1,"1,651",13,422,"2,086"
Concord,-,2,"2,010",13,455,"2,478"
Concord,-,3,"1,932",14,533,"2,479"
Concord,-,4,"2,134",8,507,"2,649"
Concord,-,5,"1,903",12,419,"2,334"
Harvard,-,1,"3,006",64,984,"4,054"
Hudson,-,1,"1,353",10,501,"1,864"
Hudson,-,2,"1,156",9,461,"1,626"
Hudson,-,3,"1,373",49,527,"1,949"
Hudson,-,4,"1,566",16,704,"2,286"
Hudson,-,5,"1,577",9,573,"2,159"
Hudson,-,6,"1,105",12,432,"1,549"
Lexington,-,1,"1,442",15,489,"1,946"
Lexington,-,2,"1,722",24,512,"2,258"
Lexington,-,3,"1,348",2,396,"1,746"
Lexington,-,4,"1,560",9,523,"2,092"
Lexington,-,5,"1,531",11,537,"2,079"
Lexington,-,6,"1,597",17,575,"2,189"
Lexington,-,7,"1,553",16,505,"2,074"
Lexington,-,8,"1,522",12,485,"2,019"
Lexington,-,9,"1,681",11,508,"2,200"
Lincoln,-,1,"1,972",10,482,"2,464"
Lincoln,-,2,"1,205",13,365,"1,583"
Littleton,-,1,"1,592",0,643,"2,235"
Littleton,-,2,"1,501",0,658,"2,159"
Littleton,-,3,"1,594",0,598,"2,192"
Marlborough,1,1,762,6,309,"1,077"
Marlborough,1,1A,24,0,6,30
Marlborough,1,2,"1,247",21,548,"1,816"
Marlborough,2,1,"1,037",13,424,"1,474"
Marlborough,2,2,871,7,280,"1,158"
Marlborough,2,2A,5,0,8,13
Marlborough,3,1,680,8,272,960
Marlborough,3,2,"1,308",10,449,"1,767"
Marlborough,4,1,556,3,232,791
Marlborough,4,2,"1,240",14,482,"1,736"
Marlborough,5,1,640,8,252,900
Marlborough,5,2,"1,035",8,395,"1,438"
Marlborough,6,1,670,8,281,959
Marlborough,6,2,"1,180",13,534,"1,727"
Marlborough,7,1,812,10,321,"1,143"
Marlborough,7,2,886,11,357,"1,254"
Marlborough,7,2A,34,1,10,45
Maynard,-,1,"1,348",17,359,"1,724"
Maynard,-,2,"1,146",4,344,"1,494"
Maynard,-,3,"1,622",12,429,"2,063"
Maynard,-,4,"1,131",9,341,"1,481"
Newton,1,1,999,32,396,"1,427"
Newton,1,2,"1,083",17,348,"1,448"
Newton,1,2A,51,1,23,75
Newton,1,3,"1,130",14,334,"1,478"
Newton,1,4,"1,016",33,437,"1,486"
Newton,2,1,"1,068",13,392,"1,473"
Newton,2,2,796,9,316,"1,121"
Newton,2,3,"1,219",20,453,"1,692"
Newton,2,4,"1,278",18,531,"1,827"
Newton,3,1,"1,141",18,434,"1,593"
Newton,3,1A,0,0,0,0
Newton,3,2,"1,145",9,444,"1,598"
Newton,3,3,"1,185",24,436,"1,645"
Newton,3,4,"1,068",22,475,"1,565"
Newton,4,1,"1,111",14,389,"1,514"
Newton,4,2,"1,008",12,365,"1,385"
Newton,4,3,799,7,306,"1,112"
Newton,4,4,"1,027",17,427,"1,471"
Newton,5,1,"1,043",25,393,"1,461"
Newton,5,2,"1,153",17,372,"1,542"
Newton,5,3,"1,291",9,459,"1,759"
Newton,5,4,"1,244",7,483,"1,734"
Newton,6,1,"1,055",18,449,"1,522"
Newton,6,2,"1,091",16,389,"1,496"
Newton,6,3,"1,262",16,417,"1,695"
Newton,6,4,"1,288",7,494,"1,789"
Newton,7,1,924,15,397,"1,336"
Newton,7,2,"1,225",11,492,"1,728"
Newton,7,3,341,9,142,492
Newton,7,4,566,5,255,826
Newton,8,1,973,28,487,"1,488"
Newton,8,2,"1,025",29,457,"1,511"
Newton,8,3,"1,080",21,493,"1,594"
Newton,8,4,959,21,480,"1,460"
Southborough,-,1,"1,514",9,586,"2,109"
Southborough,-,2,"1,491",23,535,"2,049"
Southborough,-,3,"1,535",19,534,"2,088"
Stow,-,1,"1,824",26,631,"2,481"
Stow,-,2,"1,714",13,598,"2,325"
Sudbury,-,1,"1,557",30,518,"2,105"
Sudbury,-,2,"1,496",29,466,"1,991"
Sudbury,-,3,"1,289",25,485,"1,799"
Sudbury,-,4,"1,554",33,535,"2,122"
Sudbury,-,5,"1,397",19,510,"1,926"
Sudbury,-,6,"1,451",33,516,"2,000"
Waltham,1,1,"1,412",0,637,"2,049"
Waltham,1,2,"1,275",0,713,"1,988"
Waltham,1,2A,11,0,5,16
Waltham,2,1,"1,373",0,553,"1,926"
Waltham,2,2,"1,100",0,288,"1,388"
Waltham,3,1,"1,319",0,768,"2,087"
Waltham,3,2,"1,359",0,586,"1,945"
Waltham,3,2A,22,0,14,36
Waltham,4,1,"1,388",0,619,"2,007"
Waltham,4,1A,27,0,6,33
Waltham,4,2,263,0,101,364
Waltham,5,1,"1,045",0,487,"1,532"
Waltham,5,2,756,0,226,982
Waltham,5,2A,136,0,34,170
Waltham,6,1,"1,160",0,347,"1,507"
Waltham,6,2,682,0,281,963
Waltham,6,2A,148,0,62,210
Waltham,7,1,"1,271",0,527,"1,798"
Waltham,7,2,460,0,154,614
Waltham,8,1,"1,129",0,337,"1,466"
Waltham,8,2,"1,130",0,369,"1,499"
Waltham,8,2A,13,0,4,17
Waltham,9,1,"1,017",0,255,"1,272"
Waltham,9,2,835,0,251,"1,086"
Watertown,-,1,985,0,331,"1,316"
Watertown,-,2,"1,175",0,320,"1,495"
Watertown,-,3,"1,239",0,332,"1,571"
Watertown,-,4,"1,418",0,409,"1,827"
Watertown,-,5,"1,015",3,282,"1,300"
Watertown,-,6,"1,095",8,246,"1,349"
Watertown,-,7,"1,313",1,426,"1,740"
Watertown,-,8,"1,254",13,333,"1,600"
Watertown,-,9,976,0,316,"1,292"
Watertown,-,10,"1,263",14,388,"1,665"
Watertown,-,11,"1,189",5,431,"1,625"
Watertown,-,12,"1,086",0,422,"1,508"
Wayland,-,1,"1,805",29,586,"2,420"
Wayland,-,2,"1,564",27,527,"2,118"
Wayland,-,3,"1,513",22,498,"2,033"
Wayland,-,4,"1,740",20,603,"2,363"
Wellesley,-,A,"1,482",16,586,"2,084"
Wellesley,-,B,"1,659",9,641,"2,309"
Wellesley,-,C,"1,424",24,840,"2,288"
Wellesley,-,D,"1,591",18,586,"2,195"
Wellesley,-,E,"1,533",8,571,"2,112"
Wellesley,-,F,949,8,373,"1,330"
Wellesley,-,G,810,5,263,"1,078"
Wellesley,-,H,"1,468",11,655,"2,134"
Weston,-,1,"1,311",0,560,"1,871"
Weston,-,2,"1,126",29,493,"1,648"
Weston,-,3,"1,009",3,462,"1,474"
Weston,-,4,"1,103",1,536,"1,640"
Woburn,1,1,834,2,503,"1,339"
Woburn,1,2,900,11,497,"1,408"
Woburn,1,2A,59,0,28,87
Woburn,2,1,"1,043",7,648,"1,698"
Woburn,2,2,914,2,434,"1,350"
Woburn,3,1,985,6,572,"1,563"
Woburn,3,2,"1,066",7,797,"1,870"
Woburn,4,1,"1,015",3,695,"1,713"
Woburn,4,2,898,4,496,"1,398"
Woburn,5,1,"1,092",3,490,"1,585"
Woburn,5,2,924,8,579,"1,511"
Woburn,6,1,683,4,369,"1,056"
Woburn,6,2,"1,011",6,616,"1,633"
Woburn,7,1,"1,014",11,802,"1,827"
Woburn,7,2,"1,141",11,878,"2,030"
TOTALS,,,"330,523","4,203","119,196","453,922"
