City/Town,Ward,Pct,"Maura Doyle","All Others",Blanks,"Total Votes Cast"
Boston,6,5,870,12,198,"1,080"
Boston,6,6,727,11,212,950
Boston,6,7,853,15,209,"1,077"
Boston,6,8,747,13,204,964
Boston,6,9,662,14,224,900
Boston,7,1,700,10,173,883
Boston,7,2,897,22,191,"1,110"
Boston,7,3,991,12,256,"1,259"
Boston,7,4,751,18,196,965
Boston,7,5,767,6,147,920
Boston,7,6,644,12,128,784
Boston,7,7,409,4,81,494
Boston,7,8,571,8,113,692
Boston,7,9,553,10,111,674
Boston,7,10,457,8,92,557
Boston,8,1,605,5,83,693
Boston,8,2,"1,154",17,217,"1,388"
Boston,8,3,469,5,75,549
Boston,8,4,282,3,34,319
Boston,8,5,515,9,108,632
Boston,8,6,195,2,31,228
Boston,8,7,360,1,60,421
Boston,9,1,829,8,219,"1,056"
Boston,9,2,"1,204",7,170,"1,381"
Boston,9,3,"1,310",12,174,"1,496"
Boston,9,4,742,8,98,848
Boston,9,5,850,8,168,"1,026"
Boston,10,1,402,3,87,492
Boston,10,2,370,4,66,440
Boston,10,3,413,5,62,480
Boston,10,4,635,11,239,885
Boston,10,5,526,6,95,627
Boston,10,6,565,5,99,669
Boston,10,7,800,10,93,903
Boston,10,8,"1,016",18,137,"1,171"
Boston,10,9,"1,169",7,164,"1,340"
Boston,11,1,455,4,66,525
Boston,11,2,678,5,215,898
Boston,11,3,536,5,79,620
Boston,11,4,981,11,131,"1,123"
Boston,11,5,766,11,103,880
Boston,11,6,718,3,102,823
Boston,11,7,892,4,146,"1,042"
Boston,11,8,"1,141",8,138,"1,287"
Boston,11,9,654,7,111,772
Boston,11,10,828,2,122,952
Boston,12,1,704,10,133,847
Boston,12,2,834,10,120,964
Boston,12,3,426,4,52,482
Boston,12,4,456,3,63,522
Boston,12,5,305,1,54,360
Boston,12,6,389,7,67,463
Boston,12,7,784,7,108,899
Boston,12,8,323,2,55,380
Boston,12,9,413,3,80,496
Boston,13,1,517,6,104,627
Boston,13,2,221,1,22,244
Boston,13,3,528,9,101,638
Boston,13,4,416,1,52,469
Boston,13,5,447,5,83,535
Boston,13,6,642,9,103,754
Boston,13,7,685,13,167,865
Boston,13,8,583,12,117,712
Boston,13,9,629,13,133,775
Boston,13,10,881,18,269,"1,168"
Boston,14,1,889,6,95,990
Boston,14,2,939,7,141,"1,087"
Boston,14,3,451,2,58,511
Boston,14,4,535,4,50,589
Boston,14,5,391,6,53,450
Boston,14,6,403,4,71,478
Boston,14,7,426,4,52,482
Boston,14,8,517,7,87,611
Boston,14,9,419,7,64,490
Boston,14,10,490,9,76,575
Boston,14,11,473,6,61,540
Boston,14,12,283,1,50,334
Boston,14,13,447,4,51,502
Boston,14,14,495,3,91,589
Boston,15,1,549,10,98,657
Boston,15,2,371,9,42,422
Boston,15,3,252,5,34,291
Boston,15,4,746,13,132,891
Boston,15,5,476,3,64,543
Boston,15,6,247,21,112,380
Boston,15,7,419,2,69,490
Boston,15,8,363,5,79,447
Boston,15,9,373,4,107,484
Boston,16,1,402,10,111,523
Boston,16,2,413,11,102,526
Boston,16,3,612,5,137,754
Boston,16,4,530,12,127,669
Boston,16,5,664,6,128,798
Boston,16,6,731,9,213,953
Boston,16,7,620,21,182,823
Boston,16,8,757,14,167,938
Boston,16,9,762,15,227,"1,004"
Boston,16,10,610,13,157,780
Boston,16,11,746,8,205,959
Boston,16,12,682,9,172,863
Boston,17,1,432,4,85,521
Boston,17,2,366,0,57,423
Boston,17,3,796,10,123,929
Boston,17,4,914,12,148,"1,074"
Boston,17,5,346,5,46,397
Boston,17,6,584,5,110,699
Boston,17,7,321,10,40,371
Boston,17,8,580,6,64,650
Boston,17,9,508,6,82,596
Boston,17,10,673,6,87,766
Boston,17,11,262,1,48,311
Boston,17,12,485,5,82,572
Boston,17,13,657,6,158,821
Boston,17,14,688,8,127,823
Boston,18,1,932,8,134,"1,074"
Boston,18,2,654,1,84,739
Boston,18,3,750,5,118,873
Boston,18,4,738,3,115,856
Boston,18,5,837,11,110,958
Boston,18,6,"1,053",15,144,"1,212"
Boston,18,7,752,11,111,874
Boston,18,8,"1,233",5,209,"1,447"
Boston,18,9,789,23,168,980
Boston,18,10,"1,176",17,257,"1,450"
Boston,18,11,653,5,121,779
Boston,18,12,764,15,187,966
Boston,18,13,441,4,97,542
Boston,18,14,463,2,61,526
Boston,18,15,714,7,118,839
Boston,18,16,816,13,280,"1,109"
Boston,18,17,757,17,138,912
Boston,18,18,919,18,225,"1,162"
Boston,18,19,"1,211",16,285,"1,512"
Boston,18,20,"1,056",10,297,"1,363"
Boston,18,21,873,11,116,"1,000"
Boston,18,22,856,9,260,"1,125"
Boston,18,23,665,6,92,763
Boston,19,1,891,4,138,"1,033"
Boston,19,2,922,17,246,"1,185"
Boston,19,3,716,3,131,850
Boston,19,4,"1,059",2,152,"1,213"
Boston,19,5,794,7,158,959
Boston,19,6,"1,137",8,183,"1,328"
Boston,19,7,"1,055",9,179,"1,243"
Boston,19,8,521,3,141,665
Boston,19,9,544,7,103,654
Boston,19,10,929,10,185,"1,124"
Boston,19,11,786,4,106,896
Boston,19,12,713,4,130,847
Boston,19,13,590,8,89,687
Boston,20,1,784,10,225,"1,019"
Boston,20,2,855,12,178,"1,045"
Boston,20,3,766,20,279,"1,065"
Boston,20,4,751,8,198,957
Boston,20,5,731,8,282,"1,021"
Boston,20,6,918,8,293,"1,219"
Boston,20,7,622,5,173,800
Boston,20,8,686,3,161,850
Boston,20,9,700,17,178,895
Boston,20,10,973,20,319,"1,312"
Boston,20,11,468,10,148,626
Boston,20,12,522,8,214,744
Boston,20,13,549,4,191,744
Boston,20,14,500,7,219,726
Boston,20,15,897,10,284,"1,191"
Boston,20,16,911,23,327,"1,261"
Boston,20,17,"1,020",20,407,"1,447"
Boston,20,18,536,6,176,718
Boston,20,19,510,11,218,739
Boston,20,20,926,21,286,"1,233"
Boston,21,1,901,9,112,"1,022"
Boston,21,2,285,0,26,311
Boston,21,3,586,9,71,666
Boston,21,4,541,3,57,601
Boston,21,5,848,8,91,947
Boston,21,6,559,6,94,659
Boston,21,7,671,3,108,782
Boston,21,8,938,10,105,"1,053"
Boston,21,9,832,10,129,971
Boston,21,10,747,8,128,883
Boston,21,11,894,11,116,"1,021"
Boston,21,12,810,13,145,968
Boston,21,13,861,15,320,"1,196"
Boston,21,14,605,7,70,682
Boston,21,15,710,7,80,797
Boston,21,16,790,12,147,949
Boston,22,1,886,7,170,"1,063"
Boston,22,2,"1,136",25,203,"1,364"
Boston,22,3,952,13,183,"1,148"
Boston,22,4,677,9,164,850
Boston,22,5,515,6,108,629
Boston,22,6,599,6,96,701
Boston,22,7,868,13,154,"1,035"
Boston,22,8,524,23,170,717
Boston,22,9,663,15,148,826
Boston,22,10,795,18,158,971
Boston,22,11,525,9,130,664
Boston,22,12,501,8,130,639
Boston,22,13,528,5,117,650
Chelsea,1,1,308,0,66,374
Chelsea,1,2,173,0,41,214
Chelsea,1,3,248,0,55,303
Chelsea,1,4,262,0,29,291
Chelsea,2,1,722,0,231,953
Chelsea,2,2,442,0,86,528
Chelsea,2,3,174,0,31,205
Chelsea,2,4,270,0,70,340
Chelsea,3,1,267,0,59,326
Chelsea,3,2,408,0,77,485
Chelsea,3,3,320,0,67,387
Chelsea,3,4,336,0,90,426
Chelsea,4,1,360,0,79,439
Chelsea,4,2,395,0,148,543
Chelsea,4,3,402,0,134,536
Chelsea,4,4,287,0,90,377
Revere,1,1,637,17,203,857
Revere,1,2,596,9,165,770
Revere,1,3,542,5,171,718
Revere,2,1,461,6,99,566
Revere,2,2,526,4,125,655
Revere,2,3,215,6,36,257
Revere,2,3A,87,3,21,111
Revere,3,1,554,10,206,770
Revere,3,2,544,10,175,729
Revere,3,3,520,11,178,709
Revere,4,1,556,14,227,797
Revere,4,2,489,9,208,706
Revere,4,3,628,18,235,881
Revere,5,1,496,12,236,744
Revere,5,1A,398,6,151,555
Revere,5,2,287,7,136,430
Revere,5,2A,237,2,62,301
Revere,5,3,601,13,198,812
Revere,6,1,626,21,337,984
Revere,6,2,635,20,374,"1,029"
Revere,6,3,502,14,144,660
Winthrop,-,1,951,17,396,"1,364"
Winthrop,-,2,902,11,347,"1,260"
Winthrop,-,3,963,26,303,"1,292"
Winthrop,-,4,820,20,302,"1,142"
Winthrop,-,5,994,12,380,"1,386"
Winthrop,-,6,946,18,295,"1,259"
TOTALS,,,"205,734","2,756","46,352","254,842"
