City/Town,Ward,Pct,"Harris/ Walz","Trump/ Vance","Stein/ Caballero-Roca","Ayyadurai/ Ellis","Oliver/ Ter Maat","De La Cruz/ Garcia","Sonski/ Onak","West/ Abdullah","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled,Unenrolled,Libertarian,Unenrolled,Unenrolled,Unenrolled
"N. Reading",-,3,"1,227","1,119",9,16,11,6,0,0,17,34,"2,439"
"N. Reading",-,4,"1,287","1,101",13,17,13,3,0,0,18,31,"2,483"
Northampton,1,A,958,144,21,2,5,10,0,0,5,8,"1,153"
Northampton,1,B,"1,167",90,19,0,5,14,0,1,8,13,"1,317"
Northampton,2,A,899,39,25,1,2,16,0,1,6,9,998
Northampton,2,B,728,52,15,1,3,15,0,0,3,7,824
Northampton,3,A,"1,017",139,49,0,6,37,1,1,3,13,"1,266"
Northampton,3,B,"1,041",94,58,3,4,29,0,3,3,10,"1,245"
Northampton,4,A,864,64,16,2,9,18,0,0,2,16,991
Northampton,4,B,"1,137",105,22,2,2,22,0,2,20,15,"1,327"
Northampton,5,A,947,128,20,6,1,8,0,0,3,11,"1,124"
Northampton,5,B,"1,141",113,25,5,5,12,0,0,10,4,"1,315"
Northampton,6,A,"1,165",317,22,12,4,6,0,0,9,13,"1,548"
Northampton,6,B,"1,259",209,14,2,4,13,2,0,7,9,"1,519"
Northampton,7,A,"1,057",142,21,5,3,7,0,1,7,13,"1,256"
Northampton,7,B,"1,097",164,20,8,5,20,0,0,8,10,"1,332"
Northborough,-,1,"1,421",774,33,15,12,7,0,0,15,19,"2,296"
Northborough,-,2,"1,443",688,29,11,24,5,0,0,14,17,"2,231"
Northborough,-,3,"1,517",730,25,11,17,6,0,0,27,28,"2,361"
Northborough,-,4,"1,470",777,33,16,13,3,0,0,21,19,"2,352"
Northbridge,-,1,"1,061",872,7,16,17,6,0,0,16,26,"2,021"
Northbridge,-,2,808,793,13,16,15,3,0,0,17,17,"1,682"
Northbridge,-,3,710,784,5,10,11,2,0,0,8,19,"1,549"
Northbridge,-,4,953,"1,067",11,16,14,2,0,0,14,24,"2,101"
Northbridge,-,5,841,999,13,11,30,3,0,0,10,16,"1,923"
Northfield,-,1,"1,179",689,19,13,17,4,0,0,17,16,"1,954"
