City/Town,Ward,Pct,"Maria C. Curtatone","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Newton,1,1,852,12,272,"1,136"
Newton,1,2,"1,068",11,238,"1,317"
Newton,1,3,"1,036",10,247,"1,293"
Newton,1,4,893,16,352,"1,261"
Newton,2,1,"1,013",11,334,"1,358"
Newton,2,2,715,5,234,954
Newton,2,3,"1,176",8,344,"1,528"
Newton,2,4,"1,128",16,369,"1,513"
Newton,3,1,"1,082",18,320,"1,420"
Newton,3,2,"1,112",7,331,"1,450"
Newton,3,3,"1,015",12,377,"1,404"
Newton,3,4,"1,014",16,318,"1,348"
Newton,4,1,937,16,327,"1,280"
Newton,4,2,971,18,276,"1,265"
Newton,4,3,677,4,224,905
Newton,4,4,891,13,326,"1,230"
Newton,5,1,993,25,276,"1,294"
Newton,5,2,"1,071",6,298,"1,375"
Newton,5,3,"1,251",11,381,"1,643"
Newton,5,4,"1,237",9,339,"1,585"
Newton,6,1,929,10,317,"1,256"
Newton,6,2,"1,124",14,297,"1,435"
Newton,6,3,"1,194",10,341,"1,545"
Newton,6,4,"1,224",8,350,"1,582"
Newton,7,1,866,20,312,"1,198"
Newton,7,2,"1,198",13,386,"1,597"
Newton,7,3,345,4,79,428
Newton,7,4,495,4,179,678
Newton,8,1,"1,124",11,441,"1,576"
Newton,8,2,991,23,363,"1,377"
Newton,8,3,"1,061",24,387,"1,472"
Newton,8,4,660,11,226,897
"N. Reading",-,1,"1,235",15,671,"1,921"
"N. Reading",-,2,"1,133",10,563,"1,706"
"N. Reading",-,3,"1,232",9,661,"1,902"
"N. Reading",-,4,"1,347",3,634,"1,984"
Pepperell,-,1,"1,179",43,514,"1,736"
Pepperell,-,2,"1,317",19,597,"1,933"
Pepperell,-,3,"1,266",13,571,"1,850"
Reading,-,1,"1,221",29,613,"1,863"
Reading,-,2,"1,092",20,450,"1,562"
Reading,-,3,"1,357",22,625,"2,004"
Reading,-,4,"1,147",19,521,"1,687"
Reading,-,5,"1,127",20,439,"1,586"
Reading,-,6,929,16,437,"1,382"
Reading,-,7,"1,151",21,578,"1,750"
Reading,-,8,"1,048",17,545,"1,610"
Sherborn,-,1,"1,799",8,605,"2,412"
