City/Town,Ward,Pct,"Elizabeth Ann Warren","John Deaton","All Others",Blanks,"Total Votes Cast"
Beverly,4,2,"1,688",680,3,57,"2,428"
Beverly,5,1,"1,123",830,1,55,"2,009"
Beverly,5,2,"1,129",779,2,57,"1,967"
Beverly,6,1,"1,397",865,1,61,"2,324"
Beverly,6,2,"1,267","1,073",0,61,"2,401"
Billerica,-,1,807,715,1,49,"1,572"
Billerica,-,2,"1,026","1,032",3,46,"2,107"
Billerica,-,3,965,"1,084",0,46,"2,095"
Billerica,-,4,866,903,4,46,"1,819"
Billerica,-,5,"1,070","1,265",3,78,"2,416"
Billerica,-,6,891,840,5,46,"1,782"
Billerica,-,7,"1,002",870,3,43,"1,918"
Billerica,-,8,924,"1,002",5,62,"1,993"
Billerica,-,9,939,"1,210",2,47,"2,198"
Billerica,-,10,984,"1,294",0,58,"2,336"
Billerica,-,11,823,864,2,46,"1,735"
Billerica,-,12,927,941,6,36,"1,910"
Blackstone,-,1,659,883,0,32,"1,574"
Blackstone,-,2,717,949,0,40,"1,706"
Blackstone,-,3,738,"1,081",1,54,"1,874"
Blandford,-,1,283,523,0,14,820
Bolton,-,1,"2,270","1,379",30,27,"3,706"
Boston,1,1,787,275,2,35,"1,099"
Boston,1,2,612,216,5,27,860
Boston,1,3,"1,607",506,7,92,"2,212"
Boston,1,4,652,201,4,21,878
Boston,1,5,683,235,3,39,960
Boston,1,6,580,175,6,36,797
Boston,1,7,646,195,4,30,875
Boston,1,8,805,237,0,46,"1,088"
Boston,1,9,594,184,0,26,804
Boston,1,10,316,134,0,28,478
Boston,1,11,707,331,5,38,"1,081"
Boston,1,12,581,384,4,41,"1,010"
Boston,1,13,826,456,10,49,"1,341"
Boston,1,14,392,244,3,43,682
Boston,1,15,0,0,0,0,0
Boston,2,1,941,535,6,62,"1,544"
Boston,2,2,847,485,6,46,"1,384"
Boston,2,3,990,514,7,46,"1,557"
Boston,2,4,939,403,4,40,"1,386"
Boston,2,5,948,486,6,35,"1,475"
Boston,2,6,793,442,4,35,"1,274"
Boston,2,7,602,248,3,28,881
Boston,2,8,592,166,1,68,827
Boston,3,1,832,466,1,51,"1,350"
Boston,3,2,847,501,4,49,"1,401"
Boston,3,3,557,287,3,22,869
Boston,3,4,632,318,2,25,977
Boston,3,5,955,286,8,41,"1,290"
Boston,3,6,628,244,5,27,904
Boston,3,7,894,224,6,31,"1,155"
Boston,3,8,830,230,5,61,"1,126"
Boston,3,9,631,202,2,15,850
Boston,3,10,"1,064",370,6,29,"1,469"
Boston,3,11,722,356,2,36,"1,116"
Boston,3,12,901,324,4,51,"1,280"
Boston,3,13,569,324,0,27,920
Boston,3,13A,0,0,0,0,0
Boston,3,14,788,184,0,66,"1,038"
Boston,3,15,861,225,2,32,"1,120"
Boston,3,16,"1,203",218,3,30,"1,454"
Boston,3,17,693,203,2,20,918
Boston,4,1,850,233,4,33,"1,120"
Boston,4,2,684,273,7,26,990
Boston,4,3,"1,017",255,2,56,"1,330"
Boston,4,4,"1,070",290,5,48,"1,413"
Boston,4,5,866,235,4,51,"1,156"
Boston,4,6,654,248,2,33,937
Boston,4,7,629,116,0,43,788
Boston,4,8,630,149,3,43,825
Boston,4,9,223,27,1,13,264
Boston,4,10,234,33,0,11,278
Boston,4,11,48,9,0,1,58
Boston,4,12,221,29,2,13,265
Boston,5,1,564,93,2,66,725
Boston,5,2,715,133,4,50,902
Boston,5,3,"1,060",416,9,39,"1,524"
Boston,5,4,683,147,3,12,845
Boston,5,5,694,311,4,28,"1,037"
Boston,5,6,810,364,6,38,"1,218"
Boston,5,7,"1,069",432,5,46,"1,552"
Boston,5,8,926,378,3,28,"1,335"
Boston,5,9,921,346,6,29,"1,302"
Boston,5,10,531,133,1,25,690
Boston,5,11,448,139,2,12,601
Boston,5,12,553,127,1,13,694
Boston,5,13,798,280,3,33,"1,114"
Boston,5,14,728,213,1,30,972
Boston,5,15,598,195,3,25,821
Boston,6,1,"1,029",422,4,42,"1,497"
Boston,6,2,598,342,2,43,985
Boston,6,3,689,459,2,46,"1,196"
Boston,6,4,518,397,5,30,950
Boston,6,5,701,483,1,47,"1,232"
Boston,6,6,651,623,4,28,"1,306"
Boston,6,7,595,593,4,28,"1,220"
Boston,6,8,699,665,7,55,"1,426"
Boston,6,9,638,673,2,46,"1,359"
Boston,6,10,616,411,3,31,"1,061"
Boston,6,11,787,364,2,27,"1,180"
Boston,6,12,"1,186",874,4,35,"2,099"
Boston,6,12A,0,0,0,0,0
Boston,7,1,512,530,2,39,"1,083"
Boston,7,2,615,593,3,49,"1,260"
Boston,7,3,709,643,4,43,"1,399"
Boston,7,4,546,448,4,28,"1,026"
Boston,7,5,738,409,2,36,"1,185"
Boston,7,6,627,285,4,45,961
Boston,7,7,418,134,1,36,589
Boston,7,8,645,294,3,28,970
Boston,7,9,516,217,0,20,753
Boston,7,10,632,75,1,12,720
Boston,8,1,"1,087",236,6,62,"1,391"
Boston,8,2,769,135,4,17,925
Boston,8,3,755,81,4,25,865
Boston,8,4,525,87,3,23,638
Boston,8,5,832,101,2,27,962
Boston,8,6,159,39,1,7,206
Boston,8,6A,0,0,0,0,0
Boston,9,1,979,175,3,69,"1,226"
Boston,9,2,933,151,4,34,"1,122"
Boston,9,3,758,106,2,60,926
Boston,9,4,734,79,5,52,870
Boston,9,5,783,61,4,37,885
Boston,9,6,903,126,3,45,"1,077"
Boston,9,7,279,63,0,12,354
Boston,10,1,459,59,1,22,541
Boston,10,2,415,77,0,30,522
Boston,10,3,346,73,1,15,435
Boston,10,4,777,135,4,52,968
Boston,10,5,479,92,4,14,589
Boston,10,6,598,77,4,36,715
Boston,10,7,764,87,3,44,898
Boston,10,8,"1,020",135,5,40,"1,200"
Boston,10,9,"1,241",127,11,30,"1,409"
Boston,10,9A,0,0,0,0,0
Boston,11,1,529,49,0,12,590
Boston,11,2,827,71,2,40,940
Boston,11,3,588,83,1,24,696
Boston,11,4,"1,059",100,9,43,"1,211"
Boston,11,5,882,99,6,31,"1,018"
Boston,11,6,812,73,9,20,914
Boston,11,7,"1,025",87,3,51,"1,166"
Boston,11,8,"1,508",129,10,24,"1,671"
Boston,11,9,753,62,8,16,839
Boston,11,10,863,61,4,26,954
Boston,12,1,812,82,3,20,917
Boston,12,2,990,98,4,34,"1,126"
Boston,12,3,447,54,0,24,525
Boston,12,4,578,62,3,19,662
Boston,12,5,326,28,0,26,380
Boston,12,6,478,41,0,10,529
Boston,12,7,"1,048",150,7,46,"1,251"
Boston,12,8,376,43,3,12,434
Boston,12,9,505,45,0,19,569
Boston,13,1,667,70,1,27,765
Boston,13,2,263,40,2,9,314
Boston,13,3,678,123,4,28,833
Boston,13,4,501,63,1,36,601
Boston,13,5,480,58,1,21,560
Boston,13,6,648,113,2,23,786
Boston,13,7,619,271,5,40,935
Boston,13,8,570,192,3,25,790
Boston,13,9,700,160,5,25,890
Boston,13,10,855,422,3,46,"1,326"
Boston,14,1,"1,016",106,4,63,"1,189"
Boston,14,2,"1,129",115,2,39,"1,285"
Boston,14,3,293,19,0,17,329
Boston,14,4,624,75,3,31,733
Boston,14,5,498,26,1,19,544
Boston,14,6,522,52,1,19,594
Boston,14,7,494,46,4,18,562
Boston,14,8,609,57,2,24,692
Boston,14,9,542,62,5,23,632
Boston,14,10,611,69,1,27,708
Boston,14,11,587,53,2,26,668
Boston,14,12,353,23,1,11,388
Boston,14,13,549,41,2,5,597
Boston,14,14,584,53,3,21,661
Boston,15,1,732,70,1,38,841
Boston,15,2,450,46,0,27,523
Boston,15,3,295,58,2,23,378
Boston,15,4,800,166,7,31,"1,004"
Boston,15,5,553,56,2,26,637
Boston,15,6,371,167,2,30,570
Boston,15,7,466,56,2,26,550
Boston,15,8,354,120,3,51,528
Boston,15,9,425,86,1,62,574
Boston,16,1,470,152,2,40,664
Boston,16,2,431,239,2,23,695
Boston,16,3,636,142,3,43,824
Boston,16,4,615,194,1,22,832
Boston,16,5,676,297,3,23,999
Boston,16,6,873,292,6,41,"1,212"
Boston,16,7,547,400,2,27,976
Boston,16,8,940,487,5,56,"1,488"
Boston,16,9,559,609,1,63,"1,232"
Boston,16,10,524,432,1,28,985
Boston,16,11,374,246,6,22,648
Boston,16,12,440,548,6,50,"1,044"
Boston,17,1,563,61,3,19,646
Boston,17,2,415,63,2,18,498
Boston,17,3,933,95,5,49,"1,082"
Boston,17,4,"1,078",212,2,53,"1,345"
Boston,17,5,417,55,1,13,486
Boston,17,6,750,85,4,19,858
Boston,17,7,367,34,0,13,414
Boston,17,8,581,78,2,31,692
Boston,17,9,562,50,0,16,628
Boston,17,10,797,82,0,30,909
Boston,17,11,314,33,0,17,364
Boston,17,12,580,63,0,15,658
Boston,17,13,666,215,2,38,921
Boston,17,14,762,150,2,36,950
Boston,18,1,"1,216",98,2,42,"1,358"
Boston,18,2,744,56,3,18,821
Boston,18,3,924,56,2,20,"1,002"
Boston,18,4,926,80,2,41,"1,049"
Boston,18,5,"1,010",63,0,25,"1,098"
Boston,18,6,"1,271",86,4,24,"1,385"
Boston,18,7,842,184,3,27,"1,056"
Boston,18,8,"1,473",208,1,45,"1,727"
Boston,18,9,897,202,3,31,"1,133"
Boston,18,10,"1,292",294,5,42,"1,633"
Boston,18,11,703,110,3,33,849
Boston,18,12,886,202,1,34,"1,123"
Boston,18,13,547,83,2,21,653
Boston,18,14,544,90,1,25,660
Boston,18,15,898,88,2,25,"1,013"
Boston,18,16,832,357,6,32,"1,227"
Boston,18,17,861,200,4,35,"1,100"
Boston,18,18,"1,024",257,4,40,"1,325"
Boston,18,19,"1,407",341,3,50,"1,801"
Boston,18,20,934,528,3,41,"1,506"
Boston,18,21,"1,124",63,3,30,"1,220"
Boston,18,22,934,385,4,40,"1,363"
Boston,18,23,682,107,2,30,821
Boston,19,1,934,73,9,14,"1,030"
Boston,19,2,"1,012",245,3,41,"1,301"
Boston,19,3,550,77,4,19,650
Boston,19,4,"1,275",94,6,31,"1,406"
Boston,19,5,884,87,4,27,"1,002"
Boston,19,6,"1,300",91,3,28,"1,422"
Boston,19,7,"1,075",104,10,22,"1,211"
Boston,19,8,811,87,4,11,913
Boston,19,9,627,58,4,10,699
Boston,19,10,"1,132",170,8,40,"1,350"
Boston,19,11,788,112,2,35,937
Boston,19,12,824,133,1,31,989
Boston,19,13,664,107,2,24,797
Boston,20,1,958,257,2,49,"1,266"
Boston,20,2,992,227,8,28,"1,255"
Boston,20,3,753,383,7,33,"1,176"
Boston,20,4,882,126,4,29,"1,041"
Boston,20,5,801,502,8,49,"1,360"
Boston,20,6,927,437,8,38,"1,410"
Boston,20,7,598,236,2,23,859
Boston,20,8,725,221,3,22,971
Boston,20,9,811,242,6,32,"1,091"
Boston,20,10,925,597,4,42,"1,568"
Boston,20,11,505,203,4,21,733
Boston,20,12,577,318,3,29,927
Boston,20,13,490,332,1,14,837
Boston,20,14,478,310,4,22,814
Boston,20,15,832,538,4,27,"1,401"
Boston,20,16,898,646,3,50,"1,597"
Boston,20,17,948,648,5,43,"1,644"
Boston,20,18,563,254,4,22,843
Boston,20,19,532,317,1,27,877
Boston,20,20,939,430,0,48,"1,417"
Boston,20,21,77,44,2,8,131
Boston,21,1,962,122,4,27,"1,115"
Boston,21,2,256,37,1,5,299
Boston,21,3,555,71,2,13,641
Boston,21,4,487,64,2,24,577
Boston,21,5,807,93,7,26,933
Boston,21,6,595,87,9,12,703
Boston,21,7,691,112,8,34,845
Boston,21,8,936,128,8,31,"1,103"
Boston,21,9,"1,135",184,9,29,"1,357"
Boston,21,10,788,134,0,23,945
Boston,21,11,914,155,7,27,"1,103"
Boston,21,12,733,191,2,39,965
Boston,21,13,913,348,7,84,"1,352"
Boston,21,14,588,85,0,15,688
Boston,21,15,742,80,3,13,838
Boston,21,16,872,205,4,32,"1,113"
Boston,22,1,988,233,8,31,"1,260"
Boston,22,2,"1,171",240,9,46,"1,466"
Boston,22,3,972,286,7,36,"1,301"
Boston,22,4,753,187,2,30,972
Boston,22,5,751,172,5,27,955
Boston,22,6,578,139,2,25,744
Boston,22,7,851,197,2,70,"1,120"
Boston,22,8,553,209,6,19,787
Boston,22,9,636,264,2,25,927
Boston,22,10,847,216,3,24,"1,090"
Boston,22,11,564,168,3,28,763
Boston,22,12,585,212,3,29,829
Boston,22,13,505,162,1,10,678
Bourne,-,1,773,"1,144",2,66,"1,985"
Bourne,-,2,879,"1,035",3,45,"1,962"
Bourne,-,3,455,564,1,27,"1,047"
Bourne,-,4,"1,024","1,035",8,53,"2,120"
Bourne,-,5,842,822,2,48,"1,714"
Bourne,-,5A,158,186,0,6,350
Bourne,-,6,801,643,0,20,"1,464"
Bourne,-,7,764,819,8,39,"1,630"
Boxborough,-,1,"2,159",958,0,75,"3,192"
Boxford,-,1,854,937,2,35,"1,828"
Boxford,-,2,985,909,2,37,"1,933"
Boxford,-,3,849,815,6,32,"1,702"
Boylston,-,1,"1,712","1,603",7,65,"3,387"
Braintree,-,1A,843,941,7,65,"1,856"
Braintree,-,1B,741,870,18,33,"1,662"
Braintree,-,2A,898,838,4,51,"1,791"
Braintree,-,2B,820,842,4,46,"1,712"
Braintree,-,3A,749,674,4,51,"1,478"
Braintree,-,3B,805,741,1,48,"1,595"
Braintree,-,4A,814,737,2,46,"1,599"
Braintree,-,4B,818,623,2,48,"1,491"
Braintree,-,5A,829,818,3,38,"1,688"
Braintree,-,5B,869,845,5,75,"1,794"
Braintree,-,6A,941,"1,010",4,58,"2,013"
Braintree,-,6B,865,984,3,52,"1,904"
Brewster,-,1,"1,577","1,000",5,48,"2,630"
Brewster,-,2,"1,464",833,2,40,"2,339"
Brewster,-,3,"1,396",937,1,46,"2,380"
Bridgewater,-,1,811,"1,103",3,48,"1,965"
Bridgewater,-,2,834,"1,033",2,47,"1,916"
Bridgewater,-,3,968,"1,284",0,74,"2,326"
Bridgewater,-,4,423,612,3,24,"1,062"
Bridgewater,-,5,136,87,0,5,228
Bridgewater,-,6,701,743,0,31,"1,475"
Bridgewater,-,7,906,979,0,55,"1,940"
Bridgewater,-,8,865,754,0,40,"1,659"
Bridgewater,-,9,915,"1,117",0,54,"2,086"
Brimfield,-,1,967,"1,355",19,22,"2,363"
Brockton,1,A,825,183,1,29,"1,038"
Brockton,1,B,"1,055",372,1,67,"1,495"
Brockton,1,C,910,374,0,34,"1,318"
Brockton,1,D,"1,186",653,1,47,"1,887"
Brockton,2,A,643,102,0,33,778
Brockton,2,B,788,136,0,42,966
Brockton,2,C,534,96,1,51,682
Brockton,2,D,844,252,0,36,"1,132"
Brockton,3,A,886,281,0,60,"1,227"
Brockton,3,B,712,180,0,44,936
Brockton,3,C,"1,122",532,0,34,"1,688"
Brockton,3,D,"1,024",592,0,49,"1,665"
Brockton,4,A,544,130,0,26,700
Brockton,4,B,881,267,0,52,"1,200"
Brockton,4,C,"1,003",449,0,54,"1,506"
Brockton,4,D,936,422,0,53,"1,411"
Brockton,5,A,737,161,1,43,942
Brockton,5,B,"1,013",392,0,48,"1,453"
Brockton,5,C,909,219,0,52,"1,180"
Brockton,5,D,"1,068",507,0,44,"1,619"
Brockton,6,A,835,307,0,48,"1,190"
Brockton,6,B,989,491,0,72,"1,552"
Brockton,6,C,989,356,1,36,"1,382"
Brockton,6,D,"1,078",678,0,60,"1,816"
Brockton,7,A,770,159,0,30,959
Brockton,7,B,"1,019",257,0,50,"1,326"
Brockton,7,C,858,207,0,40,"1,105"
Brockton,7,D,960,334,0,37,"1,331"
Brookfield,-,1,890,"1,170",2,45,"2,107"
Brookline,-,1,"1,174",245,6,43,"1,468"
Brookline,-,2,808,166,6,31,"1,011"
Brookline,-,3,"1,403",229,4,41,"1,677"
Brookline,-,4,"1,099",229,9,46,"1,383"
Brookline,-,5,703,154,2,20,879
Brookline,-,5A,695,124,2,23,844
Brookline,-,6,"1,507",233,2,41,"1,783"
Brookline,-,7,"1,275",262,1,38,"1,576"
Brookline,-,8,"1,418",182,12,45,"1,657"
Brookline,-,9,"1,424",253,5,53,"1,735"
Brookline,-,10,"1,405",268,6,48,"1,727"
Brookline,-,11,"1,518",249,9,51,"1,827"
Brookline,-,12,"1,453",378,6,55,"1,892"
Brookline,-,13,"1,253",292,8,37,"1,590"
Brookline,-,13A,210,65,2,10,287
Brookline,-,14,"1,053",491,3,49,"1,596"
Brookline,-,14A,288,106,4,20,418
Brookline,-,15,"1,314",542,4,68,"1,928"
Brookline,-,16,"1,312",427,11,58,"1,808"
Brookline,-,17,"1,215",248,7,30,"1,500"
Buckland,-,1,780,340,0,23,"1,143"
Burlington,-,1,"1,150","1,101",3,118,"2,372"
Burlington,-,2,820,580,2,49,"1,451"
Burlington,-,3,"1,131",905,8,89,"2,133"
Burlington,-,4,943,679,6,70,"1,698"
Burlington,-,5,"1,264","1,081",2,86,"2,433"
Burlington,-,6,"1,191","1,059",6,96,"2,352"
Burlington,-,7,"1,242",831,3,85,"2,161"
Cambridge,1,1,785,197,1,27,"1,010"
Cambridge,1,2,378,60,0,15,453
Cambridge,1,2A,31,6,0,1,38
Cambridge,1,3,"1,227",255,0,53,"1,535"
Cambridge,2,1,"1,364",206,5,58,"1,633"
Cambridge,2,2,"1,279",224,3,42,"1,548"
Cambridge,2,3,"1,126",221,2,36,"1,385"
Cambridge,2,3A,115,27,0,5,147
Cambridge,3,1,"1,203",112,3,53,"1,371"
Cambridge,3,2,"1,440",168,6,44,"1,658"
Cambridge,3,3,"1,003",79,0,23,"1,105"
Cambridge,3,3A,496,46,1,13,556
Cambridge,4,1,"1,712",190,4,45,"1,951"
Cambridge,4,2,"1,335",126,0,42,"1,503"
Cambridge,4,2A,221,22,0,5,248
Cambridge,4,3,"1,560",126,2,39,"1,727"
Cambridge,5,1,"1,412",154,5,59,"1,630"
Cambridge,5,2,257,38,1,15,311
Cambridge,5,3,"1,385",122,5,48,"1,560"
Cambridge,6,1,"1,283",110,1,49,"1,443"
Cambridge,6,1A,367,26,1,17,411
Cambridge,6,2,931,107,1,34,"1,073"
Cambridge,6,3,"1,712",167,4,54,"1,937"
Cambridge,7,1,"1,525",116,2,46,"1,689"
Cambridge,7,2,"1,073",121,4,39,"1,237"
Cambridge,7,2A,37,3,0,0,40
Cambridge,7,3,436,68,2,25,531
Cambridge,8,1,"1,382",94,1,34,"1,511"
Cambridge,8,2,"1,385",136,6,38,"1,565"
Cambridge,8,3,483,48,4,12,547
Cambridge,9,1,"2,145",264,5,56,"2,470"
Cambridge,9,2,"1,717",238,2,46,"2,003"
Cambridge,9,3,"1,597",244,3,66,"1,910"
Cambridge,10,1,"1,157",131,0,22,"1,310"
Cambridge,10,1A,761,96,1,20,878
Cambridge,10,2,"1,986",137,3,46,"2,172"
Cambridge,10,3,"1,508",162,2,50,"1,722"
Cambridge,11,1,670,89,0,17,776
Cambridge,11,1A,707,96,1,25,829
Cambridge,11,2,"1,093",162,0,64,"1,319"
Cambridge,11,3,"1,523",174,0,46,"1,743"
Cambridge,11,3A,163,10,0,3,176
Canton,-,1,"1,054",756,1,51,"1,862"
Canton,-,2,"1,343",940,3,78,"2,364"
Canton,-,3,911,683,0,60,"1,654"
Canton,-,4,"1,056",955,1,71,"2,083"
Canton,-,5,"1,102",959,1,67,"2,129"
Canton,-,6,"1,125",778,3,60,"1,966"
Canton,-,7,"1,171",900,4,65,"2,140"
Carlisle,-,1,"2,438",943,4,76,"3,461"
Carver,-,1,892,"1,418",9,63,"2,382"
Carver,-,2,850,"1,370",3,68,"2,291"
Carver,-,3,"1,057","1,372",8,74,"2,511"
Charlemont,-,1,452,270,0,22,744
Charlton,-,1,802,"1,135",4,43,"1,984"
