City/Town,Ward,Pct,"Edward J. Markey","Kevin J. O'Connor","Shiva Ayyadurai","All Others",Blanks,"Total Votes Cast"
Andover,-,4,"1,514",885,21,16,43,"2,479"
Andover,-,5,"1,686","1,013",22,6,39,"2,766"
Andover,-,6,"1,543",907,11,2,55,"2,518"
Andover,-,7,"1,206",682,7,4,20,"1,919"
Andover,-,7A,342,185,1,0,8,536
Andover,-,8,"1,521",774,11,5,51,"2,362"
Andover,-,9,"1,500",820,29,4,47,"2,400"
Aquinnah,-,1,311,44,0,0,0,355
Arlington,-,1,879,157,5,0,28,"1,069"
Arlington,-,2,"1,177",231,5,0,31,"1,444"
Arlington,-,3,"1,228",138,7,0,25,"1,398"
Arlington,-,4,"1,114",168,7,4,25,"1,318"
Arlington,-,5,"1,090",215,3,0,24,"1,332"
Arlington,-,6,"1,067",198,7,0,17,"1,289"
Arlington,-,7,"1,083",174,3,1,16,"1,277"
Arlington,-,8,"1,244",205,8,2,22,"1,481"
Arlington,-,9,"1,020",225,5,2,28,"1,280"
Arlington,-,10,"1,217",209,2,2,27,"1,457"
Arlington,-,11,"1,153",294,5,1,22,"1,475"
Arlington,-,12,"1,284",240,10,2,26,"1,562"
Arlington,-,13,982,384,5,1,28,"1,400"
Arlington,-,14,"1,103",205,1,0,23,"1,332"
Arlington,-,15,"1,186",286,12,0,19,"1,503"
Arlington,-,16,"1,078",224,3,0,16,"1,321"
Arlington,-,17,"1,057",187,5,0,23,"1,272"
Arlington,-,18,"1,111",322,6,0,21,"1,460"
Arlington,-,19,"1,150",241,6,0,12,"1,409"
Arlington,-,20,"1,092",209,7,0,24,"1,332"
Arlington,-,21,"1,142",187,2,1,16,"1,348"
Ashburnham,-,1,"2,037","1,606",116,12,66,"3,837"
Ashby,-,1,965,963,66,3,35,"2,032"
Ashfield,-,1,981,219,10,0,20,"1,230"
Ashland,-,1,"1,320",625,15,0,41,"2,001"
Ashland,-,2,"1,456",670,11,0,48,"2,185"
Ashland,-,3,"1,348",635,10,0,36,"2,029"
Ashland,-,4,"1,321",605,11,0,60,"1,997"
Ashland,-,5,"1,614",664,10,0,64,"2,352"
Athol,-,1,967,877,61,1,36,"1,942"
Athol,-,2,862,856,48,4,28,"1,798"
Athol,-,3,970,759,34,2,26,"1,791"
Attleboro,1,A,"1,024",773,12,2,50,"1,861"
Attleboro,1,B,"1,053",811,10,3,48,"1,925"
Attleboro,2,A,"1,142",832,18,0,45,"2,037"
Attleboro,2,B,"1,255",951,20,3,66,"2,295"
Attleboro,3,A,"1,282",761,3,2,41,"2,089"
Attleboro,3,B,"1,219",781,15,1,40,"2,056"
Attleboro,4,A,"1,072",515,7,0,34,"1,628"
Attleboro,4,B,"1,425","1,132",9,7,47,"2,620"
Attleboro,5,A,844,364,11,23,0,"1,242"
Attleboro,5,B,"1,181",717,10,0,43,"1,951"
Attleboro,6,A,"1,042",777,19,7,55,"1,900"
Attleboro,6,B,"1,199",829,7,6,46,"2,087"
Auburn,-,1,"1,166",929,23,4,49,"2,171"
Auburn,-,2,"1,173",885,22,1,42,"2,123"
Auburn,-,3,"1,184",868,19,3,63,"2,137"
Auburn,-,4,"1,126",686,27,3,49,"1,891"
Auburn,-,5,"1,019",853,24,0,43,"1,939"
Avon,-,1,"1,672",969,10,2,70,"2,723"
Ayer,-,1,"1,379",755,17,3,34,"2,188"
Ayer,-,2,"1,565",820,5,22,53,"2,465"
Barnstable,-,1,"1,616","1,108",21,2,55,"2,802"
Barnstable,-,2,"1,321","1,030",14,0,42,"2,407"
Barnstable,-,3,"1,132",644,8,0,40,"1,824"
Barnstable,-,4,"1,262",882,6,2,36,"2,188"
Barnstable,-,5,"1,261","1,214",4,0,43,"2,522"
Barnstable,-,6,"1,314","1,037",11,0,43,"2,405"
Barnstable,-,7,"1,543","1,075",11,2,48,"2,679"
Barnstable,-,8,"1,025",583,6,7,54,"1,675"
Barnstable,-,9,737,383,1,2,28,"1,151"
Barnstable,-,10,"1,189",995,18,0,44,"2,246"
Barnstable,-,11,"1,345","1,182",10,3,42,"2,582"
Barnstable,-,12,"1,377","1,110",18,1,44,"2,550"
Barnstable,-,13,"1,011",599,8,1,34,"1,653"
Barre,-,1,857,699,49,1,28,"1,634"
Barre,-,2,697,763,48,0,25,"1,533"
Becket,-,1,740,397,19,1,41,"1,198"
Bedford,-,1,"1,712",628,7,1,40,"2,388"
Bedford,-,2,"1,446",682,8,2,40,"2,178"
Bedford,-,3,"1,653",590,4,4,35,"2,286"
Bedford,-,4,"1,443",555,12,5,35,"2,050"
Belchertown,-,A,"1,508",793,17,2,49,"2,369"
Belchertown,-,B,"1,326","1,009",17,4,91,"2,447"
Belchertown,-,C,"1,381","1,033",20,1,71,"2,506"
Belchertown,-,D,"1,604",682,26,1,56,"2,369"
Bellingham,-,1,"1,017",811,9,16,38,"1,891"
Bellingham,-,2,"1,134",942,26,2,55,"2,159"
Bellingham,-,3,"1,213",886,26,1,47,"2,173"
Bellingham,-,4,800,740,15,1,27,"1,583"
Bellingham,-,4A,140,142,2,1,3,288
Bellingham,-,5,930,845,4,48,12,"1,839"
Belmont,-,1,"1,514",387,7,5,46,"1,959"
Belmont,-,2,"1,524",545,12,2,38,"2,121"
Belmont,-,3,"1,423",378,16,1,57,"1,875"
Belmont,-,4,"1,265",340,14,0,39,"1,658"
Belmont,-,5,"1,432",371,7,2,35,"1,847"
Belmont,-,6,"1,533",341,10,1,29,"1,914"
Belmont,-,7,"1,563",362,1,3,30,"1,959"
Belmont,-,8,"1,535",563,11,2,48,"2,159"
Berkley,-,1,"1,032","1,127",20,5,37,"2,221"
Berkley,-,2,823,"1,004",25,3,67,"1,922"
Berlin,-,1,"1,351",859,29,5,31,"2,275"
Bernardston,-,1,875,448,21,0,41,"1,385"
Beverly,1,1,"1,210",628,13,0,44,"1,895"
Beverly,1,2,"1,375",717,14,2,38,"2,146"
Beverly,2,1,"1,570",480,10,0,35,"2,095"
Beverly,2,2,"1,588",492,10,0,48,"2,138"
Beverly,3,1,"1,323",463,4,0,39,"1,829"
Beverly,3,2,"1,241",577,13,0,44,"1,875"
Beverly,4,1,879,396,18,0,29,"1,322"
Beverly,4,2,"1,794",626,17,1,42,"2,480"
Beverly,5,1,"1,368",738,11,0,53,"2,170"
Beverly,5,2,"1,336",736,1,0,63,"2,136"
Beverly,6,1,"1,518",723,15,0,50,"2,306"
Beverly,6,2,"1,348",890,1,0,73,"2,312"
Billerica,-,1,"1,361",872,15,3,60,"2,311"
Billerica,-,2,"1,320",883,12,3,46,"2,264"
Billerica,-,3,"1,252",944,23,1,50,"2,270"
Billerica,-,4,"1,047",815,27,2,36,"1,927"
Billerica,-,5,"1,236","1,091",10,6,49,"2,392"
Billerica,-,6,"1,276",947,6,16,54,"2,299"
Billerica,-,7,"1,253",802,28,1,34,"2,118"
Billerica,-,8,"1,290","1,017",18,4,74,"2,403"
Billerica,-,9,"1,199",976,21,2,40,"2,238"
Billerica,-,10,"1,187","1,077",17,3,55,"2,339"
Billerica,-,11,"1,190",975,17,0,35,"2,217"
Blackstone,-,1,782,748,17,0,41,"1,588"
Blackstone,-,2,902,883,18,2,39,"1,844"
Blackstone,-,3,799,867,20,1,34,"1,721"
Blandford,-,1,283,462,19,0,17,781
Bolton,-,1,"2,403","1,302",30,0,78,"3,813"
Boston,1,1,933,220,0,5,24,"1,182"
Boston,1,2,675,144,0,8,23,850
Boston,1,3,"1,721",365,5,6,68,"2,165"
Boston,1,4,722,139,8,1,25,895
Boston,1,5,814,182,6,2,36,"1,040"
Boston,1,6,721,124,2,0,37,884
Boston,1,7,734,164,3,0,38,939
Boston,1,8,939,209,6,1,61,"1,216"
Boston,1,9,682,125,0,6,29,842
Boston,1,10,474,101,3,2,17,597
Boston,1,11,741,270,0,10,51,"1,072"
Boston,1,12,734,313,0,11,39,"1,097"
Boston,1,13,"1,042",338,0,4,46,"1,430"
Boston,1,14,463,201,0,9,28,701
Boston,1,15,1,0,0,0,0,1
Boston,2,1,"1,230",457,2,7,59,"1,755"
Boston,2,2,"1,664",468,2,7,68,"2,209"
Boston,2,3,959,311,4,3,29,"1,306"
Boston,2,4,910,265,1,4,40,"1,220"
Boston,2,5,982,353,2,7,37,"1,381"
Boston,2,6,"1,168",435,3,9,60,"1,675"
Boston,2,7,"1,141",377,0,6,32,"1,556"
Boston,3,1,"1,684",663,6,8,76,"2,437"
Boston,3,2,878,340,0,4,33,"1,255"
Boston,3,3,"1,002",303,3,1,55,"1,364"
Boston,3,4,"1,156",396,12,4,41,"1,609"
Boston,3,5,"2,143",569,8,8,74,"2,802"
Boston,3,6,"2,536",830,8,10,83,"3,467"
Boston,3,7,"2,407",346,3,4,67,"2,827"
Boston,3,8,"3,391",625,0,20,198,"4,234"
Boston,4,1,"1,234",251,2,2,26,"1,515"
Boston,4,2,"1,818",437,3,8,62,"2,328"
Boston,4,3,892,143,1,2,20,"1,058"
Boston,4,4,"1,182",190,0,6,47,"1,425"
Boston,4,5,826,132,0,5,33,996
Boston,4,6,716,148,1,0,22,887
Boston,4,7,754,102,2,1,18,877
Boston,4,8,613,104,2,3,24,746
Boston,4,9,379,35,0,0,22,436
Boston,4,10,200,18,0,0,4,222
Boston,5,1,"2,471",499,1,5,123,"3,099"
Boston,5,2,955,101,4,2,18,"1,080"
Boston,5,2A,642,99,1,1,16,759
Boston,5,3,"1,056",297,0,3,27,"1,383"
Boston,5,4,"1,363",276,1,1,26,"1,667"
Boston,5,5,411,120,0,4,8,543
Boston,5,6,987,353,0,7,34,"1,381"
Boston,5,7,"1,299",366,1,8,31,"1,705"
Boston,5,8,"1,163",364,0,1,29,"1,557"
Boston,5,9,"1,618",387,7,6,40,"2,058"
Boston,5,10,927,199,4,4,26,"1,160"
Boston,5,11,720,180,0,2,18,920
Boston,6,1,"3,807","1,268",10,13,125,"5,223"
Boston,6,2,761,264,8,1,38,"1,072"
Boston,6,3,"1,099",442,8,7,39,"1,595"
Boston,6,4,"1,027",444,0,12,38,"1,521"
Boston,6,5,"1,014",491,0,6,45,"1,556"
Boston,6,6,757,444,0,11,54,"1,266"
Boston,6,7,877,492,6,3,45,"1,423"
Boston,6,8,795,430,0,8,44,"1,277"
Boston,6,9,690,505,5,2,59,"1,261"
Boston,7,1,680,417,3,3,41,"1,144"
Boston,7,2,910,514,7,4,43,"1,478"
Boston,7,3,948,512,0,8,51,"1,519"
Boston,7,4,875,389,6,4,46,"1,320"
Boston,7,5,796,272,0,2,31,"1,101"
Boston,7,6,759,254,0,4,36,"1,053"
Boston,7,7,620,105,0,1,41,767
Boston,7,8,819,223,5,4,24,"1,075"
Boston,7,9,654,183,4,2,23,866
Boston,7,10,680,69,2,0,31,782
Boston,8,1,809,97,0,3,40,949
Boston,8,2,"1,366",196,2,2,59,"1,625"
Boston,8,3,685,44,0,5,22,756
Boston,8,4,430,25,1,0,8,464
Boston,8,5,775,63,0,2,38,878
Boston,8,6,297,32,0,1,13,343
Boston,8,7,590,42,0,1,21,654
Boston,9,1,"1,082",150,0,5,62,"1,299"
Boston,9,2,"1,464",174,0,2,35,"1,675"
Boston,9,3,"1,750",137,0,6,71,"1,964"
Boston,9,4,"1,111",80,0,5,60,"1,256"
Boston,9,5,"1,320",64,0,8,49,"1,441"
Boston,10,1,585,53,0,3,32,673
Boston,10,2,528,72,0,2,24,626
Boston,10,3,519,63,0,1,15,598
Boston,10,4,983,154,0,1,88,"1,226"
Boston,10,5,678,84,0,7,16,785
Boston,10,6,776,75,0,4,25,880
Boston,10,7,987,49,0,2,48,"1,086"
Boston,10,8,"1,267",123,0,13,52,"1,455"
Boston,10,9,"1,512",94,1,6,14,"1,627"
Boston,11,1,632,37,0,3,16,688
Boston,11,2,"1,009",52,0,2,31,"1,094"
Boston,11,3,774,54,0,3,29,860
Boston,11,4,"1,254",80,0,4,31,"1,369"
Boston,11,5,"1,069",92,0,0,33,"1,194"
Boston,11,6,905,54,2,0,17,978
Boston,11,7,"1,120",65,1,3,13,"1,202"
Boston,11,8,"1,532",104,0,3,18,"1,657"
Boston,11,9,808,44,0,1,12,865
Boston,11,10,"1,030",48,0,2,9,"1,089"
Boston,12,1,"1,013",64,2,10,33,"1,122"
Boston,12,2,"1,288",63,0,6,32,"1,389"
Boston,12,3,525,28,0,1,14,568
Boston,12,4,705,45,0,3,34,787
Boston,12,5,460,25,0,3,24,512
Boston,12,6,586,40,0,3,28,657
Boston,12,7,"1,265",85,0,7,73,"1,430"
Boston,12,8,505,20,0,0,15,540
Boston,12,9,632,40,0,1,33,706
Boston,13,1,830,53,0,6,39,928
Boston,13,2,343,26,0,2,15,386
Boston,13,3,749,115,0,5,46,915
Boston,13,4,609,54,0,1,18,682
Boston,13,5,588,39,0,6,28,661
Boston,13,6,801,107,2,3,24,937
Boston,13,7,819,237,0,5,51,"1,112"
Boston,13,8,721,212,0,2,44,979
Boston,13,9,826,208,4,1,26,"1,065"
Boston,13,10,"1,035",357,0,11,28,"1,431"
Boston,14,1,"1,356",99,6,2,35,"1,498"
Boston,14,2,"1,448",83,0,5,69,"1,605"
Boston,14,3,720,34,0,1,20,775
Boston,14,4,824,56,0,2,21,903
Boston,14,5,695,24,0,1,12,732
Boston,14,6,638,49,0,0,23,710
Boston,14,7,654,38,0,2,19,713
Boston,14,8,797,25,0,0,25,847
Boston,14,9,721,39,0,3,40,803
Boston,14,10,797,60,1,4,32,894
Boston,14,11,759,42,0,1,31,833
Boston,14,12,452,16,0,0,13,481
Boston,14,13,643,23,0,2,17,685
Boston,14,14,752,36,0,4,18,810
Boston,15,1,890,72,0,3,33,998
Boston,15,2,613,35,0,1,27,676
Boston,15,3,355,36,3,0,20,414
Boston,15,4,"1,007",182,0,4,71,"1,264"
Boston,15,5,758,54,0,3,29,844
Boston,15,6,330,181,0,4,33,548
Boston,15,7,612,41,0,3,27,683
Boston,15,8,485,141,1,3,35,665
Boston,15,9,501,127,3,0,35,666
Boston,16,1,568,189,0,6,28,791
Boston,16,2,476,207,0,4,30,717
Boston,16,3,789,198,1,5,38,"1,031"
Boston,16,4,759,181,0,3,25,968
Boston,16,5,788,235,0,10,26,"1,059"
Boston,16,6,"1,038",274,0,4,42,"1,358"
Boston,16,7,656,317,0,5,32,"1,010"
Boston,16,8,817,292,12,0,35,"1,156"
Boston,16,9,680,495,4,1,63,"1,243"
Boston,16,10,662,386,10,1,30,"1,089"
Boston,16,11,761,346,7,1,36,"1,151"
Boston,16,12,524,471,2,4,44,"1,045"
Boston,17,1,677,45,0,1,18,741
Boston,17,2,531,53,0,1,21,606
Boston,17,3,"1,138",104,0,7,43,"1,292"
Boston,17,4,"1,302",185,0,5,42,"1,534"
Boston,17,5,545,23,0,3,19,590
Boston,17,6,848,66,0,2,34,950
Boston,17,7,456,29,0,2,12,499
Boston,17,8,764,49,0,2,25,840
Boston,17,9,657,51,0,0,16,724
Boston,17,10,992,57,0,3,27,"1,079"
Boston,17,11,417,25,0,0,9,451
Boston,17,12,667,48,0,1,23,739
Boston,17,13,814,184,4,1,38,"1,041"
Boston,17,14,834,129,0,1,36,"1,000"
Boston,18,1,"1,273",72,0,6,48,"1,399"
Boston,18,2,977,28,0,2,28,"1,035"
Boston,18,3,"1,091",40,2,2,30,"1,165"
Boston,18,4,"1,152",55,0,1,31,"1,239"
Boston,18,5,"1,193",56,0,5,23,"1,277"
Boston,18,6,"1,394",63,0,3,51,"1,511"
Boston,18,7,"1,020",135,0,4,21,"1,180"
Boston,18,8,"1,742",166,4,3,50,"1,965"
Boston,18,9,973,170,0,2,33,"1,178"
Boston,18,10,"1,506",243,7,3,44,"1,803"
Boston,18,11,868,98,3,5,29,"1,003"
Boston,18,12,994,175,0,5,23,"1,197"
Boston,18,13,614,69,3,2,27,715
Boston,18,14,674,78,0,2,19,773
Boston,18,15,"1,065",60,3,0,36,"1,164"
Boston,18,16,968,331,5,4,41,"1,349"
Boston,18,17,"1,002",169,2,0,38,"1,211"
Boston,18,18,"1,213",220,0,6,63,"1,502"
Boston,18,19,"1,658",292,3,7,53,"2,013"
Boston,18,20,"1,151",433,5,3,44,"1,636"
Boston,18,21,"1,294",53,0,6,37,"1,390"
Boston,18,22,"1,039",325,2,3,30,"1,399"
Boston,18,23,884,92,0,6,33,"1,015"
Boston,19,1,"1,047",44,1,0,10,"1,102"
Boston,19,2,"1,068",255,0,3,29,"1,355"
Boston,19,3,892,68,0,1,7,968
Boston,19,4,"1,250",46,0,1,23,"1,320"
Boston,19,5,"1,002",83,0,3,16,"1,104"
Boston,19,6,"1,431",76,0,3,13,"1,523"
Boston,19,7,"1,369",110,1,1,24,"1,505"
Boston,19,8,678,63,0,2,2,745
Boston,19,9,672,52,0,2,8,734
Boston,19,10,"1,195",157,0,3,40,"1,395"
Boston,19,11,"1,036",98,1,0,33,"1,168"
Boston,19,12,843,118,0,3,21,985
Boston,19,13,731,103,0,3,17,854
Boston,20,1,"1,005",241,1,2,31,"1,280"
Boston,20,2,"1,112",209,0,6,20,"1,347"
Boston,20,3,925,357,6,4,49,"1,341"
Boston,20,4,993,124,0,0,8,"1,125"
Boston,20,5,875,420,10,3,47,"1,355"
Boston,20,6,"1,030",382,8,5,24,"1,449"
Boston,20,7,665,206,2,4,17,894
Boston,20,8,796,191,0,4,15,"1,006"
Boston,20,9,860,225,6,0,24,"1,115"
Boston,20,10,"1,099",489,13,1,49,"1,651"
Boston,20,11,557,182,0,2,9,750
Boston,20,12,654,275,0,1,17,947
Boston,20,13,556,276,3,2,20,857
Boston,20,14,573,260,4,1,23,861
Boston,20,15,969,493,4,1,32,"1,499"
Boston,20,16,978,542,8,3,42,"1,573"
Boston,20,17,"1,144",548,4,6,41,"1,743"
Boston,20,18,628,199,0,3,27,857
Boston,20,19,609,283,1,1,31,925
Boston,20,20,"1,068",391,2,1,27,"1,489"
Boston,21,1,"1,199",142,0,4,26,"1,371"
Boston,21,2,291,29,0,1,9,330
Boston,21,3,730,76,2,3,9,820
Boston,21,4,640,66,0,3,10,719
Boston,21,5,944,97,0,2,15,"1,058"
Boston,21,6,711,85,1,1,15,813
Boston,21,7,927,116,0,4,24,"1,071"
Boston,21,8,"1,172",129,0,6,15,"1,322"
Boston,21,9,"1,159",151,6,1,28,"1,345"
Boston,21,10,840,135,2,2,19,998
Boston,21,11,"1,143",131,0,4,35,"1,313"
Boston,21,12,922,208,0,5,34,"1,169"
Boston,21,13,"1,101",339,2,7,104,"1,553"
Boston,21,14,677,89,0,2,12,780
Boston,21,15,834,85,3,0,12,934
Boston,21,16,"1,007",210,3,4,32,"1,256"
Boston,22,1,"1,246",212,1,6,33,"1,498"
Boston,22,2,"1,456",212,0,8,49,"1,725"
Boston,22,3,"1,178",260,8,2,32,"1,480"
Boston,22,4,903,182,9,0,18,"1,112"
Boston,22,5,766,145,0,3,21,935
Boston,22,6,749,136,1,2,19,907
Boston,22,7,"1,050",152,6,2,33,"1,243"
Boston,22,8,708,203,3,4,22,940
Boston,22,9,799,216,5,3,34,"1,057"
Boston,22,10,986,185,4,0,25,"1,200"
Boston,22,11,691,181,1,0,17,890
Boston,22,12,660,158,5,1,23,847
Boston,22,13,604,124,0,2,17,747
Bourne,-,1,894,837,14,0,21,"1,766"
Bourne,-,2,"1,035",998,8,2,45,"2,088"
Bourne,-,3,583,596,7,2,31,"1,219"
Bourne,-,4,"1,128",892,7,4,31,"2,062"
Bourne,-,5,"1,077",784,8,4,30,"1,903"
Bourne,-,6,719,548,0,4,70,"1,341"
Bourne,-,7,"1,007",809,15,5,31,"1,867"
Boxborough,-,1,"2,449",909,26,7,49,"3,440"
Boxford,-,1,934,848,10,3,32,"1,827"
Boxford,-,2,"1,035",868,13,1,28,"1,945"
Boxford,-,3,963,804,16,1,26,"1,810"
Boylston,-,1,"1,834","1,413",17,5,52,"3,321"
Braintree,-,1A,"1,042",747,12,6,72,"1,879"
Braintree,-,1B,996,704,10,2,55,"1,767"
Braintree,-,2A,"1,091",746,8,15,50,"1,910"
Braintree,-,2B,"1,040",757,9,3,72,"1,881"
Braintree,-,3A,943,590,4,1,43,"1,581"
Braintree,-,3B,"1,011",642,3,5,44,"1,705"
Braintree,-,4A,952,607,5,3,47,"1,614"
Braintree,-,4B,"1,059",593,4,3,50,"1,709"
Braintree,-,5A,"1,001",677,14,7,47,"1,746"
Braintree,-,5B,"1,203",792,5,2,67,"2,069"
Braintree,-,6A,"1,168",861,12,0,61,"2,102"
Braintree,-,6B,"1,120",797,1,13,59,"1,990"
Brewster,-,1,"1,647",853,5,2,39,"2,546"
Brewster,-,2,"1,648",786,4,3,50,"2,491"
Brewster,-,3,"1,547",858,15,0,37,"2,457"
Bridgewater,-,1,"1,477","1,337",27,0,91,"2,932"
Bridgewater,-,2,"1,258","1,058",17,1,84,"2,418"
Bridgewater,-,3,"1,528","1,514",19,1,69,"3,131"
Bridgewater,-,4,663,565,14,0,45,"1,287"
Bridgewater,-,5,407,291,7,0,18,723
Bridgewater,-,6,"1,142",691,16,1,72,"1,922"
Bridgewater,-,7,"1,297",902,10,1,80,"2,290"
Brimfield,-,1,"1,061","1,191",29,2,66,"2,349"
Brockton,1,A,"1,013",162,4,0,40,"1,219"
Brockton,1,B,"1,214",311,11,1,55,"1,592"
Brockton,1,C,"1,030",316,0,0,44,"1,390"
Brockton,1,D,"1,344",584,0,0,70,"1,998"
Brockton,2,A,808,98,1,0,54,961
Brockton,2,B,737,87,0,0,28,852
Brockton,2,C,710,98,2,0,54,864
Brockton,2,D,"1,021",237,3,0,44,"1,305"
Brockton,3,A,"1,001",228,1,1,64,"1,295"
Brockton,3,B,944,154,7,0,51,"1,156"
Brockton,3,C,"1,243",486,5,1,42,"1,777"
Brockton,3,D,"1,213",525,7,0,65,"1,810"
Brockton,4,A,753,103,2,0,34,892
Brockton,4,B,"1,158",259,0,0,48,"1,465"
Brockton,4,C,"1,044",401,7,0,41,"1,493"
Brockton,4,D,"1,036",347,11,1,47,"1,442"
Brockton,5,A,"1,041",165,5,1,53,"1,265"
Brockton,5,B,"1,158",377,7,0,40,"1,582"
Brockton,5,C,"1,106",213,4,0,43,"1,366"
Brockton,5,D,"1,098",398,5,0,58,"1,559"
Brockton,6,A,974,215,7,1,37,"1,234"
Brockton,6,B,"1,243",487,7,1,50,"1,788"
Brockton,6,C,"1,166",330,8,2,28,"1,534"
Brockton,6,D,"1,083",515,9,2,42,"1,651"
Brockton,7,A,979,142,7,0,32,"1,160"
Brockton,7,B,"1,247",199,2,4,44,"1,496"
Brockton,7,C,"1,083",192,4,2,45,"1,326"
Brockton,7,D,"1,116",306,9,1,50,"1,482"
Brookfield,-,1,961,"1,027",21,3,50,"2,062"
Brookline,-,1,"1,625",195,2,2,33,"1,857"
Brookline,-,2,"1,099",137,0,5,36,"1,277"
Brookline,-,3,"1,688",225,0,4,28,"1,945"
Brookline,-,4,"1,508",231,0,7,30,"1,776"
Brookline,-,5,"1,820",251,0,7,38,"2,116"
Brookline,-,6,"1,812",204,0,2,24,"2,042"
Brookline,-,7,"1,576",207,0,7,30,"1,820"
Brookline,-,8,"1,698",159,0,0,26,"1,883"
Brookline,-,9,"1,717",205,0,8,36,"1,966"
Brookline,-,10,"1,698",254,0,6,33,"1,991"
Brookline,-,11,"1,833",221,0,6,38,"2,098"
Brookline,-,12,"2,028",305,0,9,37,"2,379"
Brookline,-,13,"1,729",310,0,4,27,"2,070"
Brookline,-,14,"1,690",393,0,8,49,"2,140"
Brookline,-,15,"1,613",496,0,9,40,"2,158"
Brookline,-,16,"1,437",325,0,5,20,"1,787"
Buckland,-,1,892,255,8,22,26,"1,203"
Burlington,-,1,"1,420",956,14,3,61,"2,454"
Burlington,-,2,"1,062",527,14,4,28,"1,635"
Burlington,-,3,"1,387",804,15,6,49,"2,261"
Burlington,-,4,"1,257",701,4,0,54,"2,016"
Burlington,-,5,"1,402",861,25,3,49,"2,340"
Burlington,-,6,"1,315",918,9,1,53,"2,296"
Burlington,-,7,"1,579",788,12,3,47,"2,429"
Cambridge,1,1,"1,855",275,5,3,36,"2,174"
Cambridge,1,2,"1,437",205,10,1,37,"1,690"
Cambridge,1,3,"1,588",213,5,3,46,"1,855"
Cambridge,2,1,"1,482",97,4,3,54,"1,640"
Cambridge,2,2,297,19,1,0,6,323
Cambridge,2,3,789,100,2,2,24,917
Cambridge,3,1,"1,558",194,3,5,31,"1,791"
Cambridge,3,2,934,63,2,0,15,"1,014"
Cambridge,3,2A,711,56,4,0,17,788
Cambridge,3,3,"1,454",82,3,0,39,"1,578"
Cambridge,4,1,"1,859",86,2,1,41,"1,989"
Cambridge,4,2,"1,867",120,9,3,28,"2,027"
Cambridge,4,3,610,53,3,1,10,677
Cambridge,5,1,"1,659",110,2,1,33,"1,805"
Cambridge,5,2,"1,738",135,6,0,35,"1,914"
Cambridge,5,3,"1,298",84,3,0,19,"1,404"
Cambridge,6,1,"1,835",96,1,0,39,"1,971"
Cambridge,6,2,"1,663",103,3,2,23,"1,794"
Cambridge,6,3,"1,798",152,5,0,18,"1,973"
Cambridge,7,1,"1,728",89,4,1,23,"1,845"
Cambridge,7,2,823,77,2,0,24,926
Cambridge,7,3,502,43,1,0,7,553
