City/Town,Ward,Pct,"Jake Auchincloss","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Taunton,1,B,799,38,490,"1,327"
Taunton,2,A,338,3,133,474
Taunton,2,B,480,22,245,747
Taunton,3,A,609,14,327,950
Taunton,3,B,781,9,429,"1,219"
Taunton,4,A,684,19,524,"1,227"
Taunton,4,B,735,14,395,"1,144"
Taunton,4,B1,14,0,14,28
Taunton,5,A,541,12,245,798
Taunton,5,B,511,4,215,730
Taunton,6,A,481,5,246,732
Taunton,6,B,640,12,331,983
Taunton,7,A,814,7,498,"1,319"
Taunton,7,B,879,15,633,"1,527"
Taunton,8,A,847,16,524,"1,387"
Taunton,8,B,942,20,534,"1,496"
Wellesley,-,E,"1,188",14,370,"1,572"
Wellesley,-,F,806,11,244,"1,061"
Wrentham,-,1,919,52,491,"1,462"
Wrentham,-,2,993,83,503,"1,579"
Wrentham,-,3,948,40,484,"1,472"
Wrentham,-,4,952,56,490,"1,498"
TOTALS,,,"201,882","6,397","83,290","291,569"
