City/Town,Ward,Pct,"James P. McGovern","Jeffrey A. Sossa-Paquette","All Others",Blanks,"Total Votes Cast"
Worcester,8,2,181,73,2,4,260
Worcester,8,3,126,23,0,1,150
Worcester,8,4,365,93,2,17,477
Worcester,8,5,268,104,0,10,382
Worcester,8,6,206,76,0,7,289
Worcester,9,1,568,130,1,14,713
Worcester,9,2,914,259,1,27,"1,201"
Worcester,9,3,490,154,0,16,660
Worcester,9,4,983,351,0,29,"1,363"
Worcester,9,5,"1,072",422,2,32,"1,528"
Worcester,9,6,862,348,7,24,"1,241"
Worcester,10,1,268,84,1,9,362
Worcester,10,2,374,94,0,13,481
Worcester,10,3,319,55,3,13,390
Worcester,10,4,239,91,3,9,342
Worcester,10,5,226,58,0,5,289
Worcester,10,6,206,50,1,7,264
TOTALS,,,"180,639","91,956",276,"7,200","280,071"
