City/Town,Ward,Pct,"Stephen F. Lynch","Robert G. Burke","All Others",Blanks,"Total Votes Cast"
Quincy,1,5,978,527,3,68,"1,576"
Quincy,2,1,504,197,1,32,734
Quincy,2,2,559,212,1,22,794
Quincy,2,3,414,152,1,29,596
Quincy,2,4,493,222,2,30,747
Quincy,2,5,693,294,1,45,"1,033"
Quincy,3,1,902,297,2,46,"1,247"
Quincy,3,2,743,264,3,49,"1,059"
Quincy,3,3,574,270,1,34,879
Quincy,3,4,892,375,2,41,"1,310"
Quincy,3,5,523,193,0,27,743
Quincy,4,1,619,225,1,28,873
Quincy,4,2,807,343,4,42,"1,196"
Quincy,4,3,840,426,2,37,"1,305"
Quincy,4,4,542,163,1,27,733
Quincy,4,5,553,219,1,17,790
Quincy,5,1,334,111,0,15,460
Quincy,5,1A,224,75,0,21,320
Quincy,5,2,679,187,3,56,925
Quincy,5,3,844,267,2,42,"1,155"
Quincy,5,4,628,218,3,33,882
Quincy,5,5,854,329,3,47,"1,233"
Quincy,6,1,658,265,0,31,954
Quincy,6,2,576,160,0,27,763
Quincy,6,3,750,385,1,50,"1,186"
Quincy,6,4,616,203,1,33,853
Quincy,6,5,"1,137",554,1,69,"1,761"
Stoughton,-,1,805,394,0,56,"1,255"
Stoughton,-,2,755,365,0,41,"1,161"
Stoughton,-,2A,115,42,0,5,162
Stoughton,-,3,922,413,1,40,"1,376"
Stoughton,-,4,981,556,3,58,"1,598"
Stoughton,-,4A,72,28,0,3,103
Stoughton,-,5,716,409,0,26,"1,151"
Stoughton,-,5A,49,42,0,5,96
Stoughton,-,6,944,426,0,54,"1,424"
Stoughton,-,7,858,341,0,38,"1,237"
Stoughton,-,7A,47,11,0,2,60
Stoughton,-,8,558,251,0,28,837
Stoughton,-,8A,32,26,0,1,59
Walpole,-,1,926,445,0,38,"1,409"
Walpole,-,2,948,626,2,46,"1,622"
Walpole,-,2A,16,12,0,0,28
Walpole,-,3,"1,121",655,1,50,"1,827"
Walpole,-,4,776,419,1,35,"1,231"
Walpole,-,5,724,466,1,35,"1,226"
Walpole,-,5A,33,40,0,1,74
Walpole,-,6,959,555,0,45,"1,559"
Walpole,-,7,963,568,0,41,"1,572"
Walpole,-,8,901,627,1,49,"1,578"
"W. Bridgewater",-,1,791,769,2,49,"1,611"
"W. Bridgewater",-,2,814,802,0,52,"1,668"
Westwood,-,1,"1,132",457,1,46,"1,636"
Westwood,-,2,"1,041",521,1,56,"1,619"
Westwood,-,3,988,472,3,57,"1,520"
Westwood,-,4,798,527,0,63,"1,388"
Westwood,-,5,"1,058",558,0,72,"1,688"
Weymouth,-,1,818,410,0,44,"1,272"
Weymouth,-,2,"1,001",564,0,46,"1,611"
Weymouth,-,3,908,586,1,31,"1,526"
Weymouth,-,4,825,443,2,40,"1,310"
Weymouth,-,5,808,351,1,33,"1,193"
Weymouth,-,6,"1,004",492,0,47,"1,543"
Weymouth,-,7,664,377,0,20,"1,061"
Weymouth,-,8,794,457,2,41,"1,294"
Weymouth,-,9,602,334,1,17,954
Weymouth,-,9A,199,138,0,1,338
Weymouth,-,10,664,376,0,26,"1,066"
Weymouth,-,11,621,336,0,19,976
Weymouth,-,12,918,525,1,44,"1,488"
Weymouth,-,13,550,272,0,18,840
Weymouth,-,14,958,466,1,44,"1,469"
Weymouth,-,15,937,585,1,42,"1,565"
Weymouth,-,16,"1,023",582,1,44,"1,650"
Weymouth,-,17,656,383,1,22,"1,062"
Weymouth,-,18,749,325,0,25,"1,099"
Whitman,-,1,"1,017",695,1,47,"1,760"
Whitman,-,2,770,668,0,36,"1,474"
Whitman,-,3,847,667,2,33,"1,549"
Whitman,-,4,853,618,0,48,"1,519"
TOTALS,,,"189,987","82,126",451,"12,019","284,583"
