City/Town,Ward,Pct,"Seth W. Moulton","Joseph S. Schneider","Mary Jean Charbonneau","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled
Marblehead,-,2,"1,504",430,42,1,28,"2,005"
Marblehead,-,3,"1,283",430,47,0,20,"1,780"
Marblehead,-,4,"1,442",470,30,1,20,"1,963"
Marblehead,-,5,"1,366",479,31,0,40,"1,916"
Marblehead,-,6,"1,393",496,27,0,29,"1,945"
Merrimac,-,1,"1,013",568,81,1,50,"1,713"
Merrimac,-,2,967,641,72,0,35,"1,715"
Middleton,-,1,"1,067",903,73,0,61,"2,104"
Middleton,-,2,"1,113",976,63,0,51,"2,203"
Nahant,-,1,"1,443",550,59,1,48,"2,101"
Newbury,-,1,"1,348",609,64,0,42,"2,063"
Newbury,-,2,"1,251",689,82,1,58,"2,081"
