City/Town,Ward,Pct,"Katherine M. Clark","John Hugo","All Others",Blanks,"Total Votes Cast"
Southborough,-,1,"1,130",596,1,63,"1,790"
Southborough,-,2,"1,043",563,1,52,"1,659"
Southborough,-,3,"1,099",580,1,50,"1,730"
Stoneham,-,1,970,463,0,57,"1,490"
Stoneham,-,2,"1,106",497,0,64,"1,667"
Stoneham,-,3,"1,101",639,0,96,"1,836"
Stoneham,-,4,886,500,0,55,"1,441"
Stoneham,-,5,916,578,0,83,"1,577"
Stoneham,-,6,"1,015",545,0,75,"1,635"
Stoneham,-,7,966,486,0,54,"1,506"
Sudbury,-,1A,347,143,1,17,508
Sudbury,-,2,"1,330",448,1,44,"1,823"
Sudbury,-,3,"1,366",583,1,61,"2,011"
Sudbury,-,4,"1,442",482,2,60,"1,986"
Sudbury,-,5,"1,293",505,0,67,"1,865"
Waltham,1,1,"1,060",443,1,79,"1,583"
Waltham,1,2,"1,069",524,0,98,"1,691"
Waltham,2,1,"1,095",436,2,64,"1,597"
Waltham,2,2,859,235,0,28,"1,122"
Waltham,3,1,"1,011",629,0,103,"1,743"
Waltham,3,2,"1,039",461,2,82,"1,584"
Waltham,4,1,"1,082",510,0,89,"1,681"
Waltham,4,2,255,113,0,15,383
Waltham,5,1,"1,057",332,4,86,"1,479"
Waltham,5,2,930,230,1,45,"1,206"
Waltham,6,1,983,264,4,65,"1,316"
Waltham,6,2,575,173,2,32,782
Waltham,7,1,985,373,3,66,"1,427"
Waltham,7,2,378,84,2,28,492
Waltham,8,1,917,195,1,43,"1,156"
Waltham,8,2,"1,001",247,1,47,"1,296"
Waltham,9,1,715,153,1,34,903
Waltham,9,2,748,159,0,30,937
Watertown,-,1,831,218,0,44,"1,093"
Watertown,-,2,947,204,0,33,"1,184"
Watertown,-,3,"1,176",218,2,43,"1,439"
Watertown,-,4,"1,257",213,3,40,"1,513"
Watertown,-,5,"1,131",192,3,47,"1,373"
Watertown,-,6,"1,003",192,0,35,"1,230"
Watertown,-,7,"1,113",282,1,61,"1,457"
Watertown,-,8,"1,163",296,2,64,"1,525"
Watertown,-,9,870,201,1,33,"1,105"
Watertown,-,10,"1,292",388,0,69,"1,749"
Watertown,-,11,856,313,0,41,"1,210"
Watertown,-,12,853,222,0,48,"1,123"
Wayland,-,1,"1,426",441,0,59,"1,926"
Wayland,-,2,"1,352",404,0,63,"1,819"
Wayland,-,3,"1,322",383,1,64,"1,770"
Wayland,-,4,"1,435",519,0,81,"2,035"
Weston,-,1,"1,011",438,2,43,"1,494"
Weston,-,2,880,421,0,45,"1,346"
Weston,-,3,843,434,1,39,"1,317"
Weston,-,4,926,438,1,46,"1,411"
Winchester,-,1,"1,000",379,0,49,"1,428"
Winchester,-,2,863,359,0,31,"1,253"
Winchester,-,3,"1,196",351,0,55,"1,602"
Winchester,-,4,"1,005",462,0,74,"1,541"
Winchester,-,5,888,561,0,59,"1,508"
Winchester,-,6,846,475,0,58,"1,379"
Winchester,-,7,972,503,0,60,"1,535"
Winchester,-,8,687,340,0,46,"1,073"
Winthrop,-,1,815,458,2,89,"1,364"
Winthrop,-,2,762,428,1,69,"1,260"
Winthrop,-,3,879,357,1,55,"1,292"
Winthrop,-,4,707,381,1,53,"1,142"
Winthrop,-,5,852,429,2,103,"1,386"
Winthrop,-,6,868,350,3,38,"1,259"
Woburn,1,1,639,328,0,52,"1,019"
Woburn,1,2,727,450,0,63,"1,240"
Woburn,2,1,715,417,0,59,"1,191"
Woburn,2,2,564,247,1,48,860
Woburn,3,1,622,452,1,59,"1,134"
Woburn,3,2,852,575,2,92,"1,521"
Woburn,4,1,775,584,0,77,"1,436"
Woburn,4,2,657,391,0,45,"1,093"
Woburn,5,1,838,432,0,55,"1,325"
Woburn,5,2,740,537,1,63,"1,341"
Woburn,6,1,452,239,0,24,715
Woburn,6,2,678,474,0,67,"1,219"
Woburn,7,1,773,666,0,92,"1,531"
Woburn,7,2,686,542,0,81,"1,309"
TOTALS,,,"236,243","74,856",225,"12,512","323,836"
