City/Town,Ward,Pct,"Bill Keating","Peter D. Tedeschi","All Others",Blanks,"Total Votes Cast"
Duxbury,-,5,758,655,0,18,"1,431"
Duxbury,-,6,650,594,1,18,"1,263"
Eastham,-,1,"2,239","1,020",3,45,"3,307"
Edgartown,-,1,"1,688",663,0,63,"2,414"
Fairhaven,-,1,811,449,1,29,"1,290"
Fairhaven,-,2,734,424,0,22,"1,180"
Fairhaven,-,3,526,374,1,28,929
Fairhaven,-,4,715,419,0,31,"1,165"
Fairhaven,-,5,731,547,2,39,"1,319"
Fairhaven,-,6,684,508,1,41,"1,234"
"Fall River",1,A,641,389,0,55,"1,085"
"Fall River",1,B,431,247,0,51,729
"Fall River",1,C,428,277,0,57,762
"Fall River",2,A,355,138,0,33,526
"Fall River",2,B,324,141,1,24,490
"Fall River",2,C,368,182,0,54,604
"Fall River",3,A,532,246,0,40,818
"Fall River",3,B,457,221,0,40,718
"Fall River",3,C,495,265,0,41,801
"Fall River",4,A,330,174,0,38,542
"Fall River",4,B,324,108,1,21,454
"Fall River",5,A,229,98,0,24,351
"Fall River",5,B,210,70,0,17,297
"Fall River",6,A,523,328,0,72,923
"Fall River",6,B,410,165,1,41,617
"Fall River",6,C,493,212,0,42,747
Falmouth,-,1,"1,718",482,1,27,"2,228"
Falmouth,-,2,"1,294",574,1,44,"1,913"
Falmouth,-,3,"1,168",635,0,20,"1,823"
Falmouth,-,4,"1,184",725,1,23,"1,933"
Falmouth,-,5,"1,433",775,1,35,"2,244"
Falmouth,-,6,"1,297",707,0,33,"2,037"
Falmouth,-,7,"1,074",736,2,35,"1,847"
Falmouth,-,8,"1,123",748,1,29,"1,901"
Falmouth,-,9,"1,071",630,1,18,"1,720"
Gosnold,-,1,35,20,0,2,57
Halifax,-,1,889,987,0,44,"1,920"
Halifax,-,2,879,842,2,52,"1,775"
Hanover,-,1,880,991,0,38,"1,909"
Hanover,-,2,892,995,1,46,"1,934"
Hanover,-,3,916,919,0,38,"1,873"
Hanover,-,4,840,996,0,47,"1,883"
Hanson,-,1,833,873,1,65,"1,772"
Hanson,-,2,870,883,1,70,"1,824"
Hanson,-,3,768,781,0,59,"1,608"
Harwich,-,1,"1,185",771,0,27,"1,983"
Harwich,-,2,"1,164",763,2,25,"1,954"
Harwich,-,3,"1,147",765,1,20,"1,933"
Harwich,-,4,"1,078",592,1,25,"1,696"
Kingston,-,1,852,636,0,42,"1,530"
Kingston,-,2,885,851,0,32,"1,768"
Kingston,-,3,858,836,0,50,"1,744"
Kingston,-,4,771,664,0,33,"1,468"
Marion,-,1,"1,658","1,094",1,59,"2,812"
Marshfield,-,1,976,914,0,23,"1,913"
Marshfield,-,2,994,965,0,42,"2,001"
Marshfield,-,3,977,875,0,23,"1,875"
Marshfield,-,4,918,850,0,35,"1,803"
Marshfield,-,5,850,785,0,33,"1,668"
Marshfield,-,6,"1,076","1,052",0,39,"2,167"
Marshfield,-,7,970,"1,006",0,29,"2,005"
Mashpee,-,1,"1,156",708,0,25,"1,889"
Mashpee,-,2,817,618,0,18,"1,453"
Mashpee,-,3,700,508,1,11,"1,220"
Mashpee,-,4,851,514,0,19,"1,384"
Mashpee,-,5,972,844,1,35,"1,852"
Mattapoisett,-,1,"2,182","1,525",1,89,"3,797"
Middleborough,-,1,"1,159","1,205",1,52,"2,417"
Middleborough,-,2,789,671,0,60,"1,520"
Middleborough,-,3,837,928,0,52,"1,817"
Middleborough,-,4,673,603,0,38,"1,314"
Middleborough,-,5,838,951,0,65,"1,854"
Middleborough,-,6,693,786,0,48,"1,527"
Nantucket,-,1,"2,901","1,240",1,63,"4,205"
"New Bedford",1,A,599,355,1,32,987
"New Bedford",1,B,539,296,0,29,864
"New Bedford",1,C,512,324,1,37,874
"New Bedford",1,D,577,336,1,43,957
"New Bedford",1,E,551,249,0,23,823
"New Bedford",1,F,551,371,0,36,958
"New Bedford",2,A,145,41,0,1,187
"New Bedford",2,B,334,126,0,13,473
"New Bedford",2,C,257,103,0,19,379
"New Bedford",2,D,328,207,0,22,557
"New Bedford",2,E,473,250,1,34,758
"New Bedford",2,F,418,213,1,31,663
"New Bedford",3,A,250,66,1,13,330
"New Bedford",3,B,280,91,0,13,384
"New Bedford",3,C,289,91,0,18,398
"New Bedford",3,D,382,143,0,22,547
"New Bedford",3,E,594,277,1,26,898
"New Bedford",3,F,572,246,0,24,842
"New Bedford",4,A,337,40,1,23,401
"New Bedford",4,B,558,145,0,27,730
"New Bedford",4,C,575,126,1,33,735
"New Bedford",4,D,471,124,2,13,610
"New Bedford",4,E,399,173,2,23,597
"New Bedford",4,F,467,110,1,23,601
"New Bedford",5,A,332,128,0,18,478
"New Bedford",5,B,622,166,1,35,824
"New Bedford",5,C,454,209,1,35,699
"New Bedford",5,D,701,232,0,20,953
"New Bedford",5,E,751,319,0,54,"1,124"
"New Bedford",5,F,743,307,0,48,"1,098"
"New Bedford",6,A,519,259,0,38,816
"New Bedford",6,B,475,218,1,27,721
"New Bedford",6,C,222,66,0,13,301
"New Bedford",6,D,167,60,1,18,246
"New Bedford",6,E,270,104,0,28,402
"New Bedford",6,F,392,110,0,24,526
Norwell,-,1,923,935,1,46,"1,905"
Norwell,-,2,937,"1,070",3,45,"2,055"
Norwell,-,3,955,994,0,34,"1,983"
"Oak Bluffs",-,1,"1,954",575,0,41,"2,570"
Orleans,-,1,"2,596","1,455",4,50,"4,105"
Pembroke,-,1,937,910,1,41,"1,889"
Pembroke,-,2,858,776,4,35,"1,673"
Pembroke,-,3,915,818,1,38,"1,772"
Pembroke,-,4,907,852,0,43,"1,802"
Pembroke,-,5,857,809,1,29,"1,696"
Plymouth,-,1,833,519,1,33,"1,386"
Plymouth,-,2,"1,157",702,1,46,"1,906"
Plymouth,-,3,880,510,0,37,"1,427"
Plymouth,-,4,973,617,1,37,"1,628"
Plymouth,-,5,"1,013",903,0,38,"1,954"
Plymouth,-,6,"1,139",714,0,45,"1,898"
Plymouth,-,7,984,749,0,34,"1,767"
Plymouth,-,8,"1,010",923,0,41,"1,974"
Plymouth,-,9,818,638,2,24,"1,482"
Plymouth,-,10,668,534,1,21,"1,224"
Plymouth,-,11,"1,059",941,1,37,"2,038"
Plymouth,-,12,"1,014",867,0,31,"1,912"
Plymouth,-,13,992,795,0,37,"1,824"
Plymouth,-,14,885,938,0,35,"1,858"
Plymouth,-,15,"2,201","1,598",0,60,"3,859"
Plympton,-,1,770,722,1,48,"1,541"
Provincetown,-,1,"1,945",167,0,28,"2,140"
Rochester,-,1,"1,357","1,392",0,71,"2,820"
Rockland,-,1,808,557,0,36,"1,401"
Rockland,-,2,861,596,0,34,"1,491"
Rockland,-,3,583,392,2,31,"1,008"
Rockland,-,4,730,461,0,20,"1,211"
Rockland,-,5,611,459,1,28,"1,099"
Rockland,-,6,800,608,1,41,"1,450"
Sandwich,-,1,"1,239",806,0,37,"2,082"
Sandwich,-,2,"1,153",875,0,25,"2,053"
Sandwich,-,3,980,760,0,24,"1,764"
Sandwich,-,4,983,821,0,24,"1,828"
Sandwich,-,5,908,733,0,34,"1,675"
Sandwich,-,6,791,806,1,31,"1,629"
Tisbury,-,1,"1,813",460,1,44,"2,318"
Truro,-,1,"1,124",305,0,24,"1,453"
Wareham,-,1,898,601,2,42,"1,543"
Wareham,-,2,"1,006",558,1,39,"1,604"
Wareham,-,3,949,669,1,33,"1,652"
Wareham,-,4,843,654,1,35,"1,533"
Wareham,-,5,949,726,2,49,"1,726"
Wareham,-,6,809,604,2,30,"1,445"
Wellfleet,-,1,"1,585",418,1,22,"2,026"
"W. Tisbury",-,1,"1,575",308,0,37,"1,920"
Westport,-,A,713,553,0,54,"1,320"
Westport,-,B,981,746,0,60,"1,787"
Westport,-,C,652,512,0,45,"1,209"
Westport,-,D,690,495,0,52,"1,237"
Westport,-,E,966,691,0,51,"1,708"
Yarmouth,-,1,"1,219",763,0,17,"1,999"
Yarmouth,-,2,"1,166",751,1,21,"1,939"
Yarmouth,-,3,826,506,0,16,"1,348"
Yarmouth,-,4,982,674,1,24,"1,681"
Yarmouth,-,5,849,616,0,21,"1,486"
Yarmouth,-,6,884,610,0,22,"1,516"
Yarmouth,-,7,"1,291",974,0,42,"2,307"
TOTALS,,,"192,347","131,463",118,"7,442","331,370"
