City/Town,Ward,Pct,"Stephen F. Lynch","All Others",Blanks,"Total Votes Cast"
Quincy,2,1,889,24,192,"1,105"
Quincy,2,2,807,16,129,952
Quincy,2,3,368,8,74,450
Quincy,2,3A,209,3,59,271
Quincy,2,4,748,15,142,905
Quincy,2,5,982,20,190,"1,192"
Quincy,3,1,"1,197",21,203,"1,421"
Quincy,3,2,948,25,179,"1,152"
Quincy,3,3,628,15,96,739
Quincy,3,4,"1,086",21,214,"1,321"
Quincy,3,5,613,8,106,727
Quincy,4,1,973,23,151,"1,147"
Quincy,4,2,"1,127",21,229,"1,377"
Quincy,4,3,"1,140",24,242,"1,406"
Quincy,4,4,784,11,115,910
Quincy,4,5,875,14,159,"1,048"
Quincy,5,1,908,21,146,"1,075"
Quincy,5,2,882,16,137,"1,035"
Quincy,5,3,"1,072",32,198,"1,302"
Quincy,5,4,"1,022",20,187,"1,229"
Quincy,5,5,863,25,193,"1,081"
Quincy,6,1,833,24,129,986
Quincy,6,2,654,13,97,764
Quincy,6,3,"1,213",35,237,"1,485"
Quincy,6,4,764,11,158,933
Quincy,6,5,"1,454",25,297,"1,776"
Raynham,-,1,"1,040",0,355,"1,395"
Raynham,-,2,877,0,407,"1,284"
Scituate,-,1,"1,366",30,438,"1,834"
Scituate,-,2,"1,329",28,452,"1,809"
Scituate,-,3,"1,340",27,386,"1,753"
Scituate,-,4,"1,356",23,460,"1,839"
Scituate,-,5,"1,323",17,376,"1,716"
Scituate,-,6,"1,301",25,383,"1,709"
Stoughton,-,1,"1,309",2,315,"1,626"
Stoughton,-,2,"1,075",0,330,"1,405"
Stoughton,-,3,"1,171",10,314,"1,495"
Stoughton,-,4,"1,266",25,473,"1,764"
Stoughton,-,5,952,4,290,"1,246"
Stoughton,-,6,"1,043",2,306,"1,351"
Stoughton,-,7,"1,011",11,219,"1,241"
Stoughton,-,8,871,16,201,"1,088"
Walpole,-,1,"1,130",10,339,"1,479"
Walpole,-,2,"1,171",19,431,"1,621"
Walpole,-,3,"1,203",11,436,"1,650"
Walpole,-,4,"1,102",17,344,"1,463"
Walpole,-,5,972,12,356,"1,340"
Walpole,-,6,"1,137",15,442,"1,594"
Walpole,-,7,"1,155",13,443,"1,611"
Walpole,-,8,"1,077",10,471,"1,558"
"W. Bridgewater",-,1,"1,208",5,575,"1,788"
"W. Bridgewater",-,2,"1,183",8,497,"1,688"
Westwood,-,1,"1,613",7,488,"2,108"
Westwood,-,2,"1,614",17,514,"2,145"
Westwood,-,3,"1,523",11,570,"2,104"
Westwood,-,4,"1,374",10,550,"1,934"
Weymouth,-,1,"1,052",22,253,"1,327"
Weymouth,-,2,"1,175",27,346,"1,548"
Weymouth,-,3,"1,222",13,315,"1,550"
Weymouth,-,4,"1,092",15,300,"1,407"
Weymouth,-,5,891,12,197,"1,100"
Weymouth,-,6,"1,220",18,284,"1,522"
Weymouth,-,7,999,16,259,"1,274"
Weymouth,-,8,"1,116",26,262,"1,404"
Weymouth,-,9,"1,169",20,349,"1,538"
Weymouth,-,10,786,11,194,991
Weymouth,-,11,"1,025",19,300,"1,344"
Weymouth,-,12,"1,125",17,331,"1,473"
Weymouth,-,13,769,13,180,962
Weymouth,-,14,929,20,210,"1,159"
Weymouth,-,15,"1,174",14,330,"1,518"
Weymouth,-,16,"1,254",30,366,"1,650"
Weymouth,-,17,847,23,214,"1,084"
Weymouth,-,18,"1,491",35,504,"2,030"
Whitman,-,1,"1,475",17,388,"1,880"
Whitman,-,2,"1,190",22,382,"1,594"
Whitman,-,3,"1,289",16,392,"1,697"
Whitman,-,4,"1,253",11,342,"1,606"
TOTALS,,,"259,159","4,148","64,071","327,378"
