City/Town,Ward,Pct,"Tara Decristofaro","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lowell,2,3,"1,220",4,401,"1,625"
Lowell,3,1,724,5,386,"1,115"
Lowell,3,2,627,1,306,934
Lowell,3,3,634,2,311,947
Lowell,4,1,817,2,397,"1,216"
Lowell,4,2,522,2,229,753
Lowell,4,3,661,1,279,941
Lowell,5,1,763,5,329,"1,097"
Lowell,5,2,667,1,234,902
Lowell,5,3,848,3,410,"1,261"
Lowell,6,1,"1,062",5,529,"1,596"
Lowell,6,2,"1,170",6,480,"1,656"
Lowell,6,3,"1,034",0,473,"1,507"
Lowell,7,1,600,0,213,813
Lowell,7,2,692,1,281,974
Lowell,7,3,443,0,228,671
Lowell,8,1,797,1,340,"1,138"
Lowell,8,2,867,3,485,"1,355"
Lowell,8,3,"1,078",4,694,"1,776"
Lowell,9,1,811,4,316,"1,131"
Lowell,9,2,969,5,431,"1,405"
Lowell,9,3,857,5,384,"1,246"
Lowell,10,1,748,1,335,"1,084"
Lowell,10,2,573,0,219,792
Lowell,10,3,458,0,181,639
Lowell,11,1,904,11,361,"1,276"
Lowell,11,2,895,8,504,"1,407"
Lowell,11,3,888,6,406,"1,300"
Malden,1,1,"1,024",8,311,"1,343"
Malden,1,2,"1,140",29,472,"1,641"
Malden,2,1,975,18,349,"1,342"
Malden,2,2,"1,072",26,452,"1,550"
Malden,3,1,"1,281",13,508,"1,802"
Malden,3,2,"1,376",20,610,"2,006"
Malden,4,1,994,14,331,"1,339"
Malden,4,2,904,13,295,"1,212"
Malden,5,1,"1,173",28,407,"1,608"
Malden,5,2,"1,498",26,631,"2,155"
Malden,6,1,"1,307",28,484,"1,819"
Malden,6,2,"1,185",29,425,"1,639"
Malden,7,1,985,22,302,"1,309"
Malden,7,2,"1,050",23,384,"1,457"
Malden,8,1,"1,288",33,482,"1,803"
Malden,8,2,"1,283",24,425,"1,732"
Marlborough,1,1,822,6,448,"1,276"
Marlborough,1,2,"1,185",15,661,"1,861"
Marlborough,2,1,965,7,542,"1,514"
Marlborough,2,2,882,12,398,"1,292"
Marlborough,3,1,707,6,346,"1,059"
Marlborough,3,2,"1,304",13,614,"1,931"
Marlborough,4,1,576,4,315,895
Marlborough,4,2,"1,071",9,577,"1,657"
Marlborough,5,1,655,6,292,953
Marlborough,5,2,"1,015",7,518,"1,540"
Marlborough,6,1,728,6,342,"1,076"
Marlborough,6,2,"1,106",15,604,"1,725"
Marlborough,7,1,833,12,457,"1,302"
Marlborough,7,2,794,13,405,"1,212"
Maynard,-,1,"1,164",14,563,"1,741"
Maynard,-,2,"1,078",14,544,"1,636"
Maynard,-,3,"1,241",22,583,"1,846"
Maynard,-,4,"1,028",18,534,"1,580"
Medford,1,1,"1,284",24,605,"1,913"
Medford,1,2,"1,390",25,610,"2,025"
Medford,2,1,"1,323",10,721,"2,054"
Medford,2,2,"1,463",19,785,"2,267"
Medford,3,1,"1,328",19,792,"2,139"
Medford,3,2,"1,460",26,883,"2,369"
Medford,4,1,803,8,248,"1,059"
Medford,4,2,"1,464",12,702,"2,178"
Medford,5,1,"1,577",7,505,"2,089"
Medford,5,2,"1,258",18,409,"1,685"
Medford,6,1,"1,671",19,753,"2,443"
Medford,6,2,"1,411",10,734,"2,155"
Medford,7,1,945,11,344,"1,300"
Medford,7,2,"1,559",16,624,"2,199"
Medford,8,1,"1,530",24,727,"2,281"
Medford,8,2,"1,317",21,583,"1,921"
