City/Town,Ward,Pct,"Dennis P. McManus","Joanne E. Powell","All Others",Blanks,"Total Votes Cast"
Gardner,4,A,441,231,1,40,713
Gardner,4,B,264,143,0,22,429
Gardner,5,A,359,204,0,31,594
Gardner,5,B,477,369,0,46,892
Grafton,-,1,965,591,0,109,"1,665"
Grafton,-,2,999,616,0,129,"1,744"
Grafton,-,3,"1,030",599,0,115,"1,744"
Grafton,-,4,833,512,0,87,"1,432"
Grafton,-,5,"1,126",607,1,157,"1,891"
Hardwick,-,1,603,470,0,68,"1,141"
Harvard,-,1,"2,252",879,1,240,"3,372"
Holden,-,1,"1,036",729,1,102,"1,868"
Holden,-,2,"1,151",692,0,119,"1,962"
Holden,-,3,"1,046",613,1,110,"1,770"
Holden,-,4,"1,223",759,0,124,"2,106"
Holden,-,5,"1,205",723,0,115,"2,043"
Hopedale,-,1,"1,662",998,1,224,"2,885"
Hubbardston,-,1,"1,094","1,081",0,116,"2,291"
Lancaster,-,1,847,664,0,97,"1,608"
Lancaster,-,2,956,700,0,120,"1,776"
Leicester,-,1,628,548,2,56,"1,234"
Leicester,-,2,651,477,0,38,"1,166"
Leicester,-,3,572,517,0,44,"1,133"
Leicester,-,4,619,476,0,69,"1,164"
Leominster,1,A,726,533,1,85,"1,345"
Leominster,1,B,696,462,0,83,"1,241"
Leominster,1,C,561,315,0,54,930
Leominster,2,A,432,186,0,28,646
Leominster,2,B,554,346,0,45,945
Leominster,2,C,312,184,1,22,519
Leominster,3,A,504,294,0,37,835
Leominster,3,B,715,471,1,82,"1,269"
Leominster,3,C,774,518,2,81,"1,375"
Leominster,4,A,737,531,0,84,"1,352"
Leominster,4,B,691,510,0,99,"1,300"
Leominster,4,C,501,303,0,46,850
Leominster,5,A,569,295,1,45,910
Leominster,5,B,698,427,1,101,"1,227"
Leominster,5,C,503,255,0,43,801
Lunenburg,-,A,772,558,0,89,"1,419"
Lunenburg,-,B,698,457,3,62,"1,220"
Lunenburg,-,C,728,602,2,83,"1,415"
Lunenburg,-,D,718,486,2,74,"1,280"
Mendon,-,1,"1,525","1,224",0,184,"2,933"
Milford,-,1,494,261,1,65,821
Milford,-,2,737,390,2,127,"1,256"
Milford,-,3,703,465,2,105,"1,275"
Milford,-,4,596,266,1,94,957
Milford,-,5,983,634,0,175,"1,792"
Milford,-,6,809,409,0,111,"1,329"
Milford,-,7,923,617,1,156,"1,697"
Milford,-,8,861,443,3,166,"1,473"
Millbury,-,1,770,534,1,96,"1,401"
Millbury,-,2,905,723,0,113,"1,741"
Millbury,-,3,742,564,0,96,"1,402"
Millbury,-,4,764,527,0,69,"1,360"
Millville,-,1,649,585,0,63,"1,297"
"New Braintree",-,1,279,218,0,27,524
"N. Brookfield",-,1,946,"1,027",0,89,"2,062"
Northborough,-,1,"1,237",605,3,105,"1,950"
Northborough,-,2,"1,126",615,1,125,"1,867"
Northborough,-,3,"1,191",641,0,116,"1,948"
Northborough,-,4,"1,179",678,0,130,"1,987"
Northbridge,-,1,878,688,0,131,"1,697"
Northbridge,-,2,860,730,0,128,"1,718"
Northbridge,-,3,750,657,0,76,"1,483"
Northbridge,-,4,992,973,0,186,"2,151"
Oakham,-,1,455,462,0,46,963
Oxford,-,1,677,676,2,62,"1,417"
Oxford,-,2,653,643,1,37,"1,334"
Oxford,-,3,725,664,2,71,"1,462"
Oxford,-,4,600,637,2,63,"1,302"
Paxton,-,1,"1,343",876,1,88,"2,308"
Petersham,-,1,457,236,0,41,734
Phillipston,-,1,421,376,0,47,844
Princeton,-,1,"1,171",760,0,129,"2,060"
Royalston,-,1,199,121,0,11,331
Royalston,-,2,134,82,0,17,233
Rutland,-,1,681,630,0,73,"1,384"
Rutland,-,2,753,583,1,84,"1,421"
Rutland,-,3,732,521,2,64,"1,319"
Shrewsbury,-,1,"1,221",628,1,129,"1,979"
Shrewsbury,-,2,960,467,0,90,"1,517"
Shrewsbury,-,3,787,410,0,72,"1,269"
Shrewsbury,-,4,958,530,0,76,"1,564"
Shrewsbury,-,5,936,454,0,99,"1,489"
Shrewsbury,-,6,"1,112",530,0,108,"1,750"
Shrewsbury,-,7,"1,201",676,0,148,"2,025"
Shrewsbury,-,8,"1,178",627,0,161,"1,966"
Shrewsbury,-,9,744,334,0,54,"1,132"
Shrewsbury,-,10,"1,042",484,0,106,"1,632"
Southborough,-,1,"1,058",605,0,127,"1,790"
Southborough,-,2,"1,003",554,1,101,"1,659"
Southborough,-,3,"1,056",563,0,111,"1,730"
Southbridge,-,1,561,338,0,55,954
Southbridge,-,2,471,280,0,41,792
Southbridge,-,3,507,434,2,48,991
Southbridge,-,4,669,584,2,85,"1,340"
Southbridge,-,5,398,209,1,42,650
Spencer,-,1,580,502,0,40,"1,122"
Spencer,-,2,501,474,0,59,"1,034"
Spencer,-,3,578,587,0,46,"1,211"
Spencer,-,4,616,532,0,53,"1,201"
Sterling,-,1,"1,090",870,0,117,"2,077"
Sterling,-,2,"1,128",971,3,153,"2,255"
Sturbridge,-,1,795,670,0,66,"1,531"
Sturbridge,-,2,808,807,0,69,"1,684"
Sturbridge,-,3,742,623,0,74,"1,439"
Sutton,-,1,790,787,0,128,"1,705"
Sutton,-,2,724,719,0,100,"1,543"
Sutton,-,3,746,585,0,119,"1,450"
Templeton,-,A,555,576,0,54,"1,185"
Templeton,-,B,546,482,2,58,"1,088"
Templeton,-,C,484,417,2,42,945
Upton,-,1,"1,168",729,0,170,"2,067"
Upton,-,2,"1,042",717,0,166,"1,925"
Uxbridge,-,1,786,739,0,110,"1,635"
Uxbridge,-,2,784,571,0,113,"1,468"
Uxbridge,-,3,698,672,0,88,"1,458"
Uxbridge,-,4,813,678,0,127,"1,618"
Warren,-,A,649,651,0,93,"1,393"
Warren,-,B,262,200,0,27,489
Webster,-,1,509,400,1,41,951
Webster,-,2,377,235,1,19,632
Webster,-,3,515,459,1,36,"1,011"
Webster,-,4,756,849,3,69,"1,677"
Webster,-,5,671,517,0,45,"1,233"
"W. Boylston",-,1,960,544,1,83,"1,588"
"W. Boylston",-,2,"1,379",699,1,127,"2,206"
"W. Brookfield",-,1,896,790,0,73,"1,759"
Westborough,-,1,758,292,0,64,"1,114"
Westborough,-,2,774,335,0,49,"1,158"
Westborough,-,3,"1,085",448,1,86,"1,620"
Westborough,-,4,"1,371",628,1,118,"2,118"
Westborough,-,5,"1,226",620,0,110,"1,956"
Westminster,-,1,"1,062",813,1,106,"1,982"
Westminster,-,2,"1,024",821,0,119,"1,964"
Winchendon,-,1,399,412,0,39,850
Winchendon,-,1A,144,116,0,12,272
Winchendon,-,2,616,569,1,55,"1,241"
Winchendon,-,3,593,567,0,60,"1,220"
Worcester,1,1,"1,156",498,0,113,"1,767"
Worcester,1,2,"1,185",529,0,114,"1,828"
Worcester,1,3,646,347,0,77,"1,070"
Worcester,1,4,"1,254",429,2,123,"1,808"
Worcester,1,5,"1,001",425,1,83,"1,510"
Worcester,2,1,"1,029",425,0,112,"1,566"
Worcester,2,2,"1,087",389,2,77,"1,555"
Worcester,2,3,891,397,2,116,"1,406"
Worcester,2,4,873,171,1,46,"1,091"
Worcester,2,5,366,70,0,28,464
Worcester,3,1,749,235,3,61,"1,048"
Worcester,3,2,272,58,0,21,351
Worcester,3,3,676,224,1,39,940
Worcester,3,4,457,109,2,22,590
Worcester,3,5,730,270,2,43,"1,045"
Worcester,4,1,469,106,3,36,614
Worcester,4,2,602,232,5,50,889
Worcester,4,3,462,70,1,25,558
Worcester,4,4,629,249,1,51,930
Worcester,4,5,817,303,0,84,"1,204"
Worcester,5,1,538,135,1,33,707
Worcester,5,2,811,314,1,69,"1,195"
Worcester,5,3,921,458,0,102,"1,481"
Worcester,5,4,851,409,1,79,"1,340"
Worcester,5,5,849,354,1,55,"1,259"
Worcester,6,1,363,67,0,23,453
Worcester,6,2,547,116,1,24,688
Worcester,6,3,565,170,2,38,775
Worcester,6,4,303,104,0,22,429
Worcester,6,5,687,313,0,57,"1,057"
Worcester,7,1,914,285,0,75,"1,274"
Worcester,7,2,582,183,0,42,807
Worcester,7,3,788,316,0,55,"1,159"
Worcester,7,4,758,313,1,49,"1,121"
Worcester,7,5,794,374,0,67,"1,235"
Worcester,8,1,350,95,0,21,466
Worcester,8,2,383,80,1,11,475
Worcester,8,3,398,49,2,25,474
Worcester,8,4,512,142,2,32,688
Worcester,8,5,440,150,1,29,620
Worcester,9,1,889,257,1,108,"1,255"
Worcester,9,2,"1,129",330,2,97,"1,558"
Worcester,9,3,712,280,0,89,"1,081"
Worcester,9,4,"1,061",399,0,105,"1,565"
Worcester,9,5,"1,000",454,1,111,"1,566"
Worcester,10,1,463,114,3,56,636
Worcester,10,2,515,89,1,43,648
Worcester,10,3,421,63,2,34,520
Worcester,10,4,376,59,1,32,468
Worcester,10,5,400,65,0,16,481
TOTALS,,,"182,312","115,726",153,"18,468","316,659"
