City/Town,Ward,Pct,"Walter F. Timilty, Jr.","All Others",Blanks,"Total Votes Cast"
Needham,-,H,"1,228",22,453,"1,703"
Needham,-,I,"1,318",13,389,"1,720"
Needham,-,J,"1,257",20,408,"1,685"
Norfolk,-,1,758,20,365,"1,143"
Norfolk,-,2,"1,457",32,762,"2,251"
Norfolk,-,3,"1,289",22,610,"1,921"
Norwood,-,1,"1,203",11,427,"1,641"
Norwood,-,2,"1,078",7,373,"1,458"
Norwood,-,3,"1,107",17,414,"1,538"
Norwood,-,4,"1,185",13,520,"1,718"
Norwood,-,5,883,11,261,"1,155"
Norwood,-,6,780,11,289,"1,080"
Norwood,-,7,976,12,348,"1,336"
Norwood,-,8,"1,188",15,404,"1,607"
Norwood,-,9,"1,148",18,456,"1,622"
Plainville,-,1,"1,038",15,401,"1,454"
Plainville,-,2,"1,010",7,361,"1,378"
Plainville,-,3,919,6,395,"1,320"
Quincy,1,1,831,19,236,"1,086"
Quincy,1,2,606,6,216,828
Quincy,1,3,955,15,237,"1,207"
Quincy,1,4,"1,156",26,376,"1,558"
Quincy,1,5,"1,223",36,372,"1,631"
Quincy,2,1,849,19,237,"1,105"
Quincy,2,2,766,16,170,952
Quincy,2,3,360,9,81,450
Quincy,2,3A,203,2,66,271
Quincy,2,4,723,9,173,905
Quincy,2,5,931,16,245,"1,192"
Quincy,3,1,"1,136",19,266,"1,421"
Quincy,3,2,901,16,235,"1,152"
Quincy,3,3,597,14,128,739
Quincy,3,4,"1,034",15,272,"1,321"
Quincy,3,5,595,6,126,727
Quincy,4,1,937,18,192,"1,147"
Quincy,4,2,"1,084",22,271,"1,377"
Quincy,4,3,"1,093",16,297,"1,406"
Quincy,4,4,758,10,142,910
Quincy,4,5,845,16,187,"1,048"
Quincy,5,1,868,14,193,"1,075"
Quincy,5,2,847,11,177,"1,035"
Quincy,5,3,"1,034",19,249,"1,302"
Quincy,5,4,967,14,248,"1,229"
Quincy,5,5,803,14,264,"1,081"
Quincy,6,1,801,8,177,986
Quincy,6,2,613,14,137,764
Quincy,6,3,"1,152",21,312,"1,485"
Quincy,6,4,723,12,198,933
Quincy,6,5,"1,351",18,407,"1,776"
Randolph,-,1,841,10,199,"1,050"
Randolph,-,2,710,14,134,858
Randolph,-,3,812,5,189,"1,006"
Randolph,-,4,856,5,220,"1,081"
Randolph,-,5,746,8,167,921
Randolph,-,6,749,11,146,906
Randolph,-,7,803,8,171,982
Randolph,-,8,893,8,145,"1,046"
Randolph,-,9,828,8,148,984
Randolph,-,10,862,9,161,"1,032"
Randolph,-,11,845,12,212,"1,069"
Randolph,-,12,919,13,192,"1,124"
Sharon,-,1,"1,391",19,423,"1,833"
Sharon,-,2,"1,252",19,414,"1,685"
Sharon,-,3,"1,378",24,464,"1,866"
Sharon,-,4,"1,399",11,372,"1,782"
Sharon,-,5,"1,217",15,395,"1,627"
Stoughton,-,1,"1,221",1,404,"1,626"
Stoughton,-,2,"1,006",0,399,"1,405"
Stoughton,-,3,"1,095",5,395,"1,495"
Stoughton,-,4,"1,190",3,571,"1,764"
Stoughton,-,5,898,2,346,"1,246"
Stoughton,-,6,982,0,369,"1,351"
Stoughton,-,7,928,8,305,"1,241"
Stoughton,-,8,818,16,254,"1,088"
Walpole,-,1,"1,080",6,393,"1,479"
Walpole,-,2,"1,109",13,499,"1,621"
Walpole,-,3,"1,163",3,484,"1,650"
Walpole,-,4,"1,074",3,386,"1,463"
Walpole,-,5,936,5,399,"1,340"
Walpole,-,6,"1,104",9,481,"1,594"
Walpole,-,7,"1,088",4,519,"1,611"
Walpole,-,8,"1,016",8,534,"1,558"
Wellesley,-,A,"1,320",6,496,"1,822"
Wellesley,-,B,"1,482",20,488,"1,990"
Wellesley,-,C,"1,134",6,683,"1,823"
Wellesley,-,D,"1,448",15,552,"2,015"
Wellesley,-,E,"1,200",7,461,"1,668"
Wellesley,-,F,820,5,303,"1,128"
Wellesley,-,G,733,1,235,969
Wellesley,-,H,"1,204",9,554,"1,767"
Westwood,-,1,"1,497",5,606,"2,108"
Westwood,-,2,"1,485",6,654,"2,145"
Westwood,-,3,"1,397",1,706,"2,104"
Westwood,-,4,"1,266",7,661,"1,934"
Weymouth,-,1,994,16,317,"1,327"
Weymouth,-,2,"1,085",15,448,"1,548"
Weymouth,-,3,"1,137",13,400,"1,550"
Weymouth,-,4,"1,026",13,368,"1,407"
Weymouth,-,5,844,6,250,"1,100"
Weymouth,-,6,"1,156",10,356,"1,522"
Weymouth,-,7,955,13,306,"1,274"
Weymouth,-,8,"1,055",15,334,"1,404"
Weymouth,-,9,"1,101",20,417,"1,538"
Weymouth,-,10,759,7,225,991
Weymouth,-,11,978,14,352,"1,344"
Weymouth,-,12,"1,064",10,399,"1,473"
Weymouth,-,13,722,10,230,962
Weymouth,-,14,898,17,244,"1,159"
Weymouth,-,15,"1,101",12,405,"1,518"
Weymouth,-,16,"1,188",28,434,"1,650"
Weymouth,-,17,809,15,260,"1,084"
Weymouth,-,18,"1,421",31,578,"2,030"
Wrentham,-,1,"1,240",29,513,"1,782"
Wrentham,-,2,"1,265",60,611,"1,936"
Wrentham,-,3,"1,345",39,489,"1,873"
TOTALS,,,"229,007","2,835","80,310","312,152"
