City/Town,Ward,Pct,"Nick Cocchi","All Others",Blanks,"Total Votes Cast"
Westfield,5,A,"1,193",12,427,"1,632"
Westfield,5,B,"1,140",9,410,"1,559"
Westfield,6,A,990,13,336,"1,339"
Westfield,6,B,761,5,283,"1,049"
Westfield,6,B1,56,0,21,77
Wilbraham,-,A,"1,326",31,341,"1,698"
Wilbraham,-,B,"1,217",29,305,"1,551"
Wilbraham,-,C,"1,264",27,405,"1,696"
Wilbraham,-,D,"1,439",27,322,"1,788"
TOTALS,,,"108,133","2,365","29,205","139,703"
