City/Town,Ward,Pct,"Paul R. Heroux","Thomas M. Hodgson","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Fairhaven,-,6,560,594,1,17,"1,172"
"Fall River",1,A,496,514,0,14,"1,024"
"Fall River",1,B,334,343,0,14,691
"Fall River",1,C,349,362,0,16,727
"Fall River",2,A,250,185,1,11,447
"Fall River",2,B,212,197,0,8,417
"Fall River",2,C,260,240,0,30,530
"Fall River",3,A,358,307,1,24,690
"Fall River",3,B,342,294,2,16,654
"Fall River",3,C,384,386,1,22,793
"Fall River",4,A,283,188,0,18,489
"Fall River",4,B,221,135,0,10,366
"Fall River",4,C,324,161,0,13,498
"Fall River",5,A,185,133,0,6,324
"Fall River",5,B,192,104,0,4,300
"Fall River",5,C,231,151,0,9,391
"Fall River",6,A,380,443,2,24,849
"Fall River",6,B,278,241,0,7,526
"Fall River",6,C,328,271,2,25,626
"Fall River",7,A,447,373,1,19,840
