City/Town,Ward,Pct,"Richard E. Neal","Alex B. Morse","All Others",Blanks,"Total Votes Cast"
Springfield,6,C,724,11,29,207,971
Springfield,6,D,993,10,55,240,"1,298"
Springfield,6,E,587,0,25,123,735
Springfield,6,F,683,5,26,88,802
Springfield,6,G,762,4,21,153,940
Springfield,6,H,866,3,43,167,"1,079"
Springfield,7,A,929,2,54,195,"1,180"
Springfield,7,B,"1,080",11,39,299,"1,429"
Springfield,7,C,"1,061",5,39,265,"1,370"
Springfield,7,D,919,4,63,255,"1,241"
Springfield,7,E,716,0,19,127,862
Springfield,7,F,"1,032",1,38,265,"1,336"
Springfield,7,G,"1,081",0,61,305,"1,447"
Springfield,7,H,482,1,19,111,613
Springfield,8,A,822,0,42,178,"1,042"
Springfield,8,B,864,0,31,152,"1,047"
Springfield,8,C,797,3,16,141,957
Springfield,8,D,488,1,22,83,594
Springfield,8,E,583,2,22,103,710
Springfield,8,F,818,0,42,179,"1,039"
Springfield,8,G,810,3,31,190,"1,034"
Springfield,8,H,827,2,22,109,960
Stockbridge,-,1,"1,108",8,11,243,"1,370"
Sturbridge,-,1,"1,403",1,94,533,"2,031"
Sturbridge,-,2,"1,554",0,40,559,"2,153"
Sturbridge,-,3,"1,350",0,48,511,"1,909"
Tolland,-,1,209,0,6,113,328
Tyringham,-,1,246,0,4,67,317
Wales,-,1,689,1,42,360,"1,092"
Warren,-,A,"1,257",6,35,644,"1,942"
Warren,-,B,468,0,7,211,686
Washington,-,1,258,0,5,90,353
"W. Springfield",-,1,654,6,11,255,926
"W. Springfield",-,2,914,5,17,274,"1,210"
"W. Springfield",-,3,"1,107",6,20,406,"1,539"
"W. Springfield",-,4,"1,249",5,14,467,"1,735"
"W. Springfield",-,5,"1,504",10,35,754,"2,303"
"W. Springfield",-,6,"1,372",4,34,697,"2,107"
"W. Springfield",-,7,"1,421",13,28,786,"2,248"
"W. Springfield",-,8,"1,103",10,17,403,"1,533"
"W. Stockbridge",-,1,783,0,19,173,975
Westfield,1,A,"1,368",5,57,705,"2,135"
Westfield,1,B,"1,257",17,39,600,"1,913"
Westfield,2,A,839,4,24,260,"1,127"
Westfield,2,B,"1,060",7,30,433,"1,530"
Westfield,3,A,796,6,30,270,"1,102"
Westfield,3,B,"1,237",16,41,436,"1,730"
Westfield,4,A,451,2,19,215,687
Westfield,4,B,"1,489",13,64,746,"2,312"
Westfield,5,A,"1,561",14,51,713,"2,339"
Westfield,5,B,"1,467",16,50,715,"2,248"
Westfield,6,A,"1,291",20,68,636,"2,015"
Westfield,6,B,"1,107",9,35,495,"1,646"
Westhampton,-,1,860,9,5,325,"1,199"
Wilbraham,-,A,"1,743",9,27,643,"2,422"
Wilbraham,-,B,"1,641",5,32,633,"2,311"
Wilbraham,-,C,"1,586",9,39,686,"2,320"
Wilbraham,-,D,"1,668",12,45,674,"2,399"
Williamsburg,-,1,"1,413",34,15,373,"1,835"
Williamstown,-,1,"1,286",0,35,230,"1,551"
Williamstown,-,2,540,0,15,87,642
Williamstown,-,3,"1,367",0,23,194,"1,584"
Windsor,-,1,424,0,1,156,581
Worthington,-,1,641,0,11,224,876
TOTALS,,,"275,376","1,274","8,682","87,384","372,716"
