City/Town,Ward,Pct,"Bill Keating","Helen Brady","Michael Manley","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled
Hanover,-,3,"1,254",928,40,1,76,"2,299"
Hanover,-,4,"1,227","1,035",40,2,118,"2,422"
Hanson,-,1,"1,131","1,030",35,1,103,"2,300"
Hanson,-,2,"1,208",966,40,3,95,"2,312"
Hanson,-,3,"1,063",950,66,2,106,"2,187"
Harwich,-,1,"1,528",816,63,0,75,"2,482"
Harwich,-,2,"1,498",801,57,4,43,"2,403"
Harwich,-,3,"1,464",801,103,1,54,"2,423"
Harwich,-,4,"1,371",703,90,0,45,"2,209"
Kingston,-,1,"1,163",724,37,1,85,"2,010"
Kingston,-,2,"1,210",953,54,1,102,"2,320"
Kingston,-,3,"1,276",933,52,3,78,"2,342"
Kingston,-,4,"1,076",711,34,1,75,"1,897"
Marion,-,1,"2,309","1,199",57,2,150,"3,717"
Marshfield,-,1,"1,482",937,42,0,81,"2,542"
Marshfield,-,2,"1,375",986,41,0,93,"2,495"
Marshfield,-,3,"1,431",869,44,0,82,"2,426"
Marshfield,-,4,"1,430",945,38,0,60,"2,473"
Marshfield,-,5,"1,312",852,36,0,72,"2,272"
Marshfield,-,6,"1,573","1,107",40,0,95,"2,815"
Marshfield,-,7,"1,482","1,046",29,1,79,"2,637"
Mashpee,-,1,"1,489",747,51,3,47,"2,337"
Mashpee,-,2,"1,136",739,50,2,51,"1,978"
Mashpee,-,3,996,588,38,2,50,"1,674"
Mashpee,-,4,"1,174",648,32,2,62,"1,918"
