City/Town,Ward,Pct,"Jake Auchincloss","Julie A. Hall","All Others",Blanks,"Total Votes Cast"
Millis,-,2,982,748,4,117,"1,851"
Millis,-,3,"1,089",810,2,91,"1,992"
Needham,-,A,"1,261",467,1,87,"1,816"
Needham,-,B,"1,405",553,6,82,"2,046"
Needham,-,C,"1,349",477,10,84,"1,920"
Needham,-,D,"1,423",493,3,94,"2,013"
Needham,-,E,"1,457",557,9,89,"2,112"
Needham,-,F,"1,420",435,7,89,"1,951"
Needham,-,G,"1,376",499,6,83,"1,964"
Needham,-,H,"1,488",571,6,104,"2,169"
Needham,-,I,"1,545",432,9,77,"2,063"
Needham,-,J,"1,595",497,8,109,"2,209"
Newton,1,1,"1,069",357,6,79,"1,511"
Newton,1,2,"1,247",223,6,52,"1,528"
Newton,1,3,"1,353",195,15,71,"1,634"
Newton,1,4,"1,108",408,12,81,"1,609"
Newton,2,1,"1,264",296,18,83,"1,661"
Newton,2,2,900,190,19,34,"1,143"
Newton,2,3,"1,505",256,11,66,"1,838"
Newton,2,4,"1,484",239,13,70,"1,806"
Newton,3,1,"1,333",323,26,61,"1,743"
Newton,3,2,"1,458",214,4,63,"1,739"
Newton,3,3,"1,252",372,17,76,"1,717"
Newton,3,4,"1,232",383,19,71,"1,705"
Newton,4,1,"1,261",285,12,61,"1,619"
Newton,4,2,"1,144",192,19,79,"1,434"
Newton,4,3,844,206,3,40,"1,093"
Newton,4,4,"1,144",325,12,87,"1,568"
Newton,5,1,"1,169",298,14,62,"1,543"
Newton,5,2,"1,323",225,9,61,"1,618"
Newton,5,3,"1,633",244,11,63,"1,951"
Newton,5,4,"1,536",240,12,69,"1,857"
Newton,6,1,"1,168",314,5,57,"1,544"
Newton,6,2,"1,362",205,8,64,"1,639"
Newton,6,3,"1,470",201,23,72,"1,766"
Newton,6,4,"1,602",224,22,64,"1,912"
Newton,7,1,"1,151",276,5,52,"1,484"
Newton,7,2,"1,555",247,21,77,"1,900"
Newton,7,3,419,95,5,16,535
Newton,7,4,656,143,9,34,842
Newton,8,1,"1,391",459,11,65,"1,926"
Newton,8,2,"1,285",428,8,70,"1,791"
Newton,8,3,"1,293",379,9,89,"1,770"
Newton,8,4,810,276,3,56,"1,145"
Norfolk,-,1,733,709,1,72,"1,515"
Norfolk,-,2,"1,498","1,291",4,135,"2,928"
Norfolk,-,3,"1,231","1,125",2,103,"2,461"
"N. Attleborough",-,1,814,715,0,71,"1,600"
"N. Attleborough",-,2,926,951,0,89,"1,966"
"N. Attleborough",-,3,863,"1,074",1,84,"2,022"
"N. Attleborough",-,4,838,704,2,72,"1,616"
"N. Attleborough",-,5,858,871,0,90,"1,819"
"N. Attleborough",-,6,997,"1,018",0,100,"2,115"
"N. Attleborough",-,7,966,"1,094",0,86,"2,146"
"N. Attleborough",-,8,928,"1,022",2,85,"2,037"
"N. Attleborough",-,9,861,"1,008",1,109,"1,979"
Norton,-,1,"1,088","1,231",4,132,"2,455"
Norton,-,2,"1,098","1,183",6,95,"2,382"
Norton,-,3,"1,067","1,066",6,98,"2,237"
Norton,-,4,"1,218","1,203",4,140,"2,565"
Norton,-,5,623,679,4,82,"1,388"
Plainville,-,1,930,979,0,90,"1,999"
Plainville,-,2,942,943,0,89,"1,974"
Plainville,-,3,845,977,0,82,"1,904"
Raynham,-,1A,106,118,0,17,241
Raynham,-,2A,132,199,2,28,361
Raynham,-,3,"1,032","1,245",0,134,"2,411"
Raynham,-,4,909,975,1,133,"2,018"
Rehoboth,-,1,995,"1,423",1,133,"2,552"
Rehoboth,-,2,"1,093","1,384",2,94,"2,573"
Rehoboth,-,3,"1,164","1,552",17,86,"2,819"
Seekonk,-,1,918,"1,121",1,77,"2,117"
Seekonk,-,2,"1,174","1,143",0,74,"2,391"
Seekonk,-,3,"1,102","1,082",6,84,"2,274"
Seekonk,-,4,"1,071","1,059",2,89,"2,221"
Sharon,-,1,"1,718",602,5,128,"2,453"
Sharon,-,2,"1,531",573,6,141,"2,251"
Sharon,-,3,"1,666",599,4,123,"2,392"
Sharon,-,4,"1,730",548,3,126,"2,407"
Sharon,-,5,"1,496",563,3,130,"2,192"
Somerset,-,1,"1,179","1,046",2,139,"2,366"
Somerset,-,2,"1,174","1,018",2,135,"2,329"
Somerset,-,3,"1,197","1,021",1,135,"2,354"
Somerset,-,4,"1,017",922,2,125,"2,066"
Somerset,-,5,962,999,1,135,"2,097"
Swansea,-,1,885,"1,139",2,110,"2,136"
Swansea,-,2,974,878,3,100,"1,955"
Swansea,-,3,935,885,3,83,"1,906"
Swansea,-,4,893,"1,058",1,89,"2,041"
Swansea,-,5,828,"1,082",2,120,"2,032"
Taunton,1,A,783,529,2,128,"1,442"
Taunton,1,B,902,881,2,170,"1,955"
Taunton,2,A,707,332,2,81,"1,122"
Taunton,2,B,749,440,3,115,"1,307"
Taunton,3,A,812,582,7,152,"1,553"
Taunton,3,B,973,834,1,172,"1,980"
Taunton,4,A,877,913,1,150,"1,941"
Taunton,4,B,782,749,0,157,"1,688"
Taunton,5,A,767,558,2,111,"1,438"
Taunton,5,B,771,483,2,111,"1,367"
Taunton,6,A,653,447,1,112,"1,213"
Taunton,6,B,920,676,2,134,"1,732"
Taunton,7,A,932,791,4,160,"1,887"
Taunton,7,B,889,"1,102",3,175,"2,169"
Taunton,8,A,941,892,3,176,"2,012"
Taunton,8,B,"1,010",974,1,161,"2,146"
Wellesley,-,A,"1,577",561,6,114,"2,258"
Wellesley,-,B,"1,793",610,4,92,"2,499"
Wellesley,-,C,"1,367",854,6,103,"2,330"
Wellesley,-,D,"1,791",568,3,106,"2,468"
Wellesley,-,E,"1,509",513,7,109,"2,138"
Wellesley,-,F,959,397,4,49,"1,409"
Wellesley,-,G,872,219,1,40,"1,132"
Wellesley,-,H,"1,510",630,4,116,"2,260"
Wrentham,-,1,"1,217","1,313",3,116,"2,649"
Wrentham,-,2,"1,105","1,385",3,96,"2,589"
Wrentham,-,3,"1,252","1,272",3,92,"2,619"
TOTALS,,,"251,102","160,474","1,247","21,710","434,533"
