City/Town,Ward,Pct,"Maura A. Hennigan","All Others",Blanks,"Total Votes Cast"
Boston,16,1,467,15,182,664
Boston,16,2,506,18,171,695
Boston,16,3,599,2,223,824
Boston,16,4,611,22,199,832
Boston,16,5,731,22,246,999
Boston,16,6,826,22,364,"1,212"
Boston,16,7,665,20,291,976
Boston,16,8,"1,057",30,401,"1,488"
Boston,16,9,825,21,386,"1,232"
Boston,16,10,692,17,276,985
Boston,16,11,459,9,180,648
Boston,16,12,699,10,335,"1,044"
Boston,17,1,504,24,118,646
Boston,17,2,388,12,98,498
Boston,17,3,836,16,230,"1,082"
Boston,17,4,"1,055",12,278,"1,345"
Boston,17,5,390,12,84,486
Boston,17,6,681,14,163,858
Boston,17,7,353,8,53,414
Boston,17,8,546,19,127,692
Boston,17,9,478,6,144,628
Boston,17,10,722,13,174,909
Boston,17,11,291,3,70,364
Boston,17,12,527,8,123,658
Boston,17,13,684,15,222,921
Boston,17,14,735,17,198,950
Boston,18,1,"1,090",24,244,"1,358"
Boston,18,2,680,7,134,821
Boston,18,3,831,10,161,"1,002"
Boston,18,4,845,18,186,"1,049"
Boston,18,5,876,15,207,"1,098"
Boston,18,6,"1,110",20,255,"1,385"
Boston,18,7,837,20,199,"1,056"
Boston,18,8,"1,349",25,353,"1,727"
Boston,18,9,861,20,252,"1,133"
Boston,18,10,"1,261",17,355,"1,633"
Boston,18,11,666,16,167,849
Boston,18,12,851,14,258,"1,123"
Boston,18,13,519,7,127,653
Boston,18,14,507,5,148,660
Boston,18,15,814,14,185,"1,013"
Boston,18,16,854,24,349,"1,227"
Boston,18,17,832,30,238,"1,100"
Boston,18,18,991,18,316,"1,325"
Boston,18,19,"1,385",26,390,"1,801"
Boston,18,20,"1,085",26,395,"1,506"
Boston,18,21,948,23,249,"1,220"
Boston,18,22,"1,000",28,335,"1,363"
Boston,18,23,642,19,160,821
Boston,19,1,798,8,224,"1,030"
Boston,19,2,987,13,301,"1,301"
Boston,19,3,505,1,144,650
Boston,19,4,"1,117",7,282,"1,406"
Boston,19,5,756,8,238,"1,002"
Boston,19,6,"1,113",9,300,"1,422"
Boston,19,7,942,15,254,"1,211"
Boston,19,8,661,5,247,913
Boston,19,9,553,4,142,699
Boston,19,10,"1,041",22,287,"1,350"
Boston,19,11,738,16,183,937
Boston,19,12,752,8,229,989
Boston,19,13,624,18,155,797
Boston,20,1,897,13,356,"1,266"
Boston,20,2,965,14,276,"1,255"
Boston,20,3,828,28,320,"1,176"
Boston,20,4,778,9,254,"1,041"
Boston,20,5,939,22,399,"1,360"
Boston,20,6,"1,000",16,394,"1,410"
Boston,20,7,648,13,198,859
Boston,20,8,736,11,224,971
Boston,20,9,841,13,237,"1,091"
Boston,20,10,"1,118",18,432,"1,568"
Boston,20,11,519,7,207,733
Boston,20,12,626,13,288,927
Boston,20,13,617,13,207,837
Boston,20,14,575,6,233,814
Boston,20,15,985,16,400,"1,401"
Boston,20,16,"1,134",39,424,"1,597"
Boston,20,17,"1,085",35,524,"1,644"
Boston,20,18,589,13,241,843
Boston,20,19,609,12,256,877
Boston,20,20,"1,037",20,360,"1,417"
Boston,20,21,79,7,45,131
Boston,21,1,919,14,182,"1,115"
Boston,21,2,256,2,41,299
Boston,21,3,526,4,111,641
Boston,21,4,456,8,113,577
Boston,21,5,770,15,148,933
Boston,21,6,570,6,127,703
Boston,21,7,669,20,156,845
Boston,21,8,951,8,144,"1,103"
Boston,21,9,"1,116",26,215,"1,357"
Boston,21,10,756,15,174,945
Boston,21,11,912,14,177,"1,103"
Boston,21,12,720,17,228,965
Boston,21,13,901,16,435,"1,352"
Boston,21,14,585,3,100,688
Boston,21,15,706,10,122,838
Boston,21,16,839,13,261,"1,113"
Boston,22,1,966,30,264,"1,260"
Boston,22,2,"1,128",24,314,"1,466"
Boston,22,3,995,20,286,"1,301"
Boston,22,4,737,16,219,972
Boston,22,5,734,15,206,955
Boston,22,6,580,13,151,744
Boston,22,7,855,14,251,"1,120"
Boston,22,8,580,16,191,787
Boston,22,9,638,16,273,927
Boston,22,10,837,13,240,"1,090"
Boston,22,11,561,15,187,763
Boston,22,12,597,17,215,829
Boston,22,13,530,12,136,678
Chelsea,1,1,293,0,176,469
Chelsea,1,2,199,0,107,306
Chelsea,1,3,288,0,129,417
Chelsea,1,4,280,0,119,399
Chelsea,2,1,705,0,378,"1,083"
Chelsea,2,2,470,0,166,636
Chelsea,2,3,255,0,127,382
Chelsea,2,4,315,0,136,451
Chelsea,3,1,355,0,170,525
Chelsea,3,2,410,0,177,587
Chelsea,3,3,351,0,156,507
Chelsea,3,4,359,0,178,537
Chelsea,4,1,479,0,172,651
Chelsea,4,2,416,0,261,677
Chelsea,4,3,420,0,245,665
Chelsea,4,4,366,0,211,577
Revere,1,1,679,31,371,"1,081"
Revere,1,2,743,27,407,"1,177"
Revere,1,3,545,16,311,872
Revere,2,1,513,19,217,749
Revere,2,2,646,28,302,976
Revere,2,3,204,12,107,323
Revere,2,3A,59,1,34,94
Revere,3,1,525,29,356,910
Revere,3,2,554,39,380,973
Revere,3,3,569,20,349,938
Revere,4,1,706,26,436,"1,168"
Revere,4,2,532,25,367,924
Revere,4,3,643,31,462,"1,136"
Revere,5,1,543,20,387,950
Revere,5,1A,364,10,269,643
Revere,5,2,720,26,385,"1,131"
Revere,5,3,566,21,388,975
Revere,6,1,678,34,582,"1,294"
Revere,6,2,655,42,586,"1,283"
Revere,6,3,607,31,358,996
Winthrop,-,1,"1,018",24,605,"1,647"
Winthrop,-,2,989,18,653,"1,660"
Winthrop,-,3,"1,082",19,487,"1,588"
Winthrop,-,4,708,18,484,"1,210"
Winthrop,-,5,"1,074",12,682,"1,768"
Winthrop,-,6,995,27,556,"1,578"
TOTALS,,,"223,410","4,824","74,092","302,326"
