City/Town,Ward,Pct,"Kevin R. Hayden","All Others",Blanks,"Total Votes Cast"
Boston,7,3,725,20,206,951
Boston,7,4,525,16,184,725
Boston,7,5,542,12,120,674
Boston,7,6,440,18,118,576
Boston,7,7,217,4,62,283
Boston,7,8,479,20,130,629
Boston,7,9,335,10,106,451
Boston,7,10,316,10,64,390
Boston,8,1,612,14,193,819
Boston,8,2,567,11,138,716
Boston,8,3,404,19,74,497
Boston,8,4,305,11,61,377
Boston,8,5,466,12,83,561
Boston,8,6,107,3,36,146
Boston,8,6A,0,0,0,0
Boston,9,1,642,13,184,839
Boston,9,2,667,13,108,788
Boston,9,3,449,13,94,556
Boston,9,4,424,6,98,528
Boston,9,5,494,16,101,611
Boston,9,6,553,11,120,684
Boston,9,7,130,3,23,156
Boston,10,1,299,11,83,393
Boston,10,2,221,3,55,279
Boston,10,3,241,5,40,286
Boston,10,4,405,13,195,613
Boston,10,5,328,20,93,441
Boston,10,6,358,15,97,470
Boston,10,7,427,10,102,539
Boston,10,8,728,25,174,927
Boston,10,9,848,20,227,"1,095"
Boston,10,9A,0,0,0,0
Boston,11,1,313,13,70,396
Boston,11,2,464,18,104,586
Boston,11,3,332,10,69,411
Boston,11,4,649,25,145,819
Boston,11,5,508,43,131,682
Boston,11,6,525,17,146,688
Boston,11,7,683,23,190,896
Boston,11,8,964,25,252,"1,241"
Boston,11,9,474,11,164,649
Boston,11,10,581,16,178,775
Boston,12,1,466,6,92,564
Boston,12,2,519,15,121,655
Boston,12,3,253,6,51,310
Boston,12,4,306,14,59,379
Boston,12,5,210,8,49,267
Boston,12,6,288,6,56,350
Boston,12,7,544,11,104,659
Boston,12,8,197,5,43,245
Boston,12,9,270,12,59,341
Boston,13,1,323,10,64,397
Boston,13,2,156,3,25,184
Boston,13,3,334,9,83,426
Boston,13,4,283,10,49,342
Boston,13,5,293,4,68,365
Boston,13,6,414,8,92,514
Boston,13,7,457,17,135,609
Boston,13,8,379,16,123,518
Boston,13,9,476,11,120,607
Boston,13,10,710,27,253,990
Boston,14,1,523,7,86,616
Boston,14,2,562,16,101,679
Boston,14,3,281,6,38,325
Boston,14,4,365,9,51,425
Boston,14,5,256,3,35,294
Boston,14,6,276,8,47,331
Boston,14,7,262,9,48,319
Boston,14,8,382,13,82,477
Boston,14,9,255,4,48,307
Boston,14,10,300,4,75,379
Boston,14,11,295,11,49,355
Boston,14,12,185,2,34,221
Boston,14,13,305,9,51,365
Boston,14,14,299,7,69,375
Boston,15,1,385,9,61,455
Boston,15,2,236,2,47,285
Boston,15,3,146,10,23,179
Boston,15,4,400,15,87,502
Boston,15,5,282,9,71,362
Boston,15,6,235,13,114,362
Boston,15,7,253,5,77,335
Boston,15,8,239,10,75,324
Boston,15,9,227,9,100,336
Boston,16,1,279,13,83,375
Boston,16,2,325,16,102,443
Boston,16,3,385,18,139,542
Boston,16,4,392,7,117,516
Boston,16,5,478,12,132,622
Boston,16,6,576,9,187,772
Boston,16,7,529,19,143,691
Boston,16,8,808,27,257,"1,092"
Boston,16,9,663,22,210,895
Boston,16,10,514,20,147,681
Boston,16,11,373,12,110,495
Boston,16,12,656,8,173,837
Boston,17,1,314,7,59,380
Boston,17,2,225,11,54,290
Boston,17,3,533,18,149,700
Boston,17,4,720,13,170,903
Boston,17,5,219,8,34,261
Boston,17,6,425,12,105,542
Boston,17,7,230,4,47,281
Boston,17,8,358,12,63,433
Boston,17,9,375,7,108,490
Boston,17,10,448,8,83,539
Boston,17,11,189,5,49,243
Boston,17,12,335,5,84,424
Boston,17,13,507,13,155,675
Boston,17,14,551,17,147,715
Boston,18,1,692,17,136,845
Boston,18,2,464,10,87,561
Boston,18,3,523,13,95,631
Boston,18,4,553,7,103,663
Boston,18,5,605,11,117,733
Boston,18,6,770,13,135,918
Boston,18,7,551,20,118,689
Boston,18,8,908,11,201,"1,120"
Boston,18,9,613,25,184,822
Boston,18,10,973,26,280,"1,279"
Boston,18,11,456,8,94,558
Boston,18,12,566,17,177,760
Boston,18,13,353,5,67,425
Boston,18,14,349,9,67,425
Boston,18,15,508,14,129,651
Boston,18,16,677,20,240,937
Boston,18,17,519,18,154,691
Boston,18,18,625,14,202,841
Boston,18,19,897,26,240,"1,163"
Boston,18,20,801,29,247,"1,077"
Boston,18,21,652,11,140,803
Boston,18,22,736,13,255,"1,004"
Boston,18,23,343,2,83,428
Boston,19,1,628,25,174,827
Boston,19,2,755,28,312,"1,095"
Boston,19,3,424,11,135,570
Boston,19,4,878,21,250,"1,149"
Boston,19,5,627,15,187,829
Boston,19,6,933,23,269,"1,225"
Boston,19,7,689,31,192,912
Boston,19,8,539,32,208,779
Boston,19,9,414,18,114,546
Boston,19,10,746,34,211,991
Boston,19,11,467,10,113,590
Boston,19,12,562,18,181,761
Boston,19,13,413,8,119,540
Boston,20,1,684,30,252,966
Boston,20,2,673,33,228,934
Boston,20,3,553,12,215,780
Boston,20,4,626,36,227,889
Boston,20,5,695,20,272,987
Boston,20,6,828,22,306,"1,156"
Boston,20,7,505,19,146,670
Boston,20,8,585,14,179,778
Boston,20,9,608,26,177,811
Boston,20,10,923,31,279,"1,233"
Boston,20,11,443,12,129,584
Boston,20,12,526,17,213,756
Boston,20,13,462,25,172,659
Boston,20,14,490,12,166,668
Boston,20,15,770,26,282,"1,078"
Boston,20,16,827,19,307,"1,153"
Boston,20,17,953,41,316,"1,310"
Boston,20,18,486,10,182,678
Boston,20,19,524,8,174,706
Boston,20,20,788,35,231,"1,054"
Boston,20,21,64,3,17,84
Boston,21,1,583,9,100,692
Boston,21,2,145,5,15,165
Boston,21,3,282,3,57,342
Boston,21,4,284,6,52,342
Boston,21,5,457,16,100,573
Boston,21,6,406,11,84,501
Boston,21,7,424,12,89,525
Boston,21,8,640,11,108,759
Boston,21,9,653,12,116,781
Boston,21,10,498,12,96,606
Boston,21,11,628,13,136,777
Boston,21,12,525,16,149,690
Boston,21,13,661,19,243,923
Boston,21,14,387,7,77,471
Boston,21,15,456,9,113,578
Boston,21,16,597,13,189,799
Boston,22,1,638,17,157,812
Boston,22,2,780,19,200,999
Boston,22,3,682,19,164,865
Boston,22,4,557,12,158,727
Boston,22,5,445,6,113,564
Boston,22,6,425,13,109,547
Boston,22,7,599,11,152,762
Boston,22,8,426,10,146,582
Boston,22,9,458,24,174,656
Boston,22,10,575,18,175,768
Boston,22,11,382,10,105,497
Boston,22,12,350,4,130,484
Boston,22,13,344,6,89,439
Chelsea,1,1,200,0,85,285
Chelsea,1,2,117,0,48,165
Chelsea,1,3,183,0,47,230
Chelsea,1,4,155,0,38,193
Chelsea,2,1,553,0,239,792
Chelsea,2,2,243,0,45,288
Chelsea,2,3,134,0,37,171
Chelsea,2,4,247,0,69,316
Chelsea,3,1,234,0,76,310
Chelsea,3,2,290,0,87,377
Chelsea,3,3,227,0,69,296
Chelsea,3,4,217,0,70,287
Chelsea,4,1,300,0,77,377
Chelsea,4,2,288,0,120,408
Chelsea,4,3,300,0,141,441
Chelsea,4,4,252,0,113,365
Revere,1,1,524,23,214,761
Revere,1,2,477,24,215,716
Revere,1,3,375,12,161,548
Revere,2,1,327,10,114,451
Revere,2,2,389,20,134,543
Revere,2,3,116,5,26,147
Revere,2,3A,23,0,11,34
Revere,3,1,312,15,200,527
Revere,3,2,349,17,168,534
Revere,3,3,368,13,188,569
Revere,4,1,443,23,242,708
Revere,4,2,343,11,180,534
Revere,4,3,437,26,239,702
Revere,5,1,669,21,405,"1,095"
Revere,5,2,456,27,204,687
Revere,5,3,340,19,141,500
Revere,6,1,478,25,364,867
Revere,6,2,443,17,358,818
Revere,6,3,392,13,176,581
Winthrop,-,1,736,17,413,"1,166"
Winthrop,-,2,769,20,432,"1,221"
Winthrop,-,3,724,22,321,"1,067"
Winthrop,-,4,604,16,297,917
Winthrop,-,5,803,36,421,"1,260"
Winthrop,-,6,780,20,303,"1,103"
TOTALS,,,"153,490","4,240","46,457","204,187"
