City/Town,Ward,Pct,"Joseph D. Early, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Worcester,6,1,196,6,43,245
Worcester,6,2,366,12,60,438
Worcester,6,3,299,14,56,369
Worcester,6,4,66,4,16,86
Worcester,6,5,435,13,105,553
Worcester,6,6,640,35,152,827
Worcester,7,1,724,25,145,894
Worcester,7,2,620,20,144,784
Worcester,7,3,413,15,87,515
Worcester,7,4,690,20,122,832
Worcester,7,5,493,13,151,657
Worcester,7,5A,173,10,26,209
Worcester,7,6,696,20,164,880
Worcester,8,1,275,14,50,339
Worcester,8,2,202,13,45,260
Worcester,8,3,133,4,13,150
Worcester,8,4,366,21,90,477
Worcester,8,5,308,11,63,382
Worcester,8,6,234,9,46,289
Worcester,9,1,577,15,121,713
Worcester,9,2,958,13,230,"1,201"
Worcester,9,3,535,12,113,660
Worcester,9,4,"1,092",18,253,"1,363"
Worcester,9,5,"1,200",33,295,"1,528"
Worcester,9,6,965,25,251,"1,241"
Worcester,10,1,286,8,68,362
Worcester,10,2,403,7,71,481
Worcester,10,3,319,11,60,390
Worcester,10,4,272,11,59,342
Worcester,10,5,238,11,40,289
Worcester,10,6,222,14,28,264
TOTALS,,,"209,803","5,501","76,765","292,069"
