City/Town,Ward,Pct,"Thomas M. Quinn, III","All Others",Blanks,"Total Votes Cast"
Seekonk,-,4,"1,016",46,414,"1,476"
Somerset,-,1,"1,188",0,465,"1,653"
Somerset,-,2,"1,139",2,456,"1,597"
Somerset,-,3,"1,145",3,442,"1,590"
Somerset,-,4,"1,044",11,422,"1,477"
Somerset,-,5,977,0,447,"1,424"
Swansea,-,1,882,45,436,"1,363"
Swansea,-,2,914,46,401,"1,361"
Swansea,-,3,948,52,380,"1,380"
Swansea,-,4,964,32,423,"1,419"
Swansea,-,5,883,55,491,"1,429"
Taunton,1,A,605,17,227,849
Taunton,1,A1,34,0,7,41
Taunton,1,B,832,19,476,"1,327"
Taunton,2,A,341,4,129,474
Taunton,2,B,501,9,237,747
Taunton,3,A,640,7,303,950
Taunton,3,B,797,3,419,"1,219"
Taunton,4,A,723,11,493,"1,227"
Taunton,4,B,754,10,380,"1,144"
Taunton,4,B1,16,0,12,28
Taunton,5,A,552,7,239,798
Taunton,5,B,530,4,196,730
Taunton,6,A,502,3,227,732
Taunton,6,B,662,4,317,983
Taunton,7,A,858,5,456,"1,319"
Taunton,7,B,908,11,608,"1,527"
Taunton,8,A,880,9,498,"1,387"
Taunton,8,B,972,13,511,"1,496"
Westport,-,A,960,0,410,"1,370"
Westport,-,B,"1,278",0,589,"1,867"
Westport,-,C,940,1,390,"1,331"
Westport,-,D,933,0,398,"1,331"
Westport,-,E,"1,249",6,569,"1,824"
TOTALS,,,"127,376","2,699","55,460","185,535"
