City/Town,Ward,Pct,"Marian T. Ryan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Natick,-,5,"1,211",5,449,"1,665"
Natick,-,6,"1,153",6,408,"1,567"
Natick,-,7,"1,506",18,390,"1,914"
Natick,-,8,"1,369",6,380,"1,755"
Natick,-,9,"1,359",5,405,"1,769"
Natick,-,10,"1,566",18,525,"2,109"
Newton,1,1,722,15,230,967
Newton,1,2,891,14,239,"1,144"
Newton,1,2A,46,1,9,56
Newton,1,3,915,13,228,"1,156"
Newton,1,4,799,12,300,"1,111"
Newton,2,1,846,16,232,"1,094"
Newton,2,2,653,6,206,865
Newton,2,3,"1,053",6,295,"1,354"
Newton,2,4,"1,131",18,328,"1,477"
Newton,3,1,946,15,305,"1,266"
Newton,3,1A,0,0,0,0
Newton,3,2,"1,010",17,293,"1,320"
Newton,3,3,913,16,340,"1,269"
Newton,3,4,916,25,319,"1,260"
Newton,4,1,866,9,260,"1,135"
Newton,4,2,839,11,246,"1,096"
Newton,4,3,631,8,168,807
Newton,4,4,762,24,282,"1,068"
Newton,5,1,864,20,234,"1,118"
Newton,5,2,965,13,251,"1,229"
Newton,5,3,"1,103",7,325,"1,435"
Newton,5,4,"1,084",9,323,"1,416"
Newton,6,1,877,14,264,"1,155"
Newton,6,2,888,11,276,"1,175"
Newton,6,3,"1,071",9,279,"1,359"
Newton,6,4,"1,131",8,338,"1,477"
Newton,7,1,730,12,264,"1,006"
Newton,7,2,"1,087",12,294,"1,393"
Newton,7,3,292,7,88,387
Newton,7,4,486,4,159,649
Newton,8,1,847,16,358,"1,221"
Newton,8,2,798,15,301,"1,114"
Newton,8,3,906,20,293,"1,219"
Newton,8,4,798,19,284,"1,101"
"N. Reading",-,1,"1,145",10,686,"1,841"
"N. Reading",-,2,"1,210",19,630,"1,859"
"N. Reading",-,3,"1,138",41,606,"1,785"
"N. Reading",-,4,"1,228",8,617,"1,853"
Pepperell,-,1,826,38,412,"1,276"
Pepperell,-,2,"1,050",52,507,"1,609"
Pepperell,-,3,942,40,447,"1,429"
Pepperell,-,4,814,34,277,"1,125"
Reading,-,1,"1,166",0,589,"1,755"
Reading,-,2,"1,018",0,437,"1,455"
Reading,-,3,"1,126",0,534,"1,660"
Reading,-,4,"1,097",0,475,"1,572"
Reading,-,5,"1,062",0,470,"1,532"
Reading,-,6,"1,136",0,500,"1,636"
Reading,-,7,"1,097",0,547,"1,644"
Reading,-,8,983,0,524,"1,507"
Sherborn,,,"1,685",13,522,"2,220"
Shirley,,,"1,859",64,773,"2,696"
Somerville,1,1,644,20,140,804
Somerville,1,2,563,13,115,691
Somerville,1,3,585,11,112,708
Somerville,1,4,381,6,76,463
Somerville,1,4A,227,8,33,268
Somerville,2,1,545,5,77,627
Somerville,2,1A,252,1,46,299
Somerville,2,2,889,8,140,"1,037"
Somerville,2,3,844,5,143,992
Somerville,2,4,961,7,142,"1,110"
Somerville,3,1,987,13,163,"1,163"
Somerville,3,2,873,14,180,"1,067"
Somerville,3,3,"1,057",10,172,"1,239"
Somerville,3,4,930,8,165,"1,103"
Somerville,4,1,629,13,173,815
Somerville,4,2,527,7,88,622
Somerville,4,2A,201,4,35,240
Somerville,4,3,911,10,161,"1,082"
Somerville,4,4,511,12,125,648
Somerville,5,1,982,8,199,"1,189"
Somerville,5,2,"1,042",14,171,"1,227"
Somerville,5,3,"1,051",6,178,"1,235"
Somerville,5,4,"1,109",11,180,"1,300"
Somerville,6,1,"1,082",24,150,"1,256"
Somerville,6,2,"1,175",16,221,"1,412"
Somerville,6,3,305,1,46,352
Somerville,6,3A,159,1,38,198
Somerville,6,4,"1,143",8,219,"1,370"
Somerville,7,1,"1,210",12,173,"1,395"
Somerville,7,2,812,8,117,937
Somerville,7,3,755,6,166,927
Somerville,7,4,870,15,159,"1,044"
Stoneham,-,1,896,26,408,"1,330"
Stoneham,-,2,996,27,413,"1,436"
Stoneham,-,3,"1,062",31,538,"1,631"
Stoneham,-,4,901,35,481,"1,417"
Stoneham,-,5,"1,032",34,518,"1,584"
Stoneham,-,6,"1,165",39,506,"1,710"
Stoneham,-,7,921,30,414,"1,365"
Stow,-,1,"1,481",18,485,"1,984"
Stow,-,2,"1,459",14,437,"1,910"
Sudbury,-,1,"1,209",0,385,"1,594"
Sudbury,-,2,"1,199",0,379,"1,578"
Sudbury,-,3,"1,047",0,361,"1,408"
Sudbury,-,4,"1,147",0,384,"1,531"
Sudbury,-,5,"1,098",0,392,"1,490"
Sudbury,-,6,"1,151",0,398,"1,549"
Tewksbury,-,1,974,43,459,"1,476"
Tewksbury,-,2,"1,190",59,513,"1,762"
Tewksbury,-,3,"1,019",43,509,"1,571"
Tewksbury,-,4,"1,076",41,460,"1,577"
Tewksbury,-,5,"1,030",55,440,"1,525"
Tewksbury,-,5A,179,10,56,245
