City/Town,Ward,Pct,"Michael A. Sullivan","All Others",Blanks,"Total Votes Cast"
Framingham,-,1,322,11,103,436
Framingham,-,2,352,12,72,436
Framingham,-,3,358,16,83,457
Framingham,-,4,447,13,135,595
Framingham,-,5,544,21,190,755
Framingham,-,6,"1,079",27,332,"1,438"
Framingham,-,7,"1,132",23,322,"1,477"
Framingham,-,8,627,16,167,810
Framingham,-,9A,785,28,248,"1,061"
Framingham,-,9B,42,1,10,53
Framingham,-,10,540,9,163,712
Framingham,-,11,714,15,224,953
Framingham,-,12,604,16,154,774
Framingham,-,13,405,11,112,528
Framingham,-,14,545,17,157,719
Framingham,-,15,593,17,158,768
Framingham,-,16,902,26,301,"1,229"
Framingham,-,17,"1,049",27,322,"1,398"
Framingham,-,18,"1,225",30,366,"1,621"
Framingham,-,19,"1,185",30,363,"1,578"
Framingham,-,20,"1,140",24,360,"1,524"
Framingham,-,21A,814,16,287,"1,117"
Framingham,-,21B,531,9,183,723
Framingham,-,21C,29,0,11,40
Framingham,-,22,"1,192",28,431,"1,651"
Framingham,-,23,"1,089",20,406,"1,515"
Framingham,-,24,"1,137",19,345,"1,501"
Framingham,-,25,"1,167",18,357,"1,542"
Framingham,-,26,"1,040",17,329,"1,386"
Framingham,-,27,"1,011",19,307,"1,337"
Groton,-,1,"1,914",5,679,"2,598"
Groton,-,2,"1,728",27,615,"2,370"
Groton,-,3,"1,711",23,622,"2,356"
Holliston,-,1,"1,837",50,590,"2,477"
Holliston,-,2,"1,715",37,580,"2,332"
Holliston,-,3,"1,552",40,541,"2,133"
Holliston,-,4,"1,838",29,588,"2,455"
Hopkinton,-,1,"1,350",11,377,"1,738"
Hopkinton,-,2,"1,562",18,551,"2,131"
Hopkinton,-,3,"1,522",15,553,"2,090"
Hopkinton,-,4,"1,689",16,548,"2,253"
Hopkinton,-,5,"1,665",17,566,"2,248"
Hudson,-,1,"1,359",4,501,"1,864"
Hudson,-,2,"1,171",9,446,"1,626"
Hudson,-,3,"1,383",7,559,"1,949"
Hudson,-,4,"1,564",2,720,"2,286"
Hudson,-,5,"1,597",1,561,"2,159"
Hudson,-,6,"1,101",9,439,"1,549"
Lexington,-,1,"1,434",11,501,"1,946"
Lexington,-,2,"1,695",21,542,"2,258"
Lexington,-,3,"1,310",3,433,"1,746"
Lexington,-,4,"1,514",8,570,"2,092"
Lexington,-,5,"1,524",11,544,"2,079"
Lexington,-,6,"1,566",15,608,"2,189"
Lexington,-,7,"1,532",17,525,"2,074"
Lexington,-,8,"1,508",11,500,"2,019"
Lexington,-,9,"1,660",9,531,"2,200"
Lincoln,-,1,"1,919",7,538,"2,464"
Lincoln,-,2,"1,164",11,408,"1,583"
Littleton,-,1,"1,612",0,623,"2,235"
Littleton,-,2,"1,515",0,644,"2,159"
Littleton,-,3,"1,607",0,585,"2,192"
Lowell,1,1,700,44,249,993
Lowell,1,1A,0,0,0,0
Lowell,1,2,953,49,340,"1,342"
Lowell,1,3,"1,528",55,547,"2,130"
Lowell,1,4,706,36,271,"1,013"
Lowell,2,1,706,34,212,952
Lowell,2,2,735,26,211,972
Lowell,2,3,910,45,269,"1,224"
Lowell,2,4,829,41,276,"1,146"
Lowell,3,1,716,33,246,995
Lowell,3,2,"1,578",39,635,"2,252"
Lowell,3,3,"1,221",47,512,"1,780"
Lowell,3,4,870,47,291,"1,208"
Lowell,4,1,532,29,178,739
Lowell,4,2,"1,042",33,315,"1,390"
Lowell,4,3,299,12,65,376
Lowell,4,3A,194,7,34,235
Lowell,4,4,585,25,214,824
Lowell,4,4A,6,0,1,7
Lowell,5,1,792,34,257,"1,083"
Lowell,5,1A,196,8,47,251
Lowell,5,2,722,34,242,998
Lowell,5,3,554,25,145,724
Lowell,5,4,908,43,315,"1,266"
Lowell,6,1,736,27,262,"1,025"
Lowell,6,2,448,25,234,707
Lowell,6,3,359,13,150,522
Lowell,6,3A,85,0,56,141
Lowell,6,4,477,23,169,669
Lowell,6,4A,200,9,71,280
Lowell,7,1,534,20,208,762
Lowell,7,2,575,34,204,813
Lowell,7,3,623,26,227,876
Lowell,7,4,419,19,157,595
Lowell,8,1,769,33,262,"1,064"
Lowell,8,2,752,27,216,995
Lowell,8,3,"1,155",33,501,"1,689"
Lowell,8,4,890,27,391,"1,308"
Lowell,8,4A,38,2,6,46
Malden,1,1,578,8,186,772
Malden,1,2,622,11,258,891
Malden,1,3,641,17,271,929
Malden,2,1,550,12,185,747
Malden,2,2,606,18,240,864
Malden,2,3,708,14,296,"1,018"
Malden,3,1,392,9,188,589
Malden,3,1A,478,6,232,716
Malden,3,2,716,11,250,977
Malden,3,3,789,15,335,"1,139"
Malden,4,1,671,14,209,894
Malden,4,2,453,8,143,604
Malden,4,3,609,14,227,850
Malden,5,1,688,16,251,955
Malden,5,2,958,18,376,"1,352"
Malden,5,3,341,11,145,497
Malden,5,3A,399,6,146,551
Malden,6,1,885,17,381,"1,283"
Malden,6,2,674,22,247,943
Malden,6,3,716,30,266,"1,012"
Malden,7,1,581,19,179,779
Malden,7,2,623,19,210,852
Malden,7,3,333,11,154,498
Malden,7,3A,251,4,107,362
Malden,8,1,774,25,300,"1,099"
Malden,8,2,705,24,231,960
Malden,8,3,537,15,190,742
Marlborough,1,1,755,5,317,"1,077"
Marlborough,1,1A,25,0,5,30
Marlborough,1,2,"1,275",11,530,"1,816"
Marlborough,2,1,"1,044",10,420,"1,474"
Marlborough,2,2,885,7,266,"1,158"
Marlborough,2,2A,4,0,9,13
Marlborough,3,1,690,6,264,960
Marlborough,3,2,"1,319",8,440,"1,767"
Marlborough,4,1,574,0,217,791
Marlborough,4,2,"1,259",11,466,"1,736"
Marlborough,5,1,652,7,241,900
Marlborough,5,2,"1,040",8,390,"1,438"
Marlborough,6,1,669,2,288,959
Marlborough,6,2,"1,186",10,531,"1,727"
Marlborough,7,1,798,10,335,"1,143"
Marlborough,7,2,899,9,346,"1,254"
Marlborough,7,2A,31,0,14,45
Maynard,-,1,"1,354",9,361,"1,724"
Maynard,-,2,"1,152",2,340,"1,494"
Maynard,-,3,"1,619",16,428,"2,063"
Maynard,-,4,"1,119",6,356,"1,481"
Medford,1,1,"1,454",20,495,"1,969"
Medford,1,2,"1,523",24,463,"2,010"
Medford,2,1,"1,287",28,516,"1,831"
Medford,2,2,"1,718",33,716,"2,467"
Medford,3,1,"1,584",29,655,"2,268"
Medford,3,2,"1,712",35,678,"2,425"
Medford,4,1,767,6,155,928
Medford,4,2,"1,483",33,472,"1,988"
Medford,5,1,"1,402",31,344,"1,777"
Medford,5,2,"1,489",20,340,"1,849"
Medford,6,1,"1,690",17,474,"2,181"
Medford,6,2,"1,482",20,488,"1,990"
Medford,6,2A,105,2,46,153
Medford,7,1,933,24,233,"1,190"
Medford,7,2,"1,116",17,290,"1,423"
Medford,7,2A,45,1,4,50
Medford,8,1,"1,447",25,484,"1,956"
Medford,8,2,"1,293",22,437,"1,752"
Melrose,1,1,915,9,425,"1,349"
Melrose,1,2,773,14,379,"1,166"
Melrose,2,1,852,15,475,"1,342"
Melrose,2,2,838,14,390,"1,242"
Melrose,3,1,802,13,358,"1,173"
Melrose,3,2,843,13,397,"1,253"
Melrose,4,1,856,10,321,"1,187"
Melrose,4,2,866,19,539,"1,424"
Melrose,5,1,696,13,250,959
Melrose,5,2,701,11,205,917
Melrose,6,1,836,13,326,"1,175"
Melrose,6,2,922,21,484,"1,427"
Melrose,7,1,871,15,399,"1,285"
Melrose,7,2,899,23,480,"1,402"
Natick,-,1,"1,051",4,295,"1,350"
Natick,-,2,"1,533",28,500,"2,061"
Natick,-,3,"1,526",10,568,"2,104"
Natick,-,4,"1,496",8,481,"1,985"
Natick,-,5,"1,560",11,548,"2,119"
Natick,-,6,"1,478",8,523,"2,009"
Natick,-,7,"1,835",6,582,"2,423"
Natick,-,8,"1,662",9,582,"2,253"
Natick,-,9,"1,728",7,529,"2,264"
Natick,-,10,"1,894",15,671,"2,580"
Newton,1,1,991,26,410,"1,427"
Newton,1,2,"1,062",16,370,"1,448"
Newton,1,2A,51,1,23,75
Newton,1,3,"1,103",14,361,"1,478"
Newton,1,4,"1,018",22,446,"1,486"
Newton,2,1,"1,061",6,406,"1,473"
Newton,2,2,788,6,327,"1,121"
Newton,2,3,"1,182",14,496,"1,692"
Newton,2,4,"1,255",15,557,"1,827"
Newton,3,1,"1,124",15,454,"1,593"
Newton,3,1A,0,0,0,0
Newton,3,2,"1,132",8,458,"1,598"
Newton,3,3,"1,164",19,462,"1,645"
Newton,3,4,"1,051",18,496,"1,565"
Newton,4,1,"1,087",14,413,"1,514"
Newton,4,2,979,8,398,"1,385"
Newton,4,3,790,6,316,"1,112"
Newton,4,4,"1,029",10,432,"1,471"
Newton,5,1,"1,031",21,409,"1,461"
Newton,5,2,"1,114",17,411,"1,542"
Newton,5,3,"1,266",7,486,"1,759"
Newton,5,4,"1,215",4,515,"1,734"
Newton,6,1,"1,034",14,474,"1,522"
Newton,6,2,"1,046",12,438,"1,496"
Newton,6,3,"1,199",9,487,"1,695"
Newton,6,4,"1,233",7,549,"1,789"
Newton,7,1,922,13,401,"1,336"
Newton,7,2,"1,215",14,499,"1,728"
Newton,7,3,347,7,138,492
Newton,7,4,556,6,264,826
Newton,8,1,970,26,492,"1,488"
Newton,8,2,"1,024",20,467,"1,511"
Newton,8,3,"1,049",18,527,"1,594"
Newton,8,4,947,16,497,"1,460"
"N. Reading",-,1,"1,509",12,948,"2,469"
"N. Reading",-,2,"1,665",22,958,"2,645"
"N. Reading",-,3,"1,484",18,937,"2,439"
"N. Reading",-,4,"1,562",12,909,"2,483"
Pepperell,-,1,"1,152",41,543,"1,736"
Pepperell,-,2,"1,364",49,659,"2,072"
Pepperell,-,3,"1,265",61,587,"1,913"
Pepperell,-,4,"1,151",46,458,"1,655"
Reading,-,1,"1,372",0,885,"2,257"
Reading,-,2,"1,306",0,642,"1,948"
Reading,-,3,"1,335",0,790,"2,125"
Reading,-,4,"1,314",0,695,"2,009"
Reading,-,5,"1,302",0,711,"2,013"
Reading,-,6,"1,410",0,761,"2,171"
Reading,-,7,"1,312",0,801,"2,113"
Reading,-,8,"1,238",0,776,"2,014"
Sherborn,-,1,"2,107",21,678,"2,806"
Shirley,-,1,"2,593",68,"1,043","3,704"
Somerville,1,1,"1,028",19,221,"1,268"
Somerville,1,2,811,18,203,"1,032"
Somerville,1,3,"1,061",18,211,"1,290"
Somerville,1,4,606,9,105,720
Somerville,1,4A,307,8,63,378
Somerville,2,1,784,5,144,933
Somerville,2,1A,464,4,95,563
Somerville,2,2,"1,189",17,243,"1,449"
Somerville,2,3,"1,208",7,244,"1,459"
Somerville,2,4,"1,260",14,254,"1,528"
Somerville,3,1,"1,288",17,273,"1,578"
Somerville,3,2,"1,183",22,265,"1,470"
Somerville,3,3,"1,312",17,286,"1,615"
Somerville,3,4,"1,274",10,279,"1,563"
Somerville,4,1,927,22,275,"1,224"
Somerville,4,2,725,13,159,897
Somerville,4,2A,294,4,62,360
Somerville,4,3,"1,234",17,250,"1,501"
Somerville,4,4,815,9,177,"1,001"
Somerville,5,1,"1,299",24,260,"1,583"
Somerville,5,2,"1,302",22,293,"1,617"
Somerville,5,3,"1,295",16,288,"1,599"
Somerville,5,4,"1,443",24,265,"1,732"
Somerville,6,1,"1,515",18,264,"1,797"
Somerville,6,2,"1,522",21,329,"1,872"
Somerville,6,3,223,2,52,277
Somerville,6,3A,203,9,52,264
Somerville,6,4,"1,421",25,305,"1,751"
Somerville,7,1,"1,488",8,268,"1,764"
Somerville,7,2,"1,083",14,203,"1,300"
Somerville,7,3,979,14,223,"1,216"
Somerville,7,4,"1,093",14,256,"1,363"
Stoneham,-,1,"1,194",0,631,"1,825"
Stoneham,-,2,"1,308",1,637,"1,946"
Stoneham,-,3,"1,293",1,817,"2,111"
Stoneham,-,4,"1,124",0,706,"1,830"
Stoneham,-,5,"1,274",0,783,"2,057"
Stoneham,-,6,"1,356",1,802,"2,159"
Stoneham,-,7,"1,086",3,668,"1,757"
Stow,-,1,"1,824",22,635,"2,481"
Stow,-,2,"1,697",12,616,"2,325"
Sudbury,-,1,"1,542",26,537,"2,105"
Sudbury,-,2,"1,484",25,482,"1,991"
Sudbury,-,3,"1,271",24,504,"1,799"
Sudbury,-,4,"1,541",30,551,"2,122"
Sudbury,-,5,"1,397",15,514,"1,926"
Sudbury,-,6,"1,448",29,523,"2,000"
Tewksbury,-,1,"1,343",57,644,"2,044"
Tewksbury,-,2,"1,718",52,688,"2,458"
Tewksbury,-,3,"1,552",58,707,"2,317"
Tewksbury,-,4,"1,522",37,655,"2,214"
Tewksbury,-,5,"1,430",55,646,"2,131"
Tewksbury,-,5A,264,9,70,343
Tewksbury,-,6,"1,523",65,715,"2,303"
Tewksbury,-,7,"1,718",50,823,"2,591"
Tewksbury,-,8,"1,649",52,659,"2,360"
Townsend,-,1,"1,230",0,640,"1,870"
Townsend,-,2,"1,206",0,659,"1,865"
Townsend,-,3,"1,286",0,569,"1,855"
Tyngsborough,-,1,"1,280",0,606,"1,886"
Tyngsborough,-,2,"1,239",0,599,"1,838"
Tyngsborough,-,3,"1,216",0,532,"1,748"
Tyngsborough,-,4,"1,421",0,699,"2,120"
Wakefield,-,1,"1,336",32,896,"2,264"
Wakefield,-,2,"1,423",22,777,"2,222"
Wakefield,-,3,"1,535",28,847,"2,410"
Wakefield,-,4,"1,517",22,826,"2,365"
Wakefield,-,5,"1,574",29,865,"2,468"
Wakefield,-,6,"1,549",30,815,"2,394"
Wakefield,-,7,"1,465",25,865,"2,355"
Waltham,1,1,"1,419",0,630,"2,049"
Waltham,1,2,"1,301",6,681,"1,988"
Waltham,1,2A,10,0,6,16
Waltham,2,1,"1,407",0,519,"1,926"
Waltham,2,2,"1,112",0,276,"1,388"
Waltham,3,1,"1,347",0,740,"2,087"
Waltham,3,2,"1,401",0,544,"1,945"
Waltham,3,2A,23,0,13,36
Waltham,4,1,"1,393",0,614,"2,007"
Waltham,4,1A,28,0,5,33
Waltham,4,2,273,0,91,364
Waltham,5,1,"1,055",0,477,"1,532"
Waltham,5,2,756,0,226,982
Waltham,5,2A,136,0,34,170
Waltham,6,1,"1,146",0,361,"1,507"
Waltham,6,2,697,0,266,963
Waltham,6,2A,152,0,58,210
Waltham,7,1,"1,297",0,501,"1,798"
Waltham,7,2,461,0,153,614
Waltham,8,1,"1,123",0,343,"1,466"
Waltham,8,2,"1,122",0,377,"1,499"
Waltham,8,2A,13,0,4,17
Waltham,9,1,"1,012",0,260,"1,272"
Waltham,9,2,830,0,256,"1,086"
Watertown,-,1,990,1,325,"1,316"
Watertown,-,2,"1,153",0,342,"1,495"
Watertown,-,3,"1,235",0,336,"1,571"
Watertown,-,4,"1,410",0,417,"1,827"
Watertown,-,5,"1,006",1,293,"1,300"
Watertown,-,6,"1,087",8,254,"1,349"
Watertown,-,7,"1,332",0,408,"1,740"
Watertown,-,8,"1,238",0,362,"1,600"
Watertown,-,9,979,0,313,"1,292"
Watertown,-,10,"1,284",8,373,"1,665"
Watertown,-,11,"1,205",0,420,"1,625"
Watertown,-,12,"1,106",0,402,"1,508"
Wayland,-,1,"1,782",21,617,"2,420"
Wayland,-,2,"1,542",20,556,"2,118"
Wayland,-,3,"1,510",20,503,"2,033"
Wayland,-,4,"1,734",21,608,"2,363"
Westford,-,1,"1,373",39,516,"1,928"
Westford,-,2,"1,476",43,490,"2,009"
Westford,-,3,"1,705",30,571,"2,306"
Westford,-,4,"1,515",31,475,"2,021"
Westford,-,5,"1,522",34,523,"2,079"
Westford,-,6,"1,664",32,574,"2,270"
Westford,-,7,"1,804",25,495,"2,324"
Weston,-,1,"1,307",0,564,"1,871"
Weston,-,2,"1,118",19,511,"1,648"
Weston,-,3,"1,005",2,467,"1,474"
Weston,-,4,"1,086",1,553,"1,640"
Wilmington,-,1,"1,711",15,711,"2,437"
Wilmington,-,2,"1,599",17,780,"2,396"
Wilmington,-,3,"1,559",23,732,"2,314"
Wilmington,-,4,"1,691",17,781,"2,489"
Wilmington,-,5,"1,568",11,686,"2,265"
Wilmington,-,6,"1,626",26,847,"2,499"
Winchester,-,1,"1,172",14,536,"1,722"
Winchester,-,2,921,18,473,"1,412"
Winchester,-,3,"1,255",15,573,"1,843"
Winchester,-,4,"1,108",14,651,"1,773"
Winchester,-,5,"1,052",21,667,"1,740"
Winchester,-,6,"1,096",20,642,"1,758"
Winchester,-,7,"1,098",24,640,"1,762"
Winchester,-,8,910,22,454,"1,386"
Woburn,1,1,827,2,510,"1,339"
Woburn,1,2,909,7,492,"1,408"
Woburn,1,2A,59,0,28,87
Woburn,2,1,"1,053",5,640,"1,698"
Woburn,2,2,930,2,418,"1,350"
Woburn,3,1,"1,002",1,560,"1,563"
Woburn,3,2,"1,100",3,767,"1,870"
Woburn,4,1,"1,032",3,678,"1,713"
Woburn,4,2,907,1,490,"1,398"
Woburn,5,1,"1,102",4,479,"1,585"
Woburn,5,2,929,6,576,"1,511"
Woburn,6,1,686,2,368,"1,056"
Woburn,6,2,"1,024",5,604,"1,633"
Woburn,7,1,"1,008",8,811,"1,827"
Woburn,7,2,"1,171",6,853,"2,030"
TOTALS,,,"594,801","7,960","222,372","825,133"
