City/Town,Ward,Pct,"Patrick W. McDermott","Jerry P. McDermott","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Foxborough,-,3,"1,060","1,046",6,237,"2,349"
Foxborough,-,4,"1,095","1,070",3,226,"2,394"
Foxborough,-,5,"1,099",970,0,214,"2,283"
Franklin,-,1,"1,052",983,2,234,"2,271"
Franklin,-,2,"1,246","1,103",4,236,"2,589"
Franklin,-,3,"1,179","1,059",2,223,"2,463"
Franklin,-,4,"1,284","1,312",2,233,"2,831"
Franklin,-,5,"1,411","1,166",11,255,"2,843"
Franklin,-,6,"1,129",845,1,240,"2,215"
Franklin,-,7,"1,317","1,116",3,259,"2,695"
Franklin,-,8,"1,142","1,243",3,257,"2,645"
Holbrook,-,1,874,536,2,147,"1,559"
Holbrook,-,2,808,670,4,149,"1,631"
Holbrook,-,3,827,609,0,124,"1,560"
Holbrook,-,4,813,572,0,123,"1,508"
Medfield,-,1,"1,030",961,0,198,"2,189"
Medfield,-,2,975,934,0,198,"2,107"
Medfield,-,3,910,"1,056",0,184,"2,150"
Medfield,-,4,870,961,0,209,"2,040"
Medway,-,1,895,935,3,171,"2,004"
Medway,-,2,988,974,5,152,"2,119"
Medway,-,3,969,"1,030",7,142,"2,148"
Medway,-,4,"1,050",986,3,165,"2,204"
Millis,-,1,921,808,0,105,"1,834"
Millis,-,2,842,863,0,146,"1,851"
Millis,-,3,947,902,0,143,"1,992"
Milton,-,1,"1,319",307,2,177,"1,805"
Milton,-,2,"1,227",382,2,240,"1,851"
Milton,-,3,"1,132",559,3,246,"1,940"
Milton,-,4,"1,255",415,2,180,"1,852"
Milton,-,5,872,445,2,213,"1,532"
Milton,-,6,"1,024",668,5,219,"1,916"
Milton,-,7,976,538,3,172,"1,689"
Milton,-,8,"1,034",674,5,208,"1,921"
Milton,-,9,963,786,7,250,"2,006"
Milton,-,10,893,237,1,141,"1,272"
Needham,-,A,"1,026",620,5,165,"1,816"
Needham,-,B,"1,140",680,4,222,"2,046"
Needham,-,C,"1,057",647,4,212,"1,920"
Needham,-,D,"1,106",669,2,236,"2,013"
Needham,-,E,"1,176",734,0,202,"2,112"
Needham,-,F,"1,164",573,7,207,"1,951"
