City/Town,Ward,Pct,"Stephanie L. Everett","Mohamed Bah","All Others",Blanks,"Total Votes Cast"
Boston,5,3,"1,031",210,5,278,"1,524"
Boston,5,4,658,86,4,97,845
Boston,5,5,680,138,4,215,"1,037"
Boston,5,6,791,165,4,258,"1,218"
Boston,5,7,"1,079",187,5,281,"1,552"
Boston,5,8,908,207,1,219,"1,335"
Boston,5,9,891,185,7,219,"1,302"
Boston,5,10,483,87,3,117,690
Boston,5,11,438,73,2,88,601
Boston,5,12,513,89,1,91,694
Boston,5,13,728,137,3,246,"1,114"
Boston,5,14,694,104,3,171,972
Boston,5,15,557,110,5,149,821
Boston,6,1,"1,044",215,10,228,"1,497"
Boston,6,2,654,140,9,182,985
Boston,6,3,752,198,4,242,"1,196"
Boston,6,4,609,162,6,173,950
Boston,6,5,810,184,7,231,"1,232"
Boston,6,6,842,209,9,246,"1,306"
Boston,6,7,753,190,15,262,"1,220"
Boston,6,8,877,209,7,333,"1,426"
Boston,6,9,809,196,10,344,"1,359"
Boston,6,10,659,214,6,182,"1,061"
Boston,6,11,781,197,3,199,"1,180"
Boston,6,12,"1,333",375,13,378,"2,099"
Boston,6,12A,0,0,0,0,0
Boston,7,1,677,158,4,244,"1,083"
Boston,7,2,768,195,10,287,"1,260"
Boston,7,3,891,195,13,300,"1,399"
Boston,7,4,638,163,5,220,"1,026"
Boston,7,5,803,186,4,192,"1,185"
Boston,7,6,607,147,10,197,961
Boston,7,7,384,73,6,126,589
Boston,7,8,660,136,11,163,970
Boston,7,9,502,118,6,127,753
Boston,7,10,524,80,1,115,720
Boston,8,1,954,149,7,281,"1,391"
Boston,8,2,688,99,3,135,925
Boston,8,3,599,112,12,142,865
Boston,8,4,442,82,4,110,638
Boston,8,5,676,111,3,172,962
Boston,8,6,134,35,1,36,206
Boston,8,6A,0,0,0,0,0
Boston,9,1,812,106,7,301,"1,226"
Boston,9,2,835,124,2,161,"1,122"
Boston,9,3,597,113,9,207,926
Boston,9,4,545,115,3,207,870
Boston,9,5,555,144,7,179,885
Boston,9,6,754,144,6,173,"1,077"
Boston,9,7,220,51,6,77,354
Boston,10,1,351,63,3,124,541
Boston,10,2,338,69,3,112,522
Boston,10,3,310,51,2,72,435
Boston,10,4,565,114,8,281,968
Boston,10,5,393,93,5,98,589
Boston,10,6,474,81,5,155,715
Boston,10,7,567,102,7,222,898
Boston,10,8,848,142,8,202,"1,200"
Boston,10,9,"1,026",154,3,226,"1,409"
Boston,10,9A,0,0,0,0,0
Boston,11,1,395,104,2,89,590
Boston,11,2,645,136,6,153,940
Boston,11,3,461,83,9,143,696
Boston,11,4,847,143,7,214,"1,211"
Boston,11,5,686,126,10,196,"1,018"
Boston,11,6,658,89,6,161,914
Boston,11,7,858,122,4,182,"1,166"
Boston,11,8,"1,237",198,6,230,"1,671"
Boston,11,9,612,77,4,146,839
Boston,11,10,727,75,1,151,954
Boston,12,1,610,143,11,153,917
Boston,12,2,745,162,15,204,"1,126"
Boston,12,3,351,95,3,76,525
Boston,12,4,430,109,4,119,662
Boston,12,5,243,48,4,85,380
Boston,12,6,358,84,3,84,529
Boston,12,7,846,143,11,251,"1,251"
Boston,12,8,285,70,5,74,434
Boston,12,9,380,92,5,92,569
Boston,13,1,526,101,3,135,765
Boston,13,2,214,51,7,42,314
Boston,13,3,555,134,3,141,833
Boston,13,4,416,77,2,106,601
Boston,13,5,382,59,6,113,560
Boston,13,6,527,120,5,134,786
Boston,13,7,560,148,11,216,935
Boston,13,8,521,108,5,156,790
Boston,13,9,617,107,5,161,890
Boston,13,10,859,180,7,280,"1,326"
Boston,14,1,798,156,16,219,"1,189"
Boston,14,2,877,180,7,221,"1,285"
Boston,14,3,220,39,3,67,329
Boston,14,4,512,90,9,122,733
Boston,14,5,379,57,7,101,544
Boston,14,6,413,80,3,98,594
Boston,14,7,394,74,4,90,562
Boston,14,8,486,84,6,116,692
Boston,14,9,429,75,9,119,632
Boston,14,10,470,87,6,145,708
Boston,14,11,473,70,6,119,668
Boston,14,12,282,39,1,66,388
Boston,14,13,439,81,5,72,597
Boston,14,14,472,80,6,103,661
Boston,15,1,566,98,6,171,841
Boston,15,2,358,57,6,102,523
Boston,15,3,234,56,2,86,378
Boston,15,4,692,144,16,152,"1,004"
Boston,15,5,422,79,4,132,637
Boston,15,6,330,79,5,156,570
Boston,15,7,354,84,2,110,550
Boston,15,8,296,81,2,149,528
Boston,15,9,351,67,2,154,574
Boston,16,1,387,106,5,166,664
Boston,16,2,424,136,7,128,695
Boston,16,3,513,117,1,193,824
Boston,16,4,488,169,10,165,832
Boston,16,5,627,168,5,199,999
Boston,16,6,678,238,6,290,"1,212"
Boston,16,7,579,157,6,234,976
Boston,16,8,927,224,17,320,"1,488"
Boston,16,9,692,175,6,359,"1,232"
Boston,16,10,596,144,7,238,985
Boston,16,11,395,108,6,139,648
Boston,16,12,599,125,6,314,"1,044"
Boston,17,1,418,92,10,126,646
Boston,17,2,333,68,7,90,498
Boston,17,3,725,152,9,196,"1,082"
Boston,17,4,919,173,7,246,"1,345"
Boston,17,5,337,76,2,71,486
Boston,17,6,583,128,8,139,858
Boston,17,7,295,68,1,50,414
Boston,17,8,459,97,7,129,692
Boston,17,9,428,90,1,109,628
Boston,17,10,644,110,6,149,909
Boston,17,11,263,53,0,48,364
Boston,17,12,478,79,2,99,658
Boston,17,13,595,136,7,183,921
Boston,17,14,674,115,6,155,950
Boston,18,1,988,131,8,231,"1,358"
Boston,18,2,590,99,4,128,821
Boston,18,3,741,115,4,142,"1,002"
Boston,18,4,754,100,8,187,"1,049"
Boston,18,5,814,109,7,168,"1,098"
Boston,18,6,"1,013",133,5,234,"1,385"
Boston,18,7,743,151,9,153,"1,056"
Boston,18,8,"1,162",215,8,342,"1,727"
Boston,18,9,784,124,8,217,"1,133"
Boston,18,10,"1,132",181,11,309,"1,633"
Boston,18,11,607,88,7,147,849
Boston,18,12,759,119,7,238,"1,123"
Boston,18,13,463,76,3,111,653
Boston,18,14,447,76,4,133,660
Boston,18,15,750,91,5,167,"1,013"
Boston,18,16,788,155,10,274,"1,227"
Boston,18,17,729,124,13,234,"1,100"
Boston,18,18,886,159,14,266,"1,325"
Boston,18,19,"1,203",246,7,345,"1,801"
Boston,18,20,926,204,9,367,"1,506"
Boston,18,21,842,144,13,221,"1,220"
Boston,18,22,879,186,12,286,"1,363"
Boston,18,23,592,91,6,132,821
Boston,19,1,766,114,0,150,"1,030"
Boston,19,2,880,130,2,289,"1,301"
Boston,19,3,482,70,2,96,650
Boston,19,4,"1,052",122,2,230,"1,406"
Boston,19,5,732,95,0,175,"1,002"
Boston,19,6,"1,034",129,1,258,"1,422"
Boston,19,7,857,140,6,208,"1,211"
Boston,19,8,665,73,2,173,913
Boston,19,9,509,74,3,113,699
Boston,19,10,937,141,16,256,"1,350"
Boston,19,11,663,91,12,171,937
Boston,19,12,690,94,6,199,989
Boston,19,13,555,93,6,143,797
Boston,20,1,856,131,6,273,"1,266"
Boston,20,2,880,140,8,227,"1,255"
Boston,20,3,712,176,9,279,"1,176"
Boston,20,4,744,92,1,204,"1,041"
Boston,20,5,852,163,16,329,"1,360"
Boston,20,6,878,166,8,358,"1,410"
Boston,20,7,588,92,8,171,859
Boston,20,8,660,120,6,185,971
Boston,20,9,785,115,2,189,"1,091"
Boston,20,10,987,201,10,370,"1,568"
Boston,20,11,472,84,1,176,733
Boston,20,12,584,100,5,238,927
Boston,20,13,552,99,6,180,837
Boston,20,14,507,102,5,200,814
Boston,20,15,856,223,13,309,"1,401"
Boston,20,16,991,234,15,357,"1,597"
Boston,20,17,990,197,12,445,"1,644"
Boston,20,18,543,103,2,195,843
Boston,20,19,551,111,4,211,877
Boston,20,20,940,180,4,293,"1,417"
Boston,20,21,75,24,2,30,131
Boston,21,1,828,138,2,147,"1,115"
Boston,21,2,227,33,1,38,299
Boston,21,3,475,83,2,81,641
Boston,21,4,399,72,3,103,577
Boston,21,5,707,109,4,113,933
Boston,21,6,511,93,1,98,703
Boston,21,7,571,116,10,148,845
Boston,21,8,837,138,6,122,"1,103"
Boston,21,9,997,188,10,162,"1,357"
Boston,21,10,659,126,4,156,945
Boston,21,11,798,147,5,153,"1,103"
Boston,21,12,669,106,3,187,965
Boston,21,13,834,140,4,374,"1,352"
Boston,21,14,530,82,1,75,688
Boston,21,15,609,111,4,114,838
Boston,21,16,777,117,4,215,"1,113"
Boston,22,1,855,177,9,219,"1,260"
Boston,22,2,978,219,13,256,"1,466"
Boston,22,3,875,174,13,239,"1,301"
Boston,22,4,651,152,4,165,972
Boston,22,5,638,139,9,169,955
Boston,22,6,519,97,6,122,744
Boston,22,7,722,155,3,240,"1,120"
Boston,22,8,522,106,6,153,787
Boston,22,9,591,130,7,199,927
Boston,22,10,771,141,6,172,"1,090"
Boston,22,11,514,108,2,139,763
Boston,22,12,552,99,2,176,829
Boston,22,13,463,97,5,113,678
Chelsea,1,1,257,60,0,152,469
Chelsea,1,2,177,44,0,85,306
Chelsea,1,3,243,63,0,111,417
Chelsea,1,4,228,71,0,100,399
Chelsea,2,1,635,152,0,296,"1,083"
Chelsea,2,2,428,77,0,131,636
Chelsea,2,3,222,45,0,115,382
Chelsea,2,4,254,79,0,118,451
Chelsea,3,1,327,59,0,139,525
Chelsea,3,2,349,83,0,155,587
Chelsea,3,3,324,51,0,132,507
Chelsea,3,4,309,63,0,165,537
Chelsea,4,1,433,73,0,145,651
Chelsea,4,2,367,121,0,189,677
Chelsea,4,3,385,91,0,189,665
Chelsea,4,4,328,95,0,154,577
Revere,1,1,615,193,13,260,"1,081"
Revere,1,2,667,201,10,299,"1,177"
Revere,1,3,509,112,10,241,872
Revere,2,1,434,131,11,173,749
Revere,2,2,586,157,7,226,976
Revere,2,3,170,53,6,94,323
Revere,2,3A,55,9,1,29,94
Revere,3,1,475,155,9,271,910
Revere,3,2,476,188,12,297,973
Revere,3,3,538,115,8,277,938
Revere,4,1,625,168,14,361,"1,168"
Revere,4,2,476,144,11,293,924
Revere,4,3,598,169,12,357,"1,136"
Revere,5,1,496,164,7,283,950
Revere,5,1A,354,98,1,190,643
Revere,5,2,637,185,10,299,"1,131"
Revere,5,3,525,150,11,289,975
Revere,6,1,615,197,18,464,"1,294"
Revere,6,2,604,226,19,434,"1,283"
Revere,6,3,547,166,9,274,996
Winthrop,-,1,936,294,10,407,"1,647"
Winthrop,-,2,940,278,6,436,"1,660"
Winthrop,-,3,965,291,8,324,"1,588"
Winthrop,-,4,685,182,7,336,"1,210"
Winthrop,-,5,"1,018",293,5,452,"1,768"
Winthrop,-,6,959,269,9,341,"1,578"
TOTALS,,,"199,090","40,431","1,917","60,888","302,326"
