City/Town,Ward,Pct,"John R. Buckley, Jr.","All Others",Blanks,"Total Votes Cast"
Halifax,-,2,"1,542",0,774,"2,316"
Halifax,-,2A,58,0,35,93
Hanover,-,1,"1,717",28,922,"2,667"
Hanover,-,2,"1,593",21,787,"2,401"
Hanover,-,3,"1,474",15,746,"2,235"
Hanover,-,4,"1,671",23,821,"2,515"
Hanson,-,1,"1,533",7,727,"2,267"
Hanson,-,2,"1,678",14,756,"2,448"
Hanson,-,3,"1,458",14,684,"2,156"
Hingham,-,1,"1,566",24,584,"2,174"
Hingham,-,2,"1,696",28,588,"2,312"
Hingham,-,3,"1,532",25,580,"2,137"
Hingham,-,4,"1,605",23,658,"2,286"
Hingham,-,5,"1,544",35,693,"2,272"
Hingham,-,6,"1,529",23,605,"2,157"
Hingham,-,7,875,17,409,"1,301"
Hingham,-,7A,886,4,320,"1,210"
Hull,-,1,"1,649",9,709,"2,367"
Hull,-,2,"1,470",8,669,"2,147"
Hull,-,3,"1,694",15,695,"2,404"
Kingston,-,1,"1,555",38,570,"2,163"
Kingston,-,2,"1,581",37,695,"2,313"
Kingston,-,3,"1,607",48,605,"2,260"
Kingston,-,4,"1,417",32,575,"2,024"
Lakeville,-,1,"1,580",57,908,"2,545"
Lakeville,-,2,"1,745",25,"1,028","2,798"
Lakeville,-,3,"1,558",44,910,"2,512"
Marion,-,1,"2,600",19,"1,061","3,680"
Marshfield,-,1,"1,757",0,789,"2,546"
Marshfield,-,2,"1,510",0,694,"2,204"
Marshfield,-,2A,214,0,75,289
Marshfield,-,3,"1,854",0,751,"2,605"
Marshfield,-,4,"1,543",0,679,"2,222"
Marshfield,-,5,"1,630",0,693,"2,323"
Marshfield,-,6,"1,908",0,896,"2,804"
Marshfield,-,7,"1,805",0,774,"2,579"
Mattapoisett,-,1,"1,713",35,719,"2,467"
Mattapoisett,-,2,"1,741",23,730,"2,494"
Middleborough,-,1,"1,749",10,899,"2,658"
Middleborough,-,2,"1,269",15,491,"1,775"
Middleborough,-,3,"1,374",24,719,"2,117"
Middleborough,-,4,"1,149",23,415,"1,587"
Middleborough,-,5,"1,187",15,669,"1,871"
Middleborough,-,5A,247,2,165,414
Middleborough,-,6,"1,391",12,688,"2,091"
Middleborough,-,7,992,7,481,"1,480"
Middleborough,-,7A,349,6,189,544
Norwell,-,1,"1,551",35,647,"2,233"
Norwell,-,2,"1,730",52,759,"2,541"
Norwell,-,3,"1,670",20,691,"2,381"
Pembroke,-,1,"1,714",43,721,"2,478"
Pembroke,-,2,"1,508",52,637,"2,197"
Pembroke,-,3,"1,632",56,632,"2,320"
Pembroke,-,3A,14,0,4,18
Pembroke,-,4,"1,667",63,677,"2,407"
Pembroke,-,5,"1,514",38,632,"2,184"
Plymouth,-,1,"1,233",10,392,"1,635"
Plymouth,-,2,"1,416",17,513,"1,946"
Plymouth,-,3,"1,448",17,544,"2,009"
Plymouth,-,4,"1,447",7,564,"2,018"
Plymouth,-,5,"1,514",8,504,"2,026"
Plymouth,-,6,"1,726",10,647,"2,383"
Plymouth,-,7,"1,648",17,589,"2,254"
Plymouth,-,8,"1,722",20,722,"2,464"
Plymouth,-,9,"1,462",20,599,"2,081"
Plymouth,-,10,"1,692",18,656,"2,366"
Plymouth,-,11,"1,658",19,669,"2,346"
Plymouth,-,12,"1,424",30,547,"2,001"
Plymouth,-,13,"1,719",10,654,"2,383"
Plymouth,-,14,"1,709",16,732,"2,457"
Plymouth,-,15,"2,429",3,"1,033","3,465"
Plymouth,-,16,"1,748",10,772,"2,530"
Plymouth,-,17,"2,077",18,801,"2,896"
Plymouth,-,18,"1,057",13,505,"1,575"
Plympton,-,1,"1,330",23,647,"2,000"
Rochester,-,1,"2,599",21,"1,413","4,033"
Rockland,-,1,"1,269",33,465,"1,767"
Rockland,-,2,"1,257",30,546,"1,833"
Rockland,-,3,"1,006",29,339,"1,374"
Rockland,-,4,"1,038",53,348,"1,439"
Rockland,-,5,"1,114",26,491,"1,631"
Rockland,-,6,"1,245",27,461,"1,733"
Scituate,-,1,"1,587",9,657,"2,253"
Scituate,-,2,"1,613",17,626,"2,256"
Scituate,-,3,"1,627",12,554,"2,193"
Scituate,-,4,"1,644",10,714,"2,368"
Scituate,-,5,"1,571",1,567,"2,139"
Scituate,-,6,"1,720",0,646,"2,366"
Wareham,-,1,"1,484",0,637,"2,121"
Wareham,-,2,"1,643",0,689,"2,332"
Wareham,-,3,"1,571",0,661,"2,232"
Wareham,-,4,"1,549",0,630,"2,179"
Wareham,-,5,"1,679",0,675,"2,354"
Wareham,-,6,"1,422",0,589,"2,011"
"W. Bridgewater",-,1,"1,557",13,751,"2,321"
"W. Bridgewater",-,2,"1,582",12,718,"2,312"
Whitman,-,1,"1,707",19,650,"2,376"
Whitman,-,2,"1,455",17,580,"2,052"
Whitman,-,3,"1,558",26,583,"2,167"
Whitman,-,4,"1,537",15,576,"2,128"
TOTALS,,,"213,987","2,233","87,562","303,782"
