City/Town,Ward,Pct,"Eileen R. Duff","Jonathan Edward Ring","All Others",Blanks,"Total Votes Cast"
Newbury,-,2,"1,305",918,0,223,"2,446"
Newburyport,1,1,"1,078",352,0,200,"1,630"
Newburyport,2,1,"1,373",479,1,218,"2,071"
Newburyport,3,1,"1,452",518,3,279,"2,252"
Newburyport,4,1,"1,399",531,0,259,"2,189"
Newburyport,5,1,"1,058",607,2,224,"1,891"
Newburyport,6,1,"1,175",658,3,230,"2,066"
Newburyport,1,P,242,176,1,61,480
Peabody,1,1,982,626,3,166,"1,777"
Peabody,1,2,906,720,1,186,"1,813"
Peabody,1,3,"1,018",760,3,213,"1,994"
Peabody,2,1,683,340,4,102,"1,129"
Peabody,2,2,681,365,1,104,"1,151"
Peabody,2,3,875,513,4,110,"1,502"
Peabody,3,1,563,289,6,84,942
Peabody,3,2,711,448,7,123,"1,289"
Peabody,3,3,818,490,5,124,"1,437"
Peabody,4,1,893,537,6,133,"1,569"
Peabody,4,2,602,440,6,96,"1,144"
Peabody,4,3,330,245,1,56,632
Peabody,4,3A,954,329,0,236,"1,519"
Peabody,5,1,"1,014",736,4,185,"1,939"
Peabody,5,2,699,629,3,148,"1,479"
Peabody,5,3,828,673,4,143,"1,648"
Peabody,6,1,954,924,4,224,"2,106"
Peabody,6,2,832,874,3,180,"1,889"
Peabody,6,3,939,968,6,226,"2,139"
Rockport,-,1,866,344,0,86,"1,296"
Rockport,-,2,"1,168",502,7,111,"1,788"
Rockport,-,3,"1,420",575,2,151,"2,148"
Rowley,-,1,"1,911","1,811",3,395,"4,120"
Salem,1,1,"1,427",378,2,179,"1,986"
Salem,1,2,606,160,2,128,896
Salem,2,1,"1,439",302,0,166,"1,907"
Salem,2,2,"1,560",310,0,203,"2,073"
Salem,3,1,"1,042",324,1,181,"1,548"
Salem,3,2,"1,049",466,1,143,"1,659"
Salem,4,1,"1,000",417,0,147,"1,564"
Salem,4,2,"1,111",537,0,161,"1,809"
Salem,5,1,"1,306",331,0,170,"1,807"
Salem,5,2,"1,105",269,1,144,"1,519"
Salem,6,1,"1,174",354,0,143,"1,671"
Salem,6,2,"1,357",379,0,161,"1,897"
Salem,7,1,912,271,2,127,"1,312"
Salem,7,2,"1,161",424,0,171,"1,756"
Salisbury,-,1,959,757,0,192,"1,908"
Salisbury,-,2,865,762,0,200,"1,827"
Salisbury,-,3,751,855,0,216,"1,822"
Saugus,-,1,609,568,2,226,"1,405"
Saugus,-,2,651,541,0,216,"1,408"
Saugus,-,3,642,632,0,210,"1,484"
Saugus,-,4,673,630,0,261,"1,564"
Saugus,-,5,689,679,0,340,"1,708"
Saugus,-,6,641,573,0,254,"1,468"
Saugus,-,7,604,706,0,299,"1,609"
Saugus,-,8,657,596,0,264,"1,517"
Saugus,-,9,642,743,0,297,"1,682"
Saugus,-,10,562,538,0,229,"1,329"
Swampscott,-,1,862,475,3,146,"1,486"
Swampscott,-,2,820,425,7,161,"1,413"
Swampscott,-,3,"1,028",309,2,156,"1,495"
Swampscott,-,4,"1,032",425,2,178,"1,637"
Swampscott,-,5,"1,034",423,1,200,"1,658"
Swampscott,-,6,972,428,3,173,"1,576"
Topsfield,-,1,"1,129",927,1,205,"2,262"
Topsfield,-,2,"1,058",786,3,219,"2,066"
Wenham,-,1,504,346,0,97,947
Wenham,-,1A,966,543,0,172,"1,681"
"W. Newbury",-,1,"1,865","1,135",1,298,"3,299"
TOTALS,,,"180,508","107,359",408,"34,284","322,559"
