City/Town,Ward,Pct,"Tara J. Jacobs","All Others",Blanks,"Total Votes Cast"
Chicopee,9,A,"1,053",41,317,"1,411"
Chicopee,9,B,"1,193",58,412,"1,663"
Clarksburg,-,1,743,4,233,980
Colrain,-,1,776,0,274,"1,050"
Conway,-,1,"1,011",10,289,"1,310"
Cummington,-,1,450,1,136,587
Dalton,-,1,"1,360",18,482,"1,860"
Dalton,-,2,"1,336",18,470,"1,824"
Deerfield,-,1,"2,575",19,714,"3,308"
"E. Longmeadow",-,1,"1,343",47,494,"1,884"
"E. Longmeadow",-,2,"1,285",59,547,"1,891"
"E. Longmeadow",-,2A,11,0,3,14
"E. Longmeadow",-,3,"1,305",51,561,"1,917"
"E. Longmeadow",-,3A,72,9,24,105
"E. Longmeadow",-,4,"1,102",42,610,"1,754"
"E. Longmeadow",-,4A,256,4,133,393
"E. Longmeadow",-,5,"1,196",50,682,"1,928"
Easthampton,-,1,"1,569",10,476,"2,055"
Easthampton,-,2,"1,504",7,382,"1,893"
Easthampton,-,3,"1,648",8,480,"2,136"
Easthampton,-,4,"1,576",8,438,"2,022"
Easthampton,-,5,"1,598",11,546,"2,155"
Egremont,-,1,708,0,248,956
Erving,-,1,719,14,245,978
Florida,-,1,305,1,110,416
Gill,-,1,760,12,244,"1,016"
Goshen,-,1,488,3,180,671
Granby,-,1,"1,288",0,701,"1,989"
Granby,-,2,"1,208",0,742,"1,950"
Granby,-,2A,33,0,12,45
Granville,-,1,612,0,383,995
"Great Barrington",-,A,811,3,239,"1,053"
"Great Barrington",-,B,770,9,264,"1,043"
"Great Barrington",-,C,562,2,170,734
"Great Barrington",-,D,828,5,298,"1,131"
Greenfield,-,1,814,18,294,"1,126"
Greenfield,-,2,"1,015",18,302,"1,335"
Greenfield,-,3,896,13,287,"1,196"
Greenfield,-,4,904,14,234,"1,152"
Greenfield,-,5,929,7,251,"1,187"
Greenfield,-,6,852,9,191,"1,052"
Greenfield,-,7,708,13,196,917
Greenfield,-,8,704,28,189,921
Greenfield,-,9,510,10,172,692
Hadley,-,1,"2,463",6,873,"3,342"
Hampden,-,1,"2,195",7,"1,091","3,293"
Hancock,-,1,340,0,155,495
Hatfield,-,1,"1,667",8,576,"2,251"
Hawley,-,1,135,0,61,196
Heath,-,1,367,1,104,472
Hinsdale,-,1,901,3,314,"1,218"
Holyoke,1,A,434,0,127,561
Holyoke,1,B,542,0,164,706
Holyoke,2,A,552,0,205,757
Holyoke,2,B,407,0,114,521
Holyoke,3,A,829,0,236,"1,065"
Holyoke,3,B,930,0,429,"1,359"
Holyoke,4,A,441,2,139,582
Holyoke,4,B,655,2,196,853
Holyoke,5,A,"1,193",0,644,"1,837"
Holyoke,5,B,838,2,362,"1,202"
Holyoke,6,A,753,0,263,"1,016"
Holyoke,6,B,950,1,323,"1,274"
Holyoke,7,A,"1,208",2,559,"1,769"
Holyoke,7,B,"1,072",1,384,"1,457"
Huntington,-,1,831,404,4,"1,239"
Lanesborough,-,1,"1,362",4,496,"1,862"
Lee,-,1,"2,418",30,810,"3,258"
Lenox,-,1,"2,446",19,832,"3,297"
Leverett,-,1,"1,085",3,222,"1,310"
Leyden,-,1,366,0,130,496
Longmeadow,-,A,"1,433",45,550,"2,028"
Longmeadow,-,B,"1,317",45,490,"1,852"
Longmeadow,-,C,"1,402",45,618,"2,065"
Longmeadow,-,D,"1,383",37,588,"2,008"
Longmeadow,-,E,"1,294",42,553,"1,889"
Ludlow,-,1,"1,319",25,617,"1,961"
Ludlow,-,2,985,14,425,"1,424"
Ludlow,-,3,"1,480",10,842,"2,332"
Ludlow,-,4,"1,210",24,632,"1,866"
Ludlow,-,5,981,17,522,"1,520"
Ludlow,-,6,"1,428",30,724,"2,182"
Middlefield,-,1,236,0,81,317
Monroe,-,1,53,0,13,66
Montague,-,1,829,7,199,"1,035"
Montague,-,2,611,20,208,839
Montague,-,3,634,10,210,854
Montague,-,4,631,8,157,796
Montague,-,5,483,12,116,611
Montague,-,6,548,11,148,707
Monterey,-,1,481,1,122,604
Montgomery,-,1,367,6,183,556
"Mount Washington",-,1,93,0,32,125
"New Ashford",-,1,132,1,31,164
"New Marlborough",-,1,380,51,571,"1,002"
"New Salem",-,1,529,4,181,714
"N. Adams",1,1,997,3,289,"1,289"
"N. Adams",2,2,925,3,222,"1,150"
"N. Adams",3,3,643,5,171,819
"N. Adams",4,4,"1,015",4,291,"1,310"
"N. Adams",5,5,902,9,248,"1,159"
Northampton,1,A,935,4,214,"1,153"
Northampton,1,B,"1,074",7,236,"1,317"
Northampton,2,A,814,3,181,998
Northampton,2,B,668,2,154,824
Northampton,3,A,"1,006",6,254,"1,266"
Northampton,3,B,"1,004",4,237,"1,245"
Northampton,4,A,816,5,170,991
Northampton,4,B,"1,040",5,282,"1,327"
Northampton,5,A,868,8,248,"1,124"
Northampton,5,B,"1,080",2,233,"1,315"
Northampton,6,A,"1,184",5,359,"1,548"
Northampton,6,B,"1,208",3,308,"1,519"
Northampton,7,A,965,3,288,"1,256"
Northampton,7,B,"1,012",2,318,"1,332"
Northfield,-,1,"1,379",14,561,"1,954"
Orange,-,1,"1,355",47,557,"1,959"
Orange,-,2,"1,448",38,499,"1,985"
Otis,-,1,670,6,397,"1,073"
Palmer,-,1,"1,180",5,581,"1,766"
Palmer,-,2,"1,069",0,689,"1,758"
Palmer,-,3,946,0,431,"1,377"
Palmer,-,4,967,0,597,"1,564"
Pelham,-,1,710,0,151,861
Peru,-,1,355,1,172,528
Petersham,-,1,641,1,259,901
Pittsfield,1,A,858,8,246,"1,112"
Pittsfield,1,B,"1,128",5,417,"1,550"
Pittsfield,2,A,657,4,180,841
Pittsfield,2,B,"1,184",1,420,"1,605"
Pittsfield,3,A,"1,299",9,439,"1,747"
Pittsfield,3,B,"1,371",7,510,"1,888"
Pittsfield,4,A,"1,332",6,458,"1,796"
Pittsfield,4,B,"1,496",6,547,"2,049"
Pittsfield,5,A,"1,067",7,353,"1,427"
Pittsfield,5,B,"1,194",9,453,"1,656"
Pittsfield,6,A,"1,116",3,388,"1,507"
Pittsfield,6,B,806,6,273,"1,085"
Pittsfield,7,A,791,7,244,"1,042"
Pittsfield,7,B,"1,224",7,410,"1,641"
Plainfield,-,1,317,1,114,432
Richmond,-,1,788,9,222,"1,019"
Rowe,-,1,180,0,85,265
Royalston,-,1,556,7,251,814
Russell,-,1,617,277,17,911
Sandisfield,-,1,347,0,160,507
Savoy,-,1,298,0,139,437
Sheffield,-,1,"1,523",13,503,"2,039"
Shelburne,-,1,954,10,272,"1,236"
Shutesbury,-,1,"1,031",2,231,"1,264"
"S. Hadley",-,A,"1,454",5,476,"1,935"
"S. Hadley",-,B,"1,549",15,636,"2,200"
"S. Hadley",-,C,"1,631",6,679,"2,316"
"S. Hadley",-,D,937,6,351,"1,294"
"S. Hadley",-,E,"1,601",19,638,"2,258"
Southampton,-,1,"1,337",34,634,"2,005"
Southampton,-,2,"1,395",37,651,"2,083"
Southwick,-,1,"1,350",48,852,"2,250"
Southwick,-,2,"1,054",48,576,"1,678"
Southwick,-,3,"1,248",57,649,"1,954"
Springfield,1,A,316,17,192,525
Springfield,1,B,445,10,158,613
Springfield,1,C,304,17,78,399
Springfield,1,C1,57,0,5,62
Springfield,1,D,301,11,76,388
Springfield,1,D1,72,2,17,91
Springfield,1,E,399,17,133,549
Springfield,1,F,397,20,128,545
Springfield,1,G,316,12,78,406
Springfield,1,H,627,25,160,812
Springfield,2,A,525,16,118,659
Springfield,2,B,728,34,253,"1,015"
Springfield,2,C,525,20,137,682
Springfield,2,D,731,26,186,943
Springfield,2,E,643,30,213,886
Springfield,2,F,685,34,176,895
Springfield,2,G,744,29,247,"1,020"
Springfield,2,H,755,24,210,989
Springfield,3,A,323,9,90,422
Springfield,3,B,360,9,101,470
Springfield,3,C,327,8,94,429
Springfield,3,D,453,21,99,573
Springfield,3,E,264,8,52,324
Springfield,3,F,367,7,101,475
Springfield,3,G,310,11,68,389
Springfield,3,H,407,16,91,514
Springfield,4,A,671,30,180,881
Springfield,4,B,447,14,108,569
Springfield,4,C,455,18,84,557
Springfield,4,D,450,13,100,563
Springfield,4,E,418,16,94,528
Springfield,4,F,134,3,24,161
Springfield,4,G,502,14,133,649
Springfield,4,H,504,10,111,625
Springfield,5,A,620,17,159,796
Springfield,5,B,802,26,175,"1,003"
Springfield,5,C,622,26,208,856
Springfield,5,C1,9,0,8,17
Springfield,5,D,872,31,328,"1,231"
Springfield,5,E,883,26,232,"1,141"
Springfield,5,F,801,19,267,"1,087"
Springfield,5,G,894,30,343,"1,267"
Springfield,5,H,738,22,254,"1,014"
Springfield,6,A,472,23,134,629
Springfield,6,B,697,18,226,941
Springfield,6,C,579,22,257,858
Springfield,6,D,856,42,337,"1,235"
Springfield,6,D1,28,1,15,44
Springfield,6,E,489,13,121,623
Springfield,6,F,568,17,124,709
Springfield,6,G,605,21,182,808
Springfield,6,H,841,28,251,"1,120"
Springfield,7,A,856,31,306,"1,193"
Springfield,7,A1,41,0,15,56
Springfield,7,B,901,27,408,"1,336"
Springfield,7,B1,30,1,11,42
Springfield,7,C,933,35,382,"1,350"
Springfield,7,D,830,28,314,"1,172"
Springfield,7,E,608,16,181,805
Springfield,7,F,992,29,370,"1,391"
Springfield,7,G,991,31,401,"1,423"
Springfield,7,H,406,15,172,593
Springfield,7,H1,78,4,33,115
Springfield,8,A,713,25,218,956
Springfield,8,B,722,29,164,915
Springfield,8,B1,35,1,24,60
Springfield,8,C,712,19,216,947
Springfield,8,D,520,17,118,655
Springfield,8,E,492,22,130,644
Springfield,8,F,735,39,182,956
Springfield,8,G,637,30,209,876
Springfield,8,G1,19,0,10,29
Springfield,8,H,681,22,166,869
Stockbridge,-,1,"1,007",4,308,"1,319"
Sunderland,-,1,"1,506",8,381,"1,895"
Tolland,-,1,213,0,118,331
Tyringham,-,1,235,1,90,326
Warren,-,A,"1,316",12,691,"2,019"
Warren,-,B,442,2,217,661
Warwick,-,1,385,0,126,511
Washington,-,1,251,0,109,360
Wendell,-,1,465,1,139,605
"W. Springfield",-,1,551,6,216,773
"W. Springfield",-,2,749,9,297,"1,055"
"W. Springfield",-,3,978,7,464,"1,449"
"W. Springfield",-,4,"1,122",15,496,"1,633"
"W. Springfield",-,5,"1,334",12,870,"2,216"
"W. Springfield",-,6,"1,286",13,756,"2,055"
"W. Springfield",-,7,"1,239",21,858,"2,118"
"W. Springfield",-,8,"1,070",8,504,"1,582"
"W. Stockbridge",-,1,709,6,226,941
Westfield,1,A,"1,353",8,781,"2,142"
Westfield,1,B,"1,223",24,636,"1,883"
Westfield,2,A,772,8,260,"1,040"
Westfield,2,A1,57,0,13,70
Westfield,2,B,"1,006",5,432,"1,443"
Westfield,3,A,863,9,319,"1,191"
Westfield,3,B,"1,189",24,545,"1,758"
Westfield,4,A,467,5,337,809
Westfield,4,B,"1,384",14,740,"2,138"
Westfield,5,A,"1,438",21,749,"2,208"
Westfield,5,B,"1,320",27,789,"2,136"
Westfield,6,A,"1,229",17,642,"1,888"
Westfield,6,B,995,25,488,"1,508"
Westfield,6,B1,50,3,29,82
Westhampton,-,1,913,7,328,"1,248"
Whately,-,1,851,3,240,"1,094"
Wilbraham,-,A,"1,592",30,724,"2,346"
Wilbraham,-,B,"1,509",46,665,"2,220"
Wilbraham,-,C,"1,506",58,753,"2,317"
Wilbraham,-,D,"1,608",49,765,"2,422"
Williamsburg,-,1,"1,452",2,379,"1,833"
Williamstown,-,1,"1,227",8,277,"1,512"
Williamstown,-,2,349,3,87,439
Williamstown,-,3,"1,389",0,302,"1,691"
Winchendon,-,1,"1,077",60,520,"1,657"
Winchendon,-,2,"1,172",73,549,"1,794"
Winchendon,-,3,"1,161",73,581,"1,815"
Windsor,-,1,400,0,161,561
Worthington,-,1,649,4,225,878
TOTALS,,,"295,635","5,738","110,646","412,019"
