City/Town,Ward,Pct,"Paul M. Depalo","Andrew J. Couture","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Shrewsbury,-,4,"1,366",715,1,121,"2,203"
Shrewsbury,-,5,"1,239",530,1,111,"1,881"
Shrewsbury,-,6,"1,315",607,1,132,"2,055"
Shrewsbury,-,7,"1,448",694,4,133,"2,279"
Shrewsbury,-,8,"1,479",781,1,219,"2,480"
Shrewsbury,-,9,972,438,0,78,"1,488"
Shrewsbury,-,10,"1,235",574,2,135,"1,946"
Southbridge,-,1,749,537,4,134,"1,424"
Southbridge,-,2,588,443,2,81,"1,114"
Southbridge,-,3,698,680,4,125,"1,507"
Southbridge,-,4,"1,024",806,8,171,"2,009"
Southbridge,-,5,587,344,6,83,"1,020"
Spencer,-,1,767,696,1,126,"1,590"
Spencer,-,2,673,654,4,84,"1,415"
Spencer,-,3,719,900,1,110,"1,730"
Spencer,-,4,809,773,2,132,"1,716"
Sterling,-,1,"1,299","1,260",0,179,"2,738"
Sterling,-,2,"1,372","1,295",4,179,"2,850"
Sturbridge,-,1,"1,086",834,1,116,"2,037"
Sturbridge,-,2,"1,076",876,3,129,"2,084"
Sturbridge,-,3,980,825,2,118,"1,925"
Sutton,-,1,967,982,0,200,"2,149"
Sutton,-,2,916,"1,010",4,183,"2,113"
Sutton,-,3,"1,018",926,0,161,"2,105"
Templeton,-,A,680,993,3,87,"1,763"
Templeton,-,B,580,847,1,79,"1,507"
Templeton,-,C,556,738,2,73,"1,369"
Townsend,-,1,758,976,0,136,"1,870"
Townsend,-,2,765,950,0,150,"1,865"
Townsend,-,3,799,939,0,117,"1,855"
Upton,-,1,"1,063",654,2,151,"1,870"
Upton,-,2,"1,015",762,2,142,"1,921"
Upton,-,3,888,675,0,125,"1,688"
Uxbridge,-,1,"1,030","1,112",0,146,"2,288"
Uxbridge,-,1A,78,40,0,6,124
Uxbridge,-,2,932,856,4,169,"1,961"
Uxbridge,-,3,"1,050","1,104",3,143,"2,300"
Uxbridge,-,4,"1,116","1,062",2,185,"2,365"
Wales,-,1,446,629,0,67,"1,142"
Ware,-,A,724,609,0,96,"1,429"
Ware,-,B,707,784,0,162,"1,653"
Ware,-,C,896,985,0,166,"2,047"
Webster,-,1,471,419,0,46,936
Webster,-,1A,241,215,1,30,487
Webster,-,2,583,421,3,62,"1,069"
Webster,-,3,734,684,2,95,"1,515"
Webster,-,4,"1,050","1,195",0,150,"2,395"
Webster,-,5,897,793,2,119,"1,811"
"W. Boylston",-,1,"1,188",719,4,162,"2,073"
"W. Boylston",-,2,"1,447",966,6,191,"2,610"
"W. Brookfield",-,1,"1,142","1,057",2,161,"2,362"
Westborough,-,1,976,317,1,117,"1,411"
Westborough,-,2,872,395,0,95,"1,362"
Westborough,-,3,"1,014",428,3,114,"1,559"
Westborough,-,4,955,438,2,93,"1,488"
Westborough,-,5,"1,502",633,1,137,"2,273"
Westborough,-,6,"1,573",664,4,129,"2,370"
Westford,-,1,"1,091",677,4,156,"1,928"
Westford,-,2,"1,182",665,5,157,"2,009"
Westford,-,3,"1,371",753,2,180,"2,306"
Westford,-,4,"1,259",618,1,143,"2,021"
Westford,-,5,"1,211",695,5,168,"2,079"
Westford,-,6,"1,297",802,2,169,"2,270"
Westford,-,7,"1,448",702,3,171,"2,324"
Westminster,-,1,747,958,2,121,"1,828"
Westminster,-,2,584,726,0,92,"1,402"
Westminster,-,2A,197,259,0,26,482
Westminster,-,3,772,818,0,107,"1,697"
Worcester,1,1,615,189,5,85,894
Worcester,1,2,"1,339",605,7,187,"2,138"
Worcester,1,3,717,301,1,112,"1,131"
Worcester,1,4,"1,282",422,6,158,"1,868"
Worcester,1,5,966,476,7,93,"1,542"
Worcester,1,6,"1,265",659,5,180,"2,109"
Worcester,2,1,"1,168",496,4,167,"1,835"
Worcester,2,2,933,449,3,124,"1,509"
Worcester,2,3,"1,001",434,1,151,"1,587"
Worcester,2,4,823,239,1,83,"1,146"
Worcester,2,5,629,225,8,92,954
Worcester,2,6,902,316,2,81,"1,301"
Worcester,2,6A,0,0,0,0,0
Worcester,3,1,454,172,2,49,677
Worcester,3,2,325,103,2,51,481
Worcester,3,3,878,405,4,119,"1,406"
Worcester,3,3A,0,0,0,0,0
Worcester,3,4,506,141,3,61,711
Worcester,3,5,807,273,7,110,"1,197"
Worcester,3,5A,0,0,0,0,0
Worcester,3,6,854,284,1,94,"1,233"
Worcester,4,1,343,142,3,44,532
Worcester,4,2,337,128,5,42,512
Worcester,4,2A,211,66,3,27,307
Worcester,4,2B,0,0,0,0,0
Worcester,4,3,488,117,2,40,647
Worcester,4,4,725,295,4,82,"1,106"
Worcester,4,5,788,323,3,109,"1,223"
Worcester,4,6,785,342,3,87,"1,217"
Worcester,5,1,498,180,4,46,728
Worcester,5,2,864,377,8,90,"1,339"
Worcester,5,3,"1,036",536,6,148,"1,726"
Worcester,5,4,967,423,4,99,"1,493"
Worcester,5,5,925,429,5,120,"1,479"
Worcester,5,6,766,327,5,96,"1,194"
Worcester,6,1,335,96,3,37,471
Worcester,6,2,496,188,3,43,730
Worcester,6,3,440,171,4,43,658
Worcester,6,4,108,34,0,7,149
Worcester,6,5,587,276,4,76,943
Worcester,6,6,887,431,2,115,"1,435"
Worcester,7,1,900,317,7,104,"1,328"
Worcester,7,2,775,380,1,76,"1,232"
Worcester,7,3,620,218,7,59,904
Worcester,7,4,890,385,4,92,"1,371"
Worcester,7,5,567,330,2,63,962
Worcester,7,5A,198,84,1,26,309
Worcester,7,6,839,408,3,68,"1,318"
Worcester,8,1,398,155,3,46,602
Worcester,8,2,326,168,4,41,539
Worcester,8,3,254,63,1,21,339
Worcester,8,4,479,150,5,63,697
Worcester,8,5,434,218,0,37,689
Worcester,8,6,422,173,2,45,642
Worcester,9,1,735,223,5,87,"1,050"
Worcester,9,2,"1,161",359,2,163,"1,685"
Worcester,9,3,636,254,1,72,963
Worcester,9,4,"1,313",455,1,148,"1,917"
Worcester,9,5,"1,379",540,2,188,"2,109"
Worcester,9,6,"1,129",482,7,151,"1,769"
Worcester,10,1,467,142,2,48,659
Worcester,10,2,587,156,2,72,817
Worcester,10,3,524,145,6,79,754
Worcester,10,4,435,167,3,43,648
Worcester,10,4A,0,0,0,0,0
Worcester,10,5,412,180,5,68,665
Worcester,10,6,389,145,1,75,610
TOTALS,,,"228,944","169,936",565,"31,267","430,712"
