City/Town,Ward,Pct,"Katherine M. Clark","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Waltham,9,1,"1,049",0,223,"1,272"
Waltham,9,2,853,0,233,"1,086"
Watertown,-,1,"1,012",6,298,"1,316"
Watertown,-,2,"1,206",3,286,"1,495"
Watertown,-,3,"1,277",1,293,"1,571"
Watertown,-,4,"1,498",0,329,"1,827"
Watertown,-,5,"1,042",5,253,"1,300"
Watertown,-,6,"1,134",20,195,"1,349"
Watertown,-,7,"1,370",1,369,"1,740"
Watertown,-,8,"1,294",1,305,"1,600"
Watertown,-,9,"1,012",1,279,"1,292"
Watertown,-,10,"1,306",15,344,"1,665"
Watertown,-,11,"1,230",0,395,"1,625"
Watertown,-,12,"1,149",1,358,"1,508"
Wayland,-,1,"1,912",39,469,"2,420"
Wayland,-,2,"1,652",39,427,"2,118"
Wayland,-,3,"1,600",27,406,"2,033"
Wayland,-,4,"1,842",26,495,"2,363"
Wellesley,-,A,"1,559",20,505,"2,084"
Wellesley,-,B,"1,754",18,537,"2,309"
Wellesley,-,C,"1,500",38,750,"2,288"
Wellesley,-,D,"1,663",27,505,"2,195"
Wellesley,-,G,861,10,207,"1,078"
Wellesley,-,H,"1,525",16,593,"2,134"
Weston,-,1,"1,376",0,495,"1,871"
Weston,-,2,"1,192",37,419,"1,648"
Weston,-,3,"1,059",9,406,"1,474"
Weston,-,4,"1,164",1,475,"1,640"
Winchester,-,1,"1,249",27,446,"1,722"
Winchester,-,2,"1,003",40,369,"1,412"
Winchester,-,3,"1,396",34,413,"1,843"
Winchester,-,4,"1,206",33,534,"1,773"
Winchester,-,5,"1,176",37,527,"1,740"
Winchester,-,6,"1,182",38,538,"1,758"
Winchester,-,7,"1,212",44,506,"1,762"
Winchester,-,8,963,29,394,"1,386"
Winthrop,-,1,"1,103",37,507,"1,647"
Winthrop,-,2,"1,065",31,564,"1,660"
Winthrop,-,3,"1,150",27,411,"1,588"
Winthrop,-,4,773,27,410,"1,210"
Winthrop,-,5,"1,143",32,593,"1,768"
Winthrop,-,6,"1,069",33,476,"1,578"
Woburn,1,1,880,7,452,"1,339"
Woburn,1,2,953,19,436,"1,408"
Woburn,1,2A,56,0,31,87
Woburn,2,1,"1,102",13,583,"1,698"
Woburn,2,2,962,4,384,"1,350"
Woburn,3,1,"1,054",15,494,"1,563"
Woburn,3,2,"1,134",18,718,"1,870"
Woburn,4,1,"1,075",7,631,"1,713"
Woburn,4,2,942,5,451,"1,398"
Woburn,5,1,"1,143",9,433,"1,585"
Woburn,5,2,973,12,526,"1,511"
Woburn,6,1,726,6,324,"1,056"
Woburn,6,2,"1,076",13,544,"1,633"
Woburn,7,1,"1,068",22,737,"1,827"
Woburn,7,2,"1,242",12,776,"2,030"
TOTALS,,,"286,689","5,201","87,811","379,701"
