City/Town,Ward,Pct,"Jake Auchincloss","Sana A. Fadel","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Hopedale,-,1,"2,590",0,66,960,"3,616"
Lakeville,-,1,"1,561",0,82,902,"2,545"
Lakeville,-,2,"1,720",0,49,"1,029","2,798"
Lakeville,-,3,"1,565",0,62,885,"2,512"
Mansfield,-,1,"1,458",1,43,663,"2,165"
Mansfield,-,2,"1,081",7,27,423,"1,538"
Mansfield,-,2A,435,0,2,167,604
Mansfield,-,3,"1,604",1,57,675,"2,337"
Mansfield,-,4,"1,435",4,65,560,"2,064"
Mansfield,-,5,"1,242",0,54,453,"1,749"
Mansfield,-,6,"1,112",6,39,396,"1,553"
Mansfield,-,6A,162,0,2,71,235
Mansfield,-,7,"1,331",2,36,487,"1,856"
Medfield,-,1,"1,608",4,40,515,"2,167"
Medfield,-,2,"1,455",7,31,492,"1,985"
Medfield,-,3,"1,463",0,41,513,"2,017"
Medfield,-,4,"1,425",4,29,506,"1,964"
Mendon,-,1,"1,201",0,24,691,"1,916"
Mendon,-,2,"1,290",0,15,787,"2,092"
Milford,-,1,725,0,20,317,"1,062"
Milford,-,2,"1,230",0,41,520,"1,791"
Milford,-,3,"1,099",0,39,486,"1,624"
Milford,-,4,781,0,32,326,"1,139"
Milford,-,5,"1,528",0,59,654,"2,241"
Milford,-,6,"1,290",0,33,500,"1,823"
Milford,-,7,"1,576",4,76,685,"2,341"
Milford,-,8,"1,416",0,51,545,"2,012"
Millis,-,1,"1,311",1,33,449,"1,794"
Millis,-,2,"1,282",1,20,556,"1,859"
Millis,-,3,"1,722",0,36,654,"2,412"
Millville,-,1,"1,257",0,8,543,"1,808"
Needham,-,A,"1,301",4,39,386,"1,730"
Needham,-,B,"1,559",0,43,395,"1,997"
Needham,-,C,"1,466",3,19,387,"1,875"
Needham,-,D,"1,440",4,20,412,"1,876"
