City/Town,Ward,Pct,"Ayanna S. Pressley","All Others",Blanks,"Total Votes Cast"
Chelsea,2,3,283,0,99,382
Chelsea,2,4,349,0,102,451
Chelsea,3,1,382,0,143,525
Chelsea,3,2,433,0,154,587
Chelsea,3,3,390,0,117,507
Chelsea,3,4,410,0,127,537
Chelsea,4,1,503,0,148,651
Chelsea,4,2,452,0,225,677
Chelsea,4,3,436,0,229,665
Chelsea,4,4,404,0,173,577
Everett,1,1,502,32,172,706
Everett,1,2,363,26,135,524
Everett,1,3,303,12,77,392
Everett,1,3A,151,15,40,206
Everett,2,1,540,40,206,786
Everett,2,2,231,8,75,314
Everett,2,2A,225,10,75,310
Everett,2,3,435,33,146,614
Everett,3,1,665,23,287,975
Everett,3,2,539,37,188,764
Everett,3,3,391,13,150,554
Everett,4,1,573,30,208,811
Everett,4,2,542,31,173,746
Everett,4,3,491,39,200,730
Everett,5,1,476,29,203,708
Everett,5,2,455,28,162,645
Everett,5,3,465,30,158,653
Everett,6,1,584,20,165,769
Everett,6,2,448,32,175,655
Everett,6,3,575,32,189,796
Milton,-,1,"1,363",24,261,"1,648"
Milton,-,2,"1,352",34,428,"1,814"
Milton,-,4A,503,18,139,660
Milton,-,5,916,46,457,"1,419"
Milton,-,10,987,19,245,"1,251"
Randolph,-,1,"1,238",57,282,"1,577"
Randolph,-,2,"1,021",46,199,"1,266"
Randolph,-,3,904,34,209,"1,147"
Randolph,-,4,"1,145",49,255,"1,449"
Randolph,-,5,"1,098",47,242,"1,387"
Randolph,-,6,744,33,105,882
Randolph,-,7,917,39,270,"1,226"
Randolph,-,8,943,47,243,"1,233"
Randolph,-,9,"1,031",35,229,"1,295"
Randolph,-,10,"1,114",49,281,"1,444"
Randolph,-,11,964,48,318,"1,330"
Randolph,-,12,976,33,261,"1,270"
Somerville,1,1,"1,044",38,186,"1,268"
Somerville,1,2,830,27,175,"1,032"
Somerville,1,3,"1,078",30,182,"1,290"
Somerville,1,4,612,24,84,720
Somerville,1,4A,325,10,43,378
Somerville,2,1,818,14,101,933
Somerville,2,1A,500,12,51,563
Somerville,2,2,"1,240",39,170,"1,449"
Somerville,2,3,"1,292",19,148,"1,459"
Somerville,2,4,"1,339",39,150,"1,528"
Somerville,3,1,"1,379",41,158,"1,578"
Somerville,3,2,"1,225",39,206,"1,470"
Somerville,3,3,"1,375",40,200,"1,615"
Somerville,3,4,"1,339",45,179,"1,563"
Somerville,4,1,940,39,245,"1,224"
Somerville,4,2,757,29,111,897
Somerville,4,2A,305,3,52,360
Somerville,4,3,"1,290",29,182,"1,501"
Somerville,4,4,833,21,147,"1,001"
Somerville,5,1,"1,332",44,207,"1,583"
Somerville,5,2,"1,384",31,202,"1,617"
Somerville,5,3,"1,381",26,192,"1,599"
Somerville,5,4,"1,521",36,175,"1,732"
Somerville,6,1,"1,602",35,160,"1,797"
Somerville,6,2,"1,631",35,206,"1,872"
Somerville,6,3,228,4,45,277
Somerville,6,3A,209,8,47,264
Somerville,6,4,"1,529",33,189,"1,751"
Somerville,7,1,"1,574",25,165,"1,764"
Somerville,7,2,"1,104",35,161,"1,300"
Somerville,7,3,986,46,184,"1,216"
Somerville,7,4,"1,147",35,181,"1,363"
TOTALS,,,"232,094","6,907","44,193","283,194"
