City/Town,Ward,Pct,"Lori Loureiro Trahan","All Others",Blanks,"Total Votes Cast"
Dracut,-,7,"1,238",0,551,"1,789"
Dracut,-,8,"1,586",0,815,"2,401"
Dracut,-,9,"1,379",0,583,"1,962"
Dunstable,-,1,"1,535",54,642,"2,231"
Fitchburg,1,A,798,36,262,"1,096"
Fitchburg,1,B,"1,007",29,256,"1,292"
Fitchburg,2,A,766,34,223,"1,023"
Fitchburg,2,B,"1,036",36,300,"1,372"
Fitchburg,3,A,"1,493",62,536,"2,091"
Fitchburg,3,B,"1,048",41,400,"1,489"
Fitchburg,4,A,645,19,233,897
Fitchburg,4,B,776,38,214,"1,028"
Fitchburg,5,A,"1,402",78,496,"1,976"
Fitchburg,5,B,663,28,152,843
Fitchburg,6,A,"1,285",80,401,"1,766"
Fitchburg,6,B,761,26,237,"1,024"
Gardner,1,A,827,10,278,"1,115"
Gardner,1,B,472,7,183,662
Gardner,2,A,743,8,287,"1,038"
Gardner,2,B,829,6,318,"1,153"
Gardner,3,A,616,11,249,876
Gardner,3,B,784,5,264,"1,053"
Gardner,4,A,650,9,233,892
Gardner,4,B,547,5,201,753
Gardner,5,A,578,12,224,814
Gardner,5,B,801,7,325,"1,133"
Groton,-,1,"1,986",17,595,"2,598"
Groton,-,2,"1,780",24,566,"2,370"
Groton,-,3,"1,772",31,553,"2,356"
Harvard,-,1,"3,139",85,830,"4,054"
Haverhill,1,1,522,1,172,695
Haverhill,1,2,568,6,170,744
Haverhill,1,2A,241,3,80,324
Haverhill,1,3,486,2,182,670
Haverhill,1,3A,328,1,139,468
Haverhill,2,1,"1,057",6,430,"1,493"
Haverhill,2,2,"1,148",16,404,"1,568"
Haverhill,2,3,675,3,230,908
Haverhill,3,1,802,5,265,"1,072"
Haverhill,3,2,756,5,238,999
Haverhill,3,3,757,6,246,"1,009"
Haverhill,4,1,"1,336",16,532,"1,884"
Haverhill,4,2,"1,351",18,708,"2,077"
Haverhill,4,3,"1,271",16,539,"1,826"
Haverhill,5,1,684,12,241,937
Haverhill,5,1A,494,7,183,684
Haverhill,5,2,"1,338",10,618,"1,966"
Haverhill,5,3,"1,234",13,612,"1,859"
Haverhill,5,3A,95,2,43,140
Haverhill,6,1,"1,135",9,486,"1,630"
Haverhill,6,2,790,6,341,"1,137"
Haverhill,6,2A,359,3,106,468
Haverhill,6,3,"1,258",8,489,"1,755"
Haverhill,7,1,"1,163",11,466,"1,640"
Haverhill,7,2,848,16,346,"1,210"
Haverhill,7,2A,285,2,92,379
Haverhill,7,3,"1,404",15,604,"2,023"
Haverhill,7,3A,18,0,8,26
Hudson,-,1,"1,396",25,443,"1,864"
Hudson,-,2,"1,200",13,413,"1,626"
Hudson,-,3,"1,425",7,517,"1,949"
Hudson,-,4,"1,614",20,652,"2,286"
Hudson,-,5,"1,628",16,515,"2,159"
Hudson,-,6,"1,147",19,383,"1,549"
Lancaster,-,1,"1,310",29,558,"1,897"
Lancaster,-,2,"1,649",27,702,"2,378"
Lawrence,A,1,753,37,166,956
Lawrence,A,2,419,12,141,572
Lawrence,A,2A,105,7,27,139
Lawrence,A,3,569,42,144,755
Lawrence,A,4,796,25,188,"1,009"
Lawrence,B,1,683,27,182,892
Lawrence,B,2,464,25,134,623
Lawrence,B,3,586,23,152,761
Lawrence,B,4,575,22,222,819
Lawrence,C,1,552,18,170,740
Lawrence,C,2,679,36,209,924
Lawrence,C,3,459,15,136,610
Lawrence,C,4,458,31,190,679
Lawrence,D,1,778,28,207,"1,013"
Lawrence,D,2,589,31,196,816
Lawrence,D,3,361,10,132,503
Lawrence,D,4,650,28,142,820
Lawrence,E,1,985,28,314,"1,327"
Lawrence,E,1A,25,2,17,44
Lawrence,E,2,983,35,287,"1,305"
Lawrence,E,3,682,36,194,912
Lawrence,E,4,668,29,177,874
Lawrence,F,1,"1,005",44,269,"1,318"
Lawrence,F,2,560,22,148,730
Lawrence,F,3,826,35,177,"1,038"
Lawrence,F,4,800,31,211,"1,042"
Littleton,-,1,"1,683",0,552,"2,235"
Littleton,-,2,"1,585",0,574,"2,159"
Littleton,-,3,"1,697",0,495,"2,192"
Lowell,1,1,730,47,216,993
Lowell,1,1A,0,0,0,0
Lowell,1,2,966,59,317,"1,342"
Lowell,1,3,"1,610",65,455,"2,130"
Lowell,1,4,722,65,226,"1,013"
Lowell,2,1,726,37,189,952
Lowell,2,2,733,30,209,972
Lowell,2,3,952,58,214,"1,224"
Lowell,2,4,852,54,240,"1,146"
Lowell,3,1,758,32,205,995
Lowell,3,2,"1,642",68,542,"2,252"
Lowell,3,3,"1,306",68,406,"1,780"
Lowell,3,4,911,56,241,"1,208"
Lowell,4,1,571,42,126,739
Lowell,4,2,"1,068",74,248,"1,390"
Lowell,4,3,308,6,62,376
Lowell,4,3A,202,9,24,235
Lowell,4,4,613,30,181,824
Lowell,4,4A,6,0,1,7
Lowell,5,1,817,39,227,"1,083"
Lowell,5,1A,199,9,43,251
Lowell,5,2,723,42,233,998
Lowell,5,3,533,41,150,724
Lowell,5,4,938,59,269,"1,266"
Lowell,6,1,740,38,247,"1,025"
Lowell,6,2,479,17,211,707
Lowell,6,3,379,22,121,522
Lowell,6,3A,83,0,58,141
Lowell,6,4,506,23,140,669
Lowell,6,4A,205,11,64,280
Lowell,7,1,564,26,172,762
Lowell,7,2,573,41,199,813
Lowell,7,3,625,29,222,876
Lowell,7,4,438,22,135,595
Lowell,8,1,786,41,237,"1,064"
Lowell,8,2,761,29,205,995
Lowell,8,3,"1,222",51,416,"1,689"
Lowell,8,4,950,56,302,"1,308"
Lowell,8,4A,37,3,6,46
Lunenburg,-,A,"1,305",21,487,"1,813"
Lunenburg,-,B,"1,241",18,485,"1,744"
Lunenburg,-,B1,46,2,33,81
Lunenburg,-,C,"1,174",19,532,"1,725"
Lunenburg,-,C1,11,0,2,13
Lunenburg,-,D,"1,366",28,571,"1,965"
Marlborough,1,1,796,9,272,"1,077"
Marlborough,1,1A,24,0,6,30
Marlborough,1,2,"1,307",22,487,"1,816"
Marlborough,2,1,"1,059",15,400,"1,474"
Marlborough,2,2,885,8,265,"1,158"
Marlborough,2,2A,5,0,8,13
Marlborough,3,1,696,7,257,960
Marlborough,3,2,"1,332",25,410,"1,767"
Marlborough,4,1,573,5,213,791
Marlborough,4,2,"1,283",19,434,"1,736"
Marlborough,5,1,662,8,230,900
Marlborough,5,2,"1,061",10,367,"1,438"
Marlborough,6,1,699,11,249,959
Marlborough,6,2,"1,237",13,477,"1,727"
Marlborough,7,1,832,9,302,"1,143"
Marlborough,7,2,910,20,324,"1,254"
Marlborough,7,2A,35,1,9,45
Methuen,-,1,784,51,226,"1,061"
Methuen,-,2,813,29,234,"1,076"
Methuen,-,3,"1,191",56,408,"1,655"
Methuen,-,4,"1,072",30,333,"1,435"
Methuen,-,5,"1,149",75,454,"1,678"
Methuen,-,6,999,33,391,"1,423"
Methuen,-,6A,130,4,35,169
Methuen,-,7,"1,392",58,483,"1,933"
Methuen,-,8,"1,290",65,520,"1,875"
Methuen,-,9,"1,229",64,636,"1,929"
Methuen,-,10,"1,222",65,522,"1,809"
Methuen,-,11,"1,397",76,709,"2,182"
Methuen,-,12,"1,249",58,536,"1,843"
Methuen,-,13,751,37,295,"1,083"
Methuen,-,13A,452,22,150,624
Methuen,-,14,"1,245",57,373,"1,675"
Methuen,-,15,946,30,277,"1,253"
Pepperell,-,1,"1,169",51,516,"1,736"
Pepperell,-,2,"1,362",60,650,"2,072"
Pepperell,-,3,"1,274",78,561,"1,913"
Pepperell,-,4,"1,180",50,425,"1,655"
Shirley,-,1,"2,621",98,985,"3,704"
Stow,-,1,"1,898",27,556,"2,481"
Stow,-,2,"1,794",22,509,"2,325"
Townsend,-,1,"1,232",0,638,"1,870"
Townsend,-,2,"1,201",0,664,"1,865"
Townsend,-,3,"1,297",0,558,"1,855"
Tyngsborough,-,1,"1,281",0,605,"1,886"
Tyngsborough,-,2,"1,271",0,567,"1,838"
Tyngsborough,-,3,"1,227",0,521,"1,748"
Tyngsborough,-,4,"1,477",0,643,"2,120"
Westford,-,1,"1,447",41,440,"1,928"
Westford,-,2,"1,522",54,433,"2,009"
Westford,-,3,"1,773",43,490,"2,306"
Westford,-,4,"1,563",47,411,"2,021"
Westford,-,5,"1,599",47,433,"2,079"
Westford,-,6,"1,721",54,495,"2,270"
Westford,-,7,"1,838",40,446,"2,324"
Westminster,-,1,"1,243",34,551,"1,828"
Westminster,-,2,925,24,453,"1,402"
Westminster,-,3,"1,154",19,524,"1,697"
Winchendon,-,1,"1,088",70,499,"1,657"
Winchendon,-,2,"1,189",88,517,"1,794"
Winchendon,-,3,"1,203",91,521,"1,815"
TOTALS,,,"264,698","6,861","91,119","362,678"
