City/Town,Ward,Pct,"Allison S. Cartwright","All Others",Blanks,"Total Votes Cast"
Boston,15,6,381,19,170,570
Boston,15,7,439,9,102,550
Boston,15,8,360,16,152,528
Boston,15,9,401,6,167,574
Boston,16,1,486,16,162,664
Boston,16,2,504,20,171,695
Boston,16,3,618,3,203,824
Boston,16,4,627,18,187,832
Boston,16,5,743,27,229,999
Boston,16,6,840,27,345,"1,212"
Boston,16,7,666,22,288,976
Boston,16,8,"1,051",35,402,"1,488"
Boston,16,9,783,21,428,"1,232"
Boston,16,10,668,23,294,985
Boston,16,11,450,11,187,648
Boston,16,12,643,19,382,"1,044"
Boston,17,1,523,20,103,646
Boston,17,2,405,11,82,498
Boston,17,3,864,14,204,"1,082"
Boston,17,4,"1,066",17,262,"1,345"
Boston,17,5,404,11,71,486
Boston,17,6,705,12,141,858
Boston,17,7,355,10,49,414
Boston,17,8,554,16,122,692
Boston,17,9,508,4,116,628
Boston,17,10,750,15,144,909
Boston,17,11,305,2,57,364
Boston,17,12,548,9,101,658
Boston,17,13,693,12,216,921
Boston,17,14,750,16,184,950
Boston,18,1,"1,103",27,228,"1,358"
Boston,18,2,682,6,133,821
Boston,18,3,860,15,127,"1,002"
Boston,18,4,848,23,178,"1,049"
Boston,18,5,918,15,165,"1,098"
Boston,18,6,"1,138",18,229,"1,385"
Boston,18,7,863,19,174,"1,056"
Boston,18,8,"1,361",28,338,"1,727"
Boston,18,9,876,19,238,"1,133"
Boston,18,10,"1,280",16,337,"1,633"
Boston,18,11,681,24,144,849
Boston,18,12,856,12,255,"1,123"
Boston,18,13,540,9,104,653
Boston,18,14,519,6,135,660
Boston,18,15,844,11,158,"1,013"
Boston,18,16,871,29,327,"1,227"
Boston,18,17,835,28,237,"1,100"
Boston,18,18,996,25,304,"1,325"
Boston,18,19,"1,396",28,377,"1,801"
Boston,18,20,"1,052",28,426,"1,506"
Boston,18,21,983,24,213,"1,220"
Boston,18,22,978,29,356,"1,363"
Boston,18,23,674,15,132,821
Boston,19,1,873,6,151,"1,030"
Boston,19,2,945,13,343,"1,301"
Boston,19,3,516,5,129,650
Boston,19,4,"1,170",3,233,"1,406"
Boston,19,5,798,7,197,"1,002"
Boston,19,6,"1,150",10,262,"1,422"
Boston,19,7,991,14,206,"1,211"
Boston,19,8,718,8,187,913
Boston,19,9,579,3,117,699
Boston,19,10,"1,056",24,270,"1,350"
Boston,19,11,754,15,168,937
Boston,19,12,766,5,218,989
Boston,19,13,640,18,139,797
Boston,20,1,913,14,339,"1,266"
Boston,20,2,988,19,248,"1,255"
Boston,20,3,800,29,347,"1,176"
Boston,20,4,822,7,212,"1,041"
Boston,20,5,892,35,433,"1,360"
Boston,20,6,947,16,447,"1,410"
Boston,20,7,630,13,216,859
Boston,20,8,745,13,213,971
Boston,20,9,848,16,227,"1,091"
Boston,20,10,"1,072",25,471,"1,568"
Boston,20,11,510,7,216,733
Boston,20,12,604,13,310,927
Boston,20,13,582,17,238,837
Boston,20,14,540,12,262,814
Boston,20,15,958,24,419,"1,401"
Boston,20,16,"1,095",35,467,"1,597"
Boston,20,17,"1,059",34,551,"1,644"
Boston,20,18,583,12,248,843
Boston,20,19,604,13,260,877
Boston,20,20,"1,019",21,377,"1,417"
Boston,20,21,81,7,43,131
Boston,21,1,927,14,174,"1,115"
Boston,21,2,263,2,34,299
Boston,21,3,530,3,108,641
Boston,21,4,461,9,107,577
Boston,21,5,779,13,141,933
Boston,21,6,570,6,127,703
Boston,21,7,682,22,141,845
Boston,21,8,963,10,130,"1,103"
Boston,21,9,"1,138",26,193,"1,357"
Boston,21,10,767,16,162,945
Boston,21,11,925,16,162,"1,103"
Boston,21,12,732,18,215,965
Boston,21,13,915,21,416,"1,352"
Boston,21,14,589,3,96,688
Boston,21,15,715,8,115,838
Boston,21,16,849,17,247,"1,113"
Boston,22,1,980,32,248,"1,260"
Boston,22,2,"1,153",20,293,"1,466"
Boston,22,3,999,20,282,"1,301"
Boston,22,4,752,17,203,972
Boston,22,5,752,14,189,955
Boston,22,6,582,15,147,744
Boston,22,7,866,15,239,"1,120"
Boston,22,8,581,16,190,787
Boston,22,9,646,19,262,927
Boston,22,10,852,16,222,"1,090"
Boston,22,11,571,13,179,763
Boston,22,12,592,21,216,829
Boston,22,13,530,12,136,678
Chelsea,1,1,302,0,167,469
Chelsea,1,2,210,0,96,306
Chelsea,1,3,289,0,128,417
Chelsea,1,4,284,0,115,399
Chelsea,2,1,706,0,377,"1,083"
Chelsea,2,2,492,0,144,636
Chelsea,2,3,261,0,121,382
Chelsea,2,4,327,0,124,451
Chelsea,3,1,365,0,160,525
Chelsea,3,2,412,0,175,587
Chelsea,3,3,357,0,150,507
Chelsea,3,4,372,0,165,537
Chelsea,4,1,481,0,170,651
Chelsea,4,2,426,0,251,677
Chelsea,4,3,418,0,247,665
Chelsea,4,4,379,0,198,577
Revere,1,1,696,27,358,"1,081"
Revere,1,2,753,29,395,"1,177"
Revere,1,3,546,18,308,872
Revere,2,1,524,21,204,749
Revere,2,2,655,30,291,976
Revere,2,3,206,14,103,323
Revere,2,3A,62,1,31,94
Revere,3,1,522,38,350,910
Revere,3,2,556,41,376,973
Revere,3,3,569,27,342,938
Revere,4,1,719,30,419,"1,168"
Revere,4,2,540,27,357,924
Revere,4,3,637,36,463,"1,136"
Revere,5,1,547,20,383,950
Revere,5,1A,360,11,272,643
Revere,5,2,711,29,391,"1,131"
Revere,5,3,572,27,376,975
Revere,6,1,677,37,580,"1,294"
Revere,6,2,676,46,561,"1,283"
Revere,6,3,614,37,345,996
Winthrop,-,1,"1,017",26,604,"1,647"
Winthrop,-,2,"1,001",19,640,"1,660"
Winthrop,-,3,"1,085",19,484,"1,588"
Winthrop,-,4,688,26,496,"1,210"
Winthrop,-,5,"1,066",14,688,"1,768"
Winthrop,-,6,"1,010",20,548,"1,578"
TOTALS,,,"226,144","5,127","71,055","302,326"
