City/Town,Ward,Pct,"Deborah B. Goldberg","Keiko M. Orrall","Jamie M. Guerin","All Others",Blanks,"Total Votes Cast"
Boston,2,4,670,141,26,0,64,901
Boston,2,5,783,218,27,2,86,"1,116"
Boston,2,6,910,230,33,0,109,"1,282"
Boston,2,7,788,170,35,0,86,"1,079"
Boston,3,1,"1,335",423,39,4,146,"1,947"
Boston,3,2,682,206,16,1,66,971
Boston,3,3,781,215,35,1,81,"1,113"
Boston,3,4,886,281,25,4,85,"1,281"
Boston,3,5,"1,492",357,37,1,85,"1,972"
Boston,3,6,"1,941",535,59,0,138,"2,673"
Boston,3,7,"1,928",264,62,4,124,"2,382"
Boston,3,8,"2,204",361,47,3,395,"3,010"
Boston,4,1,"1,001",167,30,1,68,"1,267"
Boston,4,2,"1,378",299,44,1,106,"1,828"
Boston,4,3,676,102,25,0,50,853
Boston,4,4,954,124,27,3,59,"1,167"
Boston,4,5,673,91,25,0,63,852
Boston,4,6,562,93,23,0,43,721
Boston,4,7,559,65,25,0,30,679
Boston,4,8,564,91,36,0,46,737
Boston,4,9,329,17,17,0,26,389
Boston,4,10,285,24,8,1,16,334
Boston,5,1,"1,801",320,51,0,296,"2,468"
Boston,5,2,737,89,42,0,48,916
Boston,5,2A,465,62,14,0,27,568
Boston,5,3,848,221,22,0,58,"1,149"
Boston,5,4,"1,082",210,40,2,76,"1,410"
Boston,5,5,352,97,10,1,31,491
Boston,5,6,815,268,24,1,65,"1,173"
Boston,5,7,"1,017",276,33,0,74,"1,400"
Boston,5,8,947,233,28,2,56,"1,266"
Boston,5,9,"1,270",274,38,4,83,"1,669"
Boston,5,10,742,136,27,0,43,948
Boston,5,11,576,150,18,1,51,796
Boston,6,1,"2,430",627,81,8,159,"3,305"
Boston,6,2,578,147,11,3,76,815
Boston,6,3,784,250,21,2,83,"1,140"
Boston,6,4,779,240,39,4,79,"1,141"
Boston,6,5,742,225,22,3,88,"1,080"
Boston,6,6,603,205,29,2,111,950
Boston,6,7,703,253,25,1,95,"1,077"
Boston,6,8,646,196,27,3,92,964
Boston,6,9,523,260,27,5,85,900
Boston,7,1,591,189,22,0,81,883
Boston,7,2,723,266,37,4,80,"1,110"
Boston,7,3,820,295,35,2,107,"1,259"
Boston,7,4,635,218,28,2,82,965
Boston,7,5,676,155,21,1,67,920
Boston,7,6,594,114,19,1,56,784
Boston,7,7,377,54,18,0,45,494
Boston,7,8,503,112,30,2,45,692
Boston,7,9,495,131,23,1,24,674
Boston,7,10,446,31,21,1,58,557
Boston,8,1,591,43,13,2,44,693
Boston,8,2,"1,123",133,23,3,106,"1,388"
Boston,8,3,454,27,27,1,40,549
Boston,8,4,275,8,10,1,25,319
Boston,8,5,499,38,21,3,71,632
Boston,8,6,179,15,11,1,22,228
Boston,8,7,358,14,18,1,30,421
Boston,9,1,818,80,25,0,133,"1,056"
Boston,9,2,"1,156",115,29,0,81,"1,381"
Boston,9,3,"1,268",85,47,4,92,"1,496"
Boston,9,4,729,40,23,1,55,848
Boston,9,5,850,27,44,5,100,"1,026"
Boston,10,1,401,30,16,1,44,492
Boston,10,2,345,33,20,3,39,440
Boston,10,3,403,22,19,0,36,480
Boston,10,4,616,98,24,2,145,885
Boston,10,5,494,56,36,1,40,627
Boston,10,6,535,37,53,0,44,669
Boston,10,7,782,27,34,0,60,903
Boston,10,8,953,86,71,4,57,"1,171"
Boston,10,9,"1,137",73,70,0,60,"1,340"
Boston,11,1,443,18,33,1,30,525
Boston,11,2,651,27,25,1,194,898
Boston,11,3,527,28,17,0,48,620
Boston,11,4,937,46,79,1,60,"1,123"
Boston,11,5,729,44,46,0,61,880
Boston,11,6,672,37,76,0,38,823
Boston,11,7,865,47,71,3,56,"1,042"
Boston,11,8,"1,105",62,67,1,52,"1,287"
Boston,11,9,638,30,62,0,42,772
Boston,11,10,805,33,71,0,43,952
Boston,12,1,689,28,45,1,84,847
Boston,12,2,837,29,25,3,70,964
Boston,12,3,422,14,18,1,27,482
Boston,12,4,455,19,14,1,33,522
Boston,12,5,292,10,10,1,47,360
Boston,12,6,389,12,22,1,39,463
Boston,12,7,772,31,25,1,70,899
Boston,12,8,323,7,11,1,38,380
Boston,12,9,422,11,17,1,45,496
Boston,13,1,533,14,15,3,62,627
Boston,13,2,221,8,8,0,7,244
Boston,13,3,493,70,28,1,46,638
Boston,13,4,408,10,17,0,34,469
Boston,13,5,425,39,20,1,50,535
Boston,13,6,610,62,37,1,44,754
Boston,13,7,609,135,55,0,66,865
Boston,13,8,513,102,43,1,53,712
Boston,13,9,598,100,34,1,42,775
Boston,13,10,812,197,69,0,90,"1,168"
Boston,14,1,869,34,25,3,59,990
Boston,14,2,962,32,19,1,73,"1,087"
Boston,14,3,455,9,8,1,38,511
Boston,14,4,536,15,10,2,26,589
Boston,14,5,400,8,11,1,30,450
Boston,14,6,395,18,15,1,49,478
Boston,14,7,421,16,14,3,28,482
Boston,14,8,528,15,16,2,50,611
Boston,14,9,423,20,9,3,35,490
Boston,14,10,489,19,17,1,49,575
Boston,14,11,470,18,12,2,38,540
Boston,14,12,289,5,9,0,31,334
Boston,14,13,453,9,14,2,24,502
Boston,14,14,497,14,19,1,58,589
Boston,15,1,547,32,19,2,57,657
Boston,15,2,357,11,12,5,37,422
Boston,15,3,243,17,11,0,20,291
Boston,15,4,711,82,34,0,64,891
Boston,15,5,487,13,7,0,36,543
Boston,15,6,227,101,17,1,34,380
Boston,15,7,404,20,17,1,48,490
Boston,15,8,320,73,25,0,29,447
Boston,15,9,341,66,30,3,44,484
Boston,16,1,381,81,15,1,45,523
Boston,16,2,373,100,16,1,36,526
Boston,16,3,587,90,29,4,44,754
Boston,16,4,498,95,35,0,41,669
Boston,16,5,594,119,37,2,46,798
Boston,16,6,704,140,36,0,73,953
Boston,16,7,541,176,33,5,68,823
Boston,16,8,674,155,31,3,75,938
Boston,16,9,651,208,35,2,108,"1,004"
Boston,16,10,530,163,24,2,61,780
Boston,16,11,694,156,38,1,70,959
Boston,16,12,532,173,32,0,126,863
Boston,17,1,444,18,17,0,42,521
Boston,17,2,361,26,10,1,25,423
Boston,17,3,793,45,30,4,57,929
Boston,17,4,878,84,38,2,72,"1,074"
Boston,17,5,328,10,14,3,42,397
Boston,17,6,587,28,36,2,46,699
Boston,17,7,324,19,10,0,18,371
Boston,17,8,569,24,15,3,39,650
Boston,17,9,494,34,31,1,36,596
Boston,17,10,671,22,20,2,51,766
Boston,17,11,264,14,12,0,21,311
Boston,17,12,499,25,12,0,36,572
Boston,17,13,628,101,30,1,61,821
Boston,17,14,691,58,17,2,55,823
Boston,18,1,940,34,27,2,71,"1,074"
Boston,18,2,650,11,18,1,59,739
Boston,18,3,764,27,21,2,59,873
Boston,18,4,739,25,28,3,61,856
Boston,18,5,825,33,31,4,65,958
Boston,18,6,"1,052",39,23,4,94,"1,212"
Boston,18,7,736,74,26,0,38,874
Boston,18,8,"1,229",85,27,0,106,"1,447"
Boston,18,9,769,105,39,2,65,980
Boston,18,10,"1,165",139,66,5,75,"1,450"
Boston,18,11,648,66,22,1,42,779
Boston,18,12,741,113,48,4,60,966
Boston,18,13,455,31,15,0,41,542
Boston,18,14,451,30,17,1,27,526
Boston,18,15,727,41,18,1,52,839
Boston,18,16,784,193,49,1,82,"1,109"
Boston,18,17,753,80,18,1,60,912
Boston,18,18,885,131,35,0,111,"1,162"
Boston,18,19,"1,224",145,44,0,99,"1,512"
Boston,18,20,980,241,43,4,95,"1,363"
Boston,18,21,878,25,24,3,70,"1,000"
Boston,18,22,829,167,41,1,87,"1,125"
Boston,18,23,657,38,22,1,45,763
Boston,19,1,881,37,71,0,44,"1,033"
Boston,19,2,930,148,33,0,74,"1,185"
Boston,19,3,726,51,47,0,26,850
Boston,19,4,"1,058",34,62,1,58,"1,213"
Boston,19,5,804,49,52,1,53,959
Boston,19,6,"1,102",62,91,2,71,"1,328"
Boston,19,7,"1,037",57,80,3,66,"1,243"
Boston,19,8,558,43,39,2,23,665
Boston,19,9,548,39,37,3,27,654
Boston,19,10,942,79,41,0,62,"1,124"
Boston,19,11,779,47,24,0,46,896
Boston,19,12,696,74,46,1,30,847
Boston,19,13,568,54,32,2,31,687
Boston,20,1,761,138,40,0,80,"1,019"
Boston,20,2,832,109,52,0,52,"1,045"
Boston,20,3,719,222,42,2,80,"1,065"
Boston,20,4,761,79,66,1,50,957
Boston,20,5,671,215,38,1,96,"1,021"
Boston,20,6,900,212,31,2,74,"1,219"
Boston,20,7,589,130,36,0,45,800
Boston,20,8,661,104,34,1,50,850
Boston,20,9,675,119,38,3,60,895
Boston,20,10,867,302,45,1,97,"1,312"
Boston,20,11,456,106,23,0,41,626
Boston,20,12,525,135,30,1,53,744
Boston,20,13,513,156,24,1,50,744
Boston,20,14,471,177,21,0,57,726
Boston,20,15,808,260,40,2,81,"1,191"
Boston,20,16,802,305,48,3,103,"1,261"
Boston,20,17,972,311,45,1,118,"1,447"
Boston,20,18,523,109,37,0,49,718
Boston,20,19,480,170,18,1,70,739
Boston,20,20,883,230,43,2,75,"1,233"
Boston,21,1,838,110,29,2,43,"1,022"
Boston,21,2,266,23,10,0,12,311
Boston,21,3,557,53,35,0,21,666
Boston,21,4,502,38,35,0,26,601
Boston,21,5,791,65,54,1,36,947
Boston,21,6,519,60,47,1,32,659
Boston,21,7,639,63,44,0,36,782
Boston,21,8,886,83,49,1,34,"1,053"
Boston,21,9,777,100,41,2,51,971
Boston,21,10,712,94,37,0,40,883
Boston,21,11,852,81,46,0,42,"1,021"
Boston,21,12,758,120,40,3,47,968
Boston,21,13,797,195,50,2,152,"1,196"
Boston,21,14,559,74,27,0,22,682
Boston,21,15,652,84,37,0,24,797
Boston,21,16,729,140,34,0,46,949
Boston,22,1,805,119,70,1,68,"1,063"
Boston,22,2,"1,068",131,84,2,79,"1,364"
Boston,22,3,860,168,58,0,62,"1,148"
Boston,22,4,639,119,50,4,38,850
Boston,22,5,475,74,35,0,45,629
Boston,22,6,564,71,33,2,31,701
Boston,22,7,805,126,57,2,45,"1,035"
Boston,22,8,503,143,24,1,46,717
Boston,22,9,597,153,34,1,41,826
Boston,22,10,714,142,54,5,56,971
Boston,22,11,505,88,32,1,38,664
Boston,22,12,485,93,23,0,38,639
Boston,22,13,486,95,37,0,32,650
Bourne,-,1,648,580,41,0,58,"1,327"
Bourne,-,2,770,722,47,0,83,"1,622"
Bourne,-,3,406,403,25,0,45,879
Bourne,-,4,867,627,42,0,77,"1,613"
Bourne,-,5,823,585,29,0,74,"1,511"
Bourne,-,6,610,419,28,1,47,"1,105"
Bourne,-,7,669,529,44,0,73,"1,315"
Boxborough,-,1,"1,833",705,76,0,137,"2,751"
Boxford,-,1,736,582,29,0,70,"1,417"
Boxford,-,2,792,665,49,1,90,"1,597"
Boxford,-,3,729,610,31,0,86,"1,456"
Boylston,-,1,"1,383",878,84,0,148,"2,493"
Braintree,-,1A,826,440,29,0,104,"1,399"
Braintree,-,1B,738,446,30,3,97,"1,314"
Braintree,-,2A,938,504,33,0,104,"1,579"
Braintree,-,2B,857,487,36,0,111,"1,491"
Braintree,-,3A,763,342,31,2,70,"1,208"
Braintree,-,3B,811,396,28,0,95,"1,330"
Braintree,-,4A,731,392,25,2,80,"1,230"
Braintree,-,4B,793,341,28,1,72,"1,235"
Braintree,-,5A,853,429,38,0,96,"1,416"
Braintree,-,5B,970,483,36,1,109,"1,599"
Braintree,-,6A,988,530,23,1,117,"1,659"
Braintree,-,6B,962,475,34,0,116,"1,587"
Brewster,-,1,"1,277",639,71,0,66,"2,053"
Brewster,-,2,"1,233",609,73,2,82,"1,999"
Brewster,-,3,"1,140",667,65,0,79,"1,951"
Bridgewater,-,1,"1,063",938,35,1,135,"2,172"
Bridgewater,-,2,891,778,34,0,119,"1,822"
Bridgewater,-,3,"1,072",973,25,1,125,"2,196"
Bridgewater,-,4,499,359,22,1,63,944
Bridgewater,-,5,317,209,20,0,45,591
Bridgewater,-,6,740,432,37,0,66,"1,275"
Bridgewater,-,7,847,640,46,0,83,"1,616"
Brimfield,-,1,854,808,91,1,58,"1,812"
Brockton,1,A,608,89,20,0,32,749
Brockton,1,B,833,224,25,0,58,"1,140"
Brockton,1,C,703,200,24,0,47,974
Brockton,1,D,971,406,31,0,81,"1,489"
Brockton,2,A,496,36,10,0,34,576
Brockton,2,B,481,54,8,0,22,565
Brockton,2,C,437,55,9,0,24,525
Brockton,2,D,644,138,20,0,30,832
Brockton,3,A,679,145,15,0,24,863
Brockton,3,B,598,85,16,0,39,738
Brockton,3,C,906,337,27,0,57,"1,327"
Brockton,3,D,848,351,20,0,61,"1,280"
Brockton,4,A,397,64,10,0,32,503
Brockton,4,B,749,165,16,1,34,965
Brockton,4,C,754,232,28,0,48,"1,062"
Brockton,4,D,737,231,29,0,62,"1,059"
Brockton,5,A,615,81,17,0,30,743
Brockton,5,B,791,253,34,0,43,"1,121"
Brockton,5,C,765,144,16,0,47,972
Brockton,5,D,804,278,32,0,54,"1,168"
Brockton,6,A,616,136,14,0,33,799
Brockton,6,B,867,313,38,0,51,"1,269"
Brockton,6,C,766,215,27,1,43,"1,052"
Brockton,6,D,808,362,25,0,51,"1,246"
Brockton,7,A,569,87,12,0,26,694
Brockton,7,B,836,141,28,0,35,"1,040"
Brockton,7,C,702,115,26,0,52,895
Brockton,7,D,779,221,15,0,29,"1,044"
Brookfield,-,1,705,659,78,0,89,"1,531"
Brookline,-,1,"1,301",148,44,0,62,"1,555"
Brookline,-,2,802,90,29,0,38,959
Brookline,-,3,"1,362",147,47,0,61,"1,617"
Brookline,-,4,"1,174",128,46,2,62,"1,412"
Brookline,-,5,"1,377",146,70,0,97,"1,690"
Brookline,-,6,"1,465",107,58,0,84,"1,714"
Brookline,-,7,"1,323",161,41,1,60,"1,586"
Brookline,-,8,"1,376",104,54,0,57,"1,591"
Brookline,-,9,"1,329",108,50,2,72,"1,561"
Brookline,-,10,"1,441",155,32,0,53,"1,681"
Brookline,-,11,"1,394",148,50,1,70,"1,663"
Brookline,-,12,"1,594",205,51,0,85,"1,935"
Brookline,-,13,"1,380",177,44,1,67,"1,669"
Brookline,-,14,"1,399",228,41,10,41,"1,719"
Brookline,-,15,"1,244",298,36,1,75,"1,654"
Brookline,-,16,"1,177",223,46,1,54,"1,501"
Buckland,-,1,654,185,100,2,35,976
Burlington,-,1,"1,064",620,44,2,128,"1,858"
Burlington,-,2,726,323,37,1,67,"1,154"
Burlington,-,3,966,517,39,0,113,"1,635"
Burlington,-,4,943,442,39,1,89,"1,514"
Burlington,-,5,"1,091",588,43,3,129,"1,854"
Burlington,-,6,"1,003",602,36,1,112,"1,754"
Burlington,-,7,"1,058",513,42,1,109,"1,723"
Cambridge,1,1,"1,335",173,61,1,62,"1,632"
Cambridge,1,2,"1,033",138,54,0,65,"1,290"
Cambridge,1,3,"1,174",151,72,1,95,"1,493"
Cambridge,2,1,"1,028",41,56,0,79,"1,204"
Cambridge,2,2,368,29,17,0,37,451
Cambridge,2,3,626,82,33,0,37,778
Cambridge,3,1,"1,104",127,53,2,75,"1,361"
Cambridge,3,2,785,45,44,0,32,906
Cambridge,3,2A,552,34,38,0,36,660
Cambridge,3,3,"1,070",71,80,0,77,"1,298"
Cambridge,4,1,"1,391",77,87,0,56,"1,611"
Cambridge,4,2,"1,446",105,102,0,79,"1,732"
Cambridge,4,3,460,36,24,1,24,545
Cambridge,5,1,"1,318",71,85,0,78,"1,552"
Cambridge,5,2,"1,359",109,81,0,89,"1,638"
Cambridge,5,3,"1,026",67,76,0,65,"1,234"
Cambridge,6,1,"1,492",76,74,0,94,"1,736"
Cambridge,6,2,"1,301",81,71,0,88,"1,541"
Cambridge,6,3,"1,443",122,76,1,74,"1,716"
Cambridge,7,1,"1,440",71,86,0,60,"1,657"
Cambridge,7,2,745,68,39,3,36,891
Cambridge,7,3,420,29,24,0,20,493
Cambridge,8,1,984,67,56,0,46,"1,153"
Cambridge,8,2,"1,031",75,48,0,60,"1,214"
Cambridge,8,3,267,17,13,0,16,313
Cambridge,9,1,"1,690",134,82,1,110,"2,017"
Cambridge,9,2,"1,675",182,92,2,77,"2,028"
Cambridge,9,3,"1,384",141,71,2,59,"1,657"
Cambridge,10,1,"1,662",92,90,0,72,"1,916"
Cambridge,10,2,"1,665",98,79,1,79,"1,922"
Cambridge,10,3,"1,337",76,60,0,57,"1,530"
Cambridge,11,1,"1,245",79,54,1,55,"1,434"
Cambridge,11,2,"1,737",155,99,2,112,"2,105"
Cambridge,11,3,"1,377",121,96,1,87,"1,682"
Canton,-,1,"1,074",445,47,1,99,"1,666"
Canton,-,2,"1,303",541,31,0,105,"1,980"
Canton,-,3,"1,096",481,32,0,112,"1,721"
Canton,-,4,"1,250",703,50,1,146,"2,150"
Canton,-,5,"1,204",539,46,1,108,"1,898"
Canton,-,6,"1,044",482,38,0,99,"1,663"
Carlisle,-,1,"2,050",731,76,0,132,"2,989"
Carver,-,1,749,779,36,0,85,"1,649"
Carver,-,2,753,708,46,0,77,"1,584"
Carver,-,3,853,842,49,0,92,"1,836"
Charlemont,-,1,365,157,38,0,33,593
Charlton,-,1,662,614,53,1,78,"1,408"
Charlton,-,2,668,731,64,1,71,"1,535"
Charlton,-,3,730,663,37,1,65,"1,496"
Charlton,-,4,663,614,61,3,61,"1,402"
Chatham,-,1,"2,287","1,597",88,1,141,"4,114"
Chelmsford,-,1,"1,169",536,61,1,122,"1,889"
Chelmsford,-,2,"1,081",448,48,1,89,"1,667"
Chelmsford,-,3,"1,072",615,46,0,119,"1,852"
Chelmsford,-,4,"1,008",568,38,0,105,"1,719"
Chelmsford,-,5,"1,121",538,55,1,142,"1,857"
Chelmsford,-,6,"1,249",575,49,0,139,"2,012"
Chelmsford,-,7,"1,231",700,52,1,131,"2,115"
