City/Town,Ward,Pct,"William Francis Galvin","Anthony M. Amore","Juan G. Sanchez, Jr","All Others",Blanks,"Total Votes Cast"
Andover,-,5,"1,282",571,38,0,54,"1,945"
Andover,-,6,"1,120",594,40,1,61,"1,816"
Andover,-,7,957,420,36,0,51,"1,464"
Andover,-,7A,256,103,7,1,9,376
Andover,-,8,"1,197",537,50,1,57,"1,842"
Andover,-,9,"1,163",576,48,1,81,"1,869"
Aquinnah,-,1,235,12,17,0,3,267
Arlington,-,1,680,83,50,0,26,839
Arlington,-,2,"1,002",139,55,0,47,"1,243"
Arlington,-,3,"1,010",110,73,1,33,"1,227"
Arlington,-,4,899,102,71,2,46,"1,120"
Arlington,-,5,899,112,59,3,43,"1,116"
Arlington,-,6,903,114,66,0,34,"1,117"
Arlington,-,7,842,97,53,0,45,"1,037"
Arlington,-,8,"1,018",147,56,0,50,"1,271"
Arlington,-,9,862,133,50,1,51,"1,097"
Arlington,-,10,"1,003",111,61,0,52,"1,227"
Arlington,-,11,972,184,59,1,44,"1,260"
Arlington,-,12,"1,133",132,56,1,45,"1,367"
Arlington,-,13,855,234,35,1,50,"1,175"
Arlington,-,14,900,119,60,0,29,"1,108"
Arlington,-,15,972,153,59,0,43,"1,227"
Arlington,-,16,916,136,40,0,47,"1,139"
Arlington,-,17,825,125,44,0,39,"1,033"
Arlington,-,18,942,213,38,1,67,"1,261"
Arlington,-,19,981,146,46,0,29,"1,202"
Arlington,-,20,912,133,61,0,35,"1,141"
Arlington,-,21,936,130,60,1,27,"1,154"
Ashburnham,-,1,"1,653","1,008",109,0,79,"2,849"
Ashby,-,1,866,646,52,4,35,"1,603"
Ashfield,-,1,796,145,93,0,17,"1,051"
Ashland,-,1,"1,079",323,48,0,57,"1,507"
Ashland,-,2,"1,147",413,48,0,53,"1,661"
Ashland,-,3,"1,092",361,35,0,44,"1,532"
Ashland,-,4,"1,064",343,39,0,49,"1,495"
Ashland,-,5,"1,171",340,51,0,62,"1,624"
Athol,-,1,829,476,66,3,40,"1,414"
Athol,-,2,714,467,53,0,31,"1,265"
Athol,-,3,781,380,47,0,28,"1,236"
Attleboro,1,A,655,414,47,0,15,"1,131"
Attleboro,1,B,661,431,23,0,37,"1,152"
Attleboro,2,A,961,471,35,1,60,"1,528"
Attleboro,2,B,940,524,43,0,46,"1,553"
Attleboro,3,A,892,389,34,0,20,"1,335"
Attleboro,3,B,933,414,36,0,50,"1,433"
Attleboro,4,A,695,276,48,2,43,"1,064"
Attleboro,4,B,"1,116",671,37,0,68,"1,892"
Attleboro,5,A,546,178,40,0,0,764
Attleboro,5,B,907,399,41,0,57,"1,404"
Attleboro,6,A,736,399,44,2,38,"1,219"
Attleboro,6,B,896,472,39,0,51,"1,458"
Auburn,-,1,"1,029",508,38,0,60,"1,635"
Auburn,-,2,"1,016",496,41,1,53,"1,607"
Auburn,-,3,"1,035",511,31,1,57,"1,635"
Auburn,-,4,896,477,42,2,34,"1,451"
Auburn,-,5,928,417,34,0,37,"1,416"
Avon,-,1,"1,359",485,43,0,63,"1,950"
Ayer,-,1,"1,113",428,72,0,42,"1,655"
Ayer,-,2,"1,179",457,74,0,47,"1,757"
Barnstable,-,1,"1,418",648,49,0,54,"2,169"
Barnstable,-,2,"1,188",634,43,0,43,"1,908"
Barnstable,-,3,879,397,39,0,34,"1,349"
Barnstable,-,4,"1,100",600,38,3,37,"1,778"
Barnstable,-,5,"1,133",816,33,0,48,"2,030"
Barnstable,-,6,"1,166",645,44,1,46,"1,902"
Barnstable,-,7,"1,348",730,59,0,48,"2,185"
Barnstable,-,8,824,332,37,1,25,"1,219"
Barnstable,-,9,519,211,28,0,22,780
Barnstable,-,10,951,637,38,2,50,"1,678"
Barnstable,-,11,"1,197",762,55,1,51,"2,066"
Barnstable,-,12,"1,148",671,47,0,41,"1,907"
Barnstable,-,13,832,397,43,0,39,"1,311"
Barre,-,1,704,402,65,1,34,"1,206"
Barre,-,2,563,429,42,1,34,"1,069"
Becket,-,1,516,227,38,0,24,805
Bedford,-,1,"1,331",418,73,0,69,"1,891"
Bedford,-,2,"1,135",424,57,0,59,"1,675"
Bedford,-,3,"1,264",392,40,0,69,"1,765"
Bedford,-,4,"1,105",378,60,4,48,"1,595"
Belchertown,-,A,"1,168",457,81,0,62,"1,768"
Belchertown,-,B,"1,073",522,78,1,49,"1,723"
Belchertown,-,C,"1,142",603,48,0,62,"1,855"
Belchertown,-,D,"1,234",377,111,0,46,"1,768"
Bellingham,-,1,857,468,26,4,36,"1,391"
Bellingham,-,2,949,509,33,3,49,"1,543"
Bellingham,-,3,929,467,35,3,40,"1,474"
Bellingham,-,4,717,480,31,8,40,"1,276"
Bellingham,-,4A,97,63,2,0,5,167
Bellingham,-,5,790,503,29,6,57,"1,385"
Belmont,-,1,"1,291",233,54,1,76,"1,655"
Belmont,-,2,"1,212",395,44,1,82,"1,734"
Belmont,-,3,"1,182",272,62,0,62,"1,578"
Belmont,-,4,"1,047",220,75,0,54,"1,396"
Belmont,-,5,"1,171",248,72,2,59,"1,552"
Belmont,-,6,"1,284",250,67,0,79,"1,680"
Belmont,-,7,"1,244",221,92,2,49,"1,608"
Belmont,-,8,"1,275",368,59,1,85,"1,788"
Berkley,-,1,852,647,46,2,70,"1,617"
Berkley,-,2,660,536,33,0,44,"1,273"
Berlin,-,1,"1,152",497,70,0,41,"1,760"
Bernardston,-,1,746,235,47,1,23,"1,052"
Beverly,1,1,958,404,35,0,55,"1,452"
Beverly,1,2,"1,114",423,43,0,69,"1,649"
Beverly,2,1,"1,082",285,74,2,47,"1,490"
Beverly,2,2,"1,175",366,93,0,66,"1,700"
Beverly,3,1,899,255,59,0,32,"1,245"
Beverly,3,2,989,362,41,0,42,"1,434"
Beverly,4,1,745,257,27,1,36,"1,066"
Beverly,4,2,"1,454",408,68,0,64,"1,994"
Beverly,5,1,"1,086",448,35,0,48,"1,617"
Beverly,5,2,"1,071",449,59,0,62,"1,641"
Beverly,6,1,"1,190",502,44,0,69,"1,805"
Beverly,6,2,"1,192",582,38,0,68,"1,880"
Billerica,-,1,"1,082",485,50,0,57,"1,674"
Billerica,-,2,"1,151",501,42,3,61,"1,758"
Billerica,-,3,"1,077",506,14,0,54,"1,651"
Billerica,-,4,856,456,37,2,63,"1,414"
Billerica,-,5,"1,097",580,45,2,81,"1,805"
Billerica,-,6,926,482,42,2,58,"1,510"
Billerica,-,7,"1,012",476,39,3,55,"1,585"
Billerica,-,8,"1,125",582,34,0,57,"1,798"
Billerica,-,9,994,530,31,1,63,"1,619"
Billerica,-,10,"1,009",598,42,3,73,"1,725"
Billerica,-,11,944,496,41,3,51,"1,535"
Blackstone,-,1,630,390,27,0,38,"1,085"
Blackstone,-,2,758,468,36,0,26,"1,288"
Blackstone,-,3,658,503,29,0,34,"1,224"
Blandford,-,1,285,278,23,0,18,604
Bolton,-,1,"1,917",854,94,3,84,"2,952"
Boston,1,1,656,102,73,1,36,868
Boston,1,2,452,63,39,0,27,581
Boston,1,3,"1,042",150,84,2,71,"1,349"
Boston,1,4,403,64,43,0,24,534
Boston,1,5,509,91,46,0,40,686
Boston,1,6,438,60,51,1,32,582
Boston,1,7,445,77,39,3,27,591
Boston,1,8,575,81,61,5,57,779
Boston,1,9,467,64,39,1,23,594
Boston,1,10,280,46,24,1,19,370
Boston,1,11,586,166,47,2,50,851
Boston,1,12,577,165,43,2,39,826
Boston,1,13,726,167,54,2,47,996
Boston,1,14,306,108,14,1,21,450
Boston,1,15,2,0,0,0,0,2
Boston,2,1,"1,061",242,53,2,100,"1,458"
Boston,2,2,"1,256",236,54,3,76,"1,625"
Boston,2,3,805,156,32,5,49,"1,047"
Boston,2,4,710,114,35,0,42,901
Boston,2,5,871,180,16,3,46,"1,116"
Boston,2,6,978,206,36,0,62,"1,282"
Boston,2,7,836,146,40,0,57,"1,079"
Boston,3,1,"1,391",388,54,6,108,"1,947"
Boston,3,2,709,189,25,2,46,971
Boston,3,3,812,206,39,2,54,"1,113"
Boston,3,4,903,272,36,4,66,"1,281"
Boston,3,5,"1,545",302,60,4,61,"1,972"
Boston,3,6,"1,999",473,89,1,111,"2,673"
Boston,3,7,"1,942",234,99,7,100,"2,382"
Boston,3,8,"2,220",330,90,6,364,"3,010"
Boston,4,1,"1,016",150,48,0,53,"1,267"
Boston,4,2,"1,374",282,76,2,94,"1,828"
Boston,4,3,675,88,45,2,43,853
Boston,4,4,951,105,53,3,55,"1,167"
Boston,4,5,698,76,34,0,44,852
Boston,4,6,567,87,33,1,33,721
Boston,4,7,552,58,36,1,32,679
Boston,4,8,562,93,42,0,40,737
Boston,4,9,324,13,30,0,22,389
Boston,4,10,285,24,17,1,7,334
Boston,5,1,"1,816",305,81,4,262,"2,468"
Boston,5,2,745,85,53,0,33,916
Boston,5,2A,460,59,25,0,24,568
Boston,5,3,851,201,44,2,51,"1,149"
Boston,5,4,"1,105",183,56,4,62,"1,410"
Boston,5,5,362,83,20,2,24,491
Boston,5,6,819,255,43,2,54,"1,173"
Boston,5,7,"1,032",264,49,4,51,"1,400"
Boston,5,8,959,218,44,2,43,"1,266"
Boston,5,9,"1,290",248,58,5,68,"1,669"
Boston,5,10,752,119,40,1,36,948
Boston,5,11,592,145,23,0,36,796
Boston,6,1,"2,498",589,106,8,104,"3,305"
Boston,6,2,611,130,17,3,54,815
Boston,6,3,852,211,31,1,45,"1,140"
Boston,6,4,850,210,26,5,50,"1,141"
Boston,6,5,810,185,21,4,60,"1,080"
Boston,6,6,695,163,22,3,67,950
Boston,6,7,807,189,25,3,53,"1,077"
Boston,6,8,711,179,18,4,52,964
Boston,6,9,617,213,14,5,51,900
Boston,7,1,641,162,15,2,63,883
Boston,7,2,824,209,23,4,50,"1,110"
Boston,7,3,937,238,31,2,51,"1,259"
Boston,7,4,708,184,25,0,48,965
Boston,7,5,708,146,20,0,46,920
Boston,7,6,616,96,29,2,41,784
Boston,7,7,384,47,28,1,34,494
Boston,7,8,528,89,39,2,34,692
Boston,7,9,511,104,37,1,21,674
Boston,7,10,454,23,37,0,43,557
Boston,8,1,576,40,44,5,28,693
Boston,8,2,"1,130",125,54,1,78,"1,388"
Boston,8,3,448,19,51,0,31,549
Boston,8,4,276,8,20,0,15,319
Boston,8,5,484,31,49,1,67,632
Boston,8,6,172,12,23,1,20,228
Boston,8,7,346,13,38,0,24,421
Boston,9,1,779,81,122,1,73,"1,056"
Boston,9,2,"1,163",103,50,4,61,"1,381"
Boston,9,3,"1,254",73,91,5,73,"1,496"
Boston,9,4,712,40,53,0,43,848
Boston,9,5,835,19,83,5,84,"1,026"
Boston,10,1,389,26,46,0,31,492
Boston,10,2,353,33,37,2,15,440
Boston,10,3,404,18,35,1,22,480
Boston,10,4,597,93,66,1,128,885
Boston,10,5,492,46,61,1,27,627
Boston,10,6,504,30,92,0,43,669
Boston,10,7,743,23,85,2,50,903
Boston,10,8,941,75,113,4,38,"1,171"
Boston,10,9,"1,087",48,149,5,51,"1,340"
Boston,11,1,437,18,50,0,20,525
Boston,11,2,648,23,60,1,166,898
Boston,11,3,514,25,43,0,38,620
Boston,11,4,898,41,133,5,46,"1,123"
Boston,11,5,688,42,101,0,49,880
Boston,11,6,641,24,124,1,33,823
Boston,11,7,824,44,119,4,51,"1,042"
Boston,11,8,"1,062",49,140,4,32,"1,287"
Boston,11,9,620,26,91,3,32,772
Boston,11,10,772,34,112,0,34,952
Boston,12,1,677,28,68,1,73,847
Boston,12,2,822,24,64,4,50,964
Boston,12,3,408,17,37,0,20,482
Boston,12,4,452,13,34,2,21,522
Boston,12,5,290,9,25,1,35,360
Boston,12,6,395,11,25,3,29,463
Boston,12,7,751,30,53,1,64,899
Boston,12,8,317,6,25,2,30,380
Boston,12,9,407,11,41,1,36,496
Boston,13,1,530,14,37,3,43,627
Boston,13,2,214,10,16,0,4,244
Boston,13,3,484,61,53,1,39,638
Boston,13,4,404,13,30,0,22,469
Boston,13,5,433,23,41,1,37,535
Boston,13,6,604,64,48,1,37,754
Boston,13,7,638,124,57,1,45,865
Boston,13,8,548,81,55,1,27,712
Boston,13,9,632,81,35,0,27,775
Boston,13,10,887,151,62,3,65,"1,168"
Boston,14,1,859,29,59,0,43,990
Boston,14,2,942,32,47,2,64,"1,087"
Boston,14,3,442,10,22,2,35,511
Boston,14,4,512,12,45,0,20,589
Boston,14,5,395,9,18,1,27,450
Boston,14,6,402,14,32,1,29,478
Boston,14,7,413,11,33,1,24,482
Boston,14,8,530,9,29,1,42,611
Boston,14,9,412,19,30,0,29,490
Boston,14,10,473,23,43,0,36,575
Boston,14,11,463,13,30,1,33,540
Boston,14,12,286,1,13,0,34,334
Boston,14,13,442,7,31,2,20,502
Boston,14,14,498,5,36,1,49,589
Boston,15,1,535,27,43,2,50,657
Boston,15,2,351,12,28,3,28,422
Boston,15,3,230,15,26,1,19,291
Boston,15,4,695,73,60,4,59,891
Boston,15,5,470,15,28,1,29,543
Boston,15,6,241,95,16,1,27,380
Boston,15,7,395,24,32,2,37,490
Boston,15,8,321,75,26,0,25,447
Boston,15,9,353,59,35,3,34,484
Boston,16,1,380,69,35,3,36,523
Boston,16,2,404,72,23,2,25,526
Boston,16,3,574,84,50,1,45,754
Boston,16,4,502,88,45,1,33,669
Boston,16,5,617,107,37,1,36,798
Boston,16,6,723,121,60,0,49,953
Boston,16,7,619,120,39,5,40,823
Boston,16,8,729,118,45,2,44,938
Boston,16,9,732,170,34,0,68,"1,004"
Boston,16,10,604,122,22,2,30,780
Boston,16,11,732,125,61,2,39,959
Boston,16,12,650,123,26,1,63,863
Boston,17,1,431,20,37,0,33,521
Boston,17,2,354,25,24,1,19,423
Boston,17,3,782,37,59,2,49,929
Boston,17,4,906,65,55,4,44,"1,074"
Boston,17,5,338,9,18,2,30,397
Boston,17,6,567,29,62,1,40,699
Boston,17,7,325,15,22,0,9,371
Boston,17,8,572,20,25,2,31,650
Boston,17,9,482,25,54,0,35,596
Boston,17,10,672,18,39,2,35,766
Boston,17,11,251,11,29,0,20,311
Boston,17,12,508,17,23,0,24,572
Boston,17,13,655,75,46,1,44,821
Boston,17,14,686,47,49,4,37,823
Boston,18,1,940,28,56,1,49,"1,074"
Boston,18,2,657,12,31,0,39,739
Boston,18,3,772,23,37,4,37,873
Boston,18,4,745,21,41,1,48,856
Boston,18,5,834,34,43,0,47,958
Boston,18,6,"1,038",31,68,4,71,"1,212"
Boston,18,7,728,67,52,0,27,874
Boston,18,8,"1,221",68,72,0,86,"1,447"
Boston,18,9,783,80,71,3,43,980
Boston,18,10,"1,166",117,112,2,53,"1,450"
Boston,18,11,644,60,44,1,30,779
Boston,18,12,757,94,74,4,37,966
Boston,18,13,452,30,37,0,23,542
Boston,18,14,444,24,39,1,18,526
Boston,18,15,715,32,45,4,43,839
Boston,18,16,841,157,53,1,57,"1,109"
Boston,18,17,770,66,40,1,35,912
Boston,18,18,926,91,68,1,76,"1,162"
Boston,18,19,"1,232",120,88,2,70,"1,512"
Boston,18,20,"1,041",206,54,0,62,"1,363"
Boston,18,21,878,20,57,2,43,"1,000"
Boston,18,22,844,135,82,1,63,"1,125"
Boston,18,23,650,40,40,2,31,763
Boston,19,1,843,31,119,4,36,"1,033"
Boston,19,2,926,117,80,3,59,"1,185"
Boston,19,3,693,43,79,2,33,850
Boston,19,4,979,31,152,1,50,"1,213"
Boston,19,5,756,46,108,7,42,959
Boston,19,6,"1,066",53,154,2,53,"1,328"
Boston,19,7,"1,013",49,131,2,48,"1,243"
Boston,19,8,531,30,65,3,36,665
Boston,19,9,539,33,60,3,19,654
Boston,19,10,909,64,96,1,54,"1,124"
Boston,19,11,768,37,53,0,38,896
Boston,19,12,696,55,74,0,22,847
Boston,19,13,567,42,60,1,17,687
Boston,20,1,799,103,60,1,56,"1,019"
Boston,20,2,825,79,102,0,39,"1,045"
Boston,20,3,788,187,42,3,45,"1,065"
Boston,20,4,715,60,138,4,40,957
Boston,20,5,760,162,46,1,52,"1,021"
Boston,20,6,929,188,53,0,49,"1,219"
Boston,20,7,610,95,61,2,32,800
Boston,20,8,676,78,67,1,28,850
Boston,20,9,701,100,56,1,37,895
Boston,20,10,990,237,38,0,47,"1,312"
Boston,20,11,496,80,28,2,20,626
Boston,20,12,565,110,31,0,38,744
Boston,20,13,576,105,33,2,28,744
Boston,20,14,556,123,25,2,20,726
Boston,20,15,912,191,49,1,38,"1,191"
Boston,20,16,931,213,48,1,68,"1,261"
Boston,20,17,"1,085",241,48,4,69,"1,447"
Boston,20,18,560,90,43,1,24,718
Boston,20,19,535,130,33,1,40,739
Boston,20,20,958,191,48,3,33,"1,233"
Boston,21,1,859,89,38,3,33,"1,022"
Boston,21,2,260,29,11,0,11,311
Boston,21,3,558,43,49,0,16,666
Boston,21,4,481,37,60,0,23,601
Boston,21,5,784,54,72,3,34,947
Boston,21,6,524,55,54,1,25,659
Boston,21,7,622,58,69,1,32,782
Boston,21,8,874,78,72,1,28,"1,053"
Boston,21,9,788,91,47,4,41,971
Boston,21,10,703,94,53,0,33,883
Boston,21,11,844,84,58,1,34,"1,021"
Boston,21,12,764,110,46,3,45,968
Boston,21,13,796,206,55,3,136,"1,196"
Boston,21,14,565,68,27,0,22,682
Boston,21,15,664,64,51,1,17,797
Boston,21,16,743,118,47,0,41,949
Boston,22,1,844,102,69,1,47,"1,063"
Boston,22,2,"1,087",118,104,2,53,"1,364"
Boston,22,3,902,136,73,1,36,"1,148"
Boston,22,4,688,92,52,4,14,850
Boston,22,5,490,48,56,0,35,629
Boston,22,6,591,49,35,2,24,701
Boston,22,7,845,95,67,5,23,"1,035"
Boston,22,8,547,117,26,0,27,717
Boston,22,9,640,113,45,0,28,826
Boston,22,10,778,98,59,4,32,971
Boston,22,11,543,68,29,1,23,664
Boston,22,12,524,60,31,0,24,639
Boston,22,13,533,60,39,0,18,650
Bourne,-,1,760,492,36,0,39,"1,327"
Bourne,-,2,913,640,35,0,34,"1,622"
Bourne,-,3,491,340,24,0,24,879
Bourne,-,4,"1,022",504,28,1,58,"1,613"
Bourne,-,5,953,487,30,0,41,"1,511"
Bourne,-,6,686,370,20,0,29,"1,105"
Bourne,-,7,768,469,29,0,49,"1,315"
Boxborough,-,1,"1,983",601,71,0,96,"2,751"
Boxford,-,1,819,525,31,0,42,"1,417"
Boxford,-,2,895,605,37,2,58,"1,597"
Boxford,-,3,811,561,28,1,55,"1,456"
Boylston,-,1,"1,507",815,77,0,94,"2,493"
Braintree,-,1A,941,361,34,1,62,"1,399"
Braintree,-,1B,860,373,26,1,54,"1,314"
Braintree,-,2A,"1,055",427,39,0,58,"1,579"
Braintree,-,2B,974,411,43,1,62,"1,491"
Braintree,-,3A,875,267,27,1,38,"1,208"
Braintree,-,3B,909,336,26,2,57,"1,330"
Braintree,-,4A,807,341,25,1,56,"1,230"
Braintree,-,4B,869,288,41,0,37,"1,235"
Braintree,-,5A,970,349,42,1,54,"1,416"
Braintree,-,5B,"1,121",390,29,2,57,"1,599"
Braintree,-,6A,"1,120",457,20,2,60,"1,659"
Braintree,-,6B,"1,118",370,32,0,67,"1,587"
Brewster,-,1,"1,386",568,57,0,42,"2,053"
Brewster,-,2,"1,348",531,70,0,50,"1,999"
Brewster,-,3,"1,268",583,63,0,37,"1,951"
Bridgewater,-,1,"1,285",754,34,1,98,"2,172"
Bridgewater,-,2,"1,053",631,45,1,92,"1,822"
Bridgewater,-,3,"1,289",790,26,1,90,"2,196"
Bridgewater,-,4,589,293,22,3,37,944
Bridgewater,-,5,366,169,24,0,32,591
Bridgewater,-,6,844,338,45,0,48,"1,275"
Bridgewater,-,7,"1,009",493,48,0,66,"1,616"
Brimfield,-,1,924,784,70,3,31,"1,812"
Brockton,1,A,633,74,16,1,25,749
Brockton,1,B,873,198,21,0,48,"1,140"
Brockton,1,C,741,170,31,0,32,974
Brockton,1,D,"1,070",332,33,0,54,"1,489"
Brockton,2,A,492,36,18,0,30,576
Brockton,2,B,478,52,13,0,22,565
Brockton,2,C,447,40,15,0,23,525
Brockton,2,D,668,121,23,1,19,832
Brockton,3,A,699,123,26,0,15,863
Brockton,3,B,606,79,23,0,30,738
Brockton,3,C,975,271,35,1,45,"1,327"
Brockton,3,D,934,284,27,0,35,"1,280"
Brockton,4,A,409,58,10,0,26,503
Brockton,4,B,798,125,25,0,17,965
Brockton,4,C,798,205,27,0,32,"1,062"
Brockton,4,D,778,199,30,0,52,"1,059"
Brockton,5,A,614,81,24,0,24,743
Brockton,5,B,850,202,38,0,31,"1,121"
Brockton,5,C,773,132,32,0,35,972
Brockton,5,D,867,222,39,0,40,"1,168"
Brockton,6,A,650,110,19,0,20,799
Brockton,6,B,948,257,29,0,35,"1,269"
Brockton,6,C,807,174,32,0,39,"1,052"
Brockton,6,D,866,307,38,0,35,"1,246"
Brockton,7,A,587,67,23,0,17,694
Brockton,7,B,858,105,42,0,35,"1,040"
Brockton,7,C,720,105,24,0,46,895
Brockton,7,D,807,187,27,0,23,"1,044"
Brookfield,-,1,784,625,68,1,53,"1,531"
Brookline,-,1,"1,287",150,66,0,52,"1,555"
Brookline,-,2,774,86,58,0,41,959
Brookline,-,3,"1,353",145,61,1,57,"1,617"
Brookline,-,4,"1,175",114,74,4,45,"1,412"
Brookline,-,5,"1,359",139,108,1,83,"1,690"
Brookline,-,6,"1,427",112,106,1,68,"1,714"
Brookline,-,7,"1,309",150,73,0,54,"1,586"
Brookline,-,8,"1,358",102,77,1,53,"1,591"
Brookline,-,9,"1,307",111,60,2,81,"1,561"
Brookline,-,10,"1,433",148,51,1,48,"1,681"
Brookline,-,11,"1,400",132,63,1,67,"1,663"
Brookline,-,12,"1,570",203,82,4,76,"1,935"
Brookline,-,13,"1,359",171,65,1,73,"1,669"
Brookline,-,14,"1,351",228,71,5,64,"1,719"
Brookline,-,15,"1,222",300,54,2,76,"1,654"
Brookline,-,16,"1,168",215,65,0,53,"1,501"
Buckland,-,1,690,176,82,2,26,976
Burlington,-,1,"1,181",547,40,1,89,"1,858"
Burlington,-,2,787,283,32,0,52,"1,154"
Burlington,-,3,"1,069",457,30,1,78,"1,635"
Burlington,-,4,"1,033",387,24,0,70,"1,514"
Burlington,-,5,"1,179",542,37,3,93,"1,854"
Burlington,-,6,"1,106",528,39,0,81,"1,754"
Burlington,-,7,"1,159",449,38,1,76,"1,723"
Cambridge,1,1,"1,355",151,78,1,47,"1,632"
Cambridge,1,2,"1,051",129,66,1,43,"1,290"
Cambridge,1,3,"1,205",134,74,1,79,"1,493"
Cambridge,2,1,"1,026",44,68,0,66,"1,204"
Cambridge,2,2,383,19,16,1,32,451
Cambridge,2,3,637,68,42,1,30,778
Cambridge,3,1,"1,108",112,85,3,53,"1,361"
Cambridge,3,2,769,42,69,0,26,906
Cambridge,3,2A,542,36,52,0,30,660
Cambridge,3,3,"1,076",55,107,0,60,"1,298"
Cambridge,4,1,"1,378",68,125,2,38,"1,611"
Cambridge,4,2,"1,458",93,129,1,51,"1,732"
Cambridge,4,3,459,34,33,1,18,545
Cambridge,5,1,"1,324",59,100,0,69,"1,552"
Cambridge,5,2,"1,350",89,132,2,65,"1,638"
Cambridge,5,3,"1,035",50,98,2,49,"1,234"
Cambridge,6,1,"1,493",65,108,2,68,"1,736"
Cambridge,6,2,"1,314",69,87,2,69,"1,541"
Cambridge,6,3,"1,446",108,102,2,58,"1,716"
Cambridge,7,1,"1,421",64,126,0,46,"1,657"
Cambridge,7,2,752,56,50,2,31,891
Cambridge,7,3,428,22,27,0,16,493
Cambridge,8,1,975,58,82,2,36,"1,153"
Cambridge,8,2,"1,039",64,57,0,54,"1,214"
Cambridge,8,3,263,20,14,0,16,313
Cambridge,9,1,"1,685",129,114,2,87,"2,017"
Cambridge,9,2,"1,680",161,130,3,54,"2,028"
Cambridge,9,3,"1,396",121,100,1,39,"1,657"
Cambridge,10,1,"1,631",84,138,2,61,"1,916"
Cambridge,10,2,"1,632",90,134,1,65,"1,922"
Cambridge,10,3,"1,313",65,101,1,50,"1,530"
Cambridge,11,1,"1,249",81,57,1,46,"1,434"
Cambridge,11,2,"1,725",134,142,3,101,"2,105"
Cambridge,11,3,"1,401",102,110,2,67,"1,682"
Canton,-,1,"1,212",347,51,0,56,"1,666"
Canton,-,2,"1,453",425,43,0,59,"1,980"
Canton,-,3,"1,230",391,35,1,64,"1,721"
Canton,-,4,"1,447",556,50,1,96,"2,150"
Canton,-,5,"1,350",439,41,0,68,"1,898"
Canton,-,6,"1,191",372,37,1,62,"1,663"
Carlisle,-,1,"2,163",631,88,0,107,"2,989"
Carver,-,1,898,643,48,0,60,"1,649"
Carver,-,2,895,585,46,0,58,"1,584"
Carver,-,3,"1,072",646,39,0,79,"1,836"
Charlemont,-,1,384,144,45,0,20,593
Charlton,-,1,721,592,41,2,52,"1,408"
Charlton,-,2,754,697,41,1,42,"1,535"
Charlton,-,3,803,609,38,2,44,"1,496"
Charlton,-,4,740,584,35,4,39,"1,402"
Chatham,-,1,"2,520","1,398",94,2,100,"4,114"
Chelmsford,-,1,"1,267",488,60,0,74,"1,889"
Chelmsford,-,2,"1,178",391,38,0,60,"1,667"
Chelmsford,-,3,"1,192",545,48,0,67,"1,852"
Chelmsford,-,4,"1,115",493,36,1,74,"1,719"
