City/Town,Ward,Pct,"John E. Powers, III","All Others",Blanks,"Total Votes Cast"
Boston,5,7,"1,163",13,376,"1,552"
Boston,5,8,"1,013",13,309,"1,335"
Boston,5,9,973,27,302,"1,302"
Boston,5,10,534,12,144,690
Boston,5,11,487,3,111,601
Boston,5,12,573,11,110,694
Boston,5,13,791,15,308,"1,114"
Boston,5,14,723,17,232,972
Boston,5,15,622,14,185,821
Boston,6,1,"1,198",18,281,"1,497"
Boston,6,2,748,23,214,985
Boston,6,3,912,16,268,"1,196"
Boston,6,4,761,11,178,950
Boston,6,5,967,5,260,"1,232"
Boston,6,6,"1,040",18,248,"1,306"
Boston,6,7,921,34,265,"1,220"
Boston,6,8,"1,079",16,331,"1,426"
Boston,6,9,976,21,362,"1,359"
Boston,6,10,800,20,241,"1,061"
Boston,6,11,888,19,273,"1,180"
Boston,6,12,"1,559",36,504,"2,099"
Boston,6,12A,0,0,0,0
Boston,7,1,832,11,240,"1,083"
Boston,7,2,939,17,304,"1,260"
Boston,7,3,"1,072",24,303,"1,399"
Boston,7,4,764,13,249,"1,026"
Boston,7,5,932,14,239,"1,185"
Boston,7,6,717,21,223,961
Boston,7,7,446,16,127,589
Boston,7,8,763,21,186,970
Boston,7,9,565,13,175,753
Boston,7,10,588,8,124,720
Boston,8,1,"1,036",20,335,"1,391"
Boston,8,2,733,11,181,925
Boston,8,3,653,20,192,865
Boston,8,4,499,17,122,638
Boston,8,5,747,13,202,962
Boston,8,6,151,6,49,206
Boston,8,6A,0,0,0,0
Boston,9,1,878,13,335,"1,226"
Boston,9,2,897,16,209,"1,122"
Boston,9,3,683,20,223,926
Boston,9,4,625,14,231,870
Boston,9,5,639,15,231,885
Boston,9,6,853,14,210,"1,077"
Boston,9,7,261,9,84,354
Boston,10,1,398,9,134,541
Boston,10,2,379,7,136,522
Boston,10,3,355,7,73,435
Boston,10,4,647,14,307,968
Boston,10,5,440,13,136,589
Boston,10,6,515,10,190,715
Boston,10,7,650,15,233,898
Boston,10,8,947,20,233,"1,200"
Boston,10,9,"1,086",12,311,"1,409"
Boston,10,9A,0,0,0,0
Boston,11,1,459,9,122,590
Boston,11,2,730,13,197,940
Boston,11,3,519,13,164,696
Boston,11,4,941,21,249,"1,211"
Boston,11,5,771,11,236,"1,018"
Boston,11,6,730,9,175,914
Boston,11,7,876,9,281,"1,166"
Boston,11,8,"1,336",14,321,"1,671"
Boston,11,9,603,7,229,839
Boston,11,10,727,10,217,954
Boston,12,1,684,20,213,917
Boston,12,2,864,26,236,"1,126"
Boston,12,3,404,10,111,525
Boston,12,4,500,16,146,662
Boston,12,5,279,4,97,380
Boston,12,6,407,10,112,529
Boston,12,7,940,25,286,"1,251"
Boston,12,8,330,8,96,434
Boston,12,9,439,16,114,569
Boston,13,1,592,11,162,765
Boston,13,2,243,11,60,314
Boston,13,3,651,16,166,833
Boston,13,4,469,10,122,601
Boston,13,5,420,10,130,560
Boston,13,6,600,11,175,786
Boston,13,7,667,23,245,935
Boston,13,8,583,16,191,790
Boston,13,9,686,5,199,890
Boston,13,10,946,15,365,"1,326"
Boston,14,1,929,24,236,"1,189"
Boston,14,2,"1,024",25,236,"1,285"
Boston,14,3,257,5,67,329
Boston,14,4,574,16,143,733
Boston,14,5,435,11,98,544
Boston,14,6,467,7,120,594
Boston,14,7,446,13,103,562
Boston,14,8,533,16,143,692
Boston,14,9,479,17,136,632
Boston,14,10,527,16,165,708
Boston,14,11,525,14,129,668
Boston,14,12,309,5,74,388
Boston,14,13,498,12,87,597
Boston,14,14,523,16,122,661
Boston,15,1,642,16,183,841
Boston,15,2,398,14,111,523
Boston,15,3,279,7,92,378
Boston,15,4,804,35,165,"1,004"
Boston,15,5,481,14,142,637
Boston,15,6,367,17,186,570
Boston,15,7,422,8,120,550
Boston,15,8,350,11,167,528
Boston,15,9,384,6,184,574
Boston,16,1,467,15,182,664
Boston,16,2,500,18,177,695
Boston,16,3,595,4,225,824
Boston,16,4,607,20,205,832
Boston,16,5,729,25,245,999
Boston,16,6,826,21,365,"1,212"
Boston,16,7,668,14,294,976
Boston,16,8,"1,066",31,391,"1,488"
Boston,16,9,832,19,381,"1,232"
Boston,16,10,699,14,272,985
Boston,16,11,473,8,167,648
Boston,16,12,717,12,315,"1,044"
Boston,17,1,495,23,128,646
Boston,17,2,385,11,102,498
Boston,17,3,826,14,242,"1,082"
Boston,17,4,"1,031",19,295,"1,345"
Boston,17,5,385,12,89,486
Boston,17,6,681,14,163,858
Boston,17,7,348,11,55,414
Boston,17,8,536,17,139,692
Boston,17,9,478,2,148,628
Boston,17,10,712,12,185,909
Boston,17,11,287,3,74,364
Boston,17,12,510,12,136,658
Boston,17,13,672,12,237,921
Boston,17,14,726,16,208,950
Boston,18,1,"1,070",25,263,"1,358"
Boston,18,2,665,7,149,821
Boston,18,3,828,15,159,"1,002"
Boston,18,4,824,21,204,"1,049"
Boston,18,5,890,10,198,"1,098"
Boston,18,6,"1,090",25,270,"1,385"
Boston,18,7,818,25,213,"1,056"
Boston,18,8,"1,329",20,378,"1,727"
Boston,18,9,834,21,278,"1,133"
Boston,18,10,"1,219",13,401,"1,633"
Boston,18,11,658,18,173,849
Boston,18,12,824,14,285,"1,123"
Boston,18,13,519,7,127,653
Boston,18,14,502,8,150,660
Boston,18,15,805,12,196,"1,013"
Boston,18,16,848,25,354,"1,227"
Boston,18,17,801,31,268,"1,100"
Boston,18,18,970,20,335,"1,325"
Boston,18,19,"1,349",29,423,"1,801"
Boston,18,20,"1,055",30,421,"1,506"
Boston,18,21,935,26,259,"1,220"
Boston,18,22,964,22,377,"1,363"
Boston,18,23,646,18,157,821
Boston,19,1,787,7,236,"1,030"
Boston,19,2,897,13,391,"1,301"
Boston,19,3,485,5,160,650
Boston,19,4,"1,077",5,324,"1,406"
Boston,19,5,733,5,264,"1,002"
Boston,19,6,"1,069",11,342,"1,422"
Boston,19,7,919,19,273,"1,211"
Boston,19,8,624,9,280,913
Boston,19,9,528,3,168,699
Boston,19,10,"1,009",23,318,"1,350"
Boston,19,11,720,12,205,937
Boston,19,12,723,6,260,989
Boston,19,13,605,16,176,797
Boston,20,1,864,13,389,"1,266"
Boston,20,2,929,19,307,"1,255"
Boston,20,3,801,30,345,"1,176"
Boston,20,4,744,7,290,"1,041"
Boston,20,5,923,24,413,"1,360"
Boston,20,6,972,12,426,"1,410"
Boston,20,7,635,11,213,859
Boston,20,8,712,12,247,971
Boston,20,9,821,12,258,"1,091"
Boston,20,10,"1,072",23,473,"1,568"
Boston,20,11,507,6,220,733
Boston,20,12,606,12,309,927
Boston,20,13,599,15,223,837
Boston,20,14,546,6,262,814
Boston,20,15,961,17,423,"1,401"
Boston,20,16,"1,116",31,450,"1,597"
Boston,20,17,"1,061",35,548,"1,644"
Boston,20,18,580,8,255,843
Boston,20,19,592,14,271,877
Boston,20,20,"1,019",18,380,"1,417"
Boston,20,21,84,6,41,131
Boston,21,1,915,12,188,"1,115"
Boston,21,2,255,1,43,299
Boston,21,3,522,4,115,641
Boston,21,4,457,6,114,577
Boston,21,5,774,14,145,933
Boston,21,6,565,7,131,703
Boston,21,7,660,22,163,845
Boston,21,8,952,11,140,"1,103"
Boston,21,9,"1,116",25,216,"1,357"
Boston,21,10,754,16,175,945
Boston,21,11,915,15,173,"1,103"
Boston,21,12,728,14,223,965
Boston,21,13,905,16,431,"1,352"
Boston,21,14,582,3,103,688
Boston,21,15,710,9,119,838
Boston,21,16,832,16,265,"1,113"
Boston,22,1,963,31,266,"1,260"
Boston,22,2,"1,127",21,318,"1,466"
Boston,22,3,987,22,292,"1,301"
Boston,22,4,730,19,223,972
Boston,22,5,730,14,211,955
Boston,22,6,577,14,153,744
Boston,22,7,847,13,260,"1,120"
Boston,22,8,577,16,194,787
Boston,22,9,640,17,270,927
Boston,22,10,836,11,243,"1,090"
Boston,22,11,566,10,187,763
Boston,22,12,599,17,213,829
Boston,22,13,522,11,145,678
Chelsea,1,1,290,0,179,469
Chelsea,1,2,204,0,102,306
Chelsea,1,3,278,0,139,417
Chelsea,1,4,274,0,125,399
Chelsea,2,1,705,0,378,"1,083"
Chelsea,2,2,475,0,161,636
Chelsea,2,3,251,0,131,382
Chelsea,2,4,320,0,131,451
Chelsea,3,1,352,0,173,525
Chelsea,3,2,406,0,181,587
Chelsea,3,3,347,0,160,507
Chelsea,3,4,365,0,172,537
Chelsea,4,1,472,0,179,651
Chelsea,4,2,440,0,237,677
Chelsea,4,3,416,0,249,665
Chelsea,4,4,374,0,203,577
Revere,1,1,685,30,366,"1,081"
Revere,1,2,760,25,392,"1,177"
Revere,1,3,556,12,304,872
Revere,2,1,520,19,210,749
Revere,2,2,662,29,285,976
Revere,2,3,208,13,102,323
Revere,2,3A,60,1,33,94
Revere,3,1,537,29,344,910
Revere,3,2,578,33,362,973
Revere,3,3,587,29,322,938
Revere,4,1,723,29,416,"1,168"
Revere,4,2,537,32,355,924
Revere,4,3,649,31,456,"1,136"
Revere,5,1,553,23,374,950
Revere,5,1A,373,5,265,643
Revere,5,2,734,30,367,"1,131"
Revere,5,3,579,24,372,975
Revere,6,1,695,35,564,"1,294"
Revere,6,2,696,41,546,"1,283"
Revere,6,3,622,33,341,996
Winthrop,-,1,"1,038",20,589,"1,647"
Winthrop,-,2,"1,001",20,639,"1,660"
Winthrop,-,3,"1,072",22,494,"1,588"
Winthrop,-,4,711,19,480,"1,210"
Winthrop,-,5,"1,080",11,677,"1,768"
Winthrop,-,6,990,26,562,"1,578"
TOTALS,,,"222,024","4,831","75,471","302,326"
