City/Town,Ward,Pct,"Christopher T. Saunders","All Others",Blanks,"Total Votes Cast"
Taunton,3,B,"1,239",19,722,"1,980"
Taunton,4,A,"1,124",22,795,"1,941"
Taunton,4,B,"1,025",20,643,"1,688"
Taunton,5,A,949,20,469,"1,438"
Taunton,5,B,905,18,444,"1,367"
Taunton,6,A,797,13,403,"1,213"
Taunton,6,B,"1,104",19,609,"1,732"
Taunton,7,A,"1,108",20,759,"1,887"
Taunton,7,B,"1,222",19,928,"2,169"
Taunton,8,A,"1,159",25,828,"2,012"
Taunton,8,B,"1,261",13,872,"2,146"
Westport,-,A,"1,376",33,621,"2,030"
Westport,-,B,"1,543",0,850,"2,393"
Westport,-,C,"1,308",44,565,"1,917"
Westport,-,D,"1,267",2,558,"1,827"
Westport,-,E,"1,613",18,828,"2,459"
TOTALS,,,"189,537","2,908","88,919","281,364"
