City/Town,Ward,Pct,"Maria C. Curtatone","William Tauro","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Hudson,-,4,"1,240",709,5,332,"2,286"
Hudson,-,5,"1,295",578,14,272,"2,159"
Hudson,-,6,882,426,1,240,"1,549"
Lexington,-,1,"1,320",319,6,301,"1,946"
Lexington,-,2,"1,581",328,5,344,"2,258"
Lexington,-,3,"1,175",266,2,303,"1,746"
Lexington,-,4,"1,387",346,5,354,"2,092"
Lexington,-,5,"1,346",369,4,360,"2,079"
Lexington,-,6,"1,433",399,0,357,"2,189"
Lexington,-,7,"1,364",402,4,304,"2,074"
Lexington,-,8,"1,338",338,4,339,"2,019"
Lexington,-,9,"1,510",381,3,306,"2,200"
Lincoln,-,1,"1,783",343,1,337,"2,464"
Lincoln,-,2,"1,027",300,3,253,"1,583"
Littleton,-,1,"1,308",559,0,368,"2,235"
Littleton,-,2,"1,222",608,0,329,"2,159"
Littleton,-,3,"1,257",584,0,351,"2,192"
Malden,1,1,497,124,3,148,772
Malden,1,2,539,175,3,174,891
Malden,1,3,562,180,9,178,929
Malden,2,1,434,169,6,138,747
Malden,2,2,482,219,8,155,864
Malden,2,3,578,244,10,186,"1,018"
Malden,3,1,361,115,3,110,589
Malden,3,1A,436,148,1,131,716
Malden,3,2,631,179,4,163,977
Malden,3,3,738,181,3,217,"1,139"
Malden,4,1,551,167,5,171,894
Malden,4,2,387,95,3,119,604
Malden,4,3,562,124,4,160,850
Malden,5,1,552,218,7,178,955
Malden,5,2,839,277,6,230,"1,352"
Malden,5,3,303,93,1,100,497
Malden,5,3A,348,110,4,89,551
Malden,6,1,737,310,3,233,"1,283"
Malden,6,2,556,210,10,167,943
Malden,6,3,575,243,8,186,"1,012"
Malden,7,1,496,142,8,133,779
Malden,7,2,521,175,5,151,852
Malden,7,3,265,116,4,113,498
Malden,7,3A,198,79,0,85,362
Malden,8,1,624,258,6,211,"1,099"
Malden,8,2,556,232,10,162,960
Malden,8,3,431,164,6,141,742
Marlborough,1,1,641,273,2,161,"1,077"
Marlborough,1,1A,20,5,0,5,30
Marlborough,1,2,"1,055",509,3,249,"1,816"
Marlborough,2,1,828,439,0,207,"1,474"
Marlborough,2,2,703,324,1,130,"1,158"
Marlborough,2,2A,3,6,0,4,13
Marlborough,3,1,523,304,2,131,960
Marlborough,3,2,"1,102",417,3,245,"1,767"
Marlborough,4,1,445,214,0,132,791
Marlborough,4,2,978,507,5,246,"1,736"
Marlborough,5,1,508,256,1,135,900
Marlborough,5,2,862,365,3,208,"1,438"
Marlborough,6,1,539,261,1,158,959
Marlborough,6,2,903,524,3,297,"1,727"
Marlborough,7,1,651,315,2,175,"1,143"
Marlborough,7,2,708,355,2,189,"1,254"
Marlborough,7,2A,23,14,0,8,45
Maynard,-,1,"1,114",405,1,204,"1,724"
Maynard,-,2,971,328,1,194,"1,494"
Maynard,-,3,"1,374",425,1,263,"2,063"
Maynard,-,4,942,345,0,194,"1,481"
Medford,1,1,"1,185",521,6,257,"1,969"
Medford,1,2,"1,227",525,8,250,"2,010"
Medford,2,1,"1,079",499,9,244,"1,831"
Medford,2,2,"1,440",686,10,331,"2,467"
Medford,3,1,"1,374",594,10,290,"2,268"
Medford,3,2,"1,485",611,9,320,"2,425"
Medford,4,1,694,151,1,82,928
Medford,4,2,"1,315",416,11,246,"1,988"
Medford,5,1,"1,266",356,7,148,"1,777"
Medford,5,2,"1,342",334,9,164,"1,849"
Medford,6,1,"1,559",378,4,240,"2,181"
Medford,6,2,"1,312",447,4,227,"1,990"
Medford,6,2A,84,45,1,23,153
Medford,7,1,804,257,3,126,"1,190"
Medford,7,2,"1,003",256,8,156,"1,423"
Medford,7,2A,43,4,0,3,50
Medford,8,1,"1,244",448,11,253,"1,956"
Medford,8,2,"1,124",430,9,189,"1,752"
Melrose,1,1,858,265,6,220,"1,349"
Melrose,1,2,709,251,4,202,"1,166"
Melrose,2,1,716,379,3,244,"1,342"
Melrose,2,2,762,278,1,201,"1,242"
Melrose,3,1,723,253,3,194,"1,173"
Melrose,3,2,776,272,0,205,"1,253"
Melrose,4,1,741,267,5,174,"1,187"
Melrose,4,2,735,451,0,238,"1,424"
Melrose,5,1,607,214,5,133,959
Melrose,5,2,627,171,2,117,917
Melrose,6,1,739,250,4,182,"1,175"
Melrose,6,2,810,380,3,234,"1,427"
Melrose,7,1,786,301,5,193,"1,285"
Melrose,7,2,818,354,6,224,"1,402"
Natick,-,1,849,307,8,186,"1,350"
Natick,-,2,"1,283",422,5,351,"2,061"
Natick,-,3,"1,231",481,5,387,"2,104"
Natick,-,4,"1,256",409,0,320,"1,985"
Natick,-,5,"1,266",504,0,349,"2,119"
Natick,-,6,"1,233",473,1,302,"2,009"
Natick,-,7,"1,586",469,3,365,"2,423"
Natick,-,8,"1,384",488,1,380,"2,253"
Natick,-,9,"1,456",429,1,378,"2,264"
Natick,-,10,"1,630",510,4,436,"2,580"
Newton,1,1,837,301,7,282,"1,427"
Newton,1,2,"1,017",210,4,217,"1,448"
Newton,1,2A,46,10,0,19,75
Newton,1,3,"1,050",209,4,215,"1,478"
Newton,1,4,857,343,6,280,"1,486"
Newton,2,1,991,241,5,236,"1,473"
Newton,2,2,755,159,4,203,"1,121"
Newton,2,3,"1,146",235,3,308,"1,692"
Newton,2,4,"1,176",254,9,388,"1,827"
Newton,3,1,"1,053",247,2,291,"1,593"
Newton,3,1A,0,0,0,0,0
Newton,3,2,"1,057",221,3,317,"1,598"
Newton,3,3,"1,065",317,6,257,"1,645"
Newton,3,4,960,307,4,294,"1,565"
Newton,4,1,980,263,1,270,"1,514"
Newton,4,2,965,186,3,231,"1,385"
Newton,4,3,741,162,2,207,"1,112"
Newton,4,4,950,276,3,242,"1,471"
Newton,5,1,943,257,6,255,"1,461"
Newton,5,2,"1,068",187,3,284,"1,542"
Newton,5,3,"1,180",220,2,357,"1,759"
Newton,5,4,"1,144",242,1,347,"1,734"
Newton,6,1,928,287,5,302,"1,522"
Newton,6,2,989,203,4,300,"1,496"
Newton,6,3,"1,182",198,2,313,"1,695"
Newton,6,4,"1,219",219,3,348,"1,789"
Newton,7,1,818,270,0,248,"1,336"
Newton,7,2,"1,165",222,3,338,"1,728"
Newton,7,3,330,78,4,80,492
Newton,7,4,509,134,1,182,826
Newton,8,1,846,306,5,331,"1,488"
Newton,8,2,882,313,7,309,"1,511"
Newton,8,3,951,301,3,339,"1,594"
Newton,8,4,824,312,9,315,"1,460"
"N. Reading",-,1,"1,216",723,2,528,"2,469"
"N. Reading",-,2,"1,278",848,3,516,"2,645"
"N. Reading",-,3,"1,175",797,4,463,"2,439"
"N. Reading",-,4,"1,174",830,6,473,"2,483"
Pepperell,-,1,834,624,7,271,"1,736"
Pepperell,-,2,998,750,9,315,"2,072"
Pepperell,-,3,935,678,15,285,"1,913"
Pepperell,-,4,869,541,7,238,"1,655"
Reading,-,1,"1,111",723,0,423,"2,257"
