City/Town,Ward,Pct,"William Patrick O'Donnell","All Others",Blanks,"Total Votes Cast"
Milton,-,4,759,4,289,"1,052"
Milton,-,4A,485,4,171,660
Milton,-,5,936,17,466,"1,419"
Milton,-,6,"1,234",9,570,"1,813"
Milton,-,7,"1,130",9,538,"1,677"
Milton,-,8,"1,329",13,555,"1,897"
Milton,-,9,"1,241",14,653,"1,908"
Milton,-,10,937,6,308,"1,251"
Needham,-,A,"1,236",21,473,"1,730"
Needham,-,B,"1,461",29,507,"1,997"
Needham,-,C,"1,347",14,514,"1,875"
Needham,-,D,"1,361",13,502,"1,876"
Needham,-,E,"1,466",17,533,"2,016"
Needham,-,F,"1,403",12,519,"1,934"
Needham,-,G,"1,489",23,510,"2,022"
Needham,-,H,"1,579",27,525,"2,131"
Needham,-,I,"1,639",21,485,"2,145"
Needham,-,J,"1,486",32,462,"1,980"
Norfolk,-,1,810,1,366,"1,177"
Norfolk,-,2,"1,395",9,669,"2,073"
Norfolk,-,3,"1,214",10,534,"1,758"
Norfolk,-,4,"1,326",14,543,"1,883"
Norwood,-,1,"1,400",23,485,"1,908"
Norwood,-,2,"1,365",13,420,"1,798"
Norwood,-,3,"1,422",22,502,"1,946"
Norwood,-,4,"1,518",16,574,"2,108"
Norwood,-,5,973,22,314,"1,309"
Norwood,-,6,"1,017",23,428,"1,468"
Norwood,-,7,"1,377",22,482,"1,881"
Norwood,-,8,"1,509",25,462,"1,996"
Norwood,-,9,"1,399",17,514,"1,930"
Plainville,-,1,"1,218",11,518,"1,747"
Plainville,-,2,"1,359",11,539,"1,909"
Plainville,-,3,"1,360",21,619,"2,000"
Quincy,1,1,914,27,297,"1,238"
Quincy,1,2,788,13,318,"1,119"
Quincy,1,3,"1,022",21,293,"1,336"
Quincy,1,4,"1,414",35,579,"2,028"
Quincy,1,5,"1,524",39,513,"2,076"
Quincy,2,1,877,25,216,"1,118"
Quincy,2,2,930,27,242,"1,199"
Quincy,2,3,664,18,186,868
Quincy,2,4,914,21,283,"1,218"
Quincy,2,5,"1,010",16,304,"1,330"
Quincy,3,1,"1,378",29,374,"1,781"
Quincy,3,2,"1,068",12,309,"1,389"
Quincy,3,3,906,22,258,"1,186"
Quincy,3,4,"1,265",29,412,"1,706"
Quincy,3,5,893,13,256,"1,162"
Quincy,4,1,"1,089",19,303,"1,411"
Quincy,4,2,"1,245",26,379,"1,650"
Quincy,4,3,"1,361",31,494,"1,886"
Quincy,4,4,891,14,221,"1,126"
Quincy,4,5,953,20,219,"1,192"
Quincy,5,1,540,15,140,695
Quincy,5,1A,359,9,103,471
Quincy,5,2,951,21,282,"1,254"
Quincy,5,3,"1,423",30,376,"1,829"
Quincy,5,4,888,21,288,"1,197"
Quincy,5,5,"1,189",19,402,"1,610"
Quincy,6,1,"1,016",19,315,"1,350"
Quincy,6,2,976,27,244,"1,247"
Quincy,6,3,"1,193",18,412,"1,623"
Quincy,6,4,863,15,277,"1,155"
Quincy,6,5,"1,592",31,552,"2,175"
Randolph,-,1,"1,235",21,321,"1,577"
Randolph,-,2,987,26,253,"1,266"
Randolph,-,3,882,23,242,"1,147"
Randolph,-,4,"1,102",21,326,"1,449"
Randolph,-,5,"1,070",25,292,"1,387"
Randolph,-,6,697,16,169,882
Randolph,-,7,899,16,311,"1,226"
Randolph,-,8,931,26,276,"1,233"
Randolph,-,9,"1,010",15,270,"1,295"
Randolph,-,10,"1,123",33,288,"1,444"
Randolph,-,11,968,29,333,"1,330"
Randolph,-,12,940,26,304,"1,270"
Sharon,-,1,"1,575",22,600,"2,197"
Sharon,-,2,"1,506",13,577,"2,096"
Sharon,-,3,"1,564",13,666,"2,243"
Sharon,-,4,"1,570",9,601,"2,180"
Sharon,-,5,"1,520",21,649,"2,190"
Stoughton,-,1,"1,300",25,464,"1,789"
Stoughton,-,2,"1,141",19,469,"1,629"
Stoughton,-,2A,172,2,55,229
Stoughton,-,3,"1,491",28,554,"2,073"
Stoughton,-,4,"1,446",20,701,"2,167"
Stoughton,-,4A,128,0,53,181
Stoughton,-,5,"1,020",24,441,"1,485"
Stoughton,-,5A,87,0,48,135
Stoughton,-,6,"1,342",13,598,"1,953"
Stoughton,-,7,"1,309",18,409,"1,736"
Stoughton,-,7A,76,3,22,101
Stoughton,-,8,945,14,346,"1,305"
Stoughton,-,8A,60,2,26,88
Walpole,-,1,"1,376",10,480,"1,866"
Walpole,-,2,"1,400",9,702,"2,111"
Walpole,-,2A,34,0,6,40
Walpole,-,3,"1,673",7,729,"2,409"
Walpole,-,4,"1,212",10,422,"1,644"
Walpole,-,5,"1,182",10,494,"1,686"
Walpole,-,5A,30,0,17,47
Walpole,-,6,"1,472",15,589,"2,076"
Walpole,-,7,"1,427",7,622,"2,056"
Walpole,-,8,"1,377",11,679,"2,067"
Wellesley,-,A,"1,490",8,586,"2,084"
Wellesley,-,B,"1,680",6,623,"2,309"
Wellesley,-,C,"1,426",26,836,"2,288"
Wellesley,-,D,"1,567",18,610,"2,195"
Wellesley,-,E,"1,520",3,589,"2,112"
Wellesley,-,F,937,7,386,"1,330"
Wellesley,-,G,794,3,281,"1,078"
Wellesley,-,H,"1,461",5,668,"2,134"
Westwood,-,1,"1,414",10,648,"2,072"
Westwood,-,2,"1,421",22,685,"2,128"
Westwood,-,3,"1,335",8,572,"1,915"
Westwood,-,4,"1,242",8,656,"1,906"
Westwood,-,5,"1,458",9,718,"2,185"
Weymouth,-,1,"1,323",27,431,"1,781"
Weymouth,-,2,"1,435",26,577,"2,038"
Weymouth,-,3,"1,494",29,506,"2,029"
Weymouth,-,4,"1,261",13,420,"1,694"
Weymouth,-,5,"1,301",13,383,"1,697"
Weymouth,-,6,"1,492",28,515,"2,035"
Weymouth,-,7,"1,136",27,377,"1,540"
Weymouth,-,8,"1,271",26,406,"1,703"
Weymouth,-,9,897,27,309,"1,233"
Weymouth,-,9A,375,11,121,507
Weymouth,-,10,"1,088",38,360,"1,486"
Weymouth,-,11,"1,112",30,332,"1,474"
Weymouth,-,12,"1,434",27,541,"2,002"
Weymouth,-,13,930,11,272,"1,213"
Weymouth,-,14,"1,563",20,491,"2,074"
Weymouth,-,15,"1,402",30,535,"1,967"
Weymouth,-,16,"1,662",32,573,"2,267"
Weymouth,-,17,"1,103",27,366,"1,496"
Weymouth,-,18,"1,198",17,350,"1,565"
Wrentham,-,1,"1,325",45,580,"1,950"
Wrentham,-,2,"1,305",63,612,"1,980"
Wrentham,-,3,"1,384",35,516,"1,935"
Wrentham,-,4,"1,421",49,576,"2,046"
TOTALS,,,"280,309","4,287","106,770","391,366"
