City/Town,Ward,Pct,"Kathryn A. Toomey","All Others",Blanks,"Total Votes Cast"
Millville,-,1,"1,254",6,548,"1,808"
"New Braintree",-,1,506,0,169,675
"N. Brookfield",-,1,"1,988",25,841,"2,854"
Northborough,-,1,"1,699",36,561,"2,296"
Northborough,-,2,"1,626",38,567,"2,231"
Northborough,-,3,"1,728",29,604,"2,361"
Northborough,-,4,"1,662",40,650,"2,352"
Northbridge,-,1,"1,472",43,506,"2,021"
Northbridge,-,2,"1,173",41,468,"1,682"
Northbridge,-,3,"1,080",41,428,"1,549"
Northbridge,-,4,"1,442",34,625,"2,101"
Northbridge,-,5,"1,331",50,542,"1,923"
Oakham,-,1,853,4,409,"1,266"
Oxford,-,1,"1,412",9,579,"2,000"
Oxford,-,2,"1,336",5,490,"1,831"
Oxford,-,3,"1,381",26,519,"1,926"
Oxford,-,4,"1,297",7,517,"1,821"
Oxford,-,4A,22,0,10,32
Paxton,-,1,"2,116",19,862,"2,997"
Petersham,-,1,649,0,252,901
Phillipston,-,1,821,0,349,"1,170"
Princeton,-,1,"1,754",20,785,"2,559"
Royalston,-,1,561,5,248,814
Rutland,-,1,"1,444",46,583,"2,073"
Rutland,-,2,"1,275",36,486,"1,797"
Rutland,-,3,"1,553",41,505,"2,099"
Shrewsbury,-,1,"1,694",10,633,"2,337"
Shrewsbury,-,2,"1,455",7,521,"1,983"
Shrewsbury,-,3,"1,157",10,429,"1,596"
Shrewsbury,-,4,"1,658",17,528,"2,203"
Shrewsbury,-,5,"1,431",11,439,"1,881"
Shrewsbury,-,6,"1,517",10,528,"2,055"
Shrewsbury,-,7,"1,679",14,586,"2,279"
Shrewsbury,-,8,"1,793",17,670,"2,480"
Shrewsbury,-,9,"1,140",7,341,"1,488"
Shrewsbury,-,10,"1,468",17,461,"1,946"
Southborough,-,1,"1,508",13,588,"2,109"
Southborough,-,2,"1,522",12,515,"2,049"
Southborough,-,3,"1,542",13,533,"2,088"
Southbridge,-,1,"1,011",36,377,"1,424"
Southbridge,-,2,832,36,246,"1,114"
Southbridge,-,3,"1,028",52,427,"1,507"
Southbridge,-,4,"1,436",51,522,"2,009"
Southbridge,-,5,789,37,194,"1,020"
Spencer,-,1,"1,121",21,448,"1,590"
Spencer,-,2,"1,055",41,319,"1,415"
Spencer,-,3,"1,206",4,520,"1,730"
Spencer,-,4,"1,204",16,496,"1,716"
Sterling,-,1,"1,887",14,837,"2,738"
Sterling,-,2,"1,952",25,873,"2,850"
Sturbridge,-,1,"1,469",42,526,"2,037"
Sturbridge,-,2,"1,508",35,541,"2,084"
Sturbridge,-,3,"1,419",38,468,"1,925"
Sutton,-,1,"1,435",8,706,"2,149"
Sutton,-,2,"1,412",20,681,"2,113"
Sutton,-,3,"1,439",23,643,"2,105"
Templeton,-,A,"1,195",53,515,"1,763"
Templeton,-,B,"1,030",46,431,"1,507"
Templeton,-,C,967,21,381,"1,369"
Upton,-,1,"1,336",27,507,"1,870"
Upton,-,2,"1,273",34,614,"1,921"
Upton,-,3,"1,132",37,519,"1,688"
Uxbridge,-,1,"1,539",55,694,"2,288"
Uxbridge,-,1A,99,3,22,124
Uxbridge,-,2,"1,372",29,560,"1,961"
Uxbridge,-,3,"1,593",50,657,"2,300"
Uxbridge,-,4,"1,590",44,731,"2,365"
Warren,-,A,"1,343",8,668,"2,019"
Warren,-,B,441,3,217,661
Webster,-,1,688,29,219,936
Webster,-,1A,352,17,118,487
Webster,-,2,804,39,226,"1,069"
Webster,-,3,"1,133",39,343,"1,515"
Webster,-,4,"1,659",67,669,"2,395"
Webster,-,5,"1,307",49,455,"1,811"
"W. Boylston",-,1,"1,533",32,508,"2,073"
"W. Boylston",-,2,"1,911",43,656,"2,610"
"W. Brookfield",-,1,"1,647",25,690,"2,362"
Westborough,-,1,"1,053",5,353,"1,411"
Westborough,-,2,"1,008",3,351,"1,362"
Westborough,-,3,"1,164",28,367,"1,559"
Westborough,-,4,"1,088",15,385,"1,488"
Westborough,-,5,"1,699",18,556,"2,273"
Westborough,-,6,"1,805",22,543,"2,370"
Winchendon,-,1,"1,083",53,521,"1,657"
Winchendon,-,2,"1,182",60,552,"1,794"
Winchendon,-,3,"1,181",66,568,"1,815"
Worcester,1,1,672,19,203,894
Worcester,1,2,"1,611",40,487,"2,138"
Worcester,1,3,841,18,272,"1,131"
Worcester,1,4,"1,397",43,428,"1,868"
Worcester,1,5,"1,162",43,337,"1,542"
Worcester,1,6,"1,591",53,465,"2,109"
Worcester,2,1,"1,374",43,418,"1,835"
Worcester,2,2,"1,122",35,352,"1,509"
Worcester,2,3,"1,156",39,392,"1,587"
Worcester,2,4,922,26,198,"1,146"
Worcester,2,5,717,32,205,954
Worcester,2,6,"1,021",29,251,"1,301"
Worcester,2,6A,0,0,0,0
Worcester,3,1,537,25,115,677
Worcester,3,2,380,7,94,481
Worcester,3,3,"1,069",44,293,"1,406"
Worcester,3,3A,0,0,0,0
Worcester,3,4,567,13,131,711
Worcester,3,5,926,45,226,"1,197"
Worcester,3,5A,0,0,0,0
Worcester,3,6,961,25,247,"1,233"
Worcester,4,1,401,18,113,532
Worcester,4,2,384,18,110,512
Worcester,4,2A,237,7,63,307
Worcester,4,2B,0,0,0,0
Worcester,4,3,534,12,101,647
Worcester,4,4,854,24,228,"1,106"
Worcester,4,5,922,30,271,"1,223"
Worcester,4,6,927,18,272,"1,217"
Worcester,5,1,552,25,151,728
Worcester,5,2,"1,056",32,251,"1,339"
Worcester,5,3,"1,276",52,398,"1,726"
Worcester,5,4,"1,154",40,299,"1,493"
Worcester,5,5,"1,112",36,331,"1,479"
Worcester,5,6,899,40,255,"1,194"
Worcester,6,1,360,14,97,471
Worcester,6,2,587,22,121,730
Worcester,6,3,510,18,130,658
Worcester,6,4,118,5,26,149
Worcester,6,5,726,28,189,943
Worcester,6,6,"1,118",40,277,"1,435"
Worcester,7,1,"1,011",35,282,"1,328"
Worcester,7,2,920,45,267,"1,232"
Worcester,7,3,697,32,175,904
Worcester,7,4,"1,052",56,263,"1,371"
Worcester,7,5,715,28,219,962
Worcester,7,5A,237,10,62,309
Worcester,7,6,"1,018",48,252,"1,318"
Worcester,8,1,459,23,120,602
Worcester,8,2,405,18,116,539
Worcester,8,3,279,15,45,339
Worcester,8,4,518,24,155,697
Worcester,8,5,541,20,128,689
Worcester,8,6,480,20,142,642
Worcester,9,1,790,37,223,"1,050"
Worcester,9,2,"1,241",18,426,"1,685"
Worcester,9,3,737,34,192,963
Worcester,9,4,"1,518",38,361,"1,917"
Worcester,9,5,"1,601",41,467,"2,109"
Worcester,9,6,"1,312",43,414,"1,769"
Worcester,10,1,516,20,123,659
Worcester,10,2,652,11,154,817
Worcester,10,3,547,24,183,754
Worcester,10,4,480,34,134,648
Worcester,10,4A,0,0,0,0
Worcester,10,5,519,20,126,665
Worcester,10,6,440,23,147,610
TOTALS,,,"267,117","5,495","99,241","371,853"
